,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,758.7311422177926,-635.135243257331,170.40596868159963,143.0,1,0.0,False
26099,0 days 00:57:59.701000,751.0,-615.0,170.0,142.7,1,0.0,False
26100,0 days 00:57:59.813000,739.8755624717517,-581.2863084977938,169.60997582677226,142.0,1,0.0,False
26101,0 days 00:57:59.973000,738.7669186370784,-551.0474272254991,169.74710080341353,138.0,1,0.0,False
26102,0 days 00:58:00.061000,742.0,-518.0,169.0,137.05714285714285,1,0.0,False
26103,0 days 00:58:00.253000,755.288198585587,-407.61517185060967,165.4319412785835,135.0,1,0.0,False
26104,0 days 00:58:00.281000,757.0,-394.0,165.0,135.2,1,0.0,False
26105,0 days 00:58:00.533000,765.4985692791128,-327.05101721181114,163.3954419316009,137.0,1,0.0,False
26106,0 days 00:58:00.601000,767.0,-310.0,163.0,138.7,1,0.0,False
26107,0 days 00:58:00.733000,769.8693079770691,-267.08964038674947,161.82158547148256,142.0,1,0.0,False
26108,0 days 00:58:00.861000,769.0,-210.0,160.0,144.4,1,0.0,False
26109,0 days 00:58:01.053000,756.1626715452803,-97.10269946045776,155.95326214864735,148.0,1,0.0,False
26110,0 days 00:58:01.101000,753.0,-73.0,155.0,148.3,1,0.0,False
26111,0 days 00:58:01.213000,747.4735766159748,-30.61379567795906,153.11231793375208,149.0,1,0.0,False
26112,0 days 00:58:01.533000,715.1376062011013,55.170765048581245,148.18449996019345,156.0,1,0.0,False
26113,0 days 00:58:01.541000,713.0,59.0,148.0,156.11469531419175,1,0.0,False
26114,0 days 00:58:01.781000,632.0,194.0,142.0,159.55555473994443,1,0.0,False
26115,0 days 00:58:01.812000,624.7345677842089,205.31741402846637,141.5473434737811,160.0,1,0.0,False
26116,0 days 00:58:02.061000,585.0,256.0,140.0,176.3406208,1,0.0,False
26117,0 days 00:58:02.132000,561.9003787248391,284.5870998225406,138.974597472675,181.0,1,0.0,False
26118,0 days 00:58:02.372000,450.15283124521795,424.9534348667552,133.76779320718043,188.0,1,0.0,False
