,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,-1640.5541557407375,10580.537013953803,164.18532932616142,112.0,1,0.0,False
26099,0 days 00:57:59.701000,-1621.0,10585.0,164.0,112.9,1,0.0,False
26100,0 days 00:57:59.813000,-1589.578065026739,10592.03319978448,163.66415360924552,115.0,1,0.0,False
26101,0 days 00:57:59.973000,-1565.6620947855279,10599.157107643203,163.31400443505387,119.0,1,0.0,False
26102,0 days 00:58:00.061000,-1539.0,10611.0,163.0,121.2,1,0.0,False
26103,0 days 00:58:00.253000,-1448.2193328340154,10655.19177890801,162.08255271498095,126.0,1,0.0,False
26104,0 days 00:58:00.281000,-1437.0,10661.0,162.0,127.2,1,0.0,False
26105,0 days 00:58:00.533000,-1381.6849063294667,10695.745832678313,162.05725342180807,138.0,1,0.0,False
26106,0 days 00:58:00.601000,-1367.0,10707.0,162.0,139.36,1,0.0,False
26107,0 days 00:58:00.733000,-1329.3128994352799,10736.112827756788,161.58198104025286,142.0,1,0.0,False
26108,0 days 00:58:00.861000,-1284.0,10778.0,161.0,144.4,1,0.0,False
26109,0 days 00:58:01.053000,-1208.4722983957568,10868.208582985637,160.18425703811516,148.0,1,0.0,False
26110,0 days 00:58:01.101000,-1193.0,10888.0,160.0,149.8,1,0.0,False
26111,0 days 00:58:01.213000,-1166.092188886718,10923.522984995632,159.60789047465707,154.0,1,0.0,False
26112,0 days 00:58:01.533000,-1118.9684038403193,11016.4179773868,158.99833643191144,165.0,1,0.0,False
26113,0 days 00:58:01.541000,-1117.0,11021.0,159.0,165.3727597711232,1,0.0,False
26114,0 days 00:58:01.781000,-1049.0,11184.0,159.0,176.5555529048194,1,0.0,False
26115,0 days 00:58:01.812000,-1043.661869980591,11197.215684540539,158.8472025729004,178.0,1,0.0,False
26116,0 days 00:58:02.061000,-1026.0,11253.0,157.0,183.4468736,1,0.0,False
26117,0 days 00:58:02.132000,-1016.3042433764323,11288.068221969997,157.0289594818243,185.0,1,0.0,False
26118,0 days 00:58:02.372000,-966.1186827988007,11469.853631118433,158.7566336607646,199.0,1,0.0,False
26119,0 days 00:58:02.421000,-957.0,11504.0,159.0,199.73499904,1,0.0,False
26120,0 days 00:58:02.572000,-934.0072491978402,11593.765781342241,159.261366501119,202.0,1,0.0,False
26121,0 days 00:58:02.732000,-913.8713219496838,11677.447427931244,159.04796089750798,207.0,1,0.0,False
26122,0 days 00:58:02.781000,-907.0,11706.0,159.0,208.4134596923077,1,0.0,False
26123,0 days 00:58:03.241000,-838.0,11992.0,159.0,221.68269046153847,1,0.0,False
26124,0 days 00:58:03.252000,-836.9281117419996,11996.447461214002,159.00708618030652,222.0,1,0.0,False
26125,0 days 00:58:03.412000,-825.4628031675398,12044.388978578534,159.11675836627794,226.0,1,0.0,False
26126,0 days 00:58:03.501000,-818.0,12078.0,159.0,229.3374976,1,0.0,False
26127,0 days 00:58:03.572000,-810.1069119667065,12114.78133764098,158.75851466090182,232.0,1,0.0,False
26128,0 days 00:58:03.772000,-782.2255136346106,12249.836931337632,157.99786176875267,237.0,1,0.0,False
26129,0 days 00:58:03.781000,-781.0,12256.0,158.0,237.1687488,1,0.0,False
26130,0 days 00:58:04.041000,-749.0,12426.0,159.0,242.0437488,1,0.0,False
26131,0 days 00:58:04.181000,-735.0,12507.0,159.0,244.6687488,1,0.0,False
26132,0 days 00:58:04.252000,-727.0981266019414,12552.26677662413,158.98886561924618,246.0,1,0.0,False
26133,0 days 00:58:04.361000,-714.0,12628.0,159.0,246.0,1,0.0,False
26134,0 days 00:58:04.452000,-702.93051374711,12695.166043116646,159.00288971583072,246.0,1,0.0,False
26135,0 days 00:58:04.602000,-685.0,12808.0,159.0,250.09091258181817,1,0.0,False
26136,0 days 00:58:04.802000,-663.0,12949.0,159.0,255.54545803636364,1,0.0,False
26137,0 days 00:58:04.892000,-653.4423887329289,13012.595489687703,159.00018062720957,258.0,1,0.0,False
26138,0 days 00:58:05.002000,-642.0,13091.0,159.0,259.65000192,1,0.42715176861439436,False
26139,0 days 00:58:05.092000,-632.8651542172471,13155.449347831805,158.99928708552005,261.0,1,0.4143650415372727,False
26140,0 days 00:58:05.202000,-622.0,13235.0,159.0,263.20000256,1,0.39702795905045574,False
26141,0 days 00:58:05.292000,-613.3793554379399,13301.108775815972,159.00394872068622,265.0,1,0.3828467082036397,False
26142,0 days 00:58:05.362000,-607.0,13352.0,159.0,265.9024996823207,1,0.3631561479655877,False
26143,0 days 00:58:06.461000,-555.0,14183.0,158.0,280.0717163099032,1,0.30692024249206873,False
26144,0 days 00:58:06.533000,-554.1832206381849,14269.223210187925,157.97853068439235,281.0,1,0.28735278554204235,False
26145,0 days 00:58:06.733000,-553.1817080117579,14513.336970147704,157.97864114904164,281.0,1,0.25731731996965085,False
26146,0 days 00:58:06.801000,-553.0,14571.0,158.0,281.56666666666666,1,0.24311104483325777,False
26147,0 days 00:58:06.973000,-552.7416590493644,14642.583487695863,158.1017662961379,283.0,1,0.23058845906339048,False
26148,0 days 00:58:07.121000,-555.0,14697.0,158.0,283.74,1,0.2063048793736777,False
26149,0 days 00:58:07.173000,-556.7706124446624,14729.540811405077,157.87574952242508,284.0,1,0.18189173944923506,False
26150,0 days 00:58:07.453000,-575.2699194895889,14985.953064291552,156.98879899353824,285.0,1,0.14309197596981502,False
26151,0 days 00:58:07.481000,-578.0,15011.0,157.0,285.0,1,0.12856001876866052,False
26152,0 days 00:58:07.653000,-598.3141670448146,15151.470003239428,157.62408593948058,285.0,1,0.09365858881388057,False
26153,0 days 00:58:07.801000,-615.0,15245.0,158.0,284.3833333333333,1,0.06474448527893387,False
26154,0 days 00:58:07.893000,-622.6843789136656,15286.755402135765,157.78038334211877,284.0,1,0.029108250000376285,False
26155,0 days 00:58:08.081000,-658.0,15447.0,157.0,283.4125,1,-0.04176227450678086,False
26156,0 days 00:58:08.181000,-704.0,15646.0,157.0,283.1,1,-0.15697439050179285,False
26157,0 days 00:58:08.213000,-715.7511320741646,15696.56803074059,157.0096667239267,283.0,1,-0.1886920214909746,False
26158,0 days 00:58:08.453000,-738.8312585939054,15792.170723678491,157.00755055412867,279.0,1,-0.2938065401561735,False
26159,0 days 00:58:08.561000,-745.0,15818.0,157.0,258.62264971163785,1,-0.35135083387392074,False
26160,0 days 00:58:08.612000,-750.5867729720921,15842.24313948503,156.9989314423864,249.0,1,-0.38997135471707023,False
26161,0 days 00:58:08.772000,-775.6529540646604,15952.654743921548,157.00083413993795,223.0,1,-0.5522977984701656,True
26162,0 days 00:58:08.801000,-780.0,15972.0,157.0,220.18056177777777,1,-0.6429817415346899,True
26163,0 days 00:58:09.101000,-816.0,16136.0,157.0,191.0138951111111,1,-0.9915903131403242,True
26164,0 days 00:58:09.132000,-819.1120582755365,16150.565481318377,157.01072433366932,188.0,1,-1.073663249930182,True
26165,0 days 00:58:09.221000,-828.0,16193.0,157.0,182.437504,1,-1.42679346492049,True
26166,0 days 00:58:09.292000,-835.8902483949963,16232.276595317766,156.83881657159634,178.0,1,-1.5693654155256302,True
26167,0 days 00:58:09.501000,-859.0,16352.0,156.0,156.1500066909091,1,-1.9408624295823864,True
26168,0 days 00:58:09.732000,-869.9917285222438,16411.366486692255,155.92416037993326,132.0,1,-2.1569453470756006,True
26169,0 days 00:58:09.861000,-874.0,16443.0,156.0,122.3250048,1,-2.2055802518863756,True
26170,0 days 00:58:09.892000,-875.0979655607143,16452.932585709044,156.00742245911084,120.0,1,-2.313609234662326,True
