,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,-2053.9650655166147,9918.833494876335,164.85190305330622,206.0,1,0.0,False
26099,0 days 00:57:59.701000,-2047.0,9950.0,165.0,203.0,1,0.0,False
26100,0 days 00:57:59.813000,-2035.756202530432,10001.227202408823,165.1606711538849,196.0,1,0.0,False
26101,0 days 00:57:59.973000,-2027.203411504194,10040.86776471082,165.04690765849998,188.0,1,0.0,False
26102,0 days 00:58:00.061000,-2018.0,10079.0,165.0,178.25714285714287,1,0.0,False
26103,0 days 00:58:00.253000,-1986.9040348749895,10202.09794289043,164.9978239135514,157.0,1,0.0,False
26104,0 days 00:58:00.281000,-1983.0,10217.0,165.0,155.4,1,0.0,False
26105,0 days 00:58:00.533000,-1962.5218503513076,10285.885835030404,165.0010648270379,141.0,1,0.0,False
26106,0 days 00:58:00.601000,-1957.0,10302.0,165.0,139.64,1,0.0,False
26107,0 days 00:58:00.733000,-1943.1930236258788,10342.356787669445,164.99927680678059,137.0,1,0.0,False
26108,0 days 00:58:00.861000,-1922.0,10390.0,165.0,133.0,1,0.0,False
26109,0 days 00:58:01.053000,-1872.222476348521,10468.190687360428,165.00163249021503,127.0,1,0.0,False
26110,0 days 00:58:01.101000,-1861.0,10484.0,165.0,126.4,1,0.0,False
26111,0 days 00:58:01.213000,-1840.4181938907482,10511.043669608896,164.9912890916695,125.0,1,0.0,False
26112,0 days 00:58:01.533000,-1776.301467973742,10543.97770102957,164.997022894045,118.0,1,0.0,False
26113,0 days 00:58:01.541000,-1773.0,10545.0,165.0,118.0,1,0.0,False
26114,0 days 00:58:01.781000,-1654.0,10578.0,165.0,118.0,1,0.0,False
26115,0 days 00:58:01.812000,-1643.8638781491345,10580.451890716991,164.936152448253,118.0,1,0.0,False
26116,0 days 00:58:02.061000,-1599.0,10591.0,164.0,125.0031232,1,0.0,False
26117,0 days 00:58:02.132000,-1575.3607901933026,10599.7492381265,163.78136546016674,127.0,1,0.0,False
26118,0 days 00:58:02.372000,-1459.7470784574532,10648.74299447664,163.1832587630459,135.0,1,0.0,False
26119,0 days 00:58:02.421000,-1439.0,10659.0,163.0,135.97999872,1,0.0,False
26120,0 days 00:58:02.572000,-1387.0347734665413,10689.057713523289,162.25124616443787,139.0,1,0.0,False
26121,0 days 00:58:02.732000,-1342.197428207445,10724.815154134852,161.2836708292308,142.0,1,0.0,False
26122,0 days 00:58:02.781000,-1327.0,10739.0,161.0,143.0365371076923,1,0.0,False
26123,0 days 00:58:03.241000,-1179.0,10908.0,159.0,152.76730633846154,1,0.0,False
26124,0 days 00:58:03.252000,-1176.9749298807299,10910.74152022035,158.98395018171536,153.0,1,0.0,False
26125,0 days 00:58:03.412000,-1158.2477148749022,10940.401613959093,158.9483679977865,157.0,1,0.0,False
26126,0 days 00:58:03.501000,-1147.0,10962.0,159.0,161.4499968,1,0.0,False
26127,0 days 00:58:03.572000,-1134.626425487881,10986.02382699355,159.05004140930208,165.0,1,0.0,False
26128,0 days 00:58:03.772000,-1090.8269251061502,11075.831990161743,159.0205222358404,173.0,1,0.0,False
26129,0 days 00:58:03.781000,-1089.0,11080.0,159.0,173.3374976,1,0.0,False
26130,0 days 00:58:04.041000,-1043.0,11202.0,158.0,183.0874976,1,0.0,False
26131,0 days 00:58:04.181000,-1020.0,11272.0,158.0,188.3374976,1,0.0,False
26132,0 days 00:58:04.252000,-1008.9980556170805,11308.376511176128,158.3490238985961,191.0,1,0.0,False
26133,0 days 00:58:04.361000,-993.0,11365.0,159.0,194.81499776,1,0.0,False
26134,0 days 00:58:04.452000,-980.3275339677891,11412.711860983283,159.15720261492635,198.0,1,0.0,False
26135,0 days 00:58:04.602000,-960.0,11493.0,159.0,202.09091258181817,1,0.0,False
26136,0 days 00:58:04.802000,-932.0,11605.0,159.0,207.54545803636364,1,0.0,False
26137,0 days 00:58:04.892000,-919.450518073597,11656.488368679007,159.0034878301329,210.0,1,0.0,False
26138,0 days 00:58:05.002000,-904.0,11720.0,159.0,213.30000384,1,0.5350072977960965,True
26139,0 days 00:58:05.092000,-891.0317940113488,11772.27338765307,158.99816088829,216.0,1,0.5388665236103174,True
26140,0 days 00:58:05.202000,-875.0,11837.0,159.0,218.7500032,1,0.5441545077748634,True
26141,0 days 00:58:05.292000,-861.951366229487,11891.077136380176,159.0072782488157,221.0,1,0.5479372348494947,True
26142,0 days 00:58:05.362000,-852.0,11933.0,159.0,222.6921869043513,1,0.5544474236972566,True
26143,0 days 00:58:06.461000,-710.0,12651.0,158.0,249.25946808106846,1,0.5151143649385818,True
26144,0 days 00:58:06.533000,-698.2687582567623,12724.628220566177,158.19209908915616,251.0,1,0.5160504706780131,True
26145,0 days 00:58:06.733000,-665.9020331859156,12933.602320745575,158.86090882887987,254.0,1,0.5118776351872149,True
26146,0 days 00:58:06.801000,-658.0,12985.0,159.0,254.85,1,0.5117887871329825,True
26147,0 days 00:58:06.973000,-646.9434838617772,13057.199766482654,159.06683086692695,257.0,1,0.5112341294910475,True
26148,0 days 00:58:07.121000,-639.0,13113.0,159.0,259.22,1,0.5105969614965293,True
26149,0 days 00:58:07.173000,-634.8862684218727,13142.747890337167,158.98816114748374,260.0,1,0.5058557671914681,True
26150,0 days 00:58:07.453000,-605.6057178921238,13365.718505812009,158.99841143166225,265.0,1,0.4974697231663833,False
26151,0 days 00:58:07.481000,-603.0,13388.0,159.0,265.14,1,0.4930684774177281,False
26152,0 days 00:58:07.653000,-589.6031307192387,13516.888093282805,159.0035133709154,266.0,1,0.4740562671362653,False
26153,0 days 00:58:07.801000,-581.0,13610.0,159.0,267.85,1,0.46901753833841486,False
26154,0 days 00:58:07.893000,-576.7423800439316,13656.80706487954,158.99561081457415,269.0,1,0.43426312220339736,False
26155,0 days 00:58:08.081000,-567.0,13819.0,159.0,270.175,1,0.41945135711402143,False
26156,0 days 00:58:08.181000,-559.0,14000.0,159.0,270.8,1,0.3941160301161508,False
26157,0 days 00:58:08.213000,-557.0729545536481,14046.265578793455,158.96846232125534,271.0,1,0.38734215787432186,False
26158,0 days 00:58:08.453000,-554.9471695517501,14146.191942898347,158.2329451397953,273.0,1,0.3491205313027704,False
26159,0 days 00:58:08.561000,-555.0,14182.0,158.0,273.0,1,0.33244812287448805,False
26160,0 days 00:58:08.612000,-554.586339938599,14211.283147715183,157.95269719654652,273.0,1,0.3165723721100081,False
26161,0 days 00:58:08.772000,-552.2677011463621,14340.279420334791,157.9916498311153,274.0,1,0.29730289444385505,False
26162,0 days 00:58:08.801000,-552.0,14364.0,158.0,274.0805553777778,1,0.2823752139805774,False
26163,0 days 00:58:09.101000,-553.0,14593.0,158.0,274.9138887111111,1,0.24169345037503395,False
