,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,-1425.053139553231,10668.645420557621,162.15284213683722,129.0,1,0.0,False
26099,0 days 00:57:59.701000,-1407.0,10679.0,162.0,130.8,1,0.0,False
26100,0 days 00:57:59.813000,-1375.3585802065493,10698.31519647666,161.69935584293412,135.0,1,0.0,False
26101,0 days 00:57:59.973000,-1347.37982442627,10720.163836082576,161.32417673367877,141.0,1,0.0,False
26102,0 days 00:58:00.061000,-1326.0,10740.0,161.0,143.2,1,0.0,False
26103,0 days 00:58:00.253000,-1263.9084823744008,10801.7266863517,160.08230600603264,148.0,1,0.0,False
26104,0 days 00:58:00.281000,-1256.0,10810.0,160.0,148.4,1,0.0,False
26105,0 days 00:58:00.533000,-1209.2555375227037,10865.765069513829,160.05413830263785,152.0,1,0.0,False
26106,0 days 00:58:00.601000,-1197.0,10883.0,160.0,154.04,1,0.0,False
26107,0 days 00:58:00.733000,-1168.731173864729,10924.555680740927,159.5966524314846,158.0,1,0.0,False
26108,0 days 00:58:00.861000,-1136.0,10982.0,159.0,163.6,1,0.0,False
26109,0 days 00:58:01.053000,-1080.421344274115,11104.303396657504,158.1120325821403,172.0,1,0.0,False
26110,0 days 00:58:01.101000,-1069.0,11131.0,158.0,173.2,1,0.0,False
26111,0 days 00:58:01.213000,-1049.1706081233722,11178.66996319603,157.99720462403712,176.0,1,0.0,False
26112,0 days 00:58:01.533000,-1014.4606434040204,11290.737947757827,158.98898635686547,186.0,1,0.0,False
26113,0 days 00:58:01.541000,-1013.0,11296.0,159.0,186.11469531419175,1,0.0,False
26114,0 days 00:58:01.781000,-962.0,11483.0,159.0,189.55555473994443,1,0.0,False
26115,0 days 00:58:01.812000,-957.7745226819566,11498.831460015235,158.99364373728685,190.0,1,0.0,False
26116,0 days 00:58:02.061000,-940.0,11571.0,159.0,201.671872,1,0.0,False
26117,0 days 00:58:02.132000,-930.2965684926942,11611.074801677381,159.0021953260492,205.0,1,0.0,False
26118,0 days 00:58:02.372000,-881.8550756611227,11809.75239062965,158.99992613533857,214.0,1,0.0,False
26119,0 days 00:58:02.421000,-873.0,11846.0,159.0,215.46999808,1,0.0,False
26120,0 days 00:58:02.572000,-850.3610942512977,11938.548693167173,159.00282246216295,220.0,1,0.0,False
26121,0 days 00:58:02.732000,-830.5325107251703,12022.572168818373,159.00310037686194,223.0,1,0.0,False
26122,0 days 00:58:02.781000,-824.0,12052.0,159.0,224.31922904615385,1,0.0,False
26123,0 days 00:58:03.241000,-762.0,12358.0,159.0,236.70384443076924,1,0.0,False
26124,0 days 00:58:03.252000,-761.0756484070814,12362.821748052984,159.0060588520145,237.0,1,0.0,False
26125,0 days 00:58:03.412000,-751.4334975007883,12414.925306252684,159.11448195373177,237.0,1,0.0,False
26126,0 days 00:58:03.501000,-745.0,12451.0,159.0,240.8937472,1,0.0,False
26127,0 days 00:58:03.572000,-738.0222692334789,12490.193793709464,158.75931634651778,244.0,1,0.0,False
26128,0 days 00:58:03.772000,-713.085503834212,12632.587209709169,157.99788907899097,248.0,1,0.0,False
26129,0 days 00:58:03.781000,-712.0,12639.0,158.0,248.1687488,1,0.0,False
26130,0 days 00:58:04.041000,-683.0,12819.0,159.0,253.0437488,1,0.0,False
26131,0 days 00:58:04.181000,-668.0,12917.0,159.0,255.6687488,1,0.0,False
26132,0 days 00:58:04.252000,-660.4372080224828,12966.986282252907,158.9888633919594,257.0,1,0.0,False
26133,0 days 00:58:04.361000,-649.0,13044.0,159.0,258.08999936,1,0.0,False
26134,0 days 00:58:04.452000,-639.7704016556422,13108.57089764991,159.00289089087426,259.0,1,0.0,False
26135,0 days 00:58:04.602000,-625.0,13216.0,159.0,261.0454562909091,1,0.0,False
26136,0 days 00:58:04.802000,-606.0,13362.0,159.0,263.7727290181818,1,0.0,False
26137,0 days 00:58:04.892000,-598.4080587394424,13428.002914104722,159.0002018107767,265.0,1,0.0,False
26138,0 days 00:58:05.002000,-590.0,13509.0,159.0,267.20000256,1,0.3324534570229587,False
26139,0 days 00:58:05.092000,-583.7493704954245,13575.759682478307,158.99916375374036,269.0,1,0.3190588499993827,False
26140,0 days 00:58:05.202000,-577.0,13658.0,159.0,270.65000192,1,0.3029018669950837,False
26141,0 days 00:58:05.292000,-572.3223710975393,13725.842721904179,159.00464152203145,272.0,1,0.2888276616144627,False
26142,0 days 00:58:05.362000,-569.0,13778.0,159.0,272.7332809918856,1,0.2706376282594979,False
26143,0 days 00:58:06.461000,-553.0,14621.0,158.0,284.24576950179636,1,0.21929391186329011,False
26144,0 days 00:58:06.533000,-557.2027514860549,14704.850322688868,158.0237663357069,285.0,1,0.1964133997603279,False
26145,0 days 00:58:06.733000,-571.6835709759603,14942.058018855465,158.08926337376698,287.0,1,0.15984339862305277,False
26146,0 days 00:58:06.801000,-576.0,15000.0,158.0,285.8666666666667,1,0.14425858939637656,False
26147,0 days 00:58:06.973000,-584.5838989089881,15079.936421580562,157.45201672916636,283.0,1,0.12630588195906797,False
26148,0 days 00:58:07.121000,-596.0,15139.0,157.0,280.04,1,0.09468707022429157,False
26149,0 days 00:58:07.173000,-602.185307232275,15170.44109871015,156.9202646547668,279.0,1,0.0690658075839251,False
26150,0 days 00:58:07.453000,-649.2189849329699,15403.457296920313,156.99019598431136,272.0,1,-0.011427733001868454,False
26151,0 days 00:58:07.481000,-654.0,15426.0,157.0,271.02,1,-0.030957497583925797,False
26152,0 days 00:58:07.653000,-682.0567397762298,15552.43187130603,157.0129513428184,265.0,1,-0.09129884196287567,False
26153,0 days 00:58:07.801000,-703.0,15642.0,157.0,255.75,1,-0.1499522242820608,False
26154,0 days 00:58:07.893000,-713.9588522729383,15687.637300638864,156.99746316851127,250.0,1,-0.20609140637758108,False
26155,0 days 00:58:08.081000,-747.0,15827.0,157.0,239.425,1,-0.34848903126001407,False
26156,0 days 00:58:08.181000,-780.0,15970.0,157.0,233.8,1,-0.5682834194716699,True
26157,0 days 00:58:08.213000,-788.347056772802,16006.23919831152,156.99864012527698,232.0,1,-0.6246099788213784,True
26158,0 days 00:58:08.453000,-804.964786713697,16079.442361134705,156.97556167030837,201.0,1,-0.8259264085337948,True
26159,0 days 00:58:08.561000,-809.0,16100.0,157.0,188.77358982698271,1,-0.9579597436341005,True
26160,0 days 00:58:08.612000,-812.6461844028327,16118.02878973914,157.02360814361126,183.0,1,-1.0325463416610319,True
26161,0 days 00:58:08.772000,-829.0919208621895,16198.658355205103,157.04520589095472,165.0,1,-1.3065391054432471,True
26162,0 days 00:58:08.801000,-832.0,16213.0,157.0,163.79166933333335,1,-1.4720983593248964,True
26163,0 days 00:58:09.101000,-857.0,16339.0,156.0,151.29166933333335,1,-1.8331885365755434,True
26164,0 days 00:58:09.132000,-859.1615909684647,16350.28862815568,155.9768729238583,150.0,1,-1.9162748151430757,True
26165,0 days 00:58:09.221000,-865.0,16383.0,156.0,137.2062592,1,-2.1611014542324023,True
26166,0 days 00:58:09.292000,-869.315146028391,16412.937868924848,156.01350869091365,127.0,1,-2.231492029381056,True
26167,0 days 00:58:09.501000,-879.0,16504.0,156.0,118.45000261818181,1,-2.399499798645582,True
26168,0 days 00:58:09.732000,-880.4985029568786,16552.623909309623,155.9695226615816,109.0,1,-2.5078284456351456,True
26169,0 days 00:58:09.861000,-878.0,16576.0,156.0,98.5187552,1,-2.5303054367792117,True
26170,0 days 00:58:09.892000,-877.1164739049192,16582.79929207677,156.01608447179132,96.0,1,-2.588713433233238,True
26171,0 days 00:58:10.041000,-871.0,16619.0,156.0,90.14643108571428,1,-2.647379234328316,True
