,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,3157.152988928942,2130.2749380888627,130.0,80.0,1,0.0,False
26099,0 days 00:57:59.701000,3160.0,2118.0,130.0,80.0,1,0.0,False
26100,0 days 00:57:59.813000,3164.9739371249434,2096.8350244818853,130.00000000000003,80.0,1,0.0,False
26101,0 days 00:57:59.973000,3169.679148435207,2077.3849088796287,130.00000000000003,80.0,1,0.0,False
26102,0 days 00:58:00.061000,3174.0,2059.0,130.0,78.74285714285715,1,0.0,False
26103,0 days 00:58:00.253000,3187.4055421856096,2001.000445707294,130.00000000000003,76.0,1,0.0,False
26104,0 days 00:58:00.281000,3189.0,1994.0,130.0,75.6,1,0.0,False
26105,0 days 00:58:00.533000,3196.1494970073263,1961.229390972127,129.99999999999997,72.0,1,0.0,False
26106,0 days 00:58:00.601000,3198.0,1953.0,130.0,69.62,1,0.0,False
26107,0 days 00:58:00.733000,3202.9628788096925,1931.8067612464633,130.0,65.0,1,0.0,False
26108,0 days 00:58:00.861000,3209.0,1906.0,130.0,62.6,1,0.0,False
26109,0 days 00:58:01.053000,3218.956406127513,1862.0912330422873,130.00000000000003,59.0,1,0.0,False
26110,0 days 00:58:01.101000,3221.0,1853.0,130.0,58.4,1,0.0,False
26111,0 days 00:58:01.213000,3224.580180429812,1837.0265251242902,130.00000000000006,57.0,1,0.0,False
26112,0 days 00:58:01.533000,3231.682974522011,1806.322871806904,130.0,51.0,1,0.0,False
26113,0 days 00:58:01.541000,3232.0,1805.0,130.0,50.885304685808244,1,0.0,False
26114,0 days 00:58:01.781000,3243.0,1759.0,130.0,47.444445260055566,1,0.0,False
26115,0 days 00:58:01.812000,3243.828614036223,1755.308042145027,129.99999999999997,47.0,1,0.0,False
26116,0 days 00:58:02.061000,3246.0,1743.0,130.0,38.4406272,1,0.0,False
26117,0 days 00:58:02.132000,3247.25675477378,1737.1665489040788,130.0,36.0,1,0.0,False
26118,0 days 00:58:02.372000,3253.9171999012688,1708.6645522697077,130.0,29.0,1,0.0,False
26119,0 days 00:58:02.421000,3255.0,1704.0,130.0,27.7750016,1,0.0,False
26120,0 days 00:58:02.572000,3257.2977539736444,1693.8088831603495,130.0,24.0,1,0.0,False
26121,0 days 00:58:02.732000,3258.608674159858,1687.717979974889,130.0,22.0,1,0.0,False
26122,0 days 00:58:02.781000,3259.0,1686.0,130.0,20.680770953846153,1,0.0,False
26123,0 days 00:58:03.241000,3262.0,1674.0,130.0,8.29615556923077,1,0.0,False
26124,0 days 00:58:03.252000,3262.023429378884,1673.88269022355,130.0,8.0,1,0.0,False
26125,0 days 00:58:03.412000,3262.051916149256,1673.1834187362856,130.0,3.0,1,0.0,False
26126,0 days 00:58:03.501000,3262.0,1673.0,130.0,3.0,1,0.0,False
26127,0 days 00:58:03.572000,3261.981716663545,1672.7683957263464,130.0,3.0,1,0.0,False
26128,0 days 00:58:03.772000,3261.9993771630225,1672.017901164938,130.0,0.0,1,0.0,False
26129,0 days 00:58:03.781000,3262.0,1672.0,130.0,0.0,1,0.0,False
26130,0 days 00:58:04.041000,3262.0,1672.0,130.0,0.0,1,0.0,False
26131,0 days 00:58:04.181000,3262.0,1672.0,130.0,0.0,1,0.0,False
26132,0 days 00:58:04.252000,3262.0000494422625,1671.9985861861076,130.0,0.0,1,0.0,False
26133,0 days 00:58:04.361000,3262.0,1672.0,130.0,0.0,1,0.0,False
26134,0 days 00:58:04.452000,3261.9999847061104,1672.0003781645903,130.0,0.0,1,0.0,False
26135,0 days 00:58:04.602000,3262.0,1672.0,130.0,0.0,1,0.0,False
26136,0 days 00:58:04.802000,3262.0,1672.0,130.0,0.0,1,0.0,False
26137,0 days 00:58:04.892000,3261.9999119826343,1672.0004209578267,130.0,0.0,1,0.0,False
26138,0 days 00:58:05.002000,3262.0,1672.0,130.0,0.0,1,-0.00048734739746381653,False
26139,0 days 00:58:05.092000,3262.0005112168724,1671.9975908954164,130.0,0.0,1,-0.0003354441923834311,False
26140,0 days 00:58:05.202000,3262.0,1672.0,130.0,0.0,1,-0.0014764415028217118,False
26141,0 days 00:58:05.292000,3261.997128503528,1672.0135259547433,130.00000000000003,0.0,1,-0.002196849933854253,False
26142,0 days 00:58:05.362000,3262.0,1672.0,130.0,1.353749523481039,1,-0.0028489460884825396,False
26143,0 days 00:58:06.461000,3270.0,1638.0,130.0,22.607574464854768,1,-0.003906704302262791,False
26144,0 days 00:58:06.533000,3272.046308127027,1629.3895073695023,130.0,24.0,1,-0.00751099562825508,False
26145,0 days 00:58:06.733000,3278.3550295634536,1602.882209546282,130.0,27.0,1,-0.014242056525866888,False
26146,0 days 00:58:06.801000,3280.0,1596.0,130.0,30.4,1,-0.019205674706079714,False
26147,0 days 00:58:06.973000,3282.5825165947313,1585.299660855058,130.00000000000003,39.0,1,-0.020830794255056972,False
26148,0 days 00:58:07.121000,3285.0,1575.0,130.0,43.44,1,-0.02691511642826507,False
26149,0 days 00:58:07.173000,3286.2778542634774,1569.452228541219,130.0,45.0,1,-0.03093272281706388,False
26150,0 days 00:58:07.453000,3295.979570185404,1526.5971629516505,130.0,55.0,1,-0.03683425956622096,False
26151,0 days 00:58:07.481000,3297.0,1522.0,130.0,55.84,1,-0.0402550180602841,False
26152,0 days 00:58:07.653000,3303.18126983434,1493.7370047215475,130.0,61.0,1,-0.04130188255167635,False
26153,0 days 00:58:07.801000,3308.0,1472.0,130.0,65.31666666666666,1,-0.04511144641384778,False
26154,0 days 00:58:07.893000,3310.606973712846,1460.7599646504686,130.0,68.0,1,-0.04791563749147616,False
26155,0 days 00:58:08.081000,3321.0,1417.0,130.0,73.875,1,-0.05639381146121276,False
26156,0 days 00:58:08.181000,3333.0,1366.0,130.0,77.0,1,-0.06603210263933712,False
26157,0 days 00:58:08.213000,3336.0694255147873,1352.9363380196194,130.0,78.0,1,-0.06721538826446061,False
26158,0 days 00:58:08.453000,3342.651721091323,1324.548846431875,130.0,80.0,1,-0.07113653789590527,False
26159,0 days 00:58:08.561000,3345.0,1314.0,130.0,80.67924500961207,1,-0.07168550695512375,False
26160,0 days 00:58:08.612000,3346.930777860715,1305.4187106433544,130.00000000000003,81.0,1,-0.07177120279586516,False
26161,0 days 00:58:08.772000,3355.4417278461456,1267.8339614253887,130.0,81.0,1,-0.07169134923923297,False
26162,0 days 00:58:08.801000,3357.0,1261.0,130.0,80.91944462222222,1,-0.06834904011613054,False
26163,0 days 00:58:09.101000,3372.0,1196.0,130.0,80.08611128888889,1,-0.06908900603308031,False
26164,0 days 00:58:09.132000,3373.5366207437105,1189.3714116928968,130.00000000000003,80.0,1,-0.06737141953008464,False
26165,0 days 00:58:09.221000,3378.0,1170.0,130.0,80.0,1,-0.06159259484816602,False
26166,0 days 00:58:09.292000,3381.6561198380164,1153.7744915060887,130.0,80.0,1,-0.06107620689124204,False
26167,0 days 00:58:09.501000,3392.0,1107.0,130.0,80.0,1,-0.059020325225889694,False
26168,0 days 00:58:09.732000,3399.9654345428835,1072.4446451313781,130.00000000000003,80.0,1,-0.05761056681748567,False
26169,0 days 00:58:09.861000,3405.0,1051.0,130.0,80.0,1,-0.05833022046252197,False
26170,0 days 00:58:09.892000,3406.4350549144983,1044.8619748616534,130.00000000000003,80.0,1,-0.05582000328536078,False
26171,0 days 00:58:10.041000,3414.0,1012.0,130.0,80.0,1,-0.05467781236369233,False
26172,0 days 00:58:10.172000,3420.0371141174624,983.972375943044,129.99999999999997,80.0,1,-0.053333410186968064,False
26173,0 days 00:58:10.281000,3425.0,961.0,130.0,80.0,1,-0.050974968624858785,False
26174,0 days 00:58:10.541000,3438.0,905.0,130.0,80.0,1,-0.05220099958795456,False
26175,0 days 00:58:10.572000,3439.577123790728,898.211875386973,130.0,80.0,1,-0.04968006791202907,False
26176,0 days 00:58:10.741000,3448.0,861.0,130.0,79.4718752,1,-0.04925549858531297,False
26177,0 days 00:58:10.892000,3454.830221586827,828.0866061448069,129.99999999999997,79.0,1,-0.048613919862797776,False
26178,0 days 00:58:10.981000,3459.0,809.0,130.0,79.8343744,1,-0.04873211137388586,False
26179,0 days 00:58:11.101000,3465.0,783.0,130.0,80.9593744,1,-0.04996528115630673,False
26180,0 days 00:58:11.212000,3470.0129593095153,754.9660494494325,130.0,82.0,1,-0.0488315522123887,False
26181,0 days 00:58:11.302000,3473.0,736.0,130.0,85.74999466666667,1,-0.04869089774872131,False
26182,0 days 00:58:11.452000,3474.984310560767,722.8545370330419,130.0,92.0,1,-0.04765406360305368,False
26183,0 days 00:58:11.542000,3476.0,716.0,130.0,94.74999608888889,1,-0.04899912197295963,False
26184,0 days 00:58:11.812000,3483.2650049598915,668.7800587803538,130.0,103.0,1,-0.0459769654443493,False
26185,0 days 00:58:12.002000,3490.0,616.0,130.0,110.1250048,1,-0.044499563512803035,False
26186,0 days 00:58:12.132000,3494.7285374005983,571.3327174743123,130.0,115.0,1,-0.03889013300582186,False
26187,0 days 00:58:12.162000,3496.0,559.0,130.0,116.67702645546393,1,-0.04135610811403441,False
26188,0 days 00:58:12.293000,3502.6516611481325,494.5235525929799,130.0,124.0,1,-0.03603113079746274,False
26189,0 days 00:58:12.381000,3507.0,453.0,130.0,128.125,1,-0.03626409367197682,False
26190,0 days 00:58:12.613000,3514.919066273878,381.78536862526045,130.00000000000003,139.0,1,-0.03281618225056443,False
26191,0 days 00:58:12.761000,3520.0,335.0,130.0,147.14,1,-0.03563403563692514,False
26192,0 days 00:58:12.813000,3522.1532397192127,314.25812901200294,130.0,150.0,1,-0.03915357397044643,False
26193,0 days 00:58:12.941000,3528.0,258.0,130.0,156.6909090909091,1,-0.0353111232342525,False
26194,0 days 00:58:13.101000,3536.0,186.0,130.0,165.05454545454546,1,-0.04250930868234802,False
26195,0 days 00:58:13.253000,3547.1315134454712,82.68395412101383,130.0,173.0,1,-0.04019738306833682,False
26196,0 days 00:58:13.413000,3558.575790031319,-25.015449018098007,130.0,178.0,1,-0.03773221270716801,False
26197,0 days 00:58:13.421000,3559.0,-29.0,130.0,178.2,1,-0.06422047453364685,False
26198,0 days 00:58:13.721000,3570.0,-122.0,130.0,185.7,1,-0.06393184974988725,False
26199,0 days 00:58:13.893000,3583.2793308306,-209.82280465499184,130.0,190.0,1,-0.07363988907094003,False
26200,0 days 00:58:13.941000,3588.0,-237.0,130.0,193.9,1,-0.08165610481123033,False
26201,0 days 00:58:14.053000,3600.4898985881655,-300.806381340866,130.00000000000003,203.0,1,-0.09741789015426812,False
26202,0 days 00:58:14.221000,3621.0,-393.0,130.0,206.5,1,-0.14216764317850417,False
26203,0 days 00:58:14.293000,3629.3998519869756,-428.9592772337627,129.99999999999986,208.0,1,-0.17337858031016562,False
26204,0 days 00:58:14.381000,3640.0,-474.0,130.0,210.0,1,-0.21060945264172115,False
26205,0 days 00:58:14.681000,3683.0,-663.0,130.0,216.8181818181818,1,-0.2615470026670413,False
26206,0 days 00:58:14.733000,3690.267701136772,-694.794730023286,129.9999999999961,218.0,1,-0.28922437509022403,False
26207,0 days 00:58:14.881000,3710.0,-781.0,130.0,212.9125,1,-0.3400903996055074,False
26208,0 days 00:58:15.053000,3731.9394907271885,-878.3441169055678,130.00000000001225,207.0,1,-0.41186640636797384,False
26209,0 days 00:58:15.061000,3733.0,-883.0,130.0,206.75,1,-0.43041460358890044,False
26210,0 days 00:58:15.213000,3754.2742702411765,-974.946765193129,129.99999999946718,202.0,1,-0.47896581045579617,False
26211,0 days 00:58:15.341000,3771.0,-1047.0,130.0,202.0,1,-0.5115933135181353,True
26212,0 days 00:58:15.452000,3782.805143397258,-1098.7889396618614,130.00000000209837,202.0,1,-0.5805450603429411,True
