,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,-863.0023887477073,16374.777801504724,156.15146291425734,152.0,1,0.0,False
26099,0 days 00:57:59.701000,-867.0,16397.0,156.0,147.2,1,0.0,False
26100,0 days 00:57:59.813000,-873.4442218341599,16432.963102014648,155.83718012230221,136.0,1,0.0,False
26101,0 days 00:57:59.973000,-876.8628025856353,16458.961213129896,155.95610838130935,127.0,1,0.0,False
26102,0 days 00:58:00.061000,-878.0,16484.0,156.0,121.02857142857142,1,0.0,False
26103,0 days 00:58:00.253000,-879.1781802778426,16565.268467541482,155.99421716039038,108.0,1,0.0,False
26104,0 days 00:58:00.281000,-879.0,16575.0,156.0,106.4,1,0.0,False
26105,0 days 00:58:00.533000,-872.3111246486847,16617.6002010735,156.11518272637272,92.0,1,0.0,False
26106,0 days 00:58:00.601000,-869.0,16627.0,156.0,89.28,1,0.0,False
26107,0 days 00:58:00.733000,-860.7865585241507,16650.76639274351,155.48558318572512,84.0,1,0.0,False
26108,0 days 00:58:00.861000,-846.0,16678.0,155.0,80.8,1,0.0,False
26109,0 days 00:58:01.053000,-806.1332314350536,16719.80255774529,154.93956152138898,76.0,1,0.0,False
26110,0 days 00:58:01.101000,-797.0,16728.0,155.0,74.8,1,0.0,False
26111,0 days 00:58:01.213000,-780.3302752676483,16741.66245254375,155.21849290394076,72.0,1,0.0,False
26112,0 days 00:58:01.533000,-740.7502861089491,16752.783057793746,155.9925456872928,65.0,1,0.0,False
26113,0 days 00:58:01.541000,-739.0,16753.0,156.0,64.88530468580825,1,0.0,False
26114,0 days 00:58:01.781000,-678.0,16759.0,156.0,61.444445260055566,1,0.0,False
26115,0 days 00:58:01.812000,-672.945555601959,16759.321583940506,156.00354466659883,61.0,1,0.0,False
26116,0 days 00:58:02.061000,-653.0,16755.0,156.0,57.8875008,1,0.0,False
26117,0 days 00:58:02.132000,-643.1028427302061,16750.305785092252,155.86858960272218,57.0,1,0.0,False
26118,0 days 00:58:02.372000,-595.1887839820321,16725.25750637856,155.10853368365002,56.0,1,0.0,False
26119,0 days 00:58:02.421000,-587.0,16720.0,155.0,56.24499968,1,0.0,False
26120,0 days 00:58:02.572000,-567.8096111271077,16704.467328213577,154.8300280127627,57.0,1,0.0,False
26121,0 days 00:58:02.732000,-553.0347858555167,16685.596776594346,154.91852781497712,61.0,1,0.0,False
26122,0 days 00:58:02.781000,-548.0,16678.0,155.0,61.942306461538465,1,0.0,False
26123,0 days 00:58:03.241000,-498.0,16587.0,156.0,70.7884603076923,1,0.0,False
26124,0 days 00:58:03.252000,-497.2854154420114,16585.58619878585,155.9768515949469,71.0,1,0.0,False
26125,0 days 00:58:03.412000,-490.3280862280461,16570.96691933565,155.30783424839865,74.0,1,0.0,False
26126,0 days 00:58:03.501000,-486.0,16560.0,155.0,77.3374976,1,0.0,False
