,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,120.49416277940516,814.624344603477,129.06940788913127,210.0,1,0.0,False
26099,0 days 00:57:59.701000,99.0,838.0,129.0,211.8,1,0.0,False
26100,0 days 00:57:59.813000,62.46987166542935,877.2162484861508,129.12649307393187,216.0,1,0.0,False
26101,0 days 00:57:59.973000,26.79207250970824,911.5103864814341,129.78731362832295,219.0,1,0.0,False
26102,0 days 00:58:00.061000,-14.0,947.0,130.0,220.57142857142858,1,0.0,False
26103,0 days 00:58:00.253000,-151.7621967372442,1063.6312660018634,130.0084358351166,224.0,1,0.0,False
26104,0 days 00:58:00.281000,-169.0,1078.0,130.0,225.0,1,0.0,False
26105,0 days 00:58:00.533000,-258.2380757906542,1148.97463186273,130.01643252514765,234.0,1,0.0,False
26106,0 days 00:58:00.601000,-282.0,1167.0,130.0,235.36,1,0.0,False
26107,0 days 00:58:00.733000,-341.43629596087766,1212.1717591174063,129.90906098142491,238.0,1,0.0,False
26108,0 days 00:58:00.861000,-417.0,1274.0,130.0,240.4,1,0.0,False
26109,0 days 00:58:01.053000,-557.5039619810362,1401.3517233418006,130.81375954809863,244.0,1,0.0,False
26110,0 days 00:58:01.101000,-587.0,1429.0,131.0,244.9,1,0.0,False
26111,0 days 00:58:01.213000,-638.4244648695917,1478.3883398565938,131.29158078633782,247.0,1,0.0,False
26112,0 days 00:58:01.533000,-719.9388439777722,1608.4793335571862,131.02725511548968,252.0,1,0.0,False
26113,0 days 00:58:01.541000,-723.0,1615.0,131.0,252.02867382854794,1,0.0,False
26114,0 days 00:58:01.781000,-827.0,1849.0,130.0,252.8888886849861,1,0.0,False
26115,0 days 00:58:01.812000,-835.5213262050684,1868.5788920810767,129.93437862622528,253.0,1,0.0,False
26116,0 days 00:58:02.061000,-865.0,1957.0,130.0,253.7781248,1,0.0,False
26117,0 days 00:58:02.132000,-876.8853488815703,2008.98915973975,130.0531229563182,254.0,1,0.0,False
26118,0 days 00:58:02.372000,-929.9093584557392,2269.347535550149,130.08389585968928,259.0,1,0.0,False
26119,0 days 00:58:02.421000,-937.0,2316.0,130.0,259.48999936,1,0.0,False
26120,0 days 00:58:02.572000,-947.1194664447873,2432.133108723543,129.51135321705294,261.0,1,0.0,False
26121,0 days 00:58:02.732000,-944.9222374237645,2532.417729093415,129.00547137468897,263.0,1,0.0,False
