,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,-912.5294321032131,3368.0210016828955,136.3747640468947,206.0,1,0.0,False
26099,0 days 00:57:59.701000,-912.0,3398.0,137.0,203.0,1,0.0,False
26100,0 days 00:57:59.813000,-911.602795260177,3447.9406382103625,138.02687885564524,196.0,1,0.0,False
26101,0 days 00:57:59.973000,-914.4033957728304,3487.9739714695443,138.6671684365107,166.0,1,0.0,False
26102,0 days 00:58:00.061000,-920.0,3525.0,139.0,163.4857142857143,1,0.0,False
26103,0 days 00:58:00.253000,-941.0614362529234,3642.606547341829,139.85456068209282,158.0,1,0.0,False
26104,0 days 00:58:00.281000,-944.0,3657.0,140.0,158.0,1,0.0,False
26105,0 days 00:58:00.533000,-964.4839829162333,3726.5504075879176,141.5509500413401,158.0,1,0.0,False
26106,0 days 00:58:00.601000,-971.0,3742.0,142.0,148.82,1,0.0,False
26107,0 days 00:58:00.733000,-986.7848551083246,3778.3587037510065,142.87861432637388,131.0,1,0.0,False
26108,0 days 00:58:00.861000,-1010.0,3820.0,144.0,124.2,1,0.0,False
26109,0 days 00:58:01.053000,-1063.0162938970832,3888.140303043897,146.47043890937266,114.0,1,0.0,False
26110,0 days 00:58:01.101000,-1075.0,3902.0,147.0,113.1,1,0.0,False
26111,0 days 00:58:01.213000,-1097.212492821498,3925.9823711885606,147.90857281968033,111.0,1,0.0,False
26112,0 days 00:58:01.533000,-1156.2908039676631,3955.188239536712,148.97004815455833,101.0,1,0.0,False
26113,0 days 00:58:01.541000,-1159.0,3956.0,149.0,100.91397851435619,1,0.0,False
26114,0 days 00:58:01.781000,-1254.0,3981.0,150.0,98.33333394504167,1,0.0,False
26115,0 days 00:58:01.812000,-1261.912152415455,3982.7845882812007,150.1054396796763,98.0,1,0.0,False
26116,0 days 00:58:02.061000,-1298.0,3984.0,151.0,97.2218752,1,0.0,False
26117,0 days 00:58:02.132000,-1319.3283694808754,3982.798168726027,151.51815451146769,97.0,1,0.0,False
26118,0 days 00:58:02.372000,-1420.6960778908353,3977.0082477967885,153.7489759416703,100.0,1,0.0,False
26119,0 days 00:58:02.421000,-1435.0,3976.0,154.0,101.46999808,1,0.0,False
26120,0 days 00:58:02.572000,-1458.1601999009388,3973.56972845891,154.15738384923165,106.0,1,0.0,False
26121,0 days 00:58:02.732000,-1470.4261775317157,3972.1668770300034,153.92324584123222,109.0,1,0.0,False
26122,0 days 00:58:02.781000,-1480.0,3972.0,154.0,111.16730486153847,1,0.0,False
26123,0 days 00:58:03.241000,-1650.0,3976.0,157.0,131.5134587076923,1,0.0,False
