,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,-2128.970564048273,4380.988902601794,163.08028218003705,163.0,1,0.0,False
26099,0 days 00:57:59.701000,-2142.0,4404.0,163.0,165.4,1,0.0,False
26100,0 days 00:57:59.813000,-2163.335504194726,4443.2059557373395,163.3156554331329,171.0,1,0.0,False
26101,0 days 00:57:59.973000,-2178.7429381170164,4481.053497569642,164.59090152740742,179.0,1,0.0,False
26102,0 days 00:58:00.061000,-2192.0,4523.0,165.0,179.94285714285715,1,0.0,False
26103,0 days 00:58:00.253000,-2233.139482182179,4663.414132165433,165.0204559285188,182.0,1,0.0,False
26104,0 days 00:58:00.281000,-2238.0,4681.0,165.0,183.1,1,0.0,False
26105,0 days 00:58:00.533000,-2258.6366306770296,4773.0223056691375,164.96875976456332,193.0,1,0.0,False
26106,0 days 00:58:00.601000,-2263.0,4798.0,165.0,196.4,1,0.0,False
26107,0 days 00:58:00.733000,-2274.0612063580124,4860.751897954419,165.1035958955434,203.0,1,0.0,False
26108,0 days 00:58:00.861000,-2287.0,4943.0,165.0,205.4,1,0.0,False
26109,0 days 00:58:01.053000,-2307.7347791273673,5102.706573571642,164.1495716328278,209.0,1,0.0,False
26110,0 days 00:58:01.101000,-2312.0,5137.0,164.0,211.7,1,0.0,False
26111,0 days 00:58:01.213000,-2319.582688944622,5198.223958516665,163.90489590520286,218.0,1,0.0,False
26112,0 days 00:58:01.533000,-2335.313075081759,5339.446493503537,164.9685731307426,226.0,1,0.0,False
26113,0 days 00:58:01.541000,-2336.0,5346.0,165.0,226.20071679983556,1,0.0,False
26114,0 days 00:58:01.781000,-2360.0,5578.0,166.0,232.22222079490277,1,0.0,False
26115,0 days 00:58:01.812000,-2361.986535909166,5597.448523232511,166.14952614406732,233.0,1,0.0,False
26116,0 days 00:58:02.061000,-2370.0,5683.0,167.0,238.4468736,1,0.0,False
26117,0 days 00:58:02.132000,-2374.154329908221,5730.429769131273,166.75736146483283,240.0,1,0.0,False
26118,0 days 00:58:02.372000,-2394.4809951337547,5966.217351516475,164.49925388304885,247.0,1,0.0,False
26119,0 days 00:58:02.421000,-2398.0,6009.0,164.0,247.97999872,1,0.0,False
26120,0 days 00:58:02.572000,-2406.3862770571855,6117.412919773064,162.52307638883207,251.0,1,0.0,False
26121,0 days 00:58:02.732000,-2412.8802613601674,6214.289761305555,161.25436197545218,252.0,1,0.0,False
26122,0 days 00:58:02.781000,-2415.0,6248.0,161.0,252.84807581538462,1,0.0,False
26123,0 days 00:58:03.241000,-2435.0,6595.0,161.0,260.80961427692307,1,0.0,False
26124,0 days 00:58:03.252000,-2435.3007792559247,6600.395644488425,161.01408477770093,261.0,1,0.0,False
26125,0 days 00:58:03.412000,-2438.414908543893,6658.061350417917,161.2700764028056,263.0,1,0.0,False
26126,0 days 00:58:03.501000,-2440.0,6698.0,162.0,265.781248,1,0.0,False
26127,0 days 00:58:03.572000,-2441.4622159685614,6741.616577800201,163.0541219141192,268.0,1,0.0,False
26128,0 days 00:58:03.772000,-2445.8371426794715,6899.933307308649,166.00895699570341,270.0,1,0.0,False
26129,0 days 00:58:03.781000,-2446.0,6907.0,166.0,270.0562496,1,0.0,False
26130,0 days 00:58:04.041000,-2449.0,7103.0,163.0,271.6812496,1,0.0,False
26131,0 days 00:58:04.181000,-2449.0,7209.0,165.0,272.5562496,1,0.0,False
26132,0 days 00:58:04.252000,-2448.524637012584,7263.273014842627,164.59188499568856,273.0,1,0.0,False
26133,0 days 00:58:04.361000,-2447.0,7347.0,163.0,275.7249984,1,0.0,False
26134,0 days 00:58:04.452000,-2444.778530054381,7416.978127732396,163.0103809860065,278.0,1,0.0,False
26135,0 days 00:58:04.602000,-2440.0,7533.0,164.0,279.70454690909094,1,0.0,False
26136,0 days 00:58:04.802000,-2433.0,7690.0,163.0,281.9772741818182,1,0.0,False
26137,0 days 00:58:04.892000,-2428.4725974371013,7760.6238139822635,163.22587273330254,283.0,1,0.0,False
26138,0 days 00:58:05.002000,-2422.0,7847.0,164.0,284.10000128,1,-0.46421675127028866,False
26139,0 days 00:58:05.092000,-2416.3930042207166,7917.982759963415,164.64155232876658,285.0,1,-0.46849362717057824,False
26140,0 days 00:58:05.202000,-2409.0,8005.0,165.0,286.10000128,1,-0.47073465999635744,False
26141,0 days 00:58:05.292000,-2402.3525445970467,8076.276424971174,164.529888391562,287.0,1,-0.47264701886612076,False
26142,0 days 00:58:05.362000,-2397.0,8131.0,164.0,287.28203115072523,1,-0.4738163103266707,False
26143,0 days 00:58:06.461000,-2265.0,9008.0,164.0,291.70991134684476,1,-0.5214560867796494,True
26144,0 days 00:58:06.533000,-2246.575443081894,9091.872991525112,164.27215411734082,292.0,1,-0.5190862030110195,True
26145,0 days 00:58:06.733000,-2192.5023159166512,9327.977275743775,164.96415985602061,291.0,1,-0.5257099647606898,True
26146,0 days 00:58:06.801000,-2179.0,9386.0,165.0,291.0,1,-0.5223743600493836,True
26147,0 days 00:58:06.973000,-2159.5945744289284,9467.707176770902,164.52714372197462,291.0,1,-0.524776806782775,True
26148,0 days 00:58:07.121000,-2145.0,9528.0,164.0,288.78,1,-0.5128082406333877,True
26149,0 days 00:58:07.173000,-2137.486202313007,9559.406308816551,163.88952361481378,288.0,1,-0.5008827674701778,True
26150,0 days 00:58:07.453000,-2083.870009477202,9786.078804918292,163.93988274369855,270.0,1,-0.5082725234575997,True
26151,0 days 00:58:07.481000,-2079.0,9807.0,164.0,266.36,1,-0.49953059870684136,False
26152,0 days 00:58:07.653000,-2053.3551553070124,9918.995189748555,164.58043281669708,244.0,1,-0.5031340261505032,True
26153,0 days 00:58:07.801000,-2037.0,9994.0,165.0,219.33333333333334,1,-0.5007852923046895,True
26154,0 days 00:58:07.893000,-2029.427095445719,10031.229320640576,165.07216008328504,204.0,1,-0.4827634327344726,False
