,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,203.12418201613988,14312.780328727504,145.98525919306334,248.0,1,0.0,False
26099,0 days 00:57:59.701000,220.0,14274.0,146.0,249.2,1,0.0,False
26100,0 days 00:57:59.813000,252.5726020608012,14199.229639332149,146.07531619999344,252.0,1,0.0,False
26101,0 days 00:57:59.973000,289.9475821969961,14113.612097016892,146.16578962023215,253.0,1,0.0,False
26102,0 days 00:58:00.061000,319.0,14047.0,146.0,254.57142857142858,1,0.0,False
26103,0 days 00:58:00.253000,401.05412463221893,13858.78186528704,145.1279949791957,258.0,1,0.0,False
26104,0 days 00:58:00.281000,411.0,13836.0,145.0,258.5,1,0.0,False
26105,0 days 00:58:00.533000,461.93482911488246,13719.550544699066,144.15022258348827,263.0,1,0.0,False
26106,0 days 00:58:00.601000,475.0,13689.0,144.0,263.68,1,0.0,False
26107,0 days 00:58:00.733000,507.21825143041514,13612.647266684493,143.7945131462483,265.0,1,0.0,False
26108,0 days 00:58:00.861000,549.0,13513.0,143.0,266.6,1,0.0,False
26109,0 days 00:58:01.053000,629.7779132716723,13320.181480122103,139.76588409021878,269.0,1,0.0,False
26110,0 days 00:58:01.101000,647.0,13279.0,139.0,269.6,1,0.0,False
26111,0 days 00:58:01.213000,677.4293197897947,13206.04615541162,137.62228957094365,271.0,1,0.0,False
26112,0 days 00:58:01.533000,741.1360573473497,13047.266852492765,135.09406990987728,274.0,1,0.0,False
26113,0 days 00:58:01.541000,744.0,13040.0,135.0,274.11469531419175,1,0.0,False
26114,0 days 00:58:01.781000,845.0,12783.0,132.0,277.55555473994445,1,0.0,False
26115,0 days 00:58:01.812000,853.4711094809959,12761.444348884663,131.8315069551351,278.0,1,0.0,False
26116,0 days 00:58:02.061000,889.0,12667.0,132.0,279.5562496,1,0.0,False
26117,0 days 00:58:02.132000,907.295346214244,12615.12056529323,131.7966808881541,280.0,1,0.0,False
26118,0 days 00:58:02.372000,996.3937490346341,12358.21659254343,130.21185571838888,282.0,1,0.0,False
26119,0 days 00:58:02.421000,1012.0,12312.0,130.0,282.0,1,0.0,False
26120,0 days 00:58:02.572000,1049.849245457541,12196.114302099693,129.75741826992362,282.0,1,0.0,False
26121,0 days 00:58:02.732000,1080.6419994237071,12094.36057693775,129.94131158330595,284.0,1,0.0,False
26122,0 days 00:58:02.781000,1091.0,12059.0,130.0,284.47115323076923,1,0.0,False
26123,0 days 00:58:03.241000,1193.0,11695.0,130.0,288.89423015384614,1,0.0,False
26124,0 days 00:58:03.252000,1194.5560729770325,11689.309396564153,129.96058738686773,289.0,1,0.0,False
26125,0 days 00:58:03.412000,1211.0111449903113,11628.170159062827,129.17071949210322,289.0,1,0.0,False
26126,0 days 00:58:03.501000,1222.0,11586.0,129.0,289.5562496,1,0.0,False
26127,0 days 00:58:03.572000,1233.8448117263003,11540.14951207449,129.1402821838462,290.0,1,0.0,False
26128,0 days 00:58:03.772000,1276.1454623844977,11374.379664305488,129.99871314699547,291.0,1,0.0,False
26129,0 days 00:58:03.781000,1278.0,11367.0,130.0,291.01874986666667,1,0.0,False
26130,0 days 00:58:04.041000,1328.0,11163.0,129.0,291.56041653333335,1,0.0,False
26131,0 days 00:58:04.181000,1354.0,11053.0,129.0,291.8520832,1,0.0,False
26132,0 days 00:58:04.252000,1367.3730946145731,10996.706243621518,129.0027872101695,292.0,1,0.0,False
26133,0 days 00:58:04.361000,1388.0,10910.0,129.0,293.08999936,1,0.0,False
26134,0 days 00:58:04.452000,1405.0062627214324,10837.807154514243,129.07029985290842,294.0,1,0.0,False
26135,0 days 00:58:04.602000,1433.0,10719.0,129.0,294.6818187636364,1,0.0,False
26136,0 days 00:58:04.802000,1471.0,10560.0,128.0,295.59090967272726,1,0.0,False
26137,0 days 00:58:04.892000,1487.6748244593784,10487.614493753883,127.90582971236287,296.0,1,0.0,False
26138,0 days 00:58:05.002000,1508.0,10399.0,128.0,296.0,1,-0.09397310692053343,False
26139,0 days 00:58:05.092000,1525.0219854932213,10327.05261102342,128.01456858860996,296.0,1,-0.09287752339280228,False
26140,0 days 00:58:05.202000,1546.0,10239.0,128.0,296.55000064,1,-0.09062398101496821,False
26141,0 days 00:58:05.292000,1563.0010974552924,10166.099159387135,128.00638573492324,297.0,1,-0.08869071415656393,False
26142,0 days 00:58:05.362000,1576.0,10110.0,128.0,297.28203115072523,1,-0.09118818500063078,False
26143,0 days 00:58:06.461000,1785.0,9216.0,126.0,301.70991134684476,1,-0.07884216703098597,False
26144,0 days 00:58:06.533000,1805.2185175790137,9128.736443239457,125.97123026799618,302.0,1,-0.08667930685844517,False
26145,0 days 00:58:06.733000,1862.144248380521,8882.342461575872,125.99213369931822,303.0,1,-0.09107834607426346,False
26146,0 days 00:58:06.801000,1876.0,8822.0,126.0,303.0,1,-0.0990024383300667,False
26147,0 days 00:58:06.973000,1894.9733765308044,8738.015495252897,126.00045542895306,303.0,1,-0.09953935315813063,False
26148,0 days 00:58:07.121000,1909.0,8675.0,126.0,303.74,1,-0.10954474520097211,False
26149,0 days 00:58:07.173000,1916.5258670162766,8641.531126594502,126.00377823856341,304.0,1,-0.11206580386829258,False
26150,0 days 00:58:07.453000,1973.9955922948448,8388.212547260748,126.01073134172606,304.0,1,-0.12535366940747117,False
26151,0 days 00:58:07.481000,1980.0,8362.0,126.0,304.0,1,-0.128888208134194,False
26152,0 days 00:58:07.653000,2016.1131255123871,8205.522415540208,125.87652421086518,304.0,1,-0.1306110060180836,False
26153,0 days 00:58:07.801000,2042.0,8093.0,126.0,304.0,1,-0.13882294116148125,False
26154,0 days 00:58:07.893000,2053.987741176123,8039.850327539811,126.3100977602559,304.0,1,-0.137978191129423,False
26155,0 days 00:58:08.081000,2094.0,7865.0,127.0,304.5875,1,-0.14674960938972476,False
26156,0 days 00:58:08.181000,2140.0,7668.0,127.0,304.9,1,-0.15509307713559442,False
26157,0 days 00:58:08.213000,2151.822269059223,7617.623633519182,126.98098368435707,305.0,1,-0.1565516807573742,False
26158,0 days 00:58:08.453000,2178.3854009233005,7508.962632246064,126.79661518915273,305.0,1,-0.15729665407925092,False
26159,0 days 00:58:08.561000,2188.0,7470.0,127.0,305.6792450096121,1,-0.15724212666909343,False
26160,0 days 00:58:08.612000,2195.638736418031,7438.106595647439,127.19129218344685,306.0,1,-0.1564860139166344,False
26161,0 days 00:58:08.772000,2228.8922501509282,7297.723476005744,127.93896659212011,305.0,1,-0.16139738242515742,False
