,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,1224.5854431129342,-1148.4450402944888,129.99701299333273,229.0,1,0.0,False
26099,0 days 00:57:59.701000,1195.0,-1124.0,130.0,226.3,1,0.0,False
26100,0 days 00:57:59.813000,1147.1013539160008,-1084.5683773651247,130.01526093039533,220.0,1,0.0,False
26101,0 days 00:57:59.973000,1112.671819416381,-1055.590532080865,130.0335926858573,204.0,1,0.0,False
26102,0 days 00:58:00.061000,1080.0,-1026.0,130.0,195.82857142857142,1,0.0,False
26103,0 days 00:58:00.253000,974.5536809102921,-927.9287742672516,129.93591005468969,178.0,1,0.0,False
26104,0 days 00:58:00.281000,962.0,-916.0,130.0,176.7,1,0.0,False
26105,0 days 00:58:00.533000,906.4126400747156,-859.806373713014,130.92989032730935,165.0,1,0.0,False
26106,0 days 00:58:00.601000,891.0,-845.0,130.0,161.6,1,0.0,False
26107,0 days 00:58:00.733000,848.1850058196103,-806.1364172364525,125.8819786682853,155.0,1,0.0,False
26108,0 days 00:58:00.861000,812.0,-769.0,130.0,149.0,1,0.0,False
26109,0 days 00:58:01.053000,800.8805239971553,-735.5968255480642,165.6347740501939,140.0,1,0.0,False
26110,0 days 00:58:01.101000,799.0,-728.0,173.0,139.1,1,0.0,False
26111,0 days 00:58:01.213000,790.2137972673539,-708.6843477621063,182.08883105548787,137.0,1,0.0,False
26112,0 days 00:58:01.533000,751.5532919921048,-616.7980186139449,170.20557411233648,132.0,1,0.0,False
26113,0 days 00:58:01.541000,751.0,-613.0,170.0,131.82795702871238,1,0.0,False
26114,0 days 00:58:01.781000,745.0,-486.0,168.0,126.66666789008335,1,0.0,False
26115,0 days 00:58:01.812000,745.166010932232,-475.4484589765845,167.85079852830205,126.0,1,0.0,False
26116,0 days 00:58:02.061000,752.0,-429.0,166.0,126.7781248,1,0.0,False
26117,0 days 00:58:02.132000,755.4711202909009,-404.05416463293915,165.313902161866,127.0,1,0.0,False
26118,0 days 00:58:02.372000,768.6645474242265,-280.65076030039944,162.594691859821,128.0,1,0.0,False
26119,0 days 00:58:02.421000,770.0,-258.0,162.0,129.46999808,1,0.0,False
26120,0 days 00:58:02.572000,770.2212461107149,-199.69946309811007,160.1052815588648,134.0,1,0.0,False
26121,0 days 00:58:02.732000,764.1317199065255,-146.46150870766974,157.82154518595826,138.0,1,0.0,False
26122,0 days 00:58:02.781000,761.0,-128.0,157.0,139.13076775384616,1,0.0,False
26123,0 days 00:58:03.241000,713.0,60.0,148.0,149.74615236923077,1,0.0,False
26124,0 days 00:58:03.252000,711.9767631612448,62.83762123267825,147.83750613750544,150.0,1,0.0,False
26125,0 days 00:58:03.412000,698.3141276162995,92.2282264141899,145.92159899769487,151.0,1,0.0,False
26126,0 days 00:58:03.501000,686.0,112.0,145.0,153.2249984,1,0.0,False
26127,0 days 00:58:03.572000,671.9776975745526,133.60519975572498,144.2704126558753,155.0,1,0.0,False
