,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,-688.1725984601474,1563.905975399086,131.0462905743869,249.0,1,0.0,False
26099,0 days 00:57:59.701000,-712.0,1596.0,131.0,249.0,1,0.0,False
26100,0 days 00:57:59.813000,-747.9508569504111,1646.9578649409223,130.74797280132663,249.0,1,0.0,False
26101,0 days 00:57:59.973000,-767.8779273958007,1692.840262387835,130.17600720010597,249.0,1,0.0,False
26102,0 days 00:58:00.061000,-792.0,1760.0,130.0,249.0,1,0.0,False
26103,0 days 00:58:00.253000,-877.233635997766,2001.1248131538205,129.99332949606023,249.0,1,0.0,False
26104,0 days 00:58:00.281000,-887.0,2030.0,130.0,249.1,1,0.0,False
26105,0 days 00:58:00.533000,-917.5826878426411,2149.585288464359,129.9817875628826,250.0,1,0.0,False
26106,0 days 00:58:00.601000,-921.0,2178.0,130.0,250.0,1,0.0,False
26107,0 days 00:58:00.733000,-930.556866996602,2255.4625876017217,130.09570244696508,250.0,1,0.0,False
26108,0 days 00:58:00.861000,-939.0,2359.0,130.0,250.8,1,0.0,False
26109,0 days 00:58:01.053000,-942.7735275306169,2556.039480291885,129.16441666528283,252.0,1,0.0,False
26110,0 days 00:58:01.101000,-943.0,2598.0,129.0,252.0,1,0.0,False
26111,0 days 00:58:01.213000,-943.1790806842115,2672.3632951845466,128.82598191781346,252.0,1,0.0,False
26112,0 days 00:58:01.533000,-938.3120982684593,2832.717365292355,129.94163367202174,258.0,1,0.0,False
26113,0 days 00:58:01.541000,-938.0,2840.0,130.0,258.0573476570959,1,0.0,False
26114,0 days 00:58:01.781000,-926.0,3097.0,132.0,259.7777773699722,1,0.0,False
26115,0 days 00:58:01.812000,-924.7281581898867,3118.4759532597413,132.1552101444032,260.0,1,0.0,False
26116,0 days 00:58:02.061000,-918.0,3203.0,133.0,231.2093824,1,0.0,False
26117,0 days 00:58:02.132000,-916.5261351674258,3243.363308819733,133.72238901308504,223.0,1,0.0,False
26118,0 days 00:58:02.372000,-914.1398742561913,3437.4432959217506,137.42431496752707,199.0,1,0.0,False
26119,0 days 00:58:02.421000,-915.0,3471.0,138.0,196.30500352,1,0.0,False
26120,0 days 00:58:02.572000,-921.045433523676,3551.0954937678453,139.13418192215872,188.0,1,0.0,False
26121,0 days 00:58:02.732000,-933.1132276741746,3611.9195013361086,139.75314222481802,188.0,1,0.0,False
26122,0 days 00:58:02.781000,-938.0,3631.0,140.0,182.34616123076924,1,0.0,False
26123,0 days 00:58:03.241000,-998.0,3799.0,143.0,129.26923815384615,1,0.0,False
26124,0 days 00:58:03.252000,-999.0659154642063,3801.4003891639527,143.04587875626723,128.0,1,0.0,False
