,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,-395.85221787446034,16023.484403064716,154.1028452150926,150.0,1,0.0,False
26099,0 days 00:57:59.701000,-394.0,15998.0,154.0,153.0,1,0.0,False
26100,0 days 00:57:59.813000,-391.1436694392468,15955.946888541404,154.08557298860435,160.0,1,0.0,False
26101,0 days 00:57:59.973000,-387.9785174044413,15919.979333521538,154.76411060032981,164.0,1,0.0,False
26102,0 days 00:58:00.061000,-382.0,15880.0,155.0,165.25714285714287,1,0.0,False
26103,0 days 00:58:00.253000,-359.09984073728043,15744.912063688624,155.0336697887513,168.0,1,0.0,False
26104,0 days 00:58:00.281000,-356.0,15728.0,155.0,170.0,1,0.0,False
26105,0 days 00:58:00.533000,-335.85145636399983,15640.32541595769,154.32633487754583,188.0,1,0.0,False
26106,0 days 00:58:00.601000,-329.0,15617.0,154.0,190.38,1,0.0,False
26107,0 days 00:58:00.733000,-311.37859118535755,15558.727236103769,153.17041182843113,195.0,1,0.0,False
26108,0 days 00:58:00.861000,-286.0,15483.0,152.0,196.2,1,0.0,False
26109,0 days 00:58:01.053000,-231.0991751937894,15337.229173421772,149.52577874396042,198.0,1,0.0,False
26110,0 days 00:58:01.101000,-219.0,15306.0,149.0,201.9,1,0.0,False
26111,0 days 00:58:01.213000,-197.15237096477412,15250.307032908682,148.10087602955537,211.0,1,0.0,False
26112,0 days 00:58:01.533000,-144.43520381687327,15125.685961886194,147.03207449247856,216.0,1,0.0,False
26113,0 days 00:58:01.541000,-142.0,15120.0,147.0,216.34408594257528,1,0.0,False
26114,0 days 00:58:01.781000,-56.0,14919.0,146.0,226.6666642198333,1,0.0,False
26115,0 days 00:58:01.812000,-48.768701066353096,14901.988991233302,145.9390628828321,228.0,1,0.0,False
26116,0 days 00:58:02.061000,-17.0,14826.0,146.0,228.0,1,0.0,False
26117,0 days 00:58:02.132000,0.25254716749442657,14785.134780474953,146.0199344443104,228.0,1,0.0,False
26118,0 days 00:58:02.372000,86.08529685569937,14583.169528014947,145.9962010613157,228.0,1,0.0,False
26119,0 days 00:58:02.421000,102.0,14546.0,146.0,231.91999488,1,0.0,False
26120,0 days 00:58:02.572000,143.44441916370587,14449.99400512527,146.04596266080242,244.0,1,0.0,False
26121,0 days 00:58:02.732000,181.78969201209745,14362.233448768493,146.04786360728474,247.0,1,0.0,False
26122,0 days 00:58:02.781000,195.0,14332.0,146.0,247.3769225846154,1,0.0,False
