,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,-838.020831853074,16687.59711183155,155.10182143923075,75.0,1,0.0,False
26099,0 days 00:57:59.701000,-832.0,16697.0,155.0,74.4,1,0.0,False
26100,0 days 00:57:59.813000,-821.2236311879786,16712.188725210402,155.09077852773905,73.0,1,0.0,False
26101,0 days 00:57:59.973000,-808.8998892593471,16721.883505964237,155.7755562558083,69.0,1,0.0,False
26102,0 days 00:58:00.061000,-795.0,16729.0,156.0,67.42857142857143,1,0.0,False
26103,0 days 00:58:00.253000,-748.750031570338,16749.712292519613,156.01183681591212,64.0,1,0.0,False
26104,0 days 00:58:00.281000,-743.0,16752.0,156.0,63.7,1,0.0,False
26105,0 days 00:58:00.533000,-713.7095733380237,16758.707047517077,155.97373637052448,61.0,1,0.0,False
26106,0 days 00:58:00.601000,-706.0,16759.0,156.0,60.32,1,0.0,False
26107,0 days 00:58:00.733000,-686.6611358180959,16759.62002419049,156.09727086788826,59.0,1,0.0,False
26108,0 days 00:58:00.861000,-663.0,16757.0,156.0,58.2,1,0.0,False
26109,0 days 00:58:01.053000,-621.6300534452931,16742.648534714863,155.17302216876902,57.0,1,0.0,False
26110,0 days 00:58:01.101000,-613.0,16739.0,155.0,57.0,1,0.0,False
26111,0 days 00:58:01.213000,-597.7955285479122,16731.91839502741,154.77884355560366,57.0,1,0.0,False
26112,0 days 00:58:01.533000,-570.1256399710877,16704.42743089001,154.99680251216282,63.0,1,0.0,False
26113,0 days 00:58:01.541000,-569.0,16703.0,155.0,63.057347657095875,1,0.0,False
26114,0 days 00:58:01.781000,-530.0,16651.0,155.0,64.77777736997221,1,0.0,False
26115,0 days 00:58:01.812000,-526.6943943520372,16646.21451200775,154.99815122131264,65.0,1,0.0,False
26116,0 days 00:58:02.061000,-515.0,16624.0,155.0,72.0031232,1,0.0,False
26117,0 days 00:58:02.132000,-511.24076650456277,16615.786513242565,155.00069534704994,74.0,1,0.0,False
26118,0 days 00:58:02.372000,-493.837737899624,16577.191671642926,155.0001364328786,77.0,1,0.0,False
26119,0 days 00:58:02.421000,-490.0,16568.0,155.0,79.20499712,1,0.0,False
26120,0 days 00:58:02.572000,-477.9363591554407,16537.33008505927,154.99985509131375,86.0,1,0.0,False
26121,0 days 00:58:02.732000,-464.94930491232253,16499.359731840705,154.9999749297735,93.0,1,0.0,False
26122,0 days 00:58:02.781000,-461.0,16486.0,155.0,94.88461292307693,1,0.0,False
26123,0 days 00:58:03.241000,-429.0,16347.0,155.0,112.57692061538461,1,0.0,False
26124,0 days 00:58:03.252000,-428.5739641418573,16344.753637941722,154.99999959373815,113.0,1,0.0,False
26125,0 days 00:58:03.412000,-424.4741890659212,16319.70037207027,155.00000193271913,118.0,1,0.0,False
26126,0 days 00:58:03.501000,-422.0,16301.0,155.0,123.0062464,1,0.0,False
26127,0 days 00:58:03.572000,-419.33563321596125,16280.221758070427,154.99999370243384,127.0,1,0.0,False
26128,0 days 00:58:03.772000,-410.34340836599347,16203.477355609699,154.99999646774253,136.0,1,0.0,False
26129,0 days 00:58:03.781000,-410.0,16200.0,155.0,136.37499733333334,1,0.0,False
26130,0 days 00:58:04.041000,-402.0,16098.0,155.0,147.20833066666665,1,0.0,False
26131,0 days 00:58:04.181000,-397.0,16034.0,155.0,153.041664,1,0.0,False
26132,0 days 00:58:04.252000,-394.4039647904705,16003.803942560913,155.00127205145105,156.0,1,0.0,False
26133,0 days 00:58:04.361000,-390.0,15958.0,155.0,163.62999552,1,0.0,False
26134,0 days 00:58:04.452000,-385.38896658751304,15915.158505284182,154.98918814077956,170.0,1,0.0,False
26135,0 days 00:58:04.602000,-376.0,15841.0,155.0,173.40909381818182,1,0.0,False
26136,0 days 00:58:04.802000,-360.0,15749.0,155.0,177.95454836363638,1,0.0,False
26137,0 days 00:58:04.892000,-350.9760493912366,15705.343624771316,154.62868315998136,180.0,1,0.0,False
26138,0 days 00:58:05.002000,-338.0,15650.0,154.0,186.60000768,1,-0.079190664689388,False
26139,0 days 00:58:05.092000,-325.5012427339055,15604.045333700356,153.5529808313983,192.0,1,-0.06565762172033283,False
26140,0 days 00:58:05.202000,-308.0,15547.0,153.0,194.20000256,1,-0.0480006073864947,False
26141,0 days 00:58:05.292000,-291.94667667689174,15499.558203824072,152.4539166451797,196.0,1,-0.03494967559578005,False
26142,0 days 00:58:05.362000,-279.0,15463.0,152.0,198.14343674551165,1,-0.026345587945854912,False
26143,0 days 00:58:06.461000,-29.0,14856.0,146.0,231.79532623602003,1,-0.010561066293791391,False
26144,0 days 00:58:06.533000,-1.9772433008009878,14792.128673582529,145.9377856426158,234.0,1,-0.01504675081853672,False
26145,0 days 00:58:06.733000,75.01249574030149,14609.869296659066,145.9846040137458,239.0,1,-0.011284616636693067,False
26146,0 days 00:58:06.801000,94.0,14565.0,146.0,239.56666666666666,1,-0.012581765946715269,False
26147,0 days 00:58:06.973000,120.82081839641548,14502.004999643266,145.9904102021406,241.0,1,-0.00834917672540723,False
26148,0 days 00:58:07.121000,142.0,14453.0,146.0,246.18,1,-0.006209338756145293,False
26149,0 days 00:58:07.173000,153.3355663123787,14426.787854609976,146.02141865666175,248.0,1,0.003954160567938777,False
26150,0 days 00:58:07.453000,238.48858565345736,14230.466499917577,146.05512263987137,251.0,1,-0.007970606684746305,False
26151,0 days 00:58:07.481000,247.0,14211.0,146.0,251.7,1,-0.006339767070143833,False
26152,0 days 00:58:07.653000,296.23611983588654,14099.22590772069,145.36276175073567,256.0,1,-0.007851258368463987,False
26153,0 days 00:58:07.801000,333.0,14016.0,145.0,258.46666666666664,1,-0.015307576429702605,False
26154,0 days 00:58:07.893000,352.6671987267645,13971.204350870801,145.1048211907877,260.0,1,-0.013549094181658033,False
26155,0 days 00:58:08.081000,417.0,13823.0,145.0,262.9375,1,-0.025463732844980887,False
26156,0 days 00:58:08.181000,484.0,13668.0,144.0,264.5,1,-0.0362799317271128,False
26157,0 days 00:58:08.213000,501.1024173572918,13628.296297509662,143.75348692553817,265.0,1,-0.038391334832196256,False
26158,0 days 00:58:08.453000,538.8906539918688,13537.580369660387,143.5301477766593,268.0,1,-0.04343647059452389,False
26159,0 days 00:58:08.561000,553.0,13503.0,143.0,269.3584900192241,1,-0.04671312709003421,False
26160,0 days 00:58:08.612000,564.3427012308082,13475.836059259966,142.50971828717897,270.0,1,-0.04816416566769266,False
26161,0 days 00:58:08.772000,613.9161605297419,13357.836343745705,140.3460887537221,273.0,1,-0.05547190675682394,False
26162,0 days 00:58:08.801000,623.0,13336.0,140.0,273.40277688888887,1,-0.058224276482996135,False
26163,0 days 00:58:09.101000,710.0,13123.0,137.0,277.56944355555555,1,-0.07325070067130422,False
26164,0 days 00:58:09.132000,718.654401929809,13101.794950476353,136.51399351016158,278.0,1,-0.07501871085004135,False
26165,0 days 00:58:09.221000,745.0,13037.0,135.0,278.5562496,1,-0.08118885271873655,False
26166,0 days 00:58:09.292000,770.81366582247,12972.526467150674,133.9835831469289,279.0,1,-0.08527730530102426,False
26167,0 days 00:58:09.501000,854.0,12761.0,132.0,281.3749992727273,1,-0.09537105756616493,False
26168,0 days 00:58:09.732000,899.7549060809231,12638.089967498134,131.1045350744004,284.0,1,-0.10441433851265419,False
26169,0 days 00:58:09.861000,924.0,12569.0,131.0,284.8062496,1,-0.10592774315208427,False
26170,0 days 00:58:09.892000,931.2624378597353,12548.288578755737,131.00430288789363,285.0,1,-0.11453616264304013,False
26171,0 days 00:58:10.041000,971.0,12434.0,131.0,286.06428525714284,1,-0.12151245517331646,False
26172,0 days 00:58:10.172000,1004.3850659040666,12334.146418980252,130.45351134373593,287.0,1,-0.12479070622284598,False
26173,0 days 00:58:10.281000,1031.0,12252.0,130.0,288.08999936,1,-0.12848681664300518,False
26174,0 days 00:58:10.541000,1093.0,12052.0,130.0,290.68999936,1,-0.13086816071771842,False
