,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26098,0 days 00:57:59.653000,619.2082630701198,210.41901712121788,141.71341533899087,163.0,1,0.0,False
26099,0 days 00:57:59.701000,604.0,232.0,141.0,163.9,1,0.0,False
26100,0 days 00:57:59.813000,577.9381851640286,267.73120394026654,139.14395602889127,166.0,1,0.0,False
26101,0 days 00:57:59.973000,552.5747366095082,298.4137167130996,136.267815777702,174.0,1,0.0,False
26102,0 days 00:58:00.061000,525.0,332.0,135.0,177.45714285714286,1,0.0,False
26103,0 days 00:58:00.253000,433.40966159876626,444.88605017749836,133.16880465005286,185.0,1,0.0,False
26104,0 days 00:58:00.281000,422.0,459.0,133.0,186.0,1,0.0,False
26105,0 days 00:58:00.533000,363.41921296364836,531.8847526526203,132.30242151010583,195.0,1,0.0,False
26106,0 days 00:58:00.601000,348.0,551.0,132.0,195.0,1,0.0,False
26107,0 days 00:58:00.733000,309.4924317893841,598.4897850800647,131.02286064437524,195.0,1,0.0,False
26108,0 days 00:58:00.861000,257.0,661.0,130.0,201.8,1,0.0,False
26109,0 days 00:58:01.053000,149.28482632882594,783.7854940614299,129.08900116695733,212.0,1,0.0,False
26110,0 days 00:58:01.101000,126.0,810.0,129.0,212.9,1,0.0,False
26111,0 days 00:58:01.213000,84.65313181337206,856.1974534845389,129.0257976981574,215.0,1,0.0,False
26112,0 days 00:58:01.533000,-16.087275209445053,949.8476029206964,129.98903579350377,225.0,1,0.0,False
26113,0 days 00:58:01.541000,-21.0,954.0,130.0,225.1433691427397,1,0.0,False
26114,0 days 00:58:01.781000,-197.0,1100.0,130.0,229.44444342493054,1,0.0,False
26115,0 days 00:58:01.812000,-211.91568451662673,1112.1750843166665,129.98574164959186,230.0,1,0.0,False
26116,0 days 00:58:02.061000,-279.0,1165.0,130.0,231.5562496,1,0.0,False
26117,0 days 00:58:02.132000,-315.7891087589439,1194.2929846105283,130.13650222862736,232.0,1,0.0,False
