,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26616,0 days 00:59:03.052000,-3021.0,6357.0,170.0,152.33333333333334,1,0.0,False
26617,0 days 00:59:03.132000,-3017.9457402066496,6389.898243958078,169.172529451877,155.0,1,0.0,False
26618,0 days 00:59:03.152000,-3017.0,6398.0,169.0,155.4374944,1,0.0,False
26619,0 days 00:59:03.392000,-3001.0,6493.0,169.0,160.6874944,1,0.0,False
26620,0 days 00:59:03.452000,-2994.8020627391106,6518.09322672816,168.9257902846545,162.0,1,0.0,False
26621,0 days 00:59:03.652000,-2967.0,6605.0,168.0,166.375,1,0.0,False
26622,0 days 00:59:03.772000,-2945.1469941721825,6656.051800936683,167.24980848557422,169.0,1,0.0,False
26623,0 days 00:59:03.812000,-2937.0,6673.0,167.0,170.16666666666666,1,0.0,False
26624,0 days 00:59:03.992000,-2895.0,6749.0,166.0,175.4166592,1,0.0,False
26625,0 days 00:59:04.012000,-2889.796462557013,6757.286905573477,165.9114068497215,176.0,1,0.0,False
26626,0 days 00:59:04.252000,-2818.702484044037,6853.312313008507,165.08379924156395,182.0,1,0.0,False
26627,0 days 00:59:04.272000,-2812.0,6861.0,165.0,182.39999488,1,0.0,False
26628,0 days 00:59:04.452000,-2746.6361397170526,6927.593802970602,164.13107209692524,186.0,1,0.0,False
26629,0 days 00:59:04.512000,-2724.0,6948.0,164.0,187.74999253333334,1,0.0,False
26630,0 days 00:59:04.672000,-2657.0,7000.0,164.0,192.4166592,1,0.0,False
26631,0 days 00:59:04.692000,-2645.8534626520395,7007.273893726451,163.92442382828995,193.0,1,0.0,False
26632,0 days 00:59:04.932000,-2486.0,7097.0,162.0,199.0,1,0.0,False
26633,0 days 00:59:05.052000,-2441.4151387261454,7117.09245433503,161.857267229981,202.0,1,0.0,False
26634,0 days 00:59:05.192000,-2401.0,7130.0,162.0,205.4999936,1,0.0,False
26635,0 days 00:59:05.252000,-2376.592483081352,7137.968038225728,161.90373689392413,207.0,1,0.0,False
26636,0 days 00:59:05.452000,-2257.0,7169.0,161.0,213.66666666666666,1,0.0,False
26637,0 days 00:59:05.492000,-2223.676898648689,7173.995774421234,160.7464364433173,215.0,1,0.0,False
26638,0 days 00:59:05.752000,-1972.0,7190.0,159.0,218.71428205714287,1,0.0,False
26639,0 days 00:59:05.772000,-1956.1929416537196,7189.548709666968,158.91872763759207,219.0,1,0.0,False
26640,0 days 00:59:05.972000,-1828.0,7173.0,158.0,224.625,1,0.0,False
26641,0 days 00:59:06.052000,-1779.0,7163.0,157.0,226.875,1,0.0,False
26642,0 days 00:59:06.092000,-1755.598339210501,7157.8452404758655,156.64173555306934,228.0,1,0.0,False
26643,0 days 00:59:06.272000,-1646.0,7126.0,156.0,230.99999573333332,1,0.0,False
26644,0 days 00:59:06.332000,-1597.0116215012367,7106.601855589043,155.60771530295207,232.0,1,0.0,False
26645,0 days 00:59:06.512000,-1438.0,7035.0,154.0,235.50974618905647,1,0.0,False
26646,0 days 00:59:06.691000,-1348.3769380259619,6988.1368662483455,152.89279600076986,239.0,1,0.0,False
26647,0 days 00:59:06.891000,-1290.3969691797136,6944.159400264657,152.13777009707775,239.0,1,0.0,False
26648,0 days 00:59:06.932000,-1274.0,6931.0,152.0,240.0250048,1,0.0,False
26649,0 days 00:59:07.211000,-1133.4802102576284,6812.438881766192,151.0052685274072,247.0,1,0.0,False
26650,0 days 00:59:07.212000,-1133.0,6812.0,151.0,247.0062512,1,0.0,False
26651,0 days 00:59:07.371000,-1059.8225896877334,6739.20006611951,150.077640093985,248.0,1,0.0,False
26652,0 days 00:59:07.392000,-1049.0,6727.0,150.0,248.20999936,1,0.0,False
26653,0 days 00:59:07.571000,-943.380551994212,6596.014755360587,149.95271730190638,250.0,1,0.0,False
26654,0 days 00:59:07.612000,-922.0,6568.0,150.0,251.0250048,1,0.0,False
26655,0 days 00:59:07.731000,-873.040843354112,6501.0686047807,150.14783522548873,254.0,1,0.0,False
26656,0 days 00:59:07.971000,-810.3402615112287,6403.400078788534,150.14034059934704,256.0,1,-1.03018245789691,True
26657,0 days 00:59:08.012000,-798.0,6384.0,150.0,256.5125024,1,-1.0066949623653214,True
26658,0 days 00:59:08.212000,-723.0,6266.0,149.0,259.0125024,1,-0.9519999801258032,True
26659,0 days 00:59:08.371000,-634.6321424194168,6123.260415254591,148.98252845448084,261.0,1,-0.8539853308759213,True
26660,0 days 00:59:08.412000,-611.0,6085.0,149.0,261.8159234395159,1,-0.8291791954660508,True
26661,0 days 00:59:08.572000,-522.7770329177947,5942.550759116817,148.90233610064715,265.0,1,-0.7439932442942434,True
26662,0 days 00:59:09.452000,-173.45130673853942,5386.768154313108,145.34838478291095,276.0,1,-0.5790550077728811,True
26663,0 days 00:59:09.592000,-148.0,5347.0,145.0,277.49999725714287,1,-0.5646257247572287,True
26664,0 days 00:59:09.732000,-131.69825360076553,5321.882969113615,144.77908737764838,279.0,1,-0.5317307605999453,True
