,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26616,0 days 00:59:03.052000,-605.0,4161.0,142.0,257.3333333333333,1,0.0,False
26617,0 days 00:59:03.132000,-634.0537056648311,4209.357177529572,141.9828155316593,258.0,1,0.0,False
26618,0 days 00:59:03.152000,-641.0,4221.0,142.0,258.1249984,1,0.0,False
26619,0 days 00:59:03.392000,-722.0,4361.0,142.0,259.6249984,1,0.0,False
26620,0 days 00:59:03.452000,-750.6235788670868,4410.70407942062,141.99453498717594,260.0,1,0.0,False
26621,0 days 00:59:03.652000,-855.0,4592.0,142.0,261.875,1,0.0,False
26622,0 days 00:59:03.772000,-893.3167041988646,4659.5870012671785,142.00017170604966,263.0,1,0.0,False
26623,0 days 00:59:03.812000,-907.0,4684.0,142.0,263.3333333333333,1,0.0,False
26624,0 days 00:59:03.992000,-985.0,4824.0,142.0,264.8333312,1,0.0,False
26625,0 days 00:59:04.012000,-993.0935566842509,4838.550118034996,142.00001209614217,265.0,1,0.0,False
26626,0 days 00:59:04.252000,-1074.258947139417,4984.793553842353,142.00000181691297,268.0,1,0.0,False
26627,0 days 00:59:04.272000,-1081.0,4997.0,142.0,268.09999872,1,0.0,False
26628,0 days 00:59:04.452000,-1144.3056066606473,5112.072793561896,142.0000054936007,269.0,1,0.0,False
26629,0 days 00:59:04.512000,-1164.0,5148.0,142.0,268.75000106666664,1,0.0,False
26630,0 days 00:59:04.672000,-1215.0,5241.0,142.0,268.0833344,1,0.0,False
26631,0 days 00:59:04.692000,-1223.0504575128257,5255.565404315282,142.00002015467703,268.0,1,0.0,False
26632,0 days 00:59:04.932000,-1334.0,5455.0,142.0,234.66666666666666,1,0.0,False
26633,0 days 00:59:05.052000,-1359.4598418822784,5500.749779486495,141.9987063083099,218.0,1,0.0,False
26634,0 days 00:59:05.192000,-1377.0,5532.0,142.0,199.80003328,1,0.0,False
26635,0 days 00:59:05.252000,-1388.49102653198,5552.297612434947,142.003029734778,192.0,1,0.0,False
26636,0 days 00:59:05.452000,-1437.0,5637.0,142.0,172.83333333333334,1,0.0,False
26637,0 days 00:59:05.492000,-1446.2277386710846,5652.76233819171,141.98919213456898,169.0,1,0.0,False
26638,0 days 00:59:05.752000,-1501.0,5742.0,142.0,145.78573714285713,1,0.0,False
26639,0 days 00:59:05.772000,-1505.1186868617472,5748.270624598124,142.03043206741114,144.0,1,0.0,False
26640,0 days 00:59:05.972000,-1546.0,5808.0,143.0,135.875,1,0.0,False
26641,0 days 00:59:06.052000,-1562.0,5831.0,144.0,132.625,1,0.0,False
26642,0 days 00:59:06.092000,-1570.0261987630886,5841.719003801613,144.3551972659481,131.0,1,0.0,False
