,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26616,0 days 00:59:03.052000,-2372.0,5694.0,169.0,115.11111111111111,1,0.0,False
26617,0 days 00:59:03.132000,-2393.970628553149,5688.169463423305,169.77998011039867,114.0,1,0.0,False
26618,0 days 00:59:03.152000,-2401.0,5687.0,170.0,113.7500032,1,0.0,False
26619,0 days 00:59:03.392000,-2530.0,5682.0,173.0,110.7500032,1,0.0,False
26620,0 days 00:59:03.452000,-2554.4056023821595,5683.816536240061,173.45525670315146,110.0,1,0.0,False
26621,0 days 00:59:03.652000,-2608.0,5697.0,174.0,107.5,1,0.0,False
26622,0 days 00:59:03.772000,-2641.0570375644415,5707.211321331461,174.00755924538294,106.0,1,0.0,False
26623,0 days 00:59:03.812000,-2652.0,5711.0,174.0,106.33333333333333,1,0.0,False
26624,0 days 00:59:03.992000,-2699.0,5731.0,174.0,107.8333312,1,0.0,False
26625,0 days 00:59:04.012000,-2704.136141621707,5733.620221371657,173.99812046600542,108.0,1,0.0,False
26626,0 days 00:59:04.252000,-2765.035551882356,5771.413198339657,173.98603768662363,110.0,1,0.0,False
26627,0 days 00:59:04.272000,-2770.0,5775.0,174.0,110.0,1,0.0,False
26628,0 days 00:59:04.452000,-2813.5209550062036,5809.83288599029,174.16620175853515,110.0,1,0.0,False
26629,0 days 00:59:04.512000,-2827.0,5822.0,174.0,112.49998933333333,1,0.0,False
26630,0 days 00:59:04.672000,-2862.0,5859.0,173.0,119.166656,1,0.0,False
26631,0 days 00:59:04.692000,-2867.0760722512464,5865.385553239344,172.92762763602266,120.0,1,0.0,False
26632,0 days 00:59:04.932000,-2932.0,5959.0,173.0,125.33333333333333,1,0.0,False
26633,0 days 00:59:05.052000,-2947.2198797393944,5984.598180358407,172.6641085777599,128.0,1,0.0,False
26634,0 days 00:59:05.192000,-2958.0,6010.0,172.0,131.4999936,1,0.0,False
26635,0 days 00:59:05.252000,-2964.6887554409113,6026.976932032337,171.71868404462512,133.0,1,0.0,False
26636,0 days 00:59:05.452000,-2991.0,6101.0,171.0,139.66666666666666,1,0.0,False
26637,0 days 00:59:05.492000,-2995.3516874038282,6116.036226504528,170.96244240145586,141.0,1,0.0,False
26638,0 days 00:59:05.752000,-3015.0,6214.0,171.0,149.35713462857143,1,0.0,False
26639,0 days 00:59:05.772000,-3016.0476601758,6221.914668750114,170.9313331240749,150.0,1,0.0,False
26640,0 days 00:59:05.972000,-3022.0,6305.0,170.0,155.0,1,0.0,False
26641,0 days 00:59:06.052000,-3021.0,6340.0,170.0,157.0,1,0.0,False
26642,0 days 00:59:06.092000,-3020.321406251165,6357.103381689766,169.92733848257657,158.0,1,0.0,False
26643,0 days 00:59:06.272000,-3012.0,6440.0,169.0,161.74999466666668,1,0.0,False
26644,0 days 00:59:06.332000,-3003.915925060751,6477.127160300165,168.70070604824406,163.0,1,0.0,False
26645,0 days 00:59:06.512000,-2970.0,6598.0,168.0,170.52088469083526,1,0.0,False
26646,0 days 00:59:06.691000,-2944.4038374956913,6668.823337446423,167.6894553204249,178.0,1,0.0,False
26647,0 days 00:59:06.891000,-2914.227857080045,6718.967578384777,167.22968098347272,185.0,1,0.0,False
26648,0 days 00:59:06.932000,-2905.0,6733.0,167.0,186.281256,1,0.0,False
26649,0 days 00:59:07.211000,-2818.3509010186026,6853.574544463865,165.0021577896962,195.0,1,0.0,False
26650,0 days 00:59:07.212000,-2818.0,6854.0,165.0,195.0375072,1,0.0,False
26651,0 days 00:59:07.371000,-2756.4767263732483,6919.65626463045,165.06499934993442,201.0,1,0.0,False
26652,0 days 00:59:07.392000,-2746.0,6929.0,165.0,201.41999872,1,0.0,False
26653,0 days 00:59:07.571000,-2633.918714353757,7015.351982449394,163.3528363316962,205.0,1,0.0,False
26654,0 days 00:59:07.612000,-2610.0,7032.0,163.0,205.7687536,1,0.0,False
26655,0 days 00:59:07.731000,-2552.9617797737187,7068.124309110154,162.37498668119323,208.0,1,0.0,False
26656,0 days 00:59:07.971000,-2465.9163023754036,7105.744941951308,162.12715674226087,215.0,1,-2.3927379203562604,True
26657,0 days 00:59:08.012000,-2447.0,7113.0,162.0,215.82000384,1,-2.3744466774737836,True
26658,0 days 00:59:08.212000,-2327.0,7153.0,161.0,219.82000384,1,-2.314623218373945,True
26659,0 days 00:59:08.371000,-2182.3903653371945,7180.031945525203,160.2032860333953,223.0,1,-2.175718464015808,True
26660,0 days 00:59:08.412000,-2144.0,7185.0,160.0,223.61194257963695,1,-2.1444083376490974,True
26661,0 days 00:59:08.572000,-2002.9151419842135,7194.508427692681,159.19232933599397,226.0,1,-2.0584605303450494,True
26662,0 days 00:59:09.452000,-1464.7868116547324,7044.553882459969,154.6288412055863,241.0,1,-1.8046122295890754,True
26663,0 days 00:59:09.592000,-1412.0,7021.0,154.0,242.99999634285714,1,-1.7773125030042853,True
26664,0 days 00:59:09.732000,-1367.8004930918987,7000.674627354726,153.40929190088983,245.0,1,-1.7337957470948315,True
26665,0 days 00:59:09.932000,-1289.9842734546235,6948.991991906487,152.50040778029708,248.0,1,-1.692001223093202,True
26666,0 days 00:59:10.012000,-1228.0,6896.0,152.0,249.0,1,-1.6191943489563763,True
26667,0 days 00:59:10.092000,-1146.7009017716427,6822.906406796127,151.41442770093377,250.0,1,-1.5681954173639387,True
26668,0 days 00:59:10.152000,-1086.0,6766.0,151.0,250.7499968,1,-1.5054892532780018,True
26669,0 days 00:59:10.412000,-926.7229855381071,6585.455750016881,150.0784593455335,254.0,1,-1.391517759608388,True
26670,0 days 00:59:10.652000,-867.0,6490.0,150.0,257.0,1,-1.315766399155235,True
26671,0 days 00:59:10.732000,-853.3712568512282,6468.605971639063,150.04179472433844,258.0,1,-1.3005450442497115,True
26672,0 days 00:59:10.912000,-820.0,6417.0,150.0,260.2499968,1,-1.2232248535785364,True
26673,0 days 00:59:11.052000,-769.1328905924335,6338.084789131145,149.4296881287355,262.0,1,-1.1707489107779447,True
26674,0 days 00:59:11.172000,-719.0,6259.0,149.0,263.2,1,-1.1206072333336976,True
26675,0 days 00:59:11.252000,-687.5627710345143,6208.1594794410985,148.9467321732856,264.0,1,-1.0890673799083728,True
26676,0 days 00:59:11.332000,-658.0,6160.0,149.0,265.5,1,-1.0345452956080894,True
26677,0 days 00:59:11.412000,-630.5983863505188,6115.696465038351,149.07978639295126,267.0,1,-1.0090149046571677,True
26678,0 days 00:59:11.692000,-518.0,5936.0,149.0,270.5,1,-0.8981233314524785,True
26679,0 days 00:59:11.812000,-434.46012303304525,5802.598695232517,148.3233295107244,272.0,1,-0.8478077033498047,True
26680,0 days 00:59:11.872000,-399.0,5746.0,148.0,272.6428544,1,-0.7987369033186401,True
26681,0 days 00:59:12.092000,-349.19412875278465,5666.937194683486,147.4278949657599,275.0,1,-0.7619865286764038,True
26682,0 days 00:59:12.192000,-319.0,5619.0,147.0,276.2499968,1,-0.7421475031331556,True
26683,0 days 00:59:12.332000,-236.4931970739127,5487.62217896388,145.9062238586466,278.0,1,-0.6781306046896889,True
26684,0 days 00:59:12.452000,-165.0,5374.0,145.0,278.42857142857144,1,-0.638021199962778,True
26685,0 days 00:59:12.612000,-114.35107630771259,5294.458940935917,144.45067411476728,279.0,1,-0.5805164855655,True
