,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26616,0 days 00:59:03.052000,-189.0,1278.0,142.0,123.55555555555556,1,0.0,False
26617,0 days 00:59:03.132000,-163.30480732775226,1270.6047467106055,141.99166019508382,122.0,1,0.0,False
26618,0 days 00:59:03.152000,-157.0,1269.0,142.0,121.5000064,1,0.0,False
26619,0 days 00:59:03.392000,-85.0,1258.0,142.0,115.5000064,1,0.0,False
26620,0 days 00:59:03.452000,-66.25367306707432,1257.4784304067578,141.99734777029826,114.0,1,0.0,False
26621,0 days 00:59:03.652000,-4.0,1261.0,142.0,111.5,1,0.0,False
26622,0 days 00:59:03.772000,27.989187543683,1265.7254016647637,142.00008333975103,110.0,1,0.0,False
26623,0 days 00:59:03.812000,39.0,1268.0,142.0,109.83333333333333,1,0.0,False
26624,0 days 00:59:03.992000,93.0,1283.0,142.0,109.0833344,1,0.0,False
26625,0 days 00:59:04.012000,98.82965313262238,1284.9978621233151,142.0000059193813,109.0,1,0.0,False
26626,0 days 00:59:04.252000,163.7350912989726,1314.0084398559507,142.00000116341346,111.0,1,0.0,False
26627,0 days 00:59:04.272000,169.0,1317.0,142.0,111.19999744,1,0.0,False
26628,0 days 00:59:04.452000,215.74143155939962,1347.7111706007695,141.999999338857,113.0,1,0.0,False
26629,0 days 00:59:04.512000,230.0,1358.0,142.0,114.74999253333333,1,0.0,False
26630,0 days 00:59:04.672000,267.0,1388.0,142.0,119.4166592,1,0.0,False
26631,0 days 00:59:04.692000,272.77376505194786,1393.5340537036107,141.99999997279497,120.0,1,0.0,False
26632,0 days 00:59:04.932000,352.0,1479.0,142.0,124.66666666666667,1,0.0,False
26633,0 days 00:59:05.052000,371.2852973302637,1502.2481733893223,142.0000000109178,127.0,1,0.0,False
26634,0 days 00:59:05.192000,386.0,1524.0,142.0,131.89999104,1,0.0,False
26635,0 days 00:59:05.252000,395.3297428585939,1538.1989462261517,141.99999999817294,134.0,1,0.0,False
26636,0 days 00:59:05.452000,434.0,1601.0,142.0,134.0,1,0.0,False
26637,0 days 00:59:05.492000,441.2791723691146,1614.5113007741024,142.00000000028072,134.0,1,0.0,False
26638,0 days 00:59:05.752000,483.0,1708.0,142.0,151.64283977142858,1,0.0,False
26639,0 days 00:59:05.772000,485.9141757300884,1715.6927376470094,141.99999999993878,153.0,1,0.0,False
26640,0 days 00:59:05.972000,512.0,1796.0,142.0,159.25,1,0.0,False
26641,0 days 00:59:06.052000,520.0,1829.0,142.0,161.75,1,0.0,False
26642,0 days 00:59:06.092000,523.847342011758,1845.637190654343,141.99999999743412,163.0,1,0.0,False
26643,0 days 00:59:06.272000,538.0,1930.0,142.0,168.99999146666667,1,0.0,False
26644,0 days 00:59:06.332000,539.7224956137867,1967.3645374256894,142.00000003362916,171.0,1,0.0,False
