,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26616,0 days 00:59:03.052000,2585.0,-944.0,158.0,168.66666666666666,1,0.0,False
26617,0 days 00:59:03.132000,2548.048349380049,-951.1654883465972,157.98863486268513,172.0,1,0.0,False
26618,0 days 00:59:03.152000,2539.0,-953.0,158.0,172.8124896,1,0.0,False
26619,0 days 00:59:03.392000,2436.0,-975.0,158.0,182.5624896,1,0.0,False
26620,0 days 00:59:03.452000,2408.0442614126587,-981.015808600361,157.81559491389157,185.0,1,0.0,False
26621,0 days 00:59:03.652000,2308.0,-1002.0,157.0,191.875,1,0.0,False
26622,0 days 00:59:03.772000,2247.41964376115,-1013.908396167403,156.98468153439316,196.0,1,0.0,False
26623,0 days 00:59:03.812000,2227.0,-1018.0,157.0,197.5,1,0.0,False
26624,0 days 00:59:03.992000,2133.0,-1038.0,157.0,204.2499904,1,0.0,False
26625,0 days 00:59:04.012000,2122.3572049371405,-1040.3685361079815,157.00538851033744,205.0,1,0.0,False
26626,0 days 00:59:04.252000,1991.2760541732396,-1070.4567175360985,157.03749066247036,209.0,1,0.0,False
26627,0 days 00:59:04.272000,1980.0,-1073.0,157.0,209.89998848,1,0.0,False
26628,0 days 00:59:04.452000,1876.58766982881,-1095.728054759789,156.30450609386753,218.0,1,0.0,False
26629,0 days 00:59:04.512000,1843.0,-1103.0,156.0,219.24999466666668,1,0.0,False
26630,0 days 00:59:04.672000,1750.0,-1123.0,155.0,222.583328,1,0.0,False
26631,0 days 00:59:04.692000,1735.352575174331,-1126.1305567804068,154.8183022697855,223.0,1,0.0,False
26632,0 days 00:59:04.932000,1534.0,-1169.0,152.0,229.66666666666666,1,0.0,False
26633,0 days 00:59:05.052000,1481.9675554480577,-1180.102750107658,151.03307028730111,233.0,1,0.0,False
26634,0 days 00:59:05.192000,1435.0,-1190.0,150.0,236.4999936,1,0.0,False
26635,0 days 00:59:05.252000,1404.080836791932,-1196.4288542231482,149.4167871250516,238.0,1,0.0,False
26636,0 days 00:59:05.452000,1271.0,-1224.0,147.0,240.5,1,0.0,False
26637,0 days 00:59:05.492000,1244.434904153156,-1229.5322048296937,146.47522882793942,241.0,1,0.0,False
26638,0 days 00:59:05.752000,1076.0,-1265.0,143.0,248.4285641142857,1,0.0,False
26639,0 days 00:59:05.772000,1062.7675124447212,-1267.8257744565624,142.75600260530987,249.0,1,0.0,False
26640,0 days 00:59:05.972000,930.0,-1296.0,141.0,252.75,1,0.0,False
26641,0 days 00:59:06.052000,876.0,-1307.0,141.0,254.25,1,0.0,False
26642,0 days 00:59:06.092000,839.8220370564025,-1314.7205502485992,140.9199637663287,255.0,1,0.0,False
26643,0 days 00:59:06.272000,618.0,-1364.0,140.0,258.7499946666667,1,0.0,False
26644,0 days 00:59:06.332000,545.5784484690361,-1380.170741334564,139.87802023725007,260.0,1,0.0,False
26645,0 days 00:59:06.512000,359.0,-1422.0,140.0,262.50696156361175,1,0.0,False
26646,0 days 00:59:06.691000,253.637799919669,-1446.3781597328284,140.04692471609366,265.0,1,0.0,False
26647,0 days 00:59:06.891000,177.83846296859767,-1465.4543864583268,140.00455562799692,268.0,1,0.0,False
26648,0 days 00:59:06.932000,156.0,-1471.0,140.0,268.640628,1,0.0,False
26649,0 days 00:59:07.211000,-35.31701328841359,-1519.8248614528677,139.99998969760483,273.0,1,0.0,False
26650,0 days 00:59:07.212000,-36.0,-1520.0,140.0,273.0062512,1,0.0,False
26651,0 days 00:59:07.371000,-144.8758182320825,-1547.7600082226686,139.9998612226721,274.0,1,0.0,False
26652,0 days 00:59:07.392000,-162.0,-1552.0,140.0,274.41999872,1,0.0,False
26653,0 days 00:59:07.571000,-337.336307599804,-1594.233552728054,140.00212061302375,278.0,1,0.0,False
26654,0 days 00:59:07.612000,-374.0,-1603.0,140.0,278.0,1,0.0,False
26655,0 days 00:59:07.731000,-460.40365313108174,-1623.6990862424666,139.98504974836112,278.0,1,0.0,False
26656,0 days 00:59:07.971000,-581.8417698101929,-1653.0962301737777,139.97967426287673,282.0,1,-0.08337830055533721,False
26657,0 days 00:59:08.012000,-606.0,-1659.0,140.0,282.41000192,1,-0.10305949891823543,False
26658,0 days 00:59:08.212000,-753.0,-1695.0,140.0,284.41000192,1,-0.1096029201041569,False
26659,0 days 00:59:08.371000,-928.3920740777764,-1737.6571009872882,139.21777661566327,286.0,1,-0.14019177985210235,False
26660,0 days 00:59:08.412000,-975.0,-1749.0,139.0,286.40796171975796,1,-0.1422568082671956,False
26661,0 days 00:59:08.572000,-1146.6451619802833,-1790.8959150336243,138.3223933941938,288.0,1,-0.167107470392129,False
26662,0 days 00:59:09.452000,-1807.6456604720574,-1954.8845041308105,138.6543670505143,295.0,1,-0.2145767902114517,False
26663,0 days 00:59:09.592000,-1872.0,-1971.0,139.0,296.49999725714287,1,-0.23925074366788396,False
26664,0 days 00:59:09.732000,-1925.4849593065742,-1984.4165075334329,139.39240012204505,298.0,1,-0.26433451074206665,False
26665,0 days 00:59:09.932000,-2030.6148427193,-2010.7223432030944,139.91242406776558,299.0,1,-0.2990147679160296,False
26666,0 days 00:59:10.012000,-2124.0,-2034.0,140.0,299.5,1,-0.30808066788468447,False
26667,0 days 00:59:10.092000,-2249.4512278319603,-2065.2445431041724,140.01134112825653,300.0,1,-0.3477005194760857,False
26668,0 days 00:59:10.152000,-2345.0,-2089.0,140.0,300.3749984,1,-0.36450817018143616,False
26669,0 days 00:59:10.412000,-2620.644224469525,-2156.8334176860035,139.99000216943548,302.0,1,-0.4170600052510885,False
26670,0 days 00:59:10.652000,-2745.0,-2187.0,140.0,303.5,1,-0.44820086283565536,False
26671,0 days 00:59:10.732000,-2772.467533033138,-2193.733917302484,140.00006199298156,304.0,1,-0.49019761994404243,False
26672,0 days 00:59:10.912000,-2839.0,-2210.0,140.0,303.4375008,1,-0.5056919512096525,True
26673,0 days 00:59:11.052000,-2942.9509559545563,-2235.029815435183,140.00874218001894,303.0,1,-0.536584037932276,True
26674,0 days 00:59:11.172000,-3046.0,-2260.0,140.0,303.0,1,-0.571781492819087,True
26675,0 days 00:59:11.252000,-3110.768439559972,-2275.914717064117,139.97566124652172,303.0,1,-0.598726362839336,True
26676,0 days 00:59:11.332000,-3172.0,-2291.0,140.0,302.5,1,-0.6803434174412213,True
26677,0 days 00:59:11.412000,-3229.3025407097307,-2305.012072796022,140.1365022741639,302.0,1,-0.6983267756498766,True
26678,0 days 00:59:11.692000,-3460.0,-2361.0,141.0,302.0,1,-0.7853020769585844,True
26679,0 days 00:59:11.812000,-3623.671846990799,-2401.039482384267,141.10740287820644,302.0,1,-0.8579034058987144,True
