,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26616,0 days 00:59:03.052000,-5511.0,2719.0,148.0,209.55555555555554,1,0.0,False
26617,0 days 00:59:03.132000,-5490.014676091946,2678.7743712566976,148.80515998031504,212.0,1,0.0,False
26618,0 days 00:59:03.152000,-5485.0,2669.0,149.0,212.1874976,1,0.0,False
26619,0 days 00:59:03.392000,-5430.0,2557.0,151.0,214.4374976,1,0.0,False
26620,0 days 00:59:03.452000,-5415.87268280383,2526.9623935203213,151.47727368505656,215.0,1,0.0,False
26621,0 days 00:59:03.652000,-5367.0,2420.0,153.0,222.5,1,0.0,False
26622,0 days 00:59:03.772000,-5337.895317512006,2354.3062480569847,153.761524306298,227.0,1,0.0,False
26623,0 days 00:59:03.812000,-5328.0,2332.0,154.0,228.16666666666666,1,0.0,False
26624,0 days 00:59:03.992000,-5282.0,2229.0,155.0,233.4166592,1,0.0,False
26625,0 days 00:59:04.012000,-5276.910084222971,2217.4801787977517,155.09850643852457,234.0,1,0.0,False
26626,0 days 00:59:04.252000,-5216.218068704111,2078.710830473733,155.96938513561093,238.0,1,0.0,False
26627,0 days 00:59:04.272000,-5211.0,2067.0,156.0,238.39999488,1,0.0,False
26628,0 days 00:59:04.452000,-5162.7376877484,1960.7355779911131,155.9921424073266,242.0,1,0.0,False
26629,0 days 00:59:04.512000,-5147.0,1926.0,156.0,242.99999573333332,1,0.0,False
26630,0 days 00:59:04.672000,-5103.0,1829.0,156.0,245.6666624,1,0.0,False
26631,0 days 00:59:04.692000,-5095.905084541417,1813.9030348339209,155.92255502056935,246.0,1,0.0,False
26632,0 days 00:59:04.932000,-4996.0,1609.0,154.0,250.66666666666666,1,0.0,False
26633,0 days 00:59:05.052000,-4968.714071013006,1556.502675187299,153.609785051818,253.0,1,0.0,False
26634,0 days 00:59:05.192000,-4944.0,1513.0,153.0,255.79999488,1,0.0,False
26635,0 days 00:59:05.252000,-4928.73960097309,1485.9812868715746,152.35224802040324,257.0,1,0.0,False
26636,0 days 00:59:05.452000,-4854.0,1363.0,149.0,258.6666666666667,1,0.0,False
26637,0 days 00:59:05.492000,-4833.526332181164,1333.557874214814,148.26912288996832,259.0,1,0.0,False
26638,0 days 00:59:05.752000,-4677.0,1134.0,144.0,262.71428205714284,1,0.0,False
26639,0 days 00:59:05.772000,-4666.406953759713,1122.0527449871918,143.806771829454,263.0,1,0.0,False
26640,0 days 00:59:05.972000,-4567.0,1025.0,143.0,264.25,1,0.0,False
26641,0 days 00:59:06.052000,-4519.0,984.0,143.0,264.75,1,0.0,False
26642,0 days 00:59:06.092000,-4496.4364502990065,965.2583305433016,142.92271112869318,265.0,1,0.0,False
26643,0 days 00:59:06.272000,-4393.0,890.0,142.0,265.74999893333336,1,0.0,False
26644,0 days 00:59:06.332000,-4343.44188827204,860.6918350472658,141.69677000618498,266.0,1,0.0,False
26645,0 days 00:59:06.512000,-4176.0,772.0,141.0,263.49303843638825,1,0.0,False
26646,0 days 00:59:06.691000,-4076.7084674685943,727.1101488158149,140.8280498107958,261.0,1,0.0,False
26647,0 days 00:59:06.891000,-4001.1676369697734,708.6806396757953,140.98325229902224,258.0,1,0.0,False
26648,0 days 00:59:06.932000,-3979.0,704.0,141.0,257.359372,1,0.0,False
26649,0 days 00:59:07.211000,-3784.6765051051816,669.0838672058369,141.00004634457625,253.0,1,0.0,False
26650,0 days 00:59:07.212000,-3784.0,669.0,141.0,252.9937488,1,0.0,False
26651,0 days 00:59:07.371000,-3678.415732842602,661.8910697675575,140.9997785178248,252.0,1,0.0,False
26652,0 days 00:59:07.392000,-3662.0,662.0,141.0,251.89500032,1,0.0,False
26653,0 days 00:59:07.571000,-3494.6670905827314,672.389020261315,141.00025372519096,251.0,1,0.0,False
26654,0 days 00:59:07.612000,-3460.0,676.0,141.0,250.4874976,1,0.0,False
26655,0 days 00:59:07.731000,-3379.3520333463325,687.7446453788867,140.99872108154733,249.0,1,0.0,False
26656,0 days 00:59:07.971000,-3271.1676753597735,719.7174714631192,140.99842792324634,250.0,1,1.2000147120904714,True
26657,0 days 00:59:08.012000,-3250.0,727.0,141.0,250.0,1,1.1653613707488415,True
26658,0 days 00:59:08.212000,-3124.0,777.0,141.0,250.0,1,1.1249544382317112,True
26659,0 days 00:59:08.371000,-2983.2211675680505,855.2188361412788,140.96667471824094,250.0,1,1.0064355362662145,True
26660,0 days 00:59:08.412000,-2947.0,878.0,141.0,250.0,1,0.9846250435016871,True
26661,0 days 00:59:08.572000,-2818.7374607655,969.9477167890052,141.39014134669324,250.0,1,0.8649722534587413,True
26662,0 days 00:59:09.452000,-2439.8549592270056,1495.3784901553367,148.83672329633478,255.0,1,0.4185904853956612,False
26663,0 days 00:59:09.592000,-2412.0,1555.0,150.0,255.99999817142856,1,0.3228626526417976,False
26664,0 days 00:59:09.732000,-2391.215356168847,1605.371506977003,151.07363235672696,257.0,1,0.21442317022229396,False
26665,0 days 00:59:09.932000,-2353.532044177377,1694.4851676245632,153.23673245994814,255.0,1,0.07109798386195344,False
26666,0 days 00:59:10.012000,-2318.0,1765.0,155.0,252.5,1,-0.03785099105365785,False
26667,0 days 00:59:10.092000,-2269.588774261971,1857.321261137095,157.31934463000727,250.0,1,-0.1539508591734077,False
26668,0 days 00:59:10.152000,-2232.0,1926.0,159.0,245.5000192,1,-0.25736122437912917,False
26669,0 days 00:59:10.412000,-2112.4341330441384,2101.9753473322035,162.39439241676783,226.0,1,-0.4462790193758177,False
26670,0 days 00:59:10.652000,-2051.0,2162.0,163.0,218.5,1,-0.5443468471669191,True
