,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26616,0 days 00:59:03.052000,-2547.0,1300.0,146.0,255.77777777777777,1,0.0,False
26617,0 days 00:59:03.132000,-2518.4698898471147,1347.7717103781854,146.79361769601212,256.0,1,0.0,False
26618,0 days 00:59:03.152000,-2511.0,1361.0,147.0,256.1874976,1,0.0,False
26619,0 days 00:59:03.392000,-2410.0,1558.0,150.0,258.4374976,1,0.0,False
26620,0 days 00:59:03.452000,-2389.8953307794927,1601.4882489089703,150.6657221409942,259.0,1,0.0,False
26621,0 days 00:59:03.652000,-2336.0,1726.0,153.0,260.25,1,0.0,False
26622,0 days 00:59:03.772000,-2299.57394665782,1803.029251142105,155.24032392128055,261.0,1,0.0,False
26623,0 days 00:59:03.812000,-2287.0,1828.0,156.0,257.6666666666667,1,0.0,False
26624,0 days 00:59:03.992000,-2229.0,1932.0,159.0,242.666688,1,0.0,False
26625,0 days 00:59:04.012000,-2222.256471572717,1942.9559480006203,159.28488929373626,241.0,1,0.0,False
26626,0 days 00:59:04.252000,-2135.6889067159254,2066.412422556539,161.86394973031136,229.0,1,0.0,False
26627,0 days 00:59:04.272000,-2128.0,2076.0,162.0,228.60000512,1,0.0,False
26628,0 days 00:59:04.452000,-2055.99464242133,2156.97405886472,162.74192774704028,225.0,1,0.0,False
26629,0 days 00:59:04.512000,-2032.0,2181.0,163.0,220.75001813333333,1,0.0,False
26630,0 days 00:59:04.672000,-1964.0,2240.0,164.0,209.4166848,1,0.0,False
26631,0 days 00:59:04.692000,-1953.1939275944692,2247.991571126683,164.15436804408515,208.0,1,0.0,False
26632,0 days 00:59:04.932000,-1804.0,2344.0,166.0,195.33333333333334,1,0.0,False
26633,0 days 00:59:05.052000,-1765.126677935742,2365.109927345391,166.165983829986,189.0,1,0.0,False
26634,0 days 00:59:05.192000,-1731.0,2378.0,166.0,186.90000384,1,0.0,False
26635,0 days 00:59:05.252000,-1709.2162558087216,2385.8231115389676,165.97229884824083,186.0,1,0.0,False
26636,0 days 00:59:05.452000,-1616.0,2416.0,166.0,178.5,1,0.0,False
26637,0 days 00:59:05.492000,-1597.0447078173452,2420.8263895207256,166.00397890083389,177.0,1,0.0,False
26638,0 days 00:59:05.752000,-1477.0,2440.0,166.0,170.5000064,1,0.0,False
26639,0 days 00:59:05.772000,-1468.08038167802,2440.6631094138006,165.99988418717678,170.0,1,0.0,False
26640,0 days 00:59:05.972000,-1377.0,2441.0,166.0,168.125,1,0.0,False
26641,0 days 00:59:06.052000,-1336.0,2438.0,166.0,167.375,1,0.0,False
26642,0 days 00:59:06.092000,-1317.2290430203252,2436.1523786263433,166.0123296757598,167.0,1,0.0,False
26643,0 days 00:59:06.272000,-1237.0,2421.0,166.0,168.49999786666666,1,0.0,False
26644,0 days 00:59:06.332000,-1201.1610470217784,2410.3079268151682,165.83819060667003,169.0,1,0.0,False
26645,0 days 00:59:06.512000,-1084.0,2369.0,165.0,169.50139231272234,1,0.0,False
26646,0 days 00:59:06.691000,-1018.2292376655482,2340.197096708125,164.18222151797178,170.0,1,0.0,False
26647,0 days 00:59:06.891000,-975.3595426940855,2309.432240573981,163.22629155657143,170.0,1,0.0,False
26648,0 days 00:59:06.932000,-963.0,2300.0,163.0,170.2562512,1,0.0,False
26649,0 days 00:59:07.211000,-857.3461582917726,2214.314946139791,161.0098507466049,172.0,1,0.0,False
26650,0 days 00:59:07.212000,-857.0,2214.0,161.0,172.0062512,1,0.0,False
26651,0 days 00:59:07.371000,-806.2890607436885,2161.850317451965,159.2256848149907,173.0,1,0.0,False
26652,0 days 00:59:07.392000,-799.0,2153.0,159.0,173.20999936,1,0.0,False
26653,0 days 00:59:07.571000,-728.9240036993154,2056.7611450292748,157.3374953333879,175.0,1,0.0,False
26654,0 days 00:59:07.612000,-715.0,2036.0,157.0,175.5125024,1,0.0,False
26655,0 days 00:59:07.731000,-683.860567387518,1986.008079980108,156.08577496292065,177.0,1,0.0,False
26656,0 days 00:59:07.971000,-648.4395625603223,1910.4264107132842,154.33999378476406,181.0,1,0.1885135307142499,False
26657,0 days 00:59:08.012000,-642.0,1895.0,154.0,181.30750144,1,0.29265251559288336,False
26658,0 days 00:59:08.212000,-605.0,1801.0,152.0,182.80750144,1,0.43587481416196633,False
26659,0 days 00:59:08.371000,-564.9718800490873,1691.898338925423,149.61138865037717,184.0,1,0.7767486921687601,True
26660,0 days 00:59:08.412000,-554.0,1664.0,149.0,180.73630624193632,1,0.835512510760965,True
26661,0 days 00:59:08.572000,-510.6439684583743,1567.2337804710237,146.89681915958624,168.0,1,1.084895532379599,True
26662,0 days 00:59:09.452000,-280.65225625164,1322.2665388634543,142.17070607041356,127.0,1,1.4690716952306284,True
26663,0 days 00:59:09.592000,-255.0,1305.0,142.0,124.00000548571428,1,1.5513714731003798,True
26664,0 days 00:59:09.732000,-233.2994695835816,1291.4097094174354,141.94081959637217,121.0,1,1.666365742558998,True
26665,0 days 00:59:09.932000,-191.23690513528308,1275.974082017603,141.98956014581046,117.0,1,1.7460735422414244,True
26666,0 days 00:59:10.012000,-155.0,1269.0,142.0,116.0,1,1.8320696551760076,True
26667,0 days 00:59:10.092000,-106.64570930536226,1261.4443625421538,142.00135368748846,115.0,1,1.8991757383810308,True
26668,0 days 00:59:10.152000,-70.0,1257.0,142.0,113.5000064,1,1.968414148410059,True
26669,0 days 00:59:10.412000,33.45599767279377,1262.338985845674,141.99873888445725,107.0,1,2.0345684504459296,True
26670,0 days 00:59:10.652000,77.0,1278.0,142.0,107.75,1,2.0909487878419997,True
26671,0 days 00:59:10.732000,85.94870608927155,1280.6107234380693,142.00010294169002,108.0,1,2.1314507685180044,True
26672,0 days 00:59:10.912000,108.0,1288.0,142.0,109.6874976,1,2.206351551126757,True
26673,0 days 00:59:11.052000,146.00740251132117,1305.1012660752144,141.99998733013973,111.0,1,2.236896607804778,True
26674,0 days 00:59:11.172000,183.0,1325.0,142.0,113.4,1,2.2610872032789273,True
26675,0 days 00:59:11.252000,204.98119809749312,1339.5383108846763,142.0000012785095,115.0,1,2.2768604245754744,True
26676,0 days 00:59:11.332000,225.0,1354.0,142.0,118.0,1,2.350081783642214,True
26677,0 days 00:59:11.412000,243.23843636183523,1367.2904549620962,141.99999934190356,121.0,1,2.3564304054371275,True
26678,0 days 00:59:11.692000,314.0,1434.0,142.0,128.7,1,2.3902185575198684,True
26679,0 days 00:59:11.812000,364.6514129748855,1496.1479457395694,142.00000002334644,132.0,1,2.386440113414277,True
26680,0 days 00:59:11.872000,386.0,1523.0,142.0,133.2857088,1,2.409764724619498,True
26681,0 days 00:59:12.092000,414.26526026723644,1560.82875197373,141.99999999267257,138.0,1,2.4109743696057837,True
26682,0 days 00:59:12.192000,427.0,1588.0,142.0,140.4999936,1,2.4104836179436533,True
26683,0 days 00:59:12.332000,461.7032636712234,1663.7127105361785,142.00000000165548,144.0,1,2.4060504088644645,True
26684,0 days 00:59:12.452000,491.0,1730.0,142.0,147.85714285714286,1,2.388310405385582,True
26685,0 days 00:59:12.612000,509.2477367329768,1778.3444656989489,141.9999999995276,153.0,1,2.3788664977971408,True
26686,0 days 00:59:12.792000,519.0,1821.0,142.0,160.8749888,1,2.358482963928189,True
26687,0 days 00:59:12.932000,532.1150848165256,1880.337159099114,142.00000000001188,167.0,1,2.324078968313626,True
26688,0 days 00:59:12.972000,535.0,1901.0,142.0,167.75,1,2.311021839876839,True
26689,0 days 00:59:13.092000,538.9349576087541,1972.1734120466665,141.99999999998178,170.0,1,2.2342689164442895,True
26690,0 days 00:59:13.312000,534.0,2106.0,142.0,172.7499968,1,2.157594065093126,True
26691,0 days 00:59:13.332000,533.3584949851277,2115.3294622867243,142.00000000000335,173.0,1,2.115827253014179,True
26692,0 days 00:59:13.571000,522.8311423039472,2191.2598680949636,142.0000000000577,178.0,1,2.0601747004179654,True
26693,0 days 00:59:13.732000,497.0,2273.0,142.0,184.0375072,1,1.9193486444152972,True
26694,0 days 00:59:13.811000,475.8053734908206,2334.9883160015393,141.9999999999232,187.0,1,1.8513659526531374,True
26695,0 days 00:59:13.932000,441.0,2433.0,142.0,190.0250048,1,1.724109379835843,True
26696,0 days 00:59:14.051000,417.93330409716447,2492.428296055742,142.0000000007233,193.0,1,1.6051361872942014,True
26697,0 days 00:59:14.312000,381.0,2560.0,142.0,202.3214262857143,1,1.5282945314280232,True
26698,0 days 00:59:14.331000,376.8384857062562,2567.345809569764,141.99999999943924,203.0,1,1.4418494447868186,True
26699,0 days 00:59:14.571000,309.29913124742507,2685.493759660933,141.99999999986386,208.0,1,1.2566636225085734,True
26700,0 days 00:59:14.572000,309.0,2686.0,142.0,208.0375072,1,1.2376542067804297,True
26701,0 days 00:59:14.731000,261.23079444721566,2764.4423101998673,142.0000000324245,214.0,1,1.1091109184905894,True
26702,0 days 00:59:14.812000,236.0,2804.0,142.0,216.0199539455582,1,0.8784659429959157,True
26703,0 days 00:59:14.972000,184.0,2883.0,142.0,220.0099769727791,1,0.8161883834324263,True
26704,0 days 00:59:15.132000,132.0,2964.0,142.0,224.0,1,0.7617629237883891,True
26705,0 days 00:59:15.331000,65.0,3068.0,142.0,228.9749952,1,0.695737690392465,True
