,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26616,0 days 00:59:03.052000,-5557.0,-1963.0,181.0,195.44444444444446,1,0.0,False
26617,0 days 00:59:03.132000,-5573.30089662998,-1924.3907997881975,181.77825031690722,195.0,1,0.0,False
26618,0 days 00:59:03.152000,-5577.0,-1915.0,182.0,194.0000128,1,0.0,False
26619,0 days 00:59:03.392000,-5609.0,-1811.0,186.0,182.0000128,1,0.0,False
26620,0 days 00:59:03.452000,-5614.716377541536,-1783.622319090046,186.82616806689626,179.0,1,0.0,False
26621,0 days 00:59:03.652000,-5628.0,-1688.0,189.0,174.0,1,0.0,False
26622,0 days 00:59:03.772000,-5630.992649509663,-1632.2356623274618,190.51522192193227,171.0,1,0.0,False
26623,0 days 00:59:03.812000,-5631.0,-1614.0,191.0,169.66666666666666,1,0.0,False
26624,0 days 00:59:03.992000,-5625.0,-1534.0,193.0,163.6666752,1,0.0,False
26625,0 days 00:59:04.012000,-5623.8866095949625,-1525.302760974605,193.25291209526898,163.0,1,0.0,False
26626,0 days 00:59:04.252000,-5604.227479493,-1424.1125432749668,196.7367203042144,154.0,1,0.0,False
26627,0 days 00:59:04.272000,-5602.0,-1416.0,197.0,153.30000896,1,0.0,False
26628,0 days 00:59:04.452000,-5577.965038431352,-1345.67181314276,199.11529596743807,147.0,1,0.0,False
26629,0 days 00:59:04.512000,-5569.0,-1324.0,200.0,145.25000746666666,1,0.0,False
26630,0 days 00:59:04.672000,-5541.0,-1268.0,203.0,140.5833408,1,0.0,False
26631,0 days 00:59:04.692000,-5536.181254479433,-1259.9969955516117,203.37256590096078,140.0,1,0.0,False
26632,0 days 00:59:04.932000,-5466.0,-1159.0,207.0,132.0,1,0.0,False
26633,0 days 00:59:05.052000,-5446.92725969535,-1135.3167416091287,207.68521077571015,128.0,1,0.0,False
26634,0 days 00:59:05.192000,-5428.0,-1118.0,208.0,124.5000064,1,0.0,False
26635,0 days 00:59:05.252000,-5415.280744078698,-1107.048843966229,208.19254174937623,123.0,1,0.0,False
26636,0 days 00:59:05.452000,-5360.0,-1063.0,209.0,118.83333333333333,1,0.0,False
26637,0 days 00:59:05.492000,-5348.924299134495,-1055.3850393910145,209.1626534468837,118.0,1,0.0,False
26638,0 days 00:59:05.752000,-5278.0,-1017.0,210.0,112.42857691428571,1,0.0,False
26639,0 days 00:59:05.772000,-5272.323821933786,-1014.5271968824021,210.02327742262062,112.0,1,0.0,False
26640,0 days 00:59:05.972000,-5214.0,-994.0,210.0,108.875,1,0.0,False
