,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26616,0 days 00:59:03.052000,-379.0,5714.0,147.0,275.1111111111111,1,0.0,False
26617,0 days 00:59:03.132000,-346.83241969757347,5663.353437553474,147.0127935093327,276.0,1,0.0,False
26618,0 days 00:59:03.152000,-339.0,5651.0,147.0,276.2499968,1,0.0,False
26619,0 days 00:59:03.392000,-251.0,5511.0,146.0,279.2499968,1,0.0,False
26620,0 days 00:59:03.452000,-227.75729368932286,5474.052262418353,145.76844655678255,280.0,1,0.0,False
26621,0 days 00:59:03.652000,-146.0,5344.0,145.0,281.25,1,0.0,False
26622,0 days 00:59:03.772000,-97.02815592799057,5265.428886291654,144.1775344284562,282.0,1,0.0,False
26623,0 days 00:59:03.812000,-81.0,5240.0,144.0,282.3333333333333,1,0.0,False
26624,0 days 00:59:03.992000,-6.0,5123.0,144.0,283.8333312,1,0.0,False
26625,0 days 00:59:04.012000,4.148334952032144,5106.98146314819,143.9829927136822,284.0,1,0.0,False
26626,0 days 00:59:04.252000,146.68503407651224,4878.614952074264,143.09535956554492,287.0,1,0.0,False
26627,0 days 00:59:04.272000,157.0,4862.0,143.0,287.09999872,1,0.0,False
26628,0 days 00:59:04.452000,231.47283075343594,4741.910028283864,142.15372029301398,288.0,1,0.0,False
26629,0 days 00:59:04.512000,254.0,4706.0,142.0,288.7499968,1,0.0,False
26630,0 days 00:59:04.672000,320.0,4602.0,142.0,290.7499968,1,0.0,False
26631,0 days 00:59:04.692000,330.29216746497383,4585.710885043794,142.01457704230177,291.0,1,0.0,False
26632,0 days 00:59:04.932000,469.0,4365.0,142.0,292.3333333333333,1,0.0,False
26633,0 days 00:59:05.052000,504.4969728179145,4308.81075443973,141.46183072591595,293.0,1,0.0,False
26634,0 days 00:59:05.192000,536.0,4259.0,141.0,294.39999744,1,0.0,False
26635,0 days 00:59:05.252000,556.6280953132404,4226.12365137285,141.11881433941514,295.0,1,0.0,False
26636,0 days 00:59:05.452000,645.0,4085.0,142.0,295.8333333333333,1,0.0,False
