,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26616,0 days 00:59:03.052000,-1311.0,5413.0,142.0,240.55555555555557,1,0.0,False
26617,0 days 00:59:03.132000,-1334.451476266096,5455.043487724268,142.00014569317506,233.0,1,0.0,False
26618,0 days 00:59:03.152000,-1340.0,5465.0,142.0,229.8125408,1,0.0,False
26619,0 days 00:59:03.392000,-1397.0,5567.0,142.0,191.5625408,1,0.0,False
26620,0 days 00:59:03.452000,-1410.6957819157265,5591.250551257899,142.0079176764711,182.0,1,0.0,False
26621,0 days 00:59:03.652000,-1456.0,5670.0,142.0,162.625,1,0.0,False
26622,0 days 00:59:03.772000,-1481.6266145112747,5712.5781015753755,141.9264748738702,151.0,1,0.0,False
26623,0 days 00:59:03.812000,-1490.0,5726.0,142.0,148.66666666666666,1,0.0,False
26624,0 days 00:59:03.992000,-1527.0,5782.0,143.0,138.1666816,1,0.0,False
26625,0 days 00:59:04.012000,-1531.0342914481694,5787.812575931836,143.09279006756623,137.0,1,0.0,False
26626,0 days 00:59:04.252000,-1578.9144798413129,5851.261466135777,143.87020187398613,119.0,1,0.0,False
26627,0 days 00:59:04.272000,-1583.0,5856.0,144.0,118.20001024,1,0.0,False
26628,0 days 00:59:04.452000,-1620.62337946673,5894.738701728826,145.6902567966211,111.0,1,0.0,False
26629,0 days 00:59:04.512000,-1633.0,5906.0,146.0,109.00000853333333,1,0.0,False
26630,0 days 00:59:04.672000,-1668.0,5933.0,146.0,103.6666752,1,0.0,False
26631,0 days 00:59:04.692000,-1673.6266298725548,5936.445091238666,146.06943823096825,103.0,1,0.0,False
26632,0 days 00:59:04.932000,-1752.0,5975.0,148.0,96.33333333333333,1,0.0,False
26633,0 days 00:59:05.052000,-1772.1837360946165,5982.627355544966,148.06687347801687,93.0,1,0.0,False
26634,0 days 00:59:05.192000,-1790.0,5986.0,148.0,89.5000064,1,0.0,False
26635,0 days 00:59:05.252000,-1801.6375616482192,5987.98058317507,148.28034832942447,88.0,1,0.0,False
26636,0 days 00:59:05.452000,-1851.0,5994.0,150.0,87.16666666666667,1,0.0,False
26637,0 days 00:59:05.492000,-1860.5646384678207,5994.1297656138095,150.30525261618044,87.0,1,0.0,False
26638,0 days 00:59:05.752000,-1919.0,5986.0,152.0,87.0,1,0.0,False
26639,0 days 00:59:05.772000,-1923.5034945927925,5984.886916344304,152.14904719722801,87.0,1,0.0,False
26640,0 days 00:59:05.972000,-1969.0,5970.0,154.0,88.25,1,0.0,False
26641,0 days 00:59:06.052000,-1987.0,5962.0,155.0,88.75,1,0.0,False
26642,0 days 00:59:06.092000,-1995.6040383550055,5957.975193024565,155.44358047695553,89.0,1,0.0,False
26643,0 days 00:59:06.272000,-2036.0,5935.0,157.0,92.74999466666667,1,0.0,False
26644,0 days 00:59:06.332000,-2053.916435341177,5921.814122191907,157.52510499653516,94.0,1,0.0,False
26645,0 days 00:59:06.512000,-2112.0,5874.0,159.0,98.0111385017788,1,0.0,False
26646,0 days 00:59:06.691000,-2145.487532236488,5842.870204936217,159.72673008709685,102.0,1,0.0,False
26647,0 days 00:59:06.891000,-2170.4434565542224,5817.626998324924,160.6030901336242,113.0,1,0.0,False
26648,0 days 00:59:06.932000,-2178.0,5811.0,161.0,113.3843768,1,0.0,False
26649,0 days 00:59:07.211000,-2246.745087696856,5757.180144905714,164.98737551734766,116.0,1,0.0,False
26650,0 days 00:59:07.212000,-2247.0,5757.0,165.0,115.9937488,1,0.0,False
26651,0 days 00:59:07.371000,-2288.476914367476,5730.497045817597,166.7491847929532,115.0,1,0.0,False
26652,0 days 00:59:07.392000,-2295.0,5727.0,167.0,114.89500032,1,0.0,False
26653,0 days 00:59:07.571000,-2363.194643919795,5697.186128855482,169.48526521005383,114.0,1,0.0,False
26654,0 days 00:59:07.612000,-2380.0,5692.0,170.0,114.0,1,0.0,False
26655,0 days 00:59:07.731000,-2428.975145680955,5682.320462819072,171.21431715884742,114.0,1,0.0,False
26656,0 days 00:59:07.971000,-2522.4570000876597,5681.940943936072,172.75758594828378,112.0,1,-1.9644624791769776,True
26657,0 days 00:59:08.012000,-2536.0,5683.0,173.0,112.20500096,1,-2.056250628656461,True
26658,0 days 00:59:08.212000,-2598.0,5694.0,174.0,113.20500096,1,-2.1005790394865183,True
26659,0 days 00:59:08.371000,-2667.0637801168077,5716.807126435415,174.0362538254195,114.0,1,-2.2868232335513774,True
26660,0 days 00:59:08.412000,-2685.0,5724.0,174.0,114.61194257963695,1,-2.3102069197458084,True
26661,0 days 00:59:08.572000,-2748.502840728706,5755.3438437953255,173.841040571634,117.0,1,-2.4385979005852807,True
26662,0 days 00:59:09.452000,-2938.4042176135745,5976.875050713009,172.36839326364057,128.0,1,-2.501233838399502,True
26663,0 days 00:59:09.592000,-2954.0,6002.0,172.0,129.99999634285714,1,-2.5605404101812437,True
26664,0 days 00:59:09.732000,-2966.595655425119,6022.59135208661,171.5907682964516,132.0,1,-2.642626194014559,True
26665,0 days 00:59:09.932000,-2983.682307254411,6067.836345952481,171.06951841398322,134.0,1,-2.702396873277309,True
26666,0 days 00:59:10.012000,-2994.0,6112.0,171.0,137.5,1,-2.73238869467668,True
26667,0 days 00:59:10.092000,-3006.541144317353,6172.426375590367,171.01693965501022,141.0,1,-2.7844567338925845,True
26668,0 days 00:59:10.152000,-3015.0,6219.0,171.0,142.4999936,1,-2.808315584760278,True
26669,0 days 00:59:10.412000,-3023.516086320176,6359.705750103129,169.9603752593304,149.0,1,-2.818893151641058,True
26670,0 days 00:59:10.652000,-3014.0,6428.0,169.0,152.75,1,-2.8349878114109637,True
26671,0 days 00:59:10.732000,-3011.715830120876,6442.884164495131,168.95549199824987,154.0,1,-2.896474523044996,True
26672,0 days 00:59:10.912000,-3004.0,6479.0,169.0,160.1874912,1,-2.8959510234137644,True
26673,0 days 00:59:11.052000,-2988.91320170885,6536.40609734596,168.60639587160009,165.0,1,-2.8945010956384962,True
26674,0 days 00:59:11.172000,-2971.0,6593.0,168.0,165.0,1,-2.892201826307743,True
26675,0 days 00:59:11.252000,-2957.2539604331855,6628.094964258997,167.4836561603395,165.0,1,-2.8941063774588875,True
26676,0 days 00:59:11.332000,-2943.0,6661.0,167.0,168.5,1,-2.9499459389650466,True
26677,0 days 00:59:11.412000,-2929.1733219094713,6691.632622046641,166.6713831385108,172.0,1,-2.935530166919148,True
26678,0 days 00:59:11.692000,-2853.0,6810.0,166.0,179.7,1,-2.861295486241429,True
26679,0 days 00:59:11.812000,-2781.8933198025065,6889.525803162637,165.31212182917963,183.0,1,-2.8265182338752872,True
26680,0 days 00:59:11.872000,-2751.0,6923.0,165.0,184.7142784,1,-2.7919889371064888,True
26681,0 days 00:59:12.092000,-2704.9984078733582,6969.540211014883,164.44695481159073,191.0,1,-2.751492349304698,True
26682,0 days 00:59:12.192000,-2670.0,6991.0,164.0,193.083328,1,-2.7339924967212332,True
26683,0 days 00:59:12.332000,-2574.062909321197,7047.563630831264,162.84062708047233,196.0,1,-2.675065926112268,True
26684,0 days 00:59:12.452000,-2490.0,7095.0,162.0,199.42857142857142,1,-2.6130665436981073,True
26685,0 days 00:59:12.612000,-2427.5385596611354,7124.619632457218,161.91072583627596,204.0,1,-2.5432430164298667,True
26686,0 days 00:59:12.792000,-2372.0,7140.0,162.0,208.4999936,1,-2.48402766135969,True
26687,0 days 00:59:12.932000,-2296.4888403209056,7160.604487079518,161.25978872385562,212.0,1,-2.434506220756579,True
26688,0 days 00:59:12.972000,-2270.0,7166.0,161.0,213.0,1,-2.4173491886377034,True
26689,0 days 00:59:13.092000,-2177.8445387904057,7178.271268846346,160.20517397654774,216.0,1,-2.3329199013915867,True
26690,0 days 00:59:13.312000,-2005.0,7189.0,159.0,220.583328,1,-2.25216756799053,True
26691,0 days 00:59:13.332000,-1993.3202087901045,7189.547891100811,158.9359764372624,221.0,1,-2.226554370350382,True
26692,0 days 00:59:13.571000,-1904.588729119948,7189.928586203541,158.71713849601528,227.0,1,-2.1858639732924745,True
26693,0 days 00:59:13.732000,-1807.0,7168.0,158.0,229.68333653333335,1,-2.104678557012137,True
26694,0 days 00:59:13.811000,-1730.7022183712024,7147.704533604047,157.26359676668088,231.0,1,-2.060434569652628,True
26695,0 days 00:59:13.932000,-1609.0,7113.0,156.0,233.52083733333333,1,-1.9820918400530174,True
26696,0 days 00:59:14.051000,-1534.8969584435647,7088.559013053633,155.17685939510162,236.0,1,-1.904209315867601,True
26697,0 days 00:59:14.312000,-1452.0,7043.0,154.0,239.7285705142857,1,-1.8570159065564344,True
26698,0 days 00:59:14.331000,-1443.266617576164,7037.867971458691,153.8743394319052,240.0,1,-1.824102572726575,True
26699,0 days 00:59:14.571000,-1305.5742118000464,6953.392475522153,152.00667724470387,244.0,1,-1.71724136310517,True
26700,0 days 00:59:14.572000,-1305.0,6953.0,152.0,244.0125024,1,-1.7084102781769004,True
26701,0 days 00:59:14.731000,-1218.094958084022,6887.822531848861,151.16300245796612,246.0,1,-1.6264800467006895,True
26702,0 days 00:59:14.812000,-1176.0,6852.0,151.0,246.8079815782233,1,-1.4548401394148873,True
26703,0 days 00:59:14.972000,-1096.0,6776.0,151.0,248.40399078911165,1,-1.3946997621141446,True
26704,0 days 00:59:15.132000,-1022.0,6696.0,150.0,250.0,1,-1.3378145444108531,True
26705,0 days 00:59:15.331000,-936.0,6588.0,150.0,253.97999616,1,-1.256716971376451,True
26706,0 days 00:59:15.332000,-935.5854759172794,6587.435999511536,150.00065854764495,254.0,1,-1.2349561274250156,True
26707,0 days 00:59:15.531000,-856.0,6472.0,150.0,257.3166634666667,1,-1.1476394777914423,True
26708,0 days 00:59:15.572000,-839.8878129149956,6447.765390843524,150.00936841461174,258.0,1,-1.114156895752009,True
26709,0 days 00:59:15.691000,-793.0,6376.0,150.0,259.78499712,1,-1.016809710209496,True
26710,0 days 00:59:15.772000,-760.4311890221927,6324.714034843664,149.8324030372305,261.0,1,-0.9637492528687112,True
26711,0 days 00:59:16.012000,-662.8882604192391,6167.526258372963,149.02037979219307,263.0,1,-0.8924815785982996,True
