,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26616,0 days 00:59:03.052000,1138.0,3301.0,141.0,298.22222222222223,1,0.0,False
26617,0 days 00:59:03.132000,1173.4059432070007,3245.50556840478,140.9951468155026,298.0,1,0.0,False
26618,0 days 00:59:03.152000,1182.0,3232.0,141.0,298.0624992,1,0.0,False
26619,0 days 00:59:03.392000,1277.0,3081.0,141.0,298.8124992,1,0.0,False
26620,0 days 00:59:03.452000,1302.0786282259419,3041.1723963834083,141.17083660957454,299.0,1,0.0,False
26621,0 days 00:59:03.652000,1390.0,2902.0,142.0,300.875,1,0.0,False
26622,0 days 00:59:03.772000,1441.6848273272467,2820.28028959166,142.09404231612993,302.0,1,0.0,False
26623,0 days 00:59:03.812000,1459.0,2793.0,142.0,302.0,1,0.0,False
26624,0 days 00:59:03.992000,1538.0,2669.0,141.0,302.0,1,0.0,False
26625,0 days 00:59:04.012000,1546.7068724259389,2655.2652590433668,140.92931387891267,302.0,1,0.0,False
26626,0 days 00:59:04.252000,1650.2139269173206,2490.9034071439146,140.98498044372394,303.0,1,0.0,False
26627,0 days 00:59:04.272000,1659.0,2477.0,141.0,303.0,1,0.0,False
26628,0 days 00:59:04.452000,1739.2537537237363,2350.6060674183104,141.02165374339063,303.0,1,0.0,False
26629,0 days 00:59:04.512000,1765.0,2310.0,141.0,303.24999893333336,1,0.0,False
26630,0 days 00:59:04.672000,1835.0,2199.0,141.0,303.9166656,1,0.0,False
26631,0 days 00:59:04.692000,1845.8726415027213,2181.708240095288,141.04095049494902,304.0,1,0.0,False
26632,0 days 00:59:04.932000,1994.0,1946.0,142.0,304.0,1,0.0,False
26633,0 days 00:59:05.052000,2032.1541215378074,1885.864050608625,142.09753482785797,304.0,1,0.0,False
26634,0 days 00:59:05.192000,2066.0,1833.0,142.0,304.69999872,1,0.0,False
26635,0 days 00:59:05.252000,2088.033911205236,1798.3574986485112,141.9837117037888,305.0,1,0.0,False
26636,0 days 00:59:05.452000,2182.0,1650.0,142.0,305.8333333333333,1,0.0,False
26637,0 days 00:59:05.492000,2200.5381098369758,1620.6273924232526,142.0023788333886,306.0,1,0.0,False
26638,0 days 00:59:05.752000,2316.0,1438.0,142.0,306.0,1,0.0,False
26639,0 days 00:59:05.772000,2324.9126239529296,1424.0916095420482,141.9998168338711,306.0,1,0.0,False
26640,0 days 00:59:05.972000,2415.0,1284.0,142.0,306.625,1,0.0,False
26641,0 days 00:59:06.052000,2451.0,1227.0,142.0,306.875,1,0.0,False
26642,0 days 00:59:06.092000,2468.319202024201,1199.7109914855546,141.99999262080013,307.0,1,0.0,False
