,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26616,0 days 00:59:03.052000,148.0,1305.0,142.0,117.33333333333333,1,0.0,False
26617,0 days 00:59:03.132000,171.37453492120827,1317.7211082453389,142.00000145327596,118.0,1,0.0,False
26618,0 days 00:59:03.152000,177.0,1321.0,142.0,118.3749952,1,0.0,False
26619,0 days 00:59:03.392000,238.0,1363.0,142.0,122.8749952,1,0.0,False
26620,0 days 00:59:03.452000,253.68856926376213,1375.8984854295259,142.00000046217167,124.0,1,0.0,False
26621,0 days 00:59:03.652000,307.0,1426.0,142.0,129.625,1,0.0,False
26622,0 days 00:59:03.772000,336.35251210282223,1459.3237788967035,141.99999998547742,133.0,1,0.0,False
26623,0 days 00:59:03.812000,346.0,1471.0,142.0,134.33333333333334,1,0.0,False
26624,0 days 00:59:03.992000,389.0,1527.0,142.0,140.3333248,1,0.0,False
26625,0 days 00:59:04.012000,393.5065937874774,1533.4921825314375,141.9999999989685,141.0,1,0.0,False
26626,0 days 00:59:04.252000,442.30342907605177,1615.6838052194003,141.99999999979727,147.0,1,0.0,False
26627,0 days 00:59:04.272000,446.0,1623.0,142.0,147.4999936,1,0.0,False
26628,0 days 00:59:04.452000,476.8473330124164,1691.9144353129511,142.0000000001152,152.0,1,0.0,False
26629,0 days 00:59:04.512000,486.0,1715.0,142.0,153.99999146666667,1,0.0,False
26630,0 days 00:59:04.672000,508.0,1781.0,142.0,159.3333248,1,0.0,False
26631,0 days 00:59:04.692000,510.70013812666645,1791.6347076292266,142.00000000000475,160.0,1,0.0,False
26632,0 days 00:59:04.932000,539.0,1940.0,142.0,166.0,1,0.0,False
26633,0 days 00:59:05.052000,543.5260295119042,1978.7620557300158,141.9999999999981,169.0,1,0.0,False
26634,0 days 00:59:05.192000,542.0,2015.0,142.0,173.89999104,1,0.0,False
26635,0 days 00:59:05.252000,540.107786026389,2039.2191099019867,142.0000000000003,176.0,1,0.0,False
26636,0 days 00:59:05.452000,528.0,2144.0,142.0,185.16666666666666,1,0.0,False
26637,0 days 00:59:05.492000,524.3565317315732,2164.860355432769,141.99999999999997,187.0,1,0.0,False
26638,0 days 00:59:05.752000,491.0,2296.0,142.0,195.35713462857143,1,0.0,False
26639,0 days 00:59:05.772000,487.8036811340997,2306.1607723026546,142.0,196.0,1,0.0,False
26640,0 days 00:59:05.972000,451.0,2409.0,142.0,201.0,1,0.0,False
26641,0 days 00:59:06.052000,434.0,2450.0,142.0,203.0,1,0.0,False
26642,0 days 00:59:06.092000,425.53621832079205,2469.399632966701,142.0,204.0,1,0.0,False
26643,0 days 00:59:06.272000,380.0,2561.0,142.0,206.2499968,1,0.0,False
26644,0 days 00:59:06.332000,356.097379508934,2603.666689131216,142.00000000000009,207.0,1,0.0,False
26645,0 days 00:59:06.512000,273.0,2745.0,142.0,214.01949237811291,1,0.0,False
