,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,6490.0,1440.0,523.0,173.5749952,1,0.0,False
25398,0 days 00:56:34.197000,6581.400500396428,1452.7299590920973,522.9500709345441,178.0,1,0.0,False
25399,0 days 00:56:34.317000,6678.0,1467.0,523.0,178.0,1,0.0,False
25400,0 days 00:56:34.357000,6705.005049927764,1471.440022256197,523.0717512986658,178.0,1,0.0,False
25401,0 days 00:56:34.618000,6827.0,1496.0,524.0,183.59285577142856,1,0.0,False
25402,0 days 00:56:34.637000,6833.4327269455825,1497.422235890458,524.0710442907024,184.0,1,0.0,False
25403,0 days 00:56:34.837000,6885.343937102568,1509.5404090706563,524.7667147932588,176.0,1,0.0,False
25404,0 days 00:56:34.978000,6928.0,1521.0,525.0,169.68656801960375,1,0.0,False
25405,0 days 00:56:35.038000,6951.483939580987,1527.5931234436305,525.0022019124322,167.0,1,0.0,False
25406,0 days 00:56:35.218000,7031.0,1551.0,525.0,158.64285714285714,1,0.0,False
25407,0 days 00:56:35.318000,7069.433716553711,1563.4361538763778,525.3853137502177,154.0,1,0.0,False
25408,0 days 00:56:35.438000,7117.0,1582.0,526.0,149.5,1,0.0,False
25409,0 days 00:56:35.478000,7135.52525182165,1590.3490229773379,526.1690328333713,148.0,1,0.0,False
25410,0 days 00:56:35.758000,7275.0,1663.0,527.0,140.9780578351232,1,0.0,False
25411,0 days 00:56:35.797000,7288.289811400461,1670.7321701001713,527.1097557932735,140.0,1,0.0,False
25412,0 days 00:56:35.957000,7321.512269560096,1693.0920657683932,527.5767383196874,138.0,1,0.0,False
25413,0 days 00:56:36.178000,7356.0,1733.0,528.0,132.4750016,1,0.0,False
25414,0 days 00:56:36.237000,7370.952566919509,1751.4264255191854,528.0222408418457,131.0,1,0.0,False
25415,0 days 00:56:36.358000,7403.0,1794.0,528.0,127.4708352,1,0.0,False
25416,0 days 00:56:36.477000,7423.347208116173,1830.7507446109864,527.9979252114141,124.0,1,0.0,False
25417,0 days 00:56:36.558000,7433.0,1856.0,528.0,122.9875008,1,0.0,False
25418,0 days 00:56:36.618000,7439.0,1876.0,528.0,122.2375008,1,0.0,False
25419,0 days 00:56:36.637000,7440.759636140436,1882.3521828224348,528.0008663552152,122.0,1,0.0,False
25420,0 days 00:56:36.858000,7456.0,1955.0,528.0,117.39583466666667,1,0.0,False
25421,0 days 00:56:36.877000,7456.7124702702195,1961.1581919784344,527.9900847917751,117.0,1,0.0,False
25422,0 days 00:56:37.037000,7458.76177666902,2012.5458045925868,527.891654052973,115.0,1,0.0,False
25423,0 days 00:56:37.098000,7458.0,2032.0,528.0,114.4281256,1,0.0,False
25424,0 days 00:56:37.317000,7449.0,2101.0,529.0,112.375,1,0.0,False
25425,0 days 00:56:37.357000,7446.32330663318,2113.2517975158207,529.0846999676922,112.0,1,0.0,False
25426,0 days 00:56:37.517000,7432.852190724744,2160.584812424608,529.0226290870517,109.0,1,0.0,False
25427,0 days 00:56:37.558000,7429.0,2172.0,529.0,109.2562496,1,0.0,False
25428,0 days 00:56:37.738000,7408.0,2222.0,529.0,110.3812496,1,0.0,False
25429,0 days 00:56:38.018000,7347.0,2321.0,529.0,112.1312496,1,0.0,False
25430,0 days 00:56:38.258000,7318.0,2354.0,529.0,113.6312496,1,0.0,False
25431,0 days 00:56:38.317000,7306.787879436553,2364.7650362036047,529.2174680465232,114.0,1,0.0,False
25432,0 days 00:56:38.477000,7267.256340702886,2400.7867842965056,529.9970809365293,115.0,1,0.0,False
25433,0 days 00:56:38.478000,7267.0,2401.0,530.0,115.0291648,1,0.0,False
25434,0 days 00:56:38.717000,7201.998584799128,2446.1276359407616,530.0166584040368,122.0,1,0.0,False
25435,0 days 00:56:38.739000,7195.0,2450.0,530.0,122.43999744,1,0.0,False
25436,0 days 00:56:38.917000,7130.27856092067,2480.472904087868,529.9179757365669,126.0,1,0.0,False
25437,0 days 00:56:39.038000,7085.0,2498.0,530.0,129.45714102857144,1,2.162566038173251,True
25438,0 days 00:56:39.197000,7030.3641334614,2514.9617788290248,530.3553840913547,134.0,1,2.07393519810903,True
25439,0 days 00:56:39.478000,6935.0,2536.0,531.0,143.13249792,1,1.927686798926725,True
25440,0 days 00:56:39.539000,6911.0,2541.0,531.0,145.11499584,1,1.8900276643262746,True
25441,0 days 00:56:39.597000,6884.099449526836,2545.9183175937615,531.0856386626488,147.0,1,1.767369455071169,True
25442,0 days 00:56:39.837000,6750.952815918074,2565.8616812865826,531.9953193413178,154.0,1,1.6504198969688817,True
25443,0 days 00:56:39.839000,6750.0,2566.0,532.0,154.05999616,1,1.6034075357672275,True
25444,0 days 00:56:40.037000,6675.108137658759,2576.868185184316,532.0813093745572,160.0,1,1.5056686247487279,True
25445,0 days 00:56:40.278000,6578.0,2590.0,532.0,169.0374976,1,1.421279737822369,True
25446,0 days 00:56:40.357000,6528.383323579427,2596.388166411768,532.1678283229909,172.0,1,1.3172539160883086,True
25447,0 days 00:56:40.517000,6408.087225812227,2611.5415885932125,532.7379493150781,180.0,1,1.2192749637260183,True
25448,0 days 00:56:40.619000,6346.0,2619.0,533.0,184.00713782857142,1,1.1534887984862348,True
25449,0 days 00:56:40.797000,6280.518969374841,2625.8476821220847,533.1240083218042,191.0,1,1.1089466658125255,True
25450,0 days 00:56:40.998000,6217.0,2630.0,533.0,198.17856914285713,1,0.9813141103882647,True
25451,0 days 00:56:41.077000,6177.20029230541,2632.487970028431,532.9541393642564,201.0,1,0.9634555154593005,True
25452,0 days 00:56:41.238000,6083.0,2638.0,533.0,205.82999808,1,0.91319272183405,True
25453,0 days 00:56:41.277000,6061.577292625874,2639.091528861335,533.0808763079972,207.0,1,0.8747728816806423,True
25454,0 days 00:56:41.498000,5931.0,2642.0,534.0,212.50207455656752,1,0.8319762323437689,True
25455,0 days 00:56:41.518000,5914.933107407345,2641.790676241805,534.109124044446,213.0,1,0.797295920690903,True
25456,0 days 00:56:41.677000,5775.0,2638.0,535.0,216.9750016,1,0.7466484177151318,True
25457,0 days 00:56:41.798000,5702.231225098242,2635.1469376395617,535.4253695881981,220.0,1,0.7195138618954114,True
25458,0 days 00:56:41.998000,5623.839709206138,2629.2704781065763,535.8110623899385,225.0,1,0.6926873511722836,True
25459,0 days 00:56:42.058000,5588.0,2626.0,536.0,226.25,1,0.6826187259453241,True
25460,0 days 00:56:42.238000,5442.427592969358,2611.9898774844855,536.7817335640543,230.0,1,0.6211590689985029,True
25461,0 days 00:56:42.318000,5384.0,2606.0,537.0,231.8223231967456,1,0.6100206767107716,True
25462,0 days 00:56:42.598000,5241.0,2587.0,537.0,238.20045438535516,1,0.5549238473554472,True
25463,0 days 00:56:42.677000,5179.993867010767,2576.9038891739174,537.2822740039223,240.0,1,0.5324570509324288,True
25464,0 days 00:56:42.877000,4981.59879861077,2542.3189563713595,538.6152880618238,243.0,1,0.47534303192339344,False
25465,0 days 00:56:42.978000,4909.0,2529.0,539.0,244.8937488,1,0.455870882549357,False
25466,0 days 00:56:43.197000,4832.179760104528,2512.34208771179,538.9543632913854,249.0,1,0.4221685766562709,False
25467,0 days 00:56:43.238000,4814.0,2508.0,539.0,249.43928502857142,1,0.3932182289492004,False
25468,0 days 00:56:43.477000,4651.714918508136,2469.1753873800553,539.9950858033208,252.0,1,0.34948535113747575,False
25469,0 days 00:56:43.478000,4651.0,2469.0,540.0,252.0166656,1,0.3048028086004085,False
25470,0 days 00:56:43.658000,4528.0,2438.0,541.0,255.0166656,1,0.2709927093799667,False
25471,0 days 00:56:43.717000,4490.191862334132,2428.1626512848293,541.5067655329966,256.0,1,0.26029330907048726,False
25472,0 days 00:56:43.877000,4389.732218792429,2401.032236039564,543.4242986173691,259.0,1,0.2271900970691977,False
25473,0 days 00:56:43.978000,4307.0,2377.0,545.0,259.8416661333333,1,0.21284858002115467,False
25474,0 days 00:56:44.117000,4160.932508176885,2332.7469294158977,547.584784556044,261.0,1,0.1678344972142975,False
25475,0 days 00:56:44.198000,4084.0,2309.0,549.0,261.73636305454545,1,0.1530112537279505,False
25476,0 days 00:56:44.557000,3897.295339395015,2247.8407427392954,552.8526963429501,265.0,1,0.11105101499538415,False
25477,0 days 00:56:44.578000,3883.0,2243.0,553.0,265.28636276363636,1,0.10228775595991156,False
25478,0 days 00:56:44.838000,3653.0,2165.0,554.0,268.8318173090909,1,0.061226825856353834,False
25479,0 days 00:56:44.997000,3528.337631515446,2121.9212140314717,553.1367564579524,271.0,1,0.03330050595698522,False
25480,0 days 00:56:45.118000,3441.0,2091.0,552.0,272.0083328,1,0.02397930516387642,False
25481,0 days 00:56:45.357000,3269.9268111975025,2028.335772004932,549.221862984175,274.0,1,-0.006373986755141935,False
25482,0 days 00:56:45.438000,3213.0,2007.0,548.0,275.0124992,1,-0.018748991795468444,False
25483,0 days 00:56:45.517000,3158.162148864979,1986.2479044324466,546.6386113907522,276.0,1,-0.02075827551697159,False
25484,0 days 00:56:45.598000,3098.0,1963.0,545.0,274.55357257142856,1,-0.025993515353483956,False
25485,0 days 00:56:45.797000,2922.1868053909866,1892.470482220353,539.9462450807263,271.0,1,-0.04026341689079231,False
25486,0 days 00:56:45.839000,2889.0,1879.0,539.0,267.8500096,1,-0.012477921188397537,False
25487,0 days 00:56:46.037000,2772.772189033339,1831.4727932770854,535.8483815066548,253.0,1,-0.023044460717817312,False
25488,0 days 00:56:46.237000,2678.688178541492,1791.156400476251,533.3344927540528,242.0,1,-0.04393987718879971,False
25489,0 days 00:56:46.258000,2667.0,1786.0,533.0,238.94546385454547,1,-0.01886417554346607,False
25490,0 days 00:56:46.478000,2532.0,1725.0,529.0,206.94546385454547,1,-0.05447450751728726,False
25491,0 days 00:56:46.677000,2426.8502589790023,1674.962394659479,526.0005992197006,178.0,1,-0.0106537989131831,False
25492,0 days 00:56:46.837000,2359.236569496091,1641.564413088224,524.3155058181758,170.0,1,-0.028203869557171066,False
25493,0 days 00:56:46.879000,2344.0,1634.0,524.0,167.2437584,1,0.03365409432116812,False
25494,0 days 00:56:47.139000,2267.0,1596.0,523.0,150.1812584,1,0.04320212210102528,False
25495,0 days 00:56:47.157000,2261.806262866228,1593.556194679257,522.9555063174569,149.0,1,0.04721119023857977,False
25496,0 days 00:56:47.357000,2201.730198944199,1566.8304116420434,522.5277162902205,139.0,1,0.07829041563318077,False
25497,0 days 00:56:47.498000,2157.0,1552.0,522.0,133.2718776,1,0.09897400942846586,False
25498,0 days 00:56:47.677000,2098.565394909785,1541.374029008636,521.0438261828691,126.0,1,0.13393351058933514,False
25499,0 days 00:56:47.698000,2092.0,1541.0,521.0,125.7375008,1,0.23426832493936522,False
25500,0 days 00:56:47.818000,2056.0,1543.0,521.0,124.2375008,1,0.3261453925946271,False
25501,0 days 00:56:47.837000,2050.365758764604,1544.014035947095,520.9597522711508,124.0,1,0.36382743218063257,False
25502,0 days 00:56:48.078000,1980.0,1573.0,520.0,120.99688493395837,1,0.485817168772756,False
25503,0 days 00:56:48.158000,1958.0223499214248,1588.4628061655324,520.5529702025208,120.0,1,0.5930530903055065,True
25504,0 days 00:56:48.238000,1937.0,1606.0,521.0,117.5,1,0.6513138134813226,True
25505,0 days 00:56:48.318000,1917.0710157992262,1624.8812252188727,520.6539823616054,115.0,1,0.7852952417863606,True
25506,0 days 00:56:48.397000,1898.0,1644.0,520.0,114.7531248,1,0.8386147819867819,True
25507,0 days 00:56:48.638000,1840.4174512016793,1699.6520390454723,518.6940073265042,114.0,1,0.9551550339657037,True
25508,0 days 00:56:48.717000,1821.0,1716.0,518.0,114.0,1,1.0146629022001612,True
25509,0 days 00:56:48.838000,1790.3389337018546,1738.6699781967368,516.4144809404524,114.0,1,1.059451377064938,True
25510,0 days 00:56:48.957000,1760.0,1758.0,515.0,112.5124992,1,1.1282861187339361,True
25511,0 days 00:56:48.998000,1749.7084290418763,1763.9405970907478,514.7179884020389,112.0,1,1.1431291431378572,True
25512,0 days 00:56:49.138000,1711.0,1782.0,514.0,110.59296527663429,1,1.180356865608973,True
25513,0 days 00:56:49.197000,1689.4981754501143,1789.046327554341,513.3482052892725,110.0,1,1.2276356443561893,True
25514,0 days 00:56:49.358000,1624.0,1805.0,511.0,107.9875008,1,1.2900903954278249,True
25515,0 days 00:56:49.437000,1597.8624919042172,1809.4250203547485,510.18417572691357,107.0,1,1.3200723189247259,True
25516,0 days 00:56:49.717000,1531.7043442108152,1810.3254853004262,509.0315415990734,102.0,1,1.3728122226345945,True
25517,0 days 00:56:49.738000,1527.0,1810.0,509.0,101.55000137142858,1,1.390369531629778,True
25518,0 days 00:56:49.997000,1467.6761328034945,1802.2852454168928,508.98925191206024,96.0,1,1.4397776059221252,True
25519,0 days 00:56:50.038000,1458.0,1800.0,509.0,95.77222257777778,1,1.4627093183637634,True
25520,0 days 00:56:50.318000,1391.0,1775.0,509.0,94.21666702222223,1,1.4934423720473844,True
25521,0 days 00:56:50.357000,1382.044902192308,1770.2429234751394,509.0026218433895,94.0,1,1.5186838512883067,True
