,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,693.0,2754.0,529.0,135.1062512,1,0.0,False
25398,0 days 00:56:34.197000,738.8104282469761,2704.3499328047137,527.8776084356164,134.0,1,0.0,False
25399,0 days 00:56:34.317000,793.0,2658.0,527.0,131.75,1,0.0,False
25400,0 days 00:56:34.357000,809.188863836807,2646.447485755522,527.0597245190681,131.0,1,0.0,False
25401,0 days 00:56:34.618000,893.0,2608.0,530.0,131.93214262857143,1,0.0,False
25402,0 days 00:56:34.637000,897.7758696500581,2606.306204515412,530.1598622820936,132.0,1,0.0,False
25403,0 days 00:56:34.837000,938.5546099325154,2593.9305389293995,530.9561611085276,136.0,1,0.0,False
25404,0 days 00:56:34.978000,976.0,2589.0,533.0,138.805969769065,1,0.0,False
25405,0 days 00:56:35.038000,997.22987990132,2587.4964495278177,534.6415792227118,140.0,1,0.0,False
25406,0 days 00:56:35.218000,1072.0,2587.0,541.0,145.78571428571428,1,0.0,False
25407,0 days 00:56:35.318000,1111.5898817973814,2591.5070826876968,543.920965927458,149.0,1,0.0,False
25408,0 days 00:56:35.438000,1166.0,2603.0,548.0,153.5,1,0.0,False
25409,0 days 00:56:35.478000,1188.5830393929743,2608.682814705524,549.8746895933011,155.0,1,0.0,False
25410,0 days 00:56:35.758000,1371.0,2661.0,566.0,165.5329132473152,1,0.0,False
25411,0 days 00:56:35.797000,1389.4956485625926,2666.4156316996564,567.5182606960661,167.0,1,0.0,False
25412,0 days 00:56:35.957000,1440.006491520793,2681.1492722353146,571.0305049954638,171.0,1,0.0,False
25413,0 days 00:56:36.178000,1505.0,2702.0,574.0,181.26071131428571,1,0.0,False
25414,0 days 00:56:36.237000,1532.4857801789644,2711.2699368031094,575.3655856266985,184.0,1,0.0,False
25415,0 days 00:56:36.358000,1592.0,2732.0,578.0,188.0333312,1,0.0,False
25416,0 days 00:56:36.477000,1632.8968867432104,2747.850649092697,578.4856918209427,192.0,1,0.0,False
25417,0 days 00:56:36.558000,1645.0,2753.0,579.0,193.5187488,1,0.0,False
25418,0 days 00:56:36.618000,1647.0,2754.0,580.0,194.6437488,1,0.0,False
25419,0 days 00:56:36.637000,1650.1601827640307,2755.26754184266,580.3870048169368,195.0,1,0.0,False
25420,0 days 00:56:36.858000,1773.0,2802.0,586.0,204.20833066666665,1,0.0,False
25421,0 days 00:56:36.877000,1784.3261659154314,2806.1467692333417,586.408782370637,205.0,1,0.0,False
25422,0 days 00:56:37.037000,1871.1851299431055,2836.710631555072,589.1032072953745,208.0,1,0.0,False
25423,0 days 00:56:37.098000,1904.0,2848.0,590.0,209.5249984,1,0.0,False
25424,0 days 00:56:37.317000,2028.0,2890.0,593.0,215.0,1,0.0,False
25425,0 days 00:56:37.357000,2051.3365717492993,2897.595435347737,593.4497837183048,216.0,1,0.0,False
25426,0 days 00:56:37.517000,2145.4465503717374,2927.0084797026693,594.8135516780112,221.0,1,0.0,False
