,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,8701.0,2668.0,530.0,225.6312496,1,0.0,False
25398,0 days 00:56:34.197000,8698.264996000838,2548.9133030209186,530.1674843259866,226.0,1,0.0,False
25399,0 days 00:56:34.317000,8689.0,2428.0,531.0,227.5,1,0.0,False
25400,0 days 00:56:34.357000,8684.999219554717,2396.2496129134515,531.4894572725623,228.0,1,0.0,False
25401,0 days 00:56:34.618000,8652.0,2269.0,536.0,231.7285705142857,1,0.0,False
25402,0 days 00:56:34.637000,8649.681643588337,2261.9391784505106,536.2531594204801,232.0,1,0.0,False
25403,0 days 00:56:34.837000,8626.659932363296,2196.4066598665963,537.9824094912533,234.0,1,0.0,False
25404,0 days 00:56:34.978000,8599.0,2137.0,540.0,235.4029848845325,1,0.0,False
25405,0 days 00:56:35.038000,8582.25386763564,2104.6845070797444,541.3562096208277,236.0,1,0.0,False
25406,0 days 00:56:35.218000,8521.0,1995.0,546.0,239.21428571428572,1,0.0,False
25407,0 days 00:56:35.318000,8487.71098232755,1940.235981236186,547.5551016351369,241.0,1,0.0,False
25408,0 days 00:56:35.438000,8442.0,1868.0,549.0,242.5,1,0.0,False
25409,0 days 00:56:35.478000,8423.27886709873,1838.3768095829894,549.5790263521671,243.0,1,0.0,False
25410,0 days 00:56:35.758000,8274.0,1602.0,554.0,246.5109710824384,1,0.0,False
25411,0 days 00:56:35.797000,8258.962783726343,1578.2572053740298,554.3919305737716,247.0,1,0.0,False
25412,0 days 00:56:35.957000,8218.182972690927,1514.2030422483158,555.2218627870196,250.0,1,0.0,False
25413,0 days 00:56:36.178000,8170.0,1436.0,555.0,252.36785645714286,1,0.0,False
25414,0 days 00:56:36.237000,8150.3562164681325,1403.2918641411054,554.7947792703628,253.0,1,0.0,False
25415,0 days 00:56:36.358000,8105.0,1327.0,554.0,254.5124992,1,0.0,False
25416,0 days 00:56:36.477000,8061.965700063378,1253.3821487296727,552.3563772505313,256.0,1,0.0,False
25417,0 days 00:56:36.558000,8034.0,1203.0,551.0,256.0,1,0.0,False
