,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,7234.0,3627.0,598.0,291.3687504,1,0.0,False
25398,0 days 00:56:34.197000,7402.337748120723,3622.54242385722,595.8702566972462,291.0,1,0.0,False
25399,0 days 00:56:34.317000,7568.0,3616.0,593.0,287.25,1,0.0,False
25400,0 days 00:56:34.357000,7612.355230275314,3613.6196088983834,592.0995542438312,286.0,1,0.0,False
25401,0 days 00:56:34.618000,7795.0,3597.0,587.0,272.9500032,1,0.0,False
25402,0 days 00:56:34.637000,7804.470000076929,3595.890715816341,586.6921036145426,272.0,1,0.0,False
25403,0 days 00:56:34.837000,7883.025420918252,3584.9875755536177,583.9198285120375,262.0,1,0.0,False
25404,0 days 00:56:34.978000,7948.0,3569.0,581.0,254.9850755773375,1,0.0,False
25405,0 days 00:56:35.038000,7983.396074685093,3558.624113205089,579.2742903291353,252.0,1,0.0,False
25406,0 days 00:56:35.218000,8103.0,3518.0,573.0,245.57142857142858,1,0.0,False
25407,0 days 00:56:35.318000,8161.549570251781,3493.096703283181,569.5367345995837,242.0,1,0.0,False
25408,0 days 00:56:35.438000,8233.0,3452.0,565.0,239.75,1,0.0,False
25409,0 days 00:56:35.478000,8260.088838315998,3432.903141310569,563.2578242796382,239.0,1,0.0,False
25410,0 days 00:56:35.758000,8458.0,3263.0,550.0,231.10031506451358,1,0.0,False
25411,0 days 00:56:35.797000,8476.523904943046,3244.978321216048,548.590460645281,230.0,1,0.0,False
25412,0 days 00:56:35.957000,8521.77299948114,3193.4490233238494,544.3625250509692,225.0,1,0.0,False
25413,0 days 00:56:36.178000,8561.0,3123.0,540.0,221.05357257142856,1,0.0,False
25414,0 days 00:56:36.237000,8577.217537253215,3093.9362096984996,538.6571405532864,220.0,1,0.0,False
25415,0 days 00:56:36.358000,8613.0,3026.0,536.0,218.9916672,1,0.0,False
25416,0 days 00:56:36.477000,8640.850198035387,2959.225932798299,534.1974380484262,218.0,1,0.0,False
25417,0 days 00:56:36.558000,8657.0,2913.0,533.0,218.0,1,0.0,False
25418,0 days 00:56:36.618000,8668.0,2878.0,532.0,218.0,1,0.0,False
25419,0 days 00:56:36.637000,8671.133375445968,2866.8861883360364,531.7179863903283,218.0,1,0.0,False
25420,0 days 00:56:36.858000,8695.0,2737.0,530.0,216.15833386666668,1,0.0,False
25421,0 days 00:56:36.877000,8696.224276187073,2725.6899099330285,529.955398737916,216.0,1,0.0,False
25422,0 days 00:56:37.037000,8701.93273136142,2629.321113668068,530.0348052957305,217.0,1,0.0,False
25423,0 days 00:56:37.098000,8702.0,2592.0,530.0,217.3812496,1,0.0,False
25424,0 days 00:56:37.317000,8693.0,2458.0,530.0,218.75,1,0.0,False
25425,0 days 00:56:37.357000,8689.910486967632,2434.9283514668514,530.5551191763426,219.0,1,0.0,False
25426,0 days 00:56:37.517000,8673.29323650271,2347.262326455865,534.2815400904706,222.0,1,0.0,False
25427,0 days 00:56:37.558000,8668.0,2325.0,535.0,222.66624896,1,0.0,False
25428,0 days 00:56:37.738000,8635.0,2220.0,537.0,225.59124896,1,0.0,False
25429,0 days 00:56:38.018000,8526.0,2004.0,545.0,230.14124896,1,0.0,False
25430,0 days 00:56:38.258000,8478.0,1926.0,548.0,234.04124896,1,0.0,False
25431,0 days 00:56:38.317000,8460.577763068137,1898.593633629008,548.7675671811829,235.0,1,0.0,False
25432,0 days 00:56:38.477000,8401.362888839616,1804.5761845772574,550.9887287359743,235.0,1,0.0,False
25433,0 days 00:56:38.478000,8401.0,1804.0,551.0,235.0249984,1,0.0,False
25434,0 days 00:56:38.717000,8317.296898722429,1671.1853475852192,552.8425039545036,241.0,1,0.0,False
25435,0 days 00:56:38.739000,8309.0,1658.0,553.0,241.32999808,1,0.0,False
