,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,7680.0,3609.0,591.0,266.9000064,1,0.0,False
25398,0 days 00:56:34.197000,7810.967664642139,3592.6691069975445,586.3278479320292,261.0,1,0.0,False
25399,0 days 00:56:34.317000,7944.0,3570.0,581.0,254.25,1,0.0,False
25400,0 days 00:56:34.357000,7980.095228233383,3561.7218986855632,579.4822851143904,252.0,1,0.0,False
25401,0 days 00:56:34.618000,8133.0,3505.0,572.0,244.54285897142856,1,0.0,False
25402,0 days 00:56:34.637000,8140.92201998529,3501.474309524095,571.5233639298837,244.0,1,0.0,False
25403,0 days 00:56:34.837000,8205.375151347767,3470.346550922682,566.7838696140383,238.0,1,0.0,False
25404,0 days 00:56:34.978000,8257.0,3437.0,563.0,233.79104534640248,1,0.0,False
25405,0 days 00:56:35.038000,8284.91346901226,3417.022583176305,561.1570915502787,232.0,1,0.0,False
25406,0 days 00:56:35.218000,8378.0,3344.0,555.0,228.78571428571428,1,0.0,False
25407,0 days 00:56:35.318000,8421.940264933872,3303.790731830885,551.4098124464615,227.0,1,0.0,False
25408,0 days 00:56:35.438000,8473.0,3245.0,547.0,224.0,1,0.0,False
25409,0 days 00:56:35.478000,8491.665933947352,3219.4775637747857,545.5143477479976,223.0,1,0.0,False
25410,0 days 00:56:35.758000,8622.0,3005.0,536.0,221.2445144587808,1,0.0,False
25411,0 days 00:56:35.797000,8633.75149273402,2982.9450849545524,535.0944332203336,221.0,1,0.0,False
25412,0 days 00:56:35.957000,8660.83536422004,2922.017488025773,532.674660151027,221.0,1,0.0,False
25413,0 days 00:56:36.178000,8677.0,2843.0,531.0,221.7892854857143,1,0.0,False
25414,0 days 00:56:36.237000,8683.299397772638,2809.939892630326,530.5677667117986,222.0,1,0.0,False
25415,0 days 00:56:36.358000,8696.0,2733.0,530.0,222.5041664,1,0.0,False
25416,0 days 00:56:36.477000,8702.201339778565,2659.3469177810225,530.4385966243898,223.0,1,0.0,False
25417,0 days 00:56:36.558000,8703.0,2609.0,530.0,223.5062496,1,0.0,False
25418,0 days 00:56:36.618000,8702.0,2571.0,529.0,223.8812496,1,0.0,False
25419,0 days 00:56:36.637000,8701.47854852751,2558.9609939244187,528.8234954859159,224.0,1,0.0,False
25420,0 days 00:56:36.858000,8688.0,2420.0,532.0,226.7624992,1,0.0,False
25421,0 days 00:56:36.877000,8686.048191762578,2408.1671941535906,532.3488757184623,227.0,1,0.0,False
25422,0 days 00:56:37.037000,8664.166439129996,2309.300600635382,534.986162403373,229.0,1,0.0,False
25423,0 days 00:56:37.098000,8653.0,2272.0,536.0,230.1437488,1,0.0,False
25424,0 days 00:56:37.317000,8600.0,2140.0,540.0,234.25,1,0.0,False
25425,0 days 00:56:37.357000,8588.402271660229,2116.251479875276,540.7856608491653,235.0,1,0.0,False
