,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,8052.0,3538.0,576.0,248.4250048,1,0.0,False
25398,0 days 00:56:34.197000,8164.64180565637,3486.0598727325755,569.1651631238515,244.0,1,0.0,False
25399,0 days 00:56:34.317000,8277.0,3424.0,562.0,242.5,1,0.0,False
25400,0 days 00:56:34.357000,8306.720659717055,3404.7721366255387,560.012896525086,242.0,1,0.0,False
25401,0 days 00:56:34.618000,8425.0,3299.0,551.0,236.40714422857144,1,0.0,False
25402,0 days 00:56:34.637000,8430.953036183511,3292.8609513557094,550.4870556178563,236.0,1,0.0,False
25403,0 days 00:56:34.837000,8478.95445515132,3240.28905960868,545.9188550836305,230.0,1,0.0,False
25404,0 days 00:56:34.978000,8515.0,3191.0,543.0,228.5970151154675,1,0.0,False
25405,0 days 00:56:35.038000,8533.87259222436,3162.812895636028,541.7341258434035,228.0,1,0.0,False
25406,0 days 00:56:35.218000,8595.0,3063.0,538.0,226.71428571428572,1,0.0,False
25407,0 days 00:56:35.318000,8622.450084255745,3009.915576321458,536.1388371689173,226.0,1,0.0,False
25408,0 days 00:56:35.438000,8650.0,2936.0,534.0,225.25,1,0.0,False
25409,0 days 00:56:35.478000,8658.391490680651,2904.960390147612,533.2742015684985,225.0,1,0.0,False
25410,0 days 00:56:35.758000,8702.0,2652.0,529.0,226.7554855412192,1,0.0,False
25411,0 days 00:56:35.797000,8704.866545960627,2626.4507055891845,528.7830412059268,227.0,1,0.0,False
25412,0 days 00:56:35.957000,8707.592400139503,2557.3398060716445,529.0600755629498,227.0,1,0.0,False
25413,0 days 00:56:36.178000,8695.0,2474.0,531.0,228.57857097142858,1,0.0,False
25414,0 days 00:56:36.237000,8689.767475588193,2439.5050728501415,531.551737379854,229.0,1,0.0,False
25415,0 days 00:56:36.358000,8676.0,2360.0,533.0,231.0166656,1,0.0,False
25416,0 days 00:56:36.477000,8657.248152111266,2285.9249579258253,535.3907060049831,233.0,1,0.0,False
25417,0 days 00:56:36.558000,8641.0,2237.0,537.0,233.0,1,0.0,False
25418,0 days 00:56:36.618000,8627.0,2201.0,538.0,233.0,1,0.0,False
25419,0 days 00:56:36.637000,8622.270630857127,2189.613576194553,538.3334661383341,233.0,1,0.0,False
25420,0 days 00:56:36.858000,8558.0,2058.0,543.0,236.68333226666667,1,0.0,False
25421,0 days 00:56:36.877000,8551.796948975902,2046.8619628536067,543.4195457416599,237.0,1,0.0,False
25422,0 days 00:56:37.037000,8495.993552841393,1954.2235372386601,546.8823551444066,240.0,1,0.0,False
25423,0 days 00:56:37.098000,8474.0,1919.0,548.0,240.953124,1,0.0,False
25424,0 days 00:56:37.317000,8394.0,1792.0,551.0,244.375,1,0.0,False
25425,0 days 00:56:37.357000,8379.259765590037,1768.7253392614236,551.523342724162,245.0,1,0.0,False
25426,0 days 00:56:37.517000,8320.533848513685,1676.0844226246156,553.5791376144572,248.0,1,0.0,False
25427,0 days 00:56:37.558000,8306.0,1653.0,554.0,248.56374912,1,0.0,False
25428,0 days 00:56:37.738000,8240.0,1547.0,555.0,251.03874912,1,0.0,False
25429,0 days 00:56:38.018000,8100.0,1319.0,553.0,254.88874912,1,0.0,False
25430,0 days 00:56:38.258000,8050.0,1232.0,552.0,258.18874912,1,0.0,False
25431,0 days 00:56:38.317000,8033.319221986352,1200.6648561822055,551.1673104028642,259.0,1,0.0,False
25432,0 days 00:56:38.477000,7977.335487823097,1092.6677612872572,548.0180120212837,260.0,1,0.0,False
25433,0 days 00:56:38.478000,7977.0,1092.0,548.0,260.0041664,1,0.0,False
25434,0 days 00:56:38.717000,7902.975888430768,936.4000815644152,544.3495322591126,261.0,1,0.0,False
25435,0 days 00:56:38.739000,7896.0,921.0,544.0,260.78000128,1,0.0,False
25436,0 days 00:56:38.917000,7836.25711258004,785.5512343236625,540.8560262019304,259.0,1,0.0,False
25437,0 days 00:56:39.038000,7798.0,698.0,539.0,250.78929005714286,1,-1.5096598406576995,True
25438,0 days 00:56:39.197000,7755.920396177823,602.9372034068901,537.4655575401209,240.0,1,-1.5387520336294727,True
25439,0 days 00:56:39.478000,7688.0,464.0,535.0,221.73500416,1,-1.5695854481329912,True
25440,0 days 00:56:39.539000,7670.0,432.0,534.0,217.77000832,1,-1.5859839893078216,True
25441,0 days 00:56:39.597000,7649.637871189761,399.2744172575487,533.1906464244341,214.0,1,-1.5847760076339295,True
25442,0 days 00:56:39.837000,7546.760848330901,259.91712540074184,531.0195875446967,206.0,1,-1.6504864520957636,True
25443,0 days 00:56:39.839000,7546.0,259.0,531.0,205.94000384,1,-1.641791509008536,True
25444,0 days 00:56:40.037000,7483.398706144358,194.0646965235916,528.732244031996,200.0,1,-1.6653972423253671,True
25445,0 days 00:56:40.278000,7389.0,149.0,526.0,196.234376,1,-1.7088051480324864,True
25446,0 days 00:56:40.357000,7338.952757378495,132.41637057684275,525.3669749087943,195.0,1,-1.6937068939592765,True
25447,0 days 00:56:40.517000,7216.21331310479,97.75814530503187,524.4532373709087,188.0,1,-1.7250159443553272,True
25448,0 days 00:56:40.619000,7153.0,82.0,524.0,188.7285705142857,1,-1.744595419638147,True
25449,0 days 00:56:40.797000,7087.199542206221,70.21265476392578,523.3796994314407,190.0,1,-1.7535746228895137,True
25450,0 days 00:56:40.998000,7025.0,69.0,523.0,192.15357074285714,1,-1.7520039704960049,True
25451,0 days 00:56:41.077000,6985.935959697451,68.17283923967506,522.9633270968654,193.0,1,-1.792999972795225,True
25452,0 days 00:56:41.238000,6894.0,67.0,523.0,195.41499904,1,-1.8285287182269823,True
25453,0 days 00:56:41.277000,6873.401095420885,67.17935730430005,523.0047790646034,196.0,1,-1.8275137120122056,True
25454,0 days 00:56:41.498000,6751.0,74.0,523.0,196.91701242609457,1,-1.894449113095824,True
25455,0 days 00:56:41.518000,6736.186936035964,75.44155910853635,522.9994315031448,197.0,1,-1.8886064389611206,True
25456,0 days 00:56:41.677000,6608.0,90.0,523.0,200.40714422857144,1,-1.962836849488553,True
25457,0 days 00:56:41.798000,6542.100197227708,98.74946931102639,523.0107729358052,203.0,1,-2.0166397059299146,True
25458,0 days 00:56:41.998000,6472.826525780767,113.05295237926164,523.0184652686675,206.0,1,-2.086568411248821,True
25459,0 days 00:56:42.058000,6441.0,121.0,523.0,207.25,1,-2.104178329881744,True
25460,0 days 00:56:42.238000,6311.20140193428,155.29411390730786,522.9100555863881,211.0,1,-2.1791682316722767,True
25461,0 days 00:56:42.318000,6259.0,170.0,523.0,211.3644646393491,1,-2.2079348605896034,True
25462,0 days 00:56:42.598000,6136.0,215.0,524.0,212.64009087707103,1,-2.2805277111843227,True
25463,0 days 00:56:42.677000,6088.779857364394,237.27272480639718,524.134050931724,213.0,1,-2.315158543370623,True
25464,0 days 00:56:42.877000,5941.410929920891,311.66710647630475,524.0537689913715,195.0,1,-2.4017504962829435,True
25465,0 days 00:56:42.978000,5890.0,339.0,524.0,186.7937552,1,-2.4536818701817253,True
25466,0 days 00:56:43.197000,5844.782276079925,368.45689302644365,523.9948393459538,169.0,1,-2.4888674032311773,True
25467,0 days 00:56:43.238000,5835.0,376.0,524.0,166.21786148571428,1,-2.5611495918414344,True
25468,0 days 00:56:43.477000,5747.352497011425,444.7032739443664,524.0004139371288,150.0,1,-2.613779416407772,True
25469,0 days 00:56:43.478000,5747.0,445.0,524.0,149.9833344,1,-2.5858038716495435,True
