,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,3248.0,2020.0,549.0,272.8937488,1,0.0,False
25398,0 days 00:56:34.197000,3115.237235744106,1968.9907139375243,545.6851256543691,274.0,1,0.0,False
25399,0 days 00:56:34.317000,2977.0,1915.0,542.0,274.0,1,0.0,False
25400,0 days 00:56:34.357000,2938.941377478177,1899.8431356841847,540.9507542829688,274.0,1,0.0,False
25401,0 days 00:56:34.618000,2773.0,1831.0,536.0,264.67857371428573,1,0.0,False
25402,0 days 00:56:34.637000,2764.4434293648474,1827.408346660028,535.7291308250581,264.0,1,0.0,False
25403,0 days 00:56:34.837000,2696.61228406722,1799.0167721179541,533.485993542573,240.0,1,0.0,False
25404,0 days 00:56:34.978000,2644.0,1776.0,532.0,223.86567382787624,1,0.0,False
25405,0 days 00:56:35.038000,2615.6527246424394,1763.2804331385116,531.2983927933033,217.0,1,0.0,False
25406,0 days 00:56:35.218000,2521.0,1720.0,529.0,197.71428571428572,1,0.0,False
25407,0 days 00:56:35.318000,2475.768033489551,1698.8354049143834,527.6607976111379,187.0,1,0.0,False
25408,0 days 00:56:35.438000,2420.0,1672.0,526.0,180.25,1,0.0,False
25409,0 days 00:56:35.478000,2398.223669474467,1661.3287413572336,525.4327613674836,178.0,1,0.0,False
25410,0 days 00:56:35.758000,2234.0,1580.0,522.0,156.05643073475997,1,0.0,False
25411,0 days 00:56:35.797000,2218.4158037215107,1572.5150482558058,521.7924779771996,153.0,1,0.0,False
25412,0 days 00:56:35.957000,2179.7971004968867,1555.1966330981234,521.7798454448964,147.0,1,0.0,False
25413,0 days 00:56:36.178000,2139.0,1547.0,522.0,140.68571611428573,1,0.0,False
25414,0 days 00:56:36.237000,2120.903580632047,1544.3997267091304,521.7535201417062,139.0,1,0.0,False
25415,0 days 00:56:36.358000,2079.0,1541.0,521.0,135.9750016,1,0.0,False
25416,0 days 00:56:36.477000,2041.4450449200979,1545.4257734208245,520.2699384633449,133.0,1,0.0,False
25417,0 days 00:56:36.558000,2017.0,1553.0,520.0,130.468752,1,0.0,False
25418,0 days 00:56:36.618000,1999.0,1561.0,520.0,128.593752,1,0.0,False
25419,0 days 00:56:36.637000,1993.337454737049,1563.9704738893342,520.0354971333666,128.0,1,0.0,False
25420,0 days 00:56:36.858000,1930.0,1611.0,521.0,122.4750016,1,0.0,False
25421,0 days 00:56:36.877000,1924.9462687761472,1615.5907512512222,521.0109970143335,122.0,1,0.0,False
25422,0 days 00:56:37.037000,1884.8914268261137,1655.9813734022575,520.4302834478534,119.0,1,0.0,False
25423,0 days 00:56:37.098000,1870.0,1671.0,520.0,118.6187504,1,0.0,False
25424,0 days 00:56:37.317000,1816.0,1720.0,518.0,117.25,1,0.0,False
25425,0 days 00:56:37.357000,1805.7966350850436,1727.8466988852979,517.6882691328508,117.0,1,0.0,False
25426,0 days 00:56:37.517000,1763.8671852186396,1755.6725648159995,516.49375155316,117.0,1,0.0,False
25427,0 days 00:56:37.558000,1753.0,1762.0,516.0,116.33375104,1,0.0,False
25428,0 days 00:56:37.738000,1701.0,1786.0,513.0,113.40875104,1,0.0,False
25429,0 days 00:56:38.018000,1587.0,1809.0,510.0,108.85875104,1,0.0,False
25430,0 days 00:56:38.258000,1546.0,1811.0,509.0,104.95875104,1,0.0,False
25431,0 days 00:56:38.317000,1531.9387623274285,1810.0235347666705,508.6989394043309,104.0,1,0.0,False
25432,0 days 00:56:38.477000,1484.2874017765612,1805.0426030129345,508.00089971297876,102.0,1,0.0,False
25433,0 days 00:56:38.478000,1484.0,1805.0,508.0,101.9875008,1,0.0,False
25434,0 days 00:56:38.717000,1420.729308428534,1789.3337227828686,508.888573396113,99.0,1,0.0,False
25435,0 days 00:56:38.739000,1415.0,1787.0,509.0,98.67000192,1,0.0,False
25436,0 days 00:56:38.917000,1367.9307479233653,1761.6457513570438,509.8120072738245,96.0,1,0.0,False
25437,0 days 00:56:39.038000,1339.0,1742.0,510.0,93.83928685714285,1,1.524678142663471,True
25438,0 days 00:56:39.197000,1308.2716466549807,1717.0823289850794,509.5459639220771,91.0,1,1.5472535821849056,True
25439,0 days 00:56:39.478000,1268.0,1669.0,510.0,93.10749952,1,1.5588550369125507,True
25440,0 days 00:56:39.539000,1260.0,1656.0,511.0,93.56499904,1,1.557828803193192,True
25441,0 days 00:56:39.597000,1251.9814395388428,1641.0763843178743,511.6691124734342,94.0,1,1.568603154366718,True
25442,0 days 00:56:39.837000,1219.2017828997646,1564.562008157342,511.9963944966559,97.0,1,1.5334588071388648,True
25443,0 days 00:56:39.839000,1219.0,1564.0,512.0,97.03999744,1,1.5378182552359576,True
25444,0 days 00:56:40.037000,1206.355234377977,1518.358935342195,512.8074299398123,101.0,1,1.5164497079149153,True
25445,0 days 00:56:40.278000,1206.0,1456.0,514.0,105.5187488,1,1.4529187345774646,True
