,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,6658.0,3621.0,592.0,289.3687504,1,0.0,False
25398,0 days 00:56:34.197000,6796.137007853965,3625.087852327713,595.1667159006889,289.0,1,0.0,False
25399,0 days 00:56:34.317000,6943.0,3628.0,598.0,289.0,1,0.0,False
25400,0 days 00:56:34.357000,6984.481268834798,3628.441432135421,598.5753693686438,289.0,1,0.0,False
25401,0 days 00:56:34.618000,7182.0,3627.0,599.0,289.0,1,0.0,False
25402,0 days 00:56:34.637000,7193.804384701172,3626.880693372977,598.9590534249111,289.0,1,0.0,False
25403,0 days 00:56:34.837000,7304.090033785812,3626.0977771703833,598.2937612038596,289.0,1,0.0,False
25404,0 days 00:56:34.978000,7389.0,3624.0,597.0,277.0746284814737,1,0.0,False
25405,0 days 00:56:35.038000,7430.592004697613,3622.383197286222,596.1501405901533,272.0,1,0.0,False
25406,0 days 00:56:35.218000,7564.0,3616.0,593.0,264.92857142857144,1,0.0,False
25407,0 days 00:56:35.318000,7631.063887512878,3612.6884464920245,591.4065457116218,261.0,1,0.0,False
25408,0 days 00:56:35.438000,7717.0,3605.0,589.0,249.75,1,0.0,False
25409,0 days 00:56:35.478000,7750.810507392916,3600.3804752490796,587.8782530266125,246.0,1,0.0,False
25410,0 days 00:56:35.758000,8009.0,3551.0,578.0,234.58934398207518,1,0.0,False
25411,0 days 00:56:35.797000,8034.156466926005,3544.955869299777,577.0080182894068,233.0,1,0.0,False
25412,0 days 00:56:35.957000,8099.417493365287,3524.6811815800233,574.4171947629972,227.0,1,0.0,False
25413,0 days 00:56:36.178000,8169.0,3487.0,570.0,223.84285805714285,1,0.0,False
25414,0 days 00:56:36.237000,8197.718485760173,3471.19788651516,567.8123690905622,223.0,1,0.0,False
25415,0 days 00:56:36.358000,8263.0,3433.0,563.0,218.9666688,1,0.0,False
25416,0 days 00:56:36.477000,8320.82858051677,3391.605374776126,559.8860933605462,215.0,1,0.0,False
25417,0 days 00:56:36.558000,8358.0,3361.0,557.0,215.0,1,0.0,False
25418,0 days 00:56:36.618000,8385.0,3337.0,554.0,215.0,1,0.0,False
25419,0 days 00:56:36.637000,8393.31166917491,3329.264056491652,553.1502668267466,215.0,1,0.0,False
25420,0 days 00:56:36.858000,8481.0,3235.0,547.0,208.55416853333332,1,0.0,False
25421,0 days 00:56:36.877000,8487.90221180982,3226.454045063825,546.4145876129217,208.0,1,0.0,False
25422,0 days 00:56:37.037000,8542.249941602216,3151.6432416974285,540.672071990836,208.0,1,0.0,False
25423,0 days 00:56:37.098000,8561.0,3122.0,539.0,207.2375008,1,0.0,False
25424,0 days 00:56:37.317000,8619.0,3011.0,536.0,204.5,1,0.0,False
25425,0 days 00:56:37.357000,8628.057275531266,2989.974653074758,535.2669926678309,204.0,1,0.0,False
25426,0 days 00:56:37.517000,8659.386820609396,2904.514210968868,531.6259257865916,206.0,1,0.0,False
25427,0 days 00:56:37.558000,8666.0,2883.0,531.0,206.20499968,1,0.0,False
25428,0 days 00:56:37.738000,8688.0,2783.0,530.0,207.10499968,1,0.0,False
25429,0 days 00:56:38.018000,8701.0,2563.0,529.0,208.50499968,1,0.0,False
25430,0 days 00:56:38.258000,8695.0,2481.0,531.0,209.70499968,1,0.0,False
25431,0 days 00:56:38.317000,8690.031032448655,2447.902232387514,531.744054383777,210.0,1,0.0,False
25432,0 days 00:56:38.477000,8670.144431161856,2334.648942211949,533.9859905591217,212.0,1,0.0,False
25433,0 days 00:56:38.478000,8670.0,2334.0,534.0,212.0083328,1,0.0,False
25434,0 days 00:56:38.717000,8626.50917972543,2200.631174614266,537.574011483145,214.0,1,0.0,False
25435,0 days 00:56:38.739000,8621.0,2188.0,538.0,214.32999808,1,0.0,False
25436,0 days 00:56:38.917000,8565.457016279519,2075.8919212612104,542.2509208157978,217.0,1,0.0,False
25437,0 days 00:56:39.038000,8525.0,2002.0,545.0,218.7285705142857,1,-1.6888246991019145,True
25438,0 days 00:56:39.197000,8476.347488071055,1919.2399346473228,547.5510811869071,221.0,1,-1.6661275145140337,True
25439,0 days 00:56:39.478000,8392.0,1789.0,551.0,228.0249984,1,-1.5980194794216966,True
25440,0 days 00:56:39.539000,8371.0,1757.0,552.0,229.5499968,1,-1.5909521588205047,True
25441,0 days 00:56:39.597000,8348.29566502887,1721.6132236182937,552.8380646527405,231.0,1,-1.546127133048133,True
25442,0 days 00:56:39.837000,8240.774002248461,1549.2339761747749,554.9887818491547,233.0,1,-1.5105029323277845,True
25443,0 days 00:56:39.839000,8240.0,1548.0,555.0,233.0499968,1,-1.4790676721149465,True
25444,0 days 00:56:40.037000,8177.9996486399705,1450.6173601704415,555.610254753314,238.0,1,-1.4392349539391354,True
25445,0 days 00:56:40.278000,8106.0,1330.0,554.0,243.2718736,1,-1.447926956167706,True
25446,0 days 00:56:40.357000,8073.1589299836305,1270.6568738839314,552.622758007527,245.0,1,-1.3998955425714887,True
25447,0 days 00:56:40.517000,7996.98795863871,1128.7247929736618,548.8597601692074,246.0,1,-1.404061929208664,True
25448,0 days 00:56:40.619000,7959.0,1056.0,547.0,244.90714422857144,1,-1.4010814346317766,True
25449,0 days 00:56:40.797000,7921.943166580351,980.3187034686523,545.4304661484621,243.0,1,-1.4028532383237855,True
25450,0 days 00:56:40.998000,7892.0,911.0,544.0,237.25714468571428,1,-1.3560571184011556,True
25451,0 days 00:56:41.077000,7873.059636234805,868.2911746266066,542.8174812126728,235.0,1,-1.3870318468457,True
25452,0 days 00:56:41.238000,7829.0,769.0,540.0,230.17000192,1,-1.4112765346954403,True
25453,0 days 00:56:41.277000,7819.452711053897,747.1224154133761,539.4475791583058,229.0,1,-1.3962762184222157,True
25454,0 days 00:56:41.498000,7764.0,622.0,537.0,219.82987573905413,1,-1.4530073422800467,True
25455,0 days 00:56:41.518000,7757.120680486964,607.3974945616267,536.7702506272386,219.0,1,-1.4355515755608323,True
25456,0 days 00:56:41.677000,7697.0,483.0,535.0,212.75356891428572,1,-1.4848133432345196,True
25457,0 days 00:56:41.798000,7666.64797906528,420.66790983445094,534.2726517683172,208.0,1,-1.5141309624536472,True
25458,0 days 00:56:41.998000,7631.993977554985,363.46917293054736,533.5820910438036,202.0,1,-1.5496961370213282,True
25459,0 days 00:56:42.058000,7613.0,340.0,533.0,200.75,1,-1.5577439753932956,True
25460,0 days 00:56:42.238000,7531.055189280288,249.09503059606666,530.149613358934,197.0,1,-1.5727918689800793,True
25461,0 days 00:56:42.318000,7501.0,218.0,529.0,195.1776768032544,1,-1.5850240699458147,True
25462,0 days 00:56:42.598000,7444.0,183.0,527.0,188.79954561464484,1,-1.6078654048377041,True
25463,0 days 00:56:42.677000,7407.884703028288,168.25105424126153,526.564480622042,187.0,1,-1.6155858897516695,True
25464,0 days 00:56:42.877000,7272.339366960642,112.80693624028086,525.4697969592528,184.0,1,-1.6205259191281833,True
25465,0 days 00:56:42.978000,7221.0,94.0,525.0,182.421876,1,-1.637314070342995,True
25466,0 days 00:56:43.197000,7164.558111686562,83.29837171642781,524.1718655281244,179.0,1,-1.6351237535849488,True
25467,0 days 00:56:43.238000,7151.0,82.0,524.0,179.2928566857143,1,-1.6686823468322338,True
25468,0 days 00:56:43.477000,7030.532899798295,70.03490855818222,523.0018501520555,181.0,1,-1.6744367995466554,True
25469,0 days 00:56:43.478000,7030.0,70.0,523.0,181.0124992,1,-1.6532414310585228,True
25470,0 days 00:56:43.658000,6938.0,67.0,523.0,183.2624992,1,-1.6718913856598492,True
