,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,5528.0,912.0,521.0,105.4750016,1,0.0,False
25398,0 days 00:56:34.197000,5553.128289911608,959.7484347378482,521.3930328925474,104.0,1,0.0,False
25399,0 days 00:56:34.317000,5583.0,1008.0,522.0,102.5,1,0.0,False
25400,0 days 00:56:34.357000,5591.848474000692,1020.9281681499398,522.1053693621858,102.0,1,0.0,False
25401,0 days 00:56:34.618000,5637.0,1074.0,522.0,100.13571474285715,1,0.0,False
25402,0 days 00:56:34.637000,5639.566196580163,1076.698684224958,521.9894674084101,100.0,1,0.0,False
25403,0 days 00:56:34.837000,5661.544189961184,1098.487946566208,521.979004409955,101.0,1,0.0,False
25404,0 days 00:56:34.978000,5682.0,1117.0,522.0,103.10447732679876,1,0.0,False
25405,0 days 00:56:35.038000,5693.6575787935935,1127.3644460878813,522.0027173245043,104.0,1,0.0,False
25406,0 days 00:56:35.218000,5735.0,1163.0,522.0,107.21428571428571,1,0.0,False
25407,0 days 00:56:35.318000,5757.225980169652,1180.6879161744043,522.0046404411139,109.0,1,0.0,False
25408,0 days 00:56:35.438000,5789.0,1203.0,522.0,109.75,1,0.0,False
25409,0 days 00:56:35.478000,5802.631180489504,1211.7357178474067,521.9910125917582,110.0,1,0.0,False
25410,0 days 00:56:35.758000,5916.0,1278.0,522.0,117.0219421648768,1,0.0,False
25411,0 days 00:56:35.797000,5927.603383328367,1284.3910114758185,522.0587396576365,118.0,1,0.0,False
25412,0 days 00:56:35.957000,5959.507225632029,1300.698078275304,522.4822892434004,121.0,1,0.0,False
25413,0 days 00:56:36.178000,6002.0,1318.0,523.0,127.31428388571429,1,0.0,False
25414,0 days 00:56:36.237000,6020.132235269697,1325.32406281136,523.0272644682051,129.0,1,0.0,False
25415,0 days 00:56:36.358000,6063.0,1342.0,523.0,132.0249984,1,0.0,False
25416,0 days 00:56:36.477000,6105.679906753497,1356.5482728691425,522.9970907748284,135.0,1,0.0,False
25417,0 days 00:56:36.558000,6135.0,1366.0,523.0,138.0374976,1,0.0,False
25418,0 days 00:56:36.618000,6157.0,1373.0,523.0,140.2874976,1,0.0,False
25419,0 days 00:56:36.637000,6164.094491720364,1375.1609774593933,522.9999400561018,141.0,1,0.0,False
25420,0 days 00:56:36.858000,6251.0,1398.0,523.0,147.44583146666668,1,0.0,False
25421,0 days 00:56:36.877000,6258.700393583866,1399.8001493246277,523.0000365653269,148.0,1,0.0,False
25422,0 days 00:56:37.037000,6324.815533924107,1414.014512239876,523.0002998803529,155.0,1,0.0,False
25423,0 days 00:56:37.098000,6351.0,1419.0,523.0,157.2874976,1,0.0,False
25424,0 days 00:56:37.317000,6450.0,1435.0,523.0,165.5,1,0.0,False
25425,0 days 00:56:37.357000,6468.771263728247,1437.6270847708784,523.0020988736834,167.0,1,0.0,False
25426,0 days 00:56:37.517000,6544.9173967735105,1447.4734089625874,523.0079212332516,173.0,1,0.0,False
25427,0 days 00:56:37.558000,6564.0,1450.0,523.0,172.94875008,1,0.0,False
25428,0 days 00:56:37.738000,6652.0,1463.0,523.0,172.72375008,1,0.0,False
25429,0 days 00:56:38.018000,6843.0,1499.0,524.0,172.37375008,1,0.0,False
25430,0 days 00:56:38.258000,6909.0,1516.0,525.0,172.07375008,1,0.0,False
25431,0 days 00:56:38.317000,6931.494029285444,1522.2512210764417,525.0474852962401,172.0,1,0.0,False
25432,0 days 00:56:38.477000,7007.547186600399,1543.8616837747106,524.9986003132786,166.0,1,0.0,False
25433,0 days 00:56:38.478000,7008.0,1544.0,525.0,165.958336,1,0.0,False
25434,0 days 00:56:38.717000,7106.047620095056,1578.3703934027835,525.9086343438888,156.0,1,0.0,False
25435,0 days 00:56:38.739000,7115.0,1582.0,526.0,154.79000704,1,0.0,False
25436,0 days 00:56:38.917000,7189.770814824129,1615.230083785945,526.6280962853008,145.0,1,0.0,False
25437,0 days 00:56:39.038000,7236.0,1639.0,527.0,141.11071634285713,1,2.027717509301638,True
25438,0 days 00:56:39.197000,7284.622297833179,1669.1425470662173,527.4746285011827,136.0,1,2.1351393049211342,True
25439,0 days 00:56:39.478000,7350.0,1726.0,528.0,129.67750144,1,2.215081961679376,True
25440,0 days 00:56:39.539000,7364.0,1741.0,528.0,128.30500288,1,2.2459543345523754,True
25441,0 days 00:56:39.597000,7377.643734971775,1758.7932462093192,527.9989511270868,127.0,1,2.3085450244532253,True
25442,0 days 00:56:39.837000,7430.670837207768,1853.3119058429593,528.0004871058673,125.0,1,2.34053686963325,True
25443,0 days 00:56:39.839000,7431.0,1854.0,528.0,124.94000384,1,2.3571446519415553,True
25444,0 days 00:56:40.037000,7452.4202986650125,1908.7420240752267,527.8991267659818,119.0,1,2.3796193303725284,True
25445,0 days 00:56:40.278000,7457.0,1975.0,528.0,115.9875008,1,2.4124733012834128,True
25446,0 days 00:56:40.357000,7455.724793571474,2006.630447434079,528.1894633737959,115.0,1,2.4235073793705766,True
25447,0 days 00:56:40.517000,7449.502363268694,2081.3407563483293,528.7510332436503,113.0,1,2.439418582668685,True
25448,0 days 00:56:40.619000,7445.0,2119.0,529.0,111.54285897142857,1,2.4546831930648003,True
25449,0 days 00:56:40.797000,7437.247953330895,2156.557150885105,529.1028636071559,109.0,1,2.4525953248516106,True
25450,0 days 00:56:40.998000,7423.0,2188.0,529.0,107.56428617142858,1,2.468544940057903,True
25451,0 days 00:56:41.077000,7413.971609761725,2207.572086925734,528.9892808705418,107.0,1,2.482514445867605,True
25452,0 days 00:56:41.238000,7392.0,2253.0,529.0,107.0,1,2.4804054675221003,True
25453,0 days 00:56:41.277000,7386.714002735522,2262.8977797803354,529.002920424472,107.0,1,2.4745670580760897,True
25454,0 days 00:56:41.498000,7349.0,2318.0,529.0,109.75103727828376,1,2.465491979467841,True
25455,0 days 00:56:41.518000,7343.5963403941805,2324.262491490403,528.9953277478916,110.0,1,2.4559826588134657,True
25456,0 days 00:56:41.677000,7294.0,2377.0,529.0,111.70357211428572,1,2.432035777237211,True
25457,0 days 00:56:41.798000,7267.324980887718,2402.973783820497,529.2403343789124,113.0,1,2.418397226788887,True
25458,0 days 00:56:41.998000,7234.535494534078,2425.6975346081936,529.8929117379198,118.0,1,2.4052824712619483,True
