,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,4669.0,2474.0,540.0,251.156248,1,0.0,False
25398,0 days 00:56:34.197000,4542.594958112215,2441.4120499267115,541.3273100320831,253.0,1,0.0,False
25399,0 days 00:56:34.317000,4410.0,2406.0,543.0,253.75,1,0.0,False
25400,0 days 00:56:34.357000,4372.905411678985,2395.7709732491426,543.563382507178,254.0,1,0.0,False
25401,0 days 00:56:34.618000,4204.0,2346.0,547.0,257.7285705142857,1,0.0,False
25402,0 days 00:56:34.637000,4194.85673364353,2343.224028368765,547.194204903819,258.0,1,0.0,False
25403,0 days 00:56:34.837000,4118.154047145225,2319.6137486360903,548.7191659667299,259.0,1,0.0,False
25404,0 days 00:56:34.978000,4051.0,2298.0,550.0,261.805969769065,1,0.0,False
25405,0 days 00:56:35.038000,4013.51808754876,2285.7437310626433,550.723020334207,263.0,1,0.0,False
25406,0 days 00:56:35.218000,3884.0,2243.0,553.0,265.57142857142856,1,0.0,False
25407,0 days 00:56:35.318000,3818.1429510783364,2221.1475390464334,553.7219298025693,267.0,1,0.0,False
25408,0 days 00:56:35.438000,3729.0,2191.0,554.0,267.75,1,0.0,False
25409,0 days 00:56:35.478000,3691.781494151284,2178.1939703113244,553.9481382089955,268.0,1,0.0,False
25410,0 days 00:56:35.758000,3391.0,2073.0,552.0,270.6332283118288,1,0.0,False
25411,0 days 00:56:35.797000,3361.1195605850035,2062.4483086131872,551.6265214947713,271.0,1,0.0,False
25412,0 days 00:56:35.957000,3282.4133891573933,2034.323217067796,549.9209280682297,272.0,1,0.0,False
25413,0 days 00:56:36.178000,3192.0,2000.0,547.0,272.0,1,0.0,False
25414,0 days 00:56:36.237000,3154.0867489145803,1985.4035437116129,546.0903997590204,272.0,1,0.0,False
25415,0 days 00:56:36.358000,3066.0,1951.0,544.0,272.0,1,0.0,False
25416,0 days 00:56:36.477000,2982.377325169579,1917.030483794092,541.5500235987234,272.0,1,0.0,False
25417,0 days 00:56:36.558000,2926.0,1894.0,540.0,272.0,1,0.0,False
25418,0 days 00:56:36.618000,2884.0,1877.0,539.0,272.0,1,0.0,False
25419,0 days 00:56:36.637000,2870.8113772615447,1871.646837013338,538.6549191888869,272.0,1,0.0,False
25420,0 days 00:56:36.858000,2724.0,1811.0,534.0,243.45417493333332,1,0.0,False
25421,0 days 00:56:36.877000,2712.146788169662,1805.987131798812,533.6948537149008,241.0,1,0.0,False
25422,0 days 00:56:37.037000,2617.5987698962012,1765.109350267822,531.8483459636087,227.0,1,0.0,False
25423,0 days 00:56:37.098000,2584.0,1750.0,531.0,219.7562576,1,0.0,False
25424,0 days 00:56:37.317000,2474.0,1698.0,527.0,193.75,1,0.0,False
25425,0 days 00:56:37.357000,2455.480068825952,1689.0991197812452,526.5081743460514,189.0,1,0.0,False
25426,0 days 00:56:37.517000,2385.837091862242,1655.3498941483313,525.3619146301121,171.0,1,0.0,False
25427,0 days 00:56:37.558000,2369.0,1647.0,525.0,168.79625344,1,0.0,False
25428,0 days 00:56:37.738000,2297.0,1611.0,523.0,159.12125344,1,0.0,False
25429,0 days 00:56:38.018000,2179.0,1559.0,522.0,144.07125344,1,0.0,False
25430,0 days 00:56:38.258000,2133.0,1546.0,521.0,131.17125344,1,0.0,False
25431,0 days 00:56:38.317000,2117.1088926403927,1544.07930130643,520.9164854627273,128.0,1,0.0,False
25432,0 days 00:56:38.477000,2064.314579352527,1541.9764998775465,520.9993287031797,122.0,1,0.0,False
25433,0 days 00:56:38.478000,2064.0,1542.0,521.0,121.9833344,1,0.0,False
25434,0 days 00:56:38.717000,1995.3661483917956,1563.2076784661842,521.034626971008,118.0,1,0.0,False
25435,0 days 00:56:38.739000,1989.0,1567.0,521.0,117.78000128,1,0.0,False
25436,0 days 00:56:38.917000,1935.1051529202114,1609.6086353257472,520.4153193010301,116.0,1,0.0,False
25437,0 days 00:56:39.038000,1901.0,1641.0,520.0,114.70357211428572,1,0.8052472037642756,True
25438,0 days 00:56:39.197000,1863.895382328736,1676.2485966635527,519.7026790702835,113.0,1,0.9234071593122519,True
25439,0 days 00:56:39.478000,1806.0,1728.0,518.0,113.70249984,1,1.0267520396287853,True
25440,0 days 00:56:39.539000,1791.0,1739.0,517.0,113.85499968,1,1.0627476151976376,True
25441,0 days 00:56:39.597000,1773.684661498721,1749.6654453053868,515.9951211527792,114.0,1,1.118947211394026,True
25442,0 days 00:56:39.837000,1684.6449159748297,1790.746050027199,512.0259296174303,115.0,1,1.2086121254407183,True
25443,0 days 00:56:39.839000,1684.0,1791.0,512.0,114.9500032,1,1.2199294734249928,True
25444,0 days 00:56:40.037000,1632.7608227540886,1807.438851457263,510.14506837227236,110.0,1,1.271029743841818,True
25445,0 days 00:56:40.278000,1573.0,1810.0,509.0,103.9750016,1,1.3302120621368223,True
25446,0 days 00:56:40.357000,1545.2472037229552,1808.311386736442,508.6671858082298,102.0,1,1.3561371920861491,True
25447,0 days 00:56:40.517000,1480.4151291678857,1801.604696724029,508.1013411742628,99.0,1,1.4046270947972097,True
25448,0 days 00:56:40.619000,1448.0,1797.0,508.0,97.17857371428572,1,1.4349991459095532,True
25449,0 days 00:56:40.797000,1416.2731998066392,1789.4321044029195,508.4079179236151,94.0,1,1.4522172371472575,True
25450,0 days 00:56:40.998000,1391.0,1775.0,509.0,91.84642925714286,1,1.494670122259809,True
25451,0 days 00:56:41.077000,1375.2439081723498,1765.4785495462388,509.02375457386705,91.0,1,1.5070241547373702,True
25452,0 days 00:56:41.238000,1339.0,1742.0,509.0,91.0,1,1.5236731751481203,True
25453,0 days 00:56:41.277000,1331.2886291417192,1736.3208697548528,509.0715068880436,91.0,1,1.5356370784582436,True
25454,0 days 00:56:41.498000,1291.0,1697.0,510.0,91.91701242609459,1,1.537673363888735,True
25455,0 days 00:56:41.518000,1286.7400652063848,1691.6252718649423,510.1110829427335,92.0,1,1.5478485189051532,True
25456,0 days 00:56:41.677000,1252.0,1643.0,511.0,93.13571474285715,1,1.5422358813605017,True
25457,0 days 00:56:41.798000,1235.4950170566808,1616.675676750188,511.3586132158042,94.0,1,1.5346352753461519,True
25458,0 days 00:56:41.998000,1224.2680413973176,1584.56506977522,511.6943570095863,98.0,1,1.5128310370738516,True
25459,0 days 00:56:42.058000,1221.0,1569.0,512.0,98.5,1,1.505540692077151,True
25460,0 days 00:56:42.238000,1210.3285853339705,1504.7280471209006,513.4992859972928,100.0,1,1.4810107732901157,True
25461,0 days 00:56:42.318000,1207.0,1479.0,514.0,102.73348479511839,1,1.4667605069984022,True
25462,0 days 00:56:42.598000,1208.0,1412.0,514.0,112.30068157803275,1,1.4074087250292016,True
25463,0 days 00:56:42.677000,1212.087705813156,1377.726160781315,513.8546752310225,115.0,1,1.3762504978378658,True
25464,0 days 00:56:42.877000,1228.031891101487,1260.3682381542487,513.3836285961358,121.0,1,1.2886393644108514,True
25465,0 days 00:56:42.978000,1234.0,1218.0,513.0,125.1031224,1,1.2446540986683188,True
25466,0 days 00:56:43.197000,1240.3218509956157,1176.8700938805534,512.0131932691622,134.0,1,1.2026976799013989,True
25467,0 days 00:56:43.238000,1242.0,1167.0,512.0,136.0499968,1,1.153329193682632,True
25468,0 days 00:56:43.477000,1257.926817828414,1074.4237519396645,512.9976047749988,148.0,1,1.0577264202468029,True
25469,0 days 00:56:43.478000,1258.0,1074.0,513.0,148.041664,1,1.0258334390072619,True
25470,0 days 00:56:43.658000,1271.0,999.0,513.0,155.541664,1,0.9141648081390739,True
25471,0 days 00:56:43.717000,1275.1074202527032,975.5256096028065,512.977583791007,158.0,1,0.875059529119984,True
25472,0 days 00:56:43.877000,1286.3141229793684,912.0441520331361,512.9878898066015,165.0,1,0.7503329317988212,True
25473,0 days 00:56:43.978000,1296.0,857.0,513.0,169.20833066666665,1,0.6787664655704251,True
25474,0 days 00:56:44.117000,1313.5875696633868,756.6496195563951,513.001649413168,175.0,1,0.4718385471713788,False
25475,0 days 00:56:44.198000,1323.0,703.0,513.0,177.94545221818183,1,0.3965193310513387,False
25476,0 days 00:56:44.557000,1346.3419987604466,570.5876351855659,512.9999924482645,191.0,1,0.17248437202060085,False
25477,0 days 00:56:44.578000,1348.0,561.0,513.0,191.76363403636364,1,0.12386296226087232,False
25478,0 days 00:56:44.838000,1374.0,410.0,513.0,201.21817949090908,1,-0.07253195714999729,False
25479,0 days 00:56:44.997000,1388.7720200898407,326.4212413830319,513.0031783642373,207.0,1,-0.18538896951324468,False
25480,0 days 00:56:45.118000,1400.0,263.0,513.0,209.68888746666667,1,-0.3094376591766327,False
25481,0 days 00:56:45.357000,1424.5969968726433,121.67320622559902,512.9779783335134,215.0,1,-0.41495594772200006,False
25482,0 days 00:56:45.438000,1433.0,74.0,513.0,217.531248,1,-0.5419398126732047,True
