,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,1344.0,583.0,513.0,190.468744,1,0.0,False
25398,0 days 00:56:34.197000,1361.3870959111482,482.84752528368483,513.0025304900965,196.0,1,0.0,False
25399,0 days 00:56:34.317000,1380.0,376.0,513.0,199.0,1,0.0,False
25400,0 days 00:56:34.357000,1385.2780221997643,345.63489445323944,512.9965260740815,200.0,1,0.0,False
25401,0 days 00:56:34.618000,1410.0,203.0,513.0,208.38928365714287,1,0.0,False
25402,0 days 00:56:34.637000,1411.3533055366388,195.22810291845983,513.0094974740106,209.0,1,0.0,False
25403,0 days 00:56:34.837000,1422.7472427127695,130.3857108185053,513.183514709285,215.0,1,0.0,False
25404,0 days 00:56:34.978000,1433.0,73.0,513.0,218.50746221133124,1,0.0,False
25405,0 days 00:56:35.038000,1438.791276401474,40.717384315689024,512.7819838809947,220.0,1,0.0,False
25406,0 days 00:56:35.218000,1459.0,-72.0,512.0,224.5,1,0.0,False
25407,0 days 00:56:35.318000,1469.4235739479068,-130.67395225692994,511.914689061831,227.0,1,0.0,False
25408,0 days 00:56:35.438000,1484.0,-210.0,512.0,229.25,1,0.0,False
25409,0 days 00:56:35.478000,1490.2467434884556,-242.64684943485378,512.019918569244,230.0,1,0.0,False
25410,0 days 00:56:35.758000,1542.0,-504.0,512.0,234.38871385304802,1,0.0,False
25411,0 days 00:56:35.797000,1547.2251086381357,-530.2874731698233,511.9662977963372,235.0,1,0.0,False
25412,0 days 00:56:35.957000,1561.2743246699274,-601.2988613575337,511.7423131048708,238.0,1,0.0,False
25413,0 days 00:56:36.178000,1577.0,-685.0,512.0,234.84285805714285,1,0.0,False
25414,0 days 00:56:36.237000,1583.2933708013456,-719.275021135225,512.3210794299381,234.0,1,0.0,False
25415,0 days 00:56:36.358000,1597.0,-798.0,513.0,228.958336,1,0.0,False
25416,0 days 00:56:36.477000,1607.3600080339143,-871.0537548777035,513.0492973274876,224.0,1,0.0,False
25417,0 days 00:56:36.558000,1612.0,-919.0,513.0,218.4312544,1,0.0,False
25418,0 days 00:56:36.618000,1614.0,-954.0,513.0,214.3062544,1,0.0,False
25419,0 days 00:56:36.637000,1614.4020377056734,-964.9378894473798,512.969066944335,213.0,1,0.0,False
25420,0 days 00:56:36.858000,1610.0,-1087.0,512.0,204.7125024,1,0.0,False
25421,0 days 00:56:36.877000,1608.6490506755815,-1097.133947146851,512.0070108797019,204.0,1,0.0,False
25422,0 days 00:56:37.037000,1590.7750493024682,-1180.358376730859,512.7772737260353,197.0,1,0.0,False
25423,0 days 00:56:37.098000,1581.0,-1211.0,513.0,195.2843768,1,0.0,False
25424,0 days 00:56:37.317000,1533.0,-1315.0,513.0,189.125,1,0.0,False
25425,0 days 00:56:37.357000,1522.228214826514,-1332.542099685844,513.0829164893473,188.0,1,0.0,False
25426,0 days 00:56:37.517000,1474.0045941054777,-1397.667035820341,513.8016328707951,182.0,1,0.0,False
25427,0 days 00:56:37.558000,1461.0,-1413.0,514.0,182.61499904,1,0.0,False
25428,0 days 00:56:37.738000,1395.0,-1476.0,515.0,185.31499904,1,0.0,False
25429,0 days 00:56:38.018000,1226.0,-1570.0,518.0,189.51499904,1,0.0,False
25430,0 days 00:56:38.258000,1154.0,-1590.0,518.0,193.11499904,1,0.0,False
