,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,8650.0,2263.0,537.0,236.6312496,1,0.0,False
25398,0 days 00:56:34.197000,8601.046776937535,2150.053700765667,540.4632964902578,237.0,1,0.0,False
25399,0 days 00:56:34.317000,8543.0,2033.0,544.0,237.0,1,0.0,False
25400,0 days 00:56:34.357000,8525.621795245042,2000.6941454893301,545.0318403475587,237.0,1,0.0,False
25401,0 days 00:56:34.618000,8436.0,1858.0,550.0,242.59285577142856,1,0.0,False
25402,0 days 00:56:34.637000,8431.031178818186,1850.3949303758238,550.2473898516566,243.0,1,0.0,False
25403,0 days 00:56:34.837000,8390.346679424163,1787.02785744867,551.9666487320868,245.0,1,0.0,False
25404,0 days 00:56:34.978000,8355.0,1731.0,553.0,246.4029848845325,1,0.0,False
25405,0 days 00:56:35.038000,8335.123941977017,1699.476866124915,553.5240128459012,247.0,1,0.0,False
25406,0 days 00:56:35.218000,8266.0,1590.0,555.0,250.21428571428572,1,0.0,False
25407,0 days 00:56:35.318000,8230.497916276507,1534.1102121945617,555.2971109939213,252.0,1,0.0,False
25408,0 days 00:56:35.438000,8184.0,1459.0,555.0,252.75,1,0.0,False
25409,0 days 00:56:35.478000,8165.384483358789,1427.9439571982255,554.7117104204202,253.0,1,0.0,False
25410,0 days 00:56:35.758000,8021.0,1178.0,551.0,255.63322831182882,1,0.0,False
25411,0 days 00:56:35.797000,8006.956865135544,1152.716019511451,550.5058793303461,256.0,1,0.0,False
25412,0 days 00:56:35.957000,7970.857375265243,1083.8574414024056,548.7297496038283,257.0,1,0.0,False
25413,0 days 00:56:36.178000,7932.0,999.0,546.0,257.7892854857143,1,0.0,False
25414,0 days 00:56:36.237000,7915.632592590074,963.7950796141414,545.0499303085004,258.0,1,0.0,False
25415,0 days 00:56:36.358000,7878.0,882.0,543.0,256.9916672,1,0.0,False
25416,0 days 00:56:36.477000,7843.750471539219,803.6834237214963,541.2438128756312,256.0,1,0.0,False
25417,0 days 00:56:36.558000,7821.0,751.0,540.0,256.0,1,0.0,False
25418,0 days 00:56:36.618000,7804.0,712.0,539.0,256.0,1,0.0,False
25419,0 days 00:56:36.637000,7798.644851273509,699.776185464041,538.7014015109672,256.0,1,0.0,False
25420,0 days 00:56:36.858000,7737.0,563.0,536.0,237.58333866666666,1,0.0,False
25421,0 days 00:56:36.877000,7731.607536601399,551.6689168313422,535.8048871661251,236.0,1,0.0,False
25422,0 days 00:56:37.037000,7685.236227931373,459.1701732541789,534.3666086370382,236.0,1,0.0,False
25423,0 days 00:56:37.098000,7667.0,426.0,534.0,231.8062544,1,0.0,False
25424,0 days 00:56:37.317000,7597.0,318.0,533.0,216.75,1,0.0,False
25425,0 days 00:56:37.357000,7582.546803132376,300.1242481010054,532.5119157388959,214.0,1,0.0,False
25426,0 days 00:56:37.517000,7521.367101333759,236.09062507353005,529.6419398709293,207.0,1,0.0,False
25427,0 days 00:56:37.558000,7507.0,223.0,529.0,206.2312512,1,0.0,False
25428,0 days 00:56:37.738000,7442.0,178.0,527.0,202.8562512,1,0.0,False
25429,0 days 00:56:38.018000,7253.0,101.0,525.0,197.6062512,1,0.0,False
25430,0 days 00:56:38.258000,7179.0,86.0,525.0,193.1062512,1,0.0,False
25431,0 days 00:56:38.317000,7152.270793268414,82.3982533706823,524.8294746291917,192.0,1,0.0,False
25432,0 days 00:56:38.477000,7060.559623725112,71.0508165696563,524.0049990580399,192.0,1,0.0,False
25433,0 days 00:56:38.478000,7060.0,71.0,524.0,192.0166656,1,0.0,False
25434,0 days 00:56:38.717000,6931.746336212304,66.82691053162976,523.046030355769,196.0,1,0.0,False
25435,0 days 00:56:38.739000,6919.0,67.0,523.0,196.32999808,1,0.0,False
25436,0 days 00:56:38.917000,6805.671239993814,71.05336961039814,522.9356782268388,199.0,1,0.0,False
25437,0 days 00:56:39.038000,6730.0,76.0,523.0,201.16071314285713,1,-1.827949995980391,True
25438,0 days 00:56:39.197000,6643.125101854799,84.72843657531746,523.027301685864,204.0,1,-1.904115571045806,True
25439,0 days 00:56:39.478000,6503.0,108.0,523.0,208.91749888,1,-1.972979809339264,True
25440,0 days 00:56:39.539000,6469.0,115.0,523.0,209.98499776,1,-2.012886829515573,True
25441,0 days 00:56:39.597000,6431.875009885888,123.64286116576112,522.9913769400317,211.0,1,-2.0883135224165303,True
25442,0 days 00:56:39.837000,6253.289567393091,172.61776740973838,522.9978537280965,211.0,1,-2.184136192485014,True
25443,0 days 00:56:39.839000,6252.0,173.0,523.0,211.07999488,1,-2.1796707214118247,True
25444,0 days 00:56:40.037000,6148.566724865783,206.21899110622545,523.4230132199062,219.0,1,-2.230716671704465,True
25445,0 days 00:56:40.278000,6038.0,257.0,524.0,216.7406256,1,-2.355348755309188,True
25446,0 days 00:56:40.357000,5991.447274914114,282.53467218708124,524.0625792306383,216.0,1,-2.3753406198649256,True
25447,0 days 00:56:40.517000,5887.294444111474,343.9485888503306,524.024994178002,201.0,1,-2.4790421871778663,True
25448,0 days 00:56:40.619000,5837.0,375.0,524.0,191.16429805714284,1,-2.5404736362005202,True
25449,0 days 00:56:40.797000,5791.906359236147,405.9031312907154,524.0170163591781,174.0,1,-2.564759199087331,True
25450,0 days 00:56:40.998000,5760.0,435.0,524.0,158.9250048,1,-2.5778032798290833,True
25451,0 days 00:56:41.077000,5737.999808463256,454.4092395619019,523.94100396422,153.0,1,-2.6316117770301966,True
25452,0 days 00:56:41.238000,5686.0,501.0,524.0,143.34000384,1,-2.661029909293839,True
25453,0 days 00:56:41.277000,5674.910120080123,511.5354946950741,524.1348717339182,141.0,1,-2.6401784918459983,True
25454,0 days 00:56:41.498000,5618.0,575.0,525.0,141.0,1,-2.676437530802387,True
25455,0 days 00:56:41.518000,5612.226758853534,582.745598952378,524.9542851250477,141.0,1,-2.647802598122838,True
25456,0 days 00:56:41.677000,5566.0,650.0,524.0,130.21070994285714,1,-2.6506068070049866,True
25457,0 days 00:56:41.798000,5543.893980248843,684.8225924640625,523.5053637661806,122.0,1,-2.6451642849861763,True
25458,0 days 00:56:41.998000,5528.866304443092,721.5197593849241,523.1574082803736,116.0,1,-2.641003646765503,True
25459,0 days 00:56:42.058000,5525.0,738.0,523.0,114.75,1,-2.637912031073542,True
25460,0 days 00:56:42.238000,5513.765784825471,804.488835419065,522.3278516002389,111.0,1,-2.583188065263827,True
25461,0 days 00:56:42.318000,5511.0,831.0,522.0,109.35990912292897,1,-2.5799478365555113,True
25462,0 days 00:56:42.598000,5521.0,892.0,521.0,103.61959105318034,1,-2.532157906266117,True
25463,0 days 00:56:42.677000,5531.750737950148,915.1253782343941,520.8356598539866,102.0,1,-2.5108418791517697,True
25464,0 days 00:56:42.877000,5571.513811278053,987.3530798842812,520.7469703864695,96.0,1,-2.44079620544986,True
25465,0 days 00:56:42.978000,5587.0,1013.0,521.0,96.3156248,1,-2.4221028119175236,True
25466,0 days 00:56:43.197000,5606.12819003379,1037.5210102269762,521.9997333064285,97.0,1,-2.3719879047108763,True
25467,0 days 00:56:43.238000,5611.0,1043.0,522.0,97.29285668571428,1,-2.339828209321189,True
25468,0 days 00:56:43.477000,5654.79544220018,1091.7941950719235,520.9988846167289,99.0,1,-2.2818127641518435,True
25469,0 days 00:56:43.478000,5655.0,1092.0,521.0,99.0083328,1,-2.1855235007097833,True
25470,0 days 00:56:43.658000,5692.0,1126.0,522.0,100.5083328,1,-2.124793375269881,True
25471,0 days 00:56:43.717000,5703.647301438884,1136.2729171547858,522.1979652241284,101.0,1,-2.103683415200802,True
25472,0 days 00:56:43.877000,5735.177711329177,1163.2294620350958,522.1036310831255,103.0,1,-2.030377241029688,True
25473,0 days 00:56:43.978000,5763.0,1184.0,522.0,104.2624992,1,-2.0035903706439266,True
25474,0 days 00:56:44.117000,5814.313030810024,1218.9569500912503,521.9985166418227,106.0,1,-1.8839995771085785,True
25475,0 days 00:56:44.198000,5842.0,1237.0,522.0,107.47272610909091,1,-1.8462080895412714,True
25476,0 days 00:56:44.557000,5913.651093395731,1276.4439855448009,521.9493874241552,114.0,1,-1.7018837636283959,True
25477,0 days 00:56:44.578000,5919.0,1279.0,522.0,114.5249984,1,-1.6549128189438276,True
25478,0 days 00:56:44.838000,6003.0,1318.0,523.0,121.0249984,1,-1.4979149098874764,True
25479,0 days 00:56:44.997000,6048.6281127874645,1336.6395003576642,523.0769149299538,125.0,1,-1.3616334675132875,True
25480,0 days 00:56:45.118000,6087.0,1350.0,523.0,127.68888746666667,1,-1.2504512605369185,True
25481,0 days 00:56:45.357000,6182.800765944718,1379.1266515978937,522.9933235542312,133.0,1,-1.1171368903147374,True
25482,0 days 00:56:45.438000,6201.0,1385.0,523.0,135.0249984,1,-0.9276463227055117,True
25483,0 days 00:56:45.517000,6206.202300632968,1387.4506248569044,523.0012826699609,137.0,1,-0.8962499189902159,True
25484,0 days 00:56:45.598000,6214.0,1390.0,523.0,140.76071131428571,1,-0.7692896681103784,True
25485,0 days 00:56:45.797000,6300.250837633277,1408.9917942699196,522.9988806229908,150.0,1,-0.5038733808445207,True
25486,0 days 00:56:45.839000,6320.0,1413.0,523.0,151.22499626666666,1,-0.3741602764389597,False
25487,0 days 00:56:46.037000,6394.570688047517,1426.2922341305696,523.0140312090135,157.0,1,-0.1376817742922921,False
25488,0 days 00:56:46.237000,6469.055689095499,1436.6394613071038,523.0050199028996,164.0,1,0.019456609289212248,False
25489,0 days 00:56:46.258000,6479.0,1438.0,523.0,164.81136116363638,1,0.1912612039063019,False
25490,0 days 00:56:46.478000,6601.0,1455.0,523.0,173.31136116363638,1,0.3875709490393639,False
25491,0 days 00:56:46.677000,6710.3726881394205,1472.8753619397949,523.5209859471511,181.0,1,0.6616205338189969,True
25492,0 days 00:56:46.837000,6787.498835132196,1487.4086775488772,523.9586882380328,177.0,1,0.8203839366925595,True
25493,0 days 00:56:46.879000,6805.0,1491.0,524.0,176.6062512,1,0.9378244356579849,True
25494,0 days 00:56:47.139000,6897.0,1513.0,524.0,174.1687512,1,1.146815907326278,True
25495,0 days 00:56:47.157000,6903.805893052001,1514.8081790946028,524.0530967255935,174.0,1,1.1675307986068444,True
25496,0 days 00:56:47.357000,6988.2004585186905,1538.3927977636072,525.3126690765951,159.0,1,1.3626507621079686,True
25497,0 days 00:56:47.498000,7048.0,1557.0,526.0,152.8312528,1,1.4723061797285186,True
25498,0 days 00:56:47.677000,7117.245912214265,1581.8550968263164,526.0143225369885,145.0,1,1.5844621745015015,True
25499,0 days 00:56:47.698000,7125.0,1585.0,526.0,144.6062512,1,1.6750733296443503,True
25500,0 days 00:56:47.818000,7168.0,1604.0,526.0,142.3562512,1,1.7994047453354725,True
25501,0 days 00:56:47.837000,7174.5874979920845,1607.106877242689,526.0379202279091,142.0,1,1.8418692554721152,True
25502,0 days 00:56:48.078000,7253.0,1649.0,527.0,136.74454863442713,1,1.9564743611183268,True
25503,0 days 00:56:48.158000,7277.132040789105,1664.5353864111846,526.9577953834723,135.0,1,2.028676143577982,True
25504,0 days 00:56:48.238000,7300.0,1681.0,527.0,132.0,1,2.0911414431477753,True
25505,0 days 00:56:48.318000,7321.255982131882,1698.426268409459,527.4689063033322,129.0,1,2.181135485630567,True
25506,0 days 00:56:48.397000,7341.0,1717.0,528.0,127.5187488,1,2.217570585509453,True
25507,0 days 00:56:48.638000,7394.928942996647,1783.7428052010864,528.0851871488198,123.0,1,2.2717258662818707,True
25508,0 days 00:56:48.717000,7409.0,1807.0,528.0,121.0249984,1,2.322887704967052,True
25509,0 days 00:56:48.838000,7426.259186425884,1842.8918882548815,527.9738526129806,118.0,1,2.338297822730834,True
25510,0 days 00:56:48.957000,7439.0,1878.0,528.0,117.2562496,1,2.385903331635767,True
25511,0 days 00:56:48.998000,7442.605569964539,1889.9371828954693,528.0048196576264,117.0,1,2.394582273198232,True
25512,0 days 00:56:49.138000,7452.0,1934.0,528.0,113.4824131915857,1,2.404853052539179,True
25513,0 days 00:56:49.197000,7454.701582741589,1957.4041257065758,527.9838092130656,112.0,1,2.4404147563953735,True
25514,0 days 00:56:49.358000,7458.0,2027.0,528.0,111.32916693333334,1,2.4553437383315195,True
25515,0 days 00:56:49.437000,7457.1391525548315,2054.6365854884834,528.1375343474724,111.0,1,2.4673247995561978,True
25516,0 days 00:56:49.717000,7443.376320572354,2124.092737216527,528.9671511428629,107.0,1,2.464070261593106,True
25517,0 days 00:56:49.738000,7442.0,2129.0,529.0,106.77500068571429,1,2.485104159584545,True
25518,0 days 00:56:49.997000,7421.316686985286,2190.80002876683,529.0118806956542,104.0,1,2.4755472098355,True
25519,0 days 00:56:50.038000,7417.0,2201.0,529.0,104.22777742222222,1,2.4848917400331008,True
25520,0 days 00:56:50.318000,7379.0,2273.0,529.0,105.78333297777777,1,2.4564861873662713,True
25521,0 days 00:56:50.357000,7372.777174865951,2282.8238520155583,529.0029323553171,106.0,1,2.4471556424989402,True
25522,0 days 00:56:50.518000,7345.0,2322.0,529.0,108.0124992,1,2.4389692482691547,True
25523,0 days 00:56:50.638000,7321.0,2350.0,529.0,109.5124992,1,2.4264092735128107,True
25524,0 days 00:56:50.757000,7286.872006040559,2382.070633088333,529.2842171141641,111.0,1,2.419273184686063,True
