,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,1511.0,-347.0,512.0,234.4187472,1,0.0,False
25398,0 days 00:56:34.197000,1535.0801213932373,-467.7194499749717,511.93816552366104,237.0,1,0.0,False
25399,0 days 00:56:34.317000,1560.0,-594.0,512.0,238.5,1,0.0,False
25400,0 days 00:56:34.357000,1566.7456341057339,-628.8781929085593,512.0851418458541,239.0,1,0.0,False
25401,0 days 00:56:34.618000,1595.0,-783.0,513.0,228.74643108571428,1,0.0,False
25402,0 days 00:56:34.637000,1596.4247848301743,-791.1793590816443,513.0355617664085,228.0,1,0.0,False
25403,0 days 00:56:34.837000,1607.388870871145,-858.6572826851941,513.0349006875322,216.0,1,0.0,False
25404,0 days 00:56:34.978000,1612.0,-914.0,513.0,211.79104534640248,1,0.0,False
25405,0 days 00:56:35.038000,1613.393258654732,-944.0949652617202,513.0379613187549,210.0,1,0.0,False
25406,0 days 00:56:35.218000,1614.0,-1046.0,513.0,202.92857142857142,1,0.0,False
25407,0 days 00:56:35.318000,1610.2444933200725,-1096.4601201788985,512.4857871778914,199.0,1,0.0,False
25408,0 days 00:56:35.438000,1596.0,-1160.0,512.0,193.75,1,0.0,False
25409,0 days 00:56:35.478000,1587.279990578223,-1184.8376986926892,512.0517377332287,192.0,1,0.0,False
25410,0 days 00:56:35.758000,1495.0,-1372.0,514.0,184.9780578351232,1,0.0,False
25411,0 days 00:56:35.797000,1484.416896888733,-1389.6190351308035,514.1072558733839,184.0,1,0.0,False
25412,0 days 00:56:35.957000,1451.7388234710318,-1432.5946889590036,513.8405502380995,180.0,1,0.0,False
25413,0 days 00:56:36.178000,1400.0,-1471.0,514.0,179.2107145142857,1,0.0,False
25414,0 days 00:56:36.237000,1378.6728378237522,-1487.1889420376244,514.5719723317324,179.0,1,0.0,False
25415,0 days 00:56:36.358000,1328.0,-1523.0,516.0,181.520832,1,0.0,False
25416,0 days 00:56:36.477000,1275.3373726169814,-1550.6321155136734,516.8052567648227,184.0,1,0.0,False
25417,0 days 00:56:36.558000,1237.0,-1566.0,517.0,186.531248,1,0.0,False
25418,0 days 00:56:36.618000,1207.0,-1576.0,517.0,188.406248,1,0.0,False
25419,0 days 00:56:36.637000,1197.356073102908,-1578.855757135473,517.0144396770902,189.0,1,0.0,False
25420,0 days 00:56:36.858000,1081.0,-1601.0,518.0,194.5249984,1,0.0,False
25421,0 days 00:56:36.877000,1070.5629781125592,-1602.0432096216625,518.1424046039878,195.0,1,0.0,False
25422,0 days 00:56:37.037000,980.0700161145054,-1605.9796493654599,519.5745976000558,200.0,1,0.0,False
25423,0 days 00:56:37.098000,945.0,-1606.0,520.0,201.5249984,1,0.0,False
25424,0 days 00:56:37.317000,818.0,-1602.0,521.0,207.0,1,0.0,False
25425,0 days 00:56:37.357000,794.6397505826441,-1601.0309071084996,521.3670167254961,208.0,1,0.0,False
25426,0 days 00:56:37.517000,701.3583189031277,-1597.0019390182306,523.475326294173,210.0,1,0.0,False
25427,0 days 00:56:37.558000,678.0,-1596.0,524.0,210.97374848,1,0.0,False
25428,0 days 00:56:37.738000,570.0,-1591.0,526.0,215.24874848,1,0.0,False
25429,0 days 00:56:38.018000,336.0,-1575.0,529.0,221.89874848,1,0.0,False
25430,0 days 00:56:38.258000,249.0,-1563.0,532.0,227.59874848,1,0.0,False
25431,0 days 00:56:38.317000,217.67711089940596,-1557.3651790150025,532.5681619264467,229.0,1,0.0,False
25432,0 days 00:56:38.477000,110.64626987601095,-1536.1497139424716,533.988926953166,234.0,1,0.0,False
25433,0 days 00:56:38.478000,110.0,-1536.0,534.0,234.0083328,1,0.0,False
25434,0 days 00:56:38.717000,-35.64225730154644,-1493.0897538435868,537.582282409043,236.0,1,0.0,False
25435,0 days 00:56:38.739000,-50.0,-1488.0,538.0,236.5499968,1,0.0,False
25436,0 days 00:56:38.917000,-177.43503804289838,-1438.5846379492584,541.9031221275893,241.0,1,0.0,False
25437,0 days 00:56:39.038000,-261.0,-1402.0,545.0,242.7285705142857,1,-2.1599775061322233,True
25438,0 days 00:56:39.197000,-353.58225372364046,-1355.2269787425832,549.5335195182536,245.0,1,-2.1045094181569692,True
25439,0 days 00:56:39.478000,-494.0,-1262.0,555.0,248.5124992,1,-2.0259201737540846,True
25440,0 days 00:56:39.539000,-527.0,-1236.0,555.0,249.2749984,1,-2.0079833645159613,True
