,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,6214.0,1389.0,523.0,138.7874976,1,0.0,False
25398,0 days 00:56:34.197000,6252.821785752339,1398.844979138269,523.0028619227346,141.0,1,0.0,False
25399,0 days 00:56:34.317000,6295.0,1408.0,523.0,145.5,1,0.0,False
25400,0 days 00:56:34.357000,6311.310392480523,1411.1898794335714,522.9996065286973,147.0,1,0.0,False
25401,0 days 00:56:34.618000,6427.0,1431.0,523.0,160.0499968,1,0.0,False
25402,0 days 00:56:34.637000,6433.6995768625975,1432.0286763019728,522.9997274999323,161.0,1,0.0,False
25403,0 days 00:56:34.837000,6485.6762238262845,1438.8852233574353,522.9938479844363,168.0,1,0.0,False
25404,0 days 00:56:34.978000,6531.0,1445.0,523.0,174.31343198039625,1,0.0,False
25405,0 days 00:56:35.038000,6557.194384381952,1448.8422196999868,523.0074165823551,177.0,1,0.0,False
25406,0 days 00:56:35.218000,6650.0,1463.0,523.0,184.07142857142858,1,0.0,False
25407,0 days 00:56:35.318000,6698.599379509612,1470.4743347548722,522.9224203473077,188.0,1,0.0,False
25408,0 days 00:56:35.438000,6762.0,1482.0,523.0,185.75,1,0.0,False
25409,0 days 00:56:35.478000,6786.9898502035285,1487.358957216741,523.1370577123815,185.0,1,0.0,False
25410,0 days 00:56:35.758000,6978.0,1535.0,525.0,174.4670867526848,1,0.0,False
25411,0 days 00:56:35.797000,6996.55341577194,1540.0229789339683,525.2068133846253,173.0,1,0.0,False
25412,0 days 00:56:35.957000,7044.391090813952,1554.2502676097417,525.7875988716416,165.0,1,0.0,False
25413,0 days 00:56:36.178000,7095.0,1574.0,526.0,155.52857417142857,1,0.0,False
25414,0 days 00:56:36.237000,7116.01536963327,1582.3068896810278,525.9619628352368,153.0,1,0.0,False
25415,0 days 00:56:36.358000,7164.0,1602.0,526.0,149.4708352,1,0.0,False
25416,0 days 00:56:36.477000,7206.988614390171,1622.0392044706884,526.6747526352685,146.0,1,0.0,False
25417,0 days 00:56:36.558000,7234.0,1637.0,527.0,142.4562528,1,0.0,False
25418,0 days 00:56:36.618000,7253.0,1649.0,527.0,139.8312528,1,0.0,False
25419,0 days 00:56:36.637000,7258.819880584093,1652.7631884036484,526.9888829643868,139.0,1,0.0,False
25420,0 days 00:56:36.858000,7323.0,1700.0,527.0,134.39583466666667,1,0.0,False
25421,0 days 00:56:36.877000,7328.828748683372,1705.491545339664,527.0523712886791,134.0,1,0.0,False
25422,0 days 00:56:37.037000,7379.36133758346,1761.1612273669066,527.8025216014161,127.0,1,0.0,False
