,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,7664.0,420.0,535.0,220.9000064,1,0.0,False
25398,0 days 00:56:34.197000,7603.114196199259,331.6165144641244,533.2236927184889,215.0,1,0.0,False
25399,0 days 00:56:34.317000,7536.0,248.0,531.0,209.0,1,0.0,False
25400,0 days 00:56:34.357000,7516.509414699358,227.68392372416753,530.3398186336605,207.0,1,0.0,False
25401,0 days 00:56:34.618000,7419.0,164.0,527.0,202.33928685714287,1,0.0,False
25402,0 days 00:56:34.637000,7413.1813286885845,160.97351298841215,526.8189266270874,202.0,1,0.0,False
25403,0 days 00:56:34.837000,7359.4943378004145,134.40851186331207,525.4161104843757,197.0,1,0.0,False
25404,0 days 00:56:34.978000,7309.0,117.0,525.0,193.49253778866876,1,0.0,False
25405,0 days 00:56:35.038000,7280.929088382088,109.19169248465685,524.9699599018421,192.0,1,0.0,False
25406,0 days 00:56:35.218000,7184.0,87.0,525.0,188.14285714285714,1,0.0,False
25407,0 days 00:56:35.318000,7134.487072558281,78.55809200058145,524.624075057596,186.0,1,0.0,False
25408,0 days 00:56:35.438000,7068.0,72.0,524.0,187.5,1,0.0,False
25409,0 days 00:56:35.478000,7040.552813013292,70.55458742932797,523.8211071970996,188.0,1,0.0,False
25410,0 days 00:56:35.758000,6820.0,69.0,523.0,194.14419939426722,1,0.0,False
25411,0 days 00:56:35.797000,6797.710964707962,69.49182826799311,522.9491598747383,195.0,1,0.0,False
25412,0 days 00:56:35.957000,6737.0796433237,72.96388820230393,522.9059060021251,200.0,1,0.0,False
25413,0 days 00:56:36.178000,6663.0,83.0,523.0,203.94642742857144,1,0.0,False
25414,0 days 00:56:36.237000,6632.360757669306,86.95521747594724,523.0049587497524,205.0,1,0.0,False
25415,0 days 00:56:36.358000,6561.0,97.0,523.0,208.5291648,1,0.0,False
25416,0 days 00:56:36.477000,6491.911622916774,109.9199243693769,522.999767560815,212.0,1,0.0,False
25417,0 days 00:56:36.558000,6445.0,120.0,523.0,213.5187488,1,0.0,False
