,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,8488.0,3227.0,547.0,230.843752,1,0.0,False
25398,0 days 00:56:34.197000,8553.691540211077,3128.7460023829244,541.4653002793098,229.0,1,0.0,False
25399,0 days 00:56:34.317000,8615.0,3022.0,536.0,228.25,1,0.0,False
25400,0 days 00:56:34.357000,8630.014250655528,2991.4078903138197,534.7015270057369,228.0,1,0.0,False
25401,0 days 00:56:34.618000,8677.0,2845.0,531.0,227.06785737142857,1,0.0,False
25402,0 days 00:56:34.637000,8678.960630188776,2836.9146365153942,530.8421651519623,227.0,1,0.0,False
25403,0 days 00:56:34.837000,8692.774220350824,2768.7006932863746,529.5615214422669,226.0,1,0.0,False
25404,0 days 00:56:34.978000,8698.0,2708.0,529.0,226.70149244226624,1,0.0,False
25405,0 days 00:56:35.038000,8699.57706646796,2673.931515796803,528.8341824078475,227.0,1,0.0,False
25406,0 days 00:56:35.218000,8701.0,2556.0,529.0,227.64285714285714,1,0.0,False
25407,0 days 00:56:35.318000,8698.498317057765,2496.244068066938,529.9865089913218,228.0,1,0.0,False
25408,0 days 00:56:35.438000,8687.0,2418.0,532.0,228.75,1,0.0,False
25409,0 days 00:56:35.478000,8679.614354706287,2386.4255006751196,532.8535274330405,229.0,1,0.0,False
25410,0 days 00:56:35.758000,8599.0,2139.0,540.0,230.7554855412192,1,0.0,False
25411,0 days 00:56:35.797000,8589.408670068024,2114.5869843724417,540.7875245703941,231.0,1,0.0,False
25412,0 days 00:56:35.957000,8558.466018276602,2050.3841277850206,543.2099083436016,233.0,1,0.0,False
25413,0 days 00:56:36.178000,8510.0,1977.0,546.0,235.36785645714286,1,0.0,False
25414,0 days 00:56:36.237000,8490.97035041353,1946.234737233965,546.9169308861743,236.0,1,0.0,False
25415,0 days 00:56:36.358000,8447.0,1875.0,549.0,237.0083328,1,0.0,False
25416,0 days 00:56:36.477000,8403.81905306217,1808.1819316962512,551.227084434526,238.0,1,0.0,False
25417,0 days 00:56:36.558000,8375.0,1763.0,552.0,239.5187488,1,0.0,False
25418,0 days 00:56:36.618000,8354.0,1729.0,552.0,240.6437488,1,0.0,False
25419,0 days 00:56:36.637000,8347.317787841434,1718.230103169336,552.0643898339978,241.0,1,0.0,False
25420,0 days 00:56:36.858000,8268.0,1593.0,555.0,242.84166613333332,1,0.0,False
25421,0 days 00:56:36.877000,8261.118300939326,1582.1154623434857,555.1566568482564,243.0,1,0.0,False
25422,0 days 00:56:37.037000,8203.025451444102,1489.5301165458814,555.3124164888826,247.0,1,0.0,False
25423,0 days 00:56:37.098000,8181.0,1454.0,555.0,247.7624992,1,0.0,False
25424,0 days 00:56:37.317000,8103.0,1325.0,553.0,250.5,1,0.0,False
25425,0 days 00:56:37.357000,8088.984957981805,1300.7647140318422,552.7023935105677,251.0,1,0.0,False
25426,0 days 00:56:37.517000,8034.249786018429,1202.5246481708002,551.5743647449117,254.0,1,0.0,False
25427,0 days 00:56:37.558000,8021.0,1178.0,551.0,253.94875008,1,0.0,False
25428,0 days 00:56:37.738000,7963.0,1065.0,547.0,253.72375008,1,0.0,False
25429,0 days 00:56:38.018000,7849.0,815.0,541.0,253.37375008,1,0.0,False
25430,0 days 00:56:38.258000,7809.0,723.0,539.0,253.07375008,1,0.0,False
25431,0 days 00:56:38.317000,7794.871446479018,691.3890771806173,538.2831865998394,253.0,1,0.0,False
25432,0 days 00:56:38.477000,7746.2963310078785,584.6421323577271,536.0114548599068,249.0,1,0.0,False
25433,0 days 00:56:38.478000,7746.0,584.0,536.0,248.916672,1,0.0,False
25434,0 days 00:56:38.717000,7677.172382208458,443.55847316838896,534.166311266661,229.0,1,0.0,False
25435,0 days 00:56:38.739000,7670.0,431.0,534.0,227.79000704,1,0.0,False
25436,0 days 00:56:38.917000,7603.6534867747505,329.03055023330825,532.3837459859072,218.0,1,0.0,False
25437,0 days 00:56:39.038000,7556.0,269.0,531.0,213.24643108571428,1,-1.6083978862729214,True
25438,0 days 00:56:39.197000,7495.708580352202,210.4930904449993,528.8216171290223,207.0,1,-1.6406628016047247,True
25439,0 days 00:56:39.478000,7380.0,144.0,526.0,201.38000128,1,-1.6579998646241532,True
25440,0 days 00:56:39.539000,7349.0,131.0,526.0,200.16000256,1,-1.6706691488975993,True
25441,0 days 00:56:39.597000,7314.421056506254,119.260209658609,525.8509536711904,199.0,1,-1.6758352728508015,True
25442,0 days 00:56:39.837000,7145.203309871416,80.22792562298157,524.0126224396417,194.0,1,-1.713592778258515,True
25443,0 days 00:56:39.839000,7144.0,80.0,524.0,193.99000064,1,-1.7110772009486785,True
25444,0 days 00:56:40.037000,7050.127907050377,66.10925537055785,523.2094252873148,193.0,1,-1.729899186390957,True
25445,0 days 00:56:40.278000,6938.0,66.0,523.0,195.2593744,1,-1.7830393474316613,True
25446,0 days 00:56:40.357000,6883.280677894694,68.17504956323369,522.977334728983,196.0,1,-1.7791838729174927,True
25447,0 days 00:56:40.517000,6752.786101424025,75.38876404272405,522.9891452480205,196.0,1,-1.8306118787508523,True
25448,0 days 00:56:40.619000,6686.0,80.0,523.0,197.45714102857144,1,-1.8702851710919364,True
25449,0 days 00:56:40.797000,6616.619590553674,86.99829079888859,523.0048005562585,200.0,1,-1.891522590317,True
25450,0 days 00:56:40.998000,6552.0,99.0,523.0,203.58928457142858,1,-1.934662761790933,True
25451,0 days 00:56:41.077000,6511.666409881489,106.75581025289196,522.9988388797811,205.0,1,-2.0013712775099863,True
25452,0 days 00:56:41.238000,6417.0,126.0,523.0,208.21999872,1,-2.0737505676629686,True
25453,0 days 00:56:41.277000,6395.841371316685,130.76860030263532,523.001688351222,209.0,1,-2.0855095507753094,True
25454,0 days 00:56:41.498000,6271.0,166.0,523.0,210.83402485218917,1,-2.197645402537076,True
25455,0 days 00:56:41.518000,6256.010981761686,171.1036386124991,522.9954360223428,211.0,1,-2.1984062729715705,True
25456,0 days 00:56:41.677000,6127.0,218.0,523.0,211.0,1,-2.29257212294102,True
25457,0 days 00:56:41.798000,6062.027482642008,243.06782827598124,523.2396264330606,211.0,1,-2.354332838203863,True
25458,0 days 00:56:41.998000,5998.971961667036,274.47824660858055,523.8918017731238,206.0,1,-2.4383649086871078,True
25459,0 days 00:56:42.058000,5971.0,291.0,524.0,203.5,1,-2.458872158081282,True
25460,0 days 00:56:42.238000,5859.6545104081215,360.3735829999957,524.0391548855674,196.0,1,-2.534397523385474,True
25461,0 days 00:56:42.318000,5824.0,383.0,524.0,189.6218688113904,1,-2.558641907079602,True
25462,0 days 00:56:42.598000,5799.0,404.0,524.0,167.29840965125692,1,-2.6164539294773093,True
25463,0 days 00:56:42.677000,5777.011659961211,424.49140268419166,524.1865673903205,161.0,1,-2.6399807387393253,True
25464,0 days 00:56:42.877000,5679.504181186416,512.1447354565606,524.934542522613,151.0,1,-2.676436296815848,True
25465,0 days 00:56:42.978000,5644.0,545.0,525.0,147.2125024,1,-2.7042419196761434,True
25466,0 days 00:56:43.197000,5615.52588762498,577.2496583420519,524.2019789846278,139.0,1,-2.7026549691411135,True
25467,0 days 00:56:43.238000,5610.0,585.0,524.0,137.53571657142857,1,-2.7340145195760077,True
25468,0 days 00:56:43.477000,5561.1860406278,656.6813836655336,523.0015002612287,129.0,1,-2.7280709704848904,True
25469,0 days 00:56:43.478000,5561.0,657.0,523.0,128.9750016,1,-2.641359969511779,True
25470,0 days 00:56:43.658000,5534.0,712.0,523.0,124.4750016,1,-2.6247790173933865,True
25471,0 days 00:56:43.717000,5527.06696214312,728.9558344384541,522.898754698866,123.0,1,-2.61697677377953,True
25472,0 days 00:56:43.877000,5512.970011423256,773.9284096099268,522.2703361595707,118.0,1,-2.583386394933582,True
25473,0 days 00:56:43.978000,5511.0,810.0,522.0,116.31666773333333,1,-2.588907862122299,True
25474,0 days 00:56:44.117000,5518.399735818872,872.4678365190665,521.9629354421786,114.0,1,-2.5281295673794837,True
25475,0 days 00:56:44.198000,5525.0,905.0,522.0,112.34318312727272,1,-2.5221466841655027,True
25476,0 days 00:56:44.557000,5560.785985511755,975.6108628556689,522.0011501872075,105.0,1,-2.456154427363382,True
25477,0 days 00:56:44.578000,5564.0,980.0,522.0,104.76136436363636,1,-2.420791223157,True
25478,0 days 00:56:44.838000,5613.0,1046.0,522.0,101.80681890909091,1,-2.3582766069585412,True
25479,0 days 00:56:44.997000,5640.520888018611,1077.5375548837224,522.0001982201775,100.0,1,-2.2909596903784117,True
25480,0 days 00:56:45.118000,5662.0,1099.0,522.0,100.0,1,-2.2373926847694534,True
25481,0 days 00:56:45.357000,5711.5773397151215,1143.4721748146308,522.0006535183604,100.0,1,-2.1972471902083965,True
25482,0 days 00:56:45.438000,5729.0,1158.0,522.0,100.5062496,1,-2.098695484007467,True
25483,0 days 00:56:45.517000,5745.872514941212,1171.581289460128,521.9986082537279,101.0,1,-2.0734176231591843,True
