,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25397,0 days 00:56:34.079000,2311.0,1618.0,523.0,159.3250112,1,0.0,False
25398,0 days 00:56:34.197000,2233.9672867995573,1582.4899860359212,522.3390000056429,149.0,1,0.0,False
25399,0 days 00:56:34.317000,2156.0,1551.0,522.0,149.0,1,0.0,False
25400,0 days 00:56:34.357000,2135.585536626042,1544.7508701571924,521.8641325031969,149.0,1,0.0,False
25401,0 days 00:56:34.618000,2056.0,1542.0,521.0,134.08571794285714,1,0.0,False
25402,0 days 00:56:34.637000,2051.9419784725706,1542.5687489338598,520.9773980836186,133.0,1,0.0,False
25403,0 days 00:56:34.837000,2017.9418557913878,1550.760140555352,521.1328373750831,130.0,1,0.0,False
25404,0 days 00:56:34.978000,1989.0,1567.0,521.0,130.0,1,0.0,False
25405,0 days 00:56:35.038000,1973.068705492648,1577.8460229027908,520.7728330273145,130.0,1,0.0,False
25406,0 days 00:56:35.218000,1920.0,1620.0,520.0,124.21428571428571,1,0.0,False
25407,0 days 00:56:35.318000,1895.9834794726341,1644.4648362450273,520.1132077094978,121.0,1,0.0,False
25408,0 days 00:56:35.438000,1865.0,1676.0,520.0,121.0,1,0.0,False
25409,0 days 00:56:35.478000,1851.7861317760744,1687.5440635117545,519.666747584093,121.0,1,0.0,False
25410,0 days 00:56:35.758000,1742.0,1768.0,515.0,121.0,1,0.0,False
25411,0 days 00:56:35.797000,1730.6069645784676,1775.1596596605184,514.5191777435157,121.0,1,0.0,False
25412,0 days 00:56:35.957000,1698.543423133588,1791.193463250976,513.3475682102099,120.0,1,0.0,False
25413,0 days 00:56:36.178000,1657.0,1799.0,512.0,116.05357257142857,1,0.0,False
25414,0 days 00:56:36.237000,1640.0391219383694,1801.9902145185645,511.36510324899785,115.0,1,0.0,False
25415,0 days 00:56:36.358000,1601.0,1808.0,510.0,113.4875008,1,0.0,False
25416,0 days 00:56:36.477000,1564.381768068301,1810.9371932236766,509.20735104541404,112.0,1,0.0,False
25417,0 days 00:56:36.558000,1540.0,1811.0,509.0,108.9625024,1,0.0,False
25418,0 days 00:56:36.618000,1522.0,1810.0,509.0,106.7125024,1,0.0,False
25419,0 days 00:56:36.637000,1516.3653053153023,1809.5295594390307,509.0037755735797,106.0,1,0.0,False
25420,0 days 00:56:36.858000,1454.0,1799.0,509.0,101.39583466666667,1,0.0,False
25421,0 days 00:56:36.877000,1448.9699913812813,1797.6721396883422,509.0028269821369,101.0,1,0.0,False
