,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-7092.0,-1239.0,817.0,305.50833386666665,1,0.0,False
25096,0 days 00:55:59.302000,-7192.311135441141,-1243.9191543321976,817.6129686640722,305.0,1,0.0,False
25097,0 days 00:55:59.400000,-7278.0,-1249.0,818.0,305.0,1,0.0,False
25098,0 days 00:55:59.640000,-7481.0,-1266.0,818.0,305.0,1,0.0,False
25099,0 days 00:55:59.662000,-7503.064063509207,-1268.0936411038865,817.9913788766418,305.0,1,0.0,False
25100,0 days 00:55:59.862000,-7717.509749920966,-1289.3938478805858,817.997028575647,305.0,1,0.0,False
25101,0 days 00:55:59.880000,-7733.0,-1291.0,818.0,304.8499989333333,1,0.0,False
25102,0 days 00:56:00.100000,-7867.0,-1306.0,818.0,303.01666773333335,1,0.0,False
25103,0 days 00:56:00.102000,-7868.182266474134,-1306.1405690590752,817.9988804595793,303.0,1,0.0,False
25104,0 days 00:56:00.382000,-8081.482370858682,-1332.785400004164,817.828670076474,302.0,1,0.0,False
25105,0 days 00:56:00.439000,-8151.0,-1342.0,818.0,302.0,1,0.0,False
25106,0 days 00:56:00.619000,-8417.0,-1378.0,819.0,302.0,1,0.0,False
25107,0 days 00:56:00.702000,-8513.320964967072,-1391.125252686601,819.2598181204368,302.0,1,0.0,False
25108,0 days 00:56:01.039000,-8732.0,-1421.0,819.0,301.06388906666666,1,0.0,False
25109,0 days 00:56:01.062000,-8745.74076468879,-1422.8452042166691,818.9833320144012,301.0,1,0.0,False
25110,0 days 00:56:01.462000,-9004.145567171156,-1459.732815090923,818.9949583004028,300.0,1,0.0,False
25111,0 days 00:56:01.519000,-9044.0,-1467.0,819.0,295.71990978060285,1,0.0,False
25112,0 days 00:56:02.301000,-9620.223260249197,-1613.8402442353279,818.9677010225774,237.0,1,0.0,False
25113,0 days 00:56:02.339000,-9644.0,-1621.0,819.0,233.2000128,1,0.0,False
25114,0 days 00:56:02.459000,-9715.0,-1643.0,819.0,221.2000128,1,0.0,False
25115,0 days 00:56:02.541000,-9760.51871497128,-1657.6395888082388,818.5022718541314,213.0,1,0.0,False
25116,0 days 00:56:02.619000,-9802.0,-1671.0,818.0,205.9312616,1,0.0,False
25117,0 days 00:56:02.819000,-9902.0,-1702.0,818.0,187.8062616,1,0.0,False
25118,0 days 00:56:02.861000,-9922.0023714191,-1708.2254645075848,818.0191739803117,184.0,1,0.0,False
25119,0 days 00:56:02.999000,-9986.0,-1728.0,818.0,172.7875104,1,0.0,False
25120,0 days 00:56:03.021000,-9996.101310905682,-1730.9964128868537,817.9974140143684,171.0,1,0.0,False
25121,0 days 00:56:03.221000,-10089.959527416488,-1758.8964074866988,817.9994595922456,164.0,1,0.0,False
25122,0 days 00:56:03.259000,-10110.0,-1766.0,818.0,162.86000384,1,0.0,False
25123,0 days 00:56:03.421000,-10205.002033535027,-1804.8366859697344,817.9958225625703,158.0,1,0.0,False
25124,0 days 00:56:03.519000,-10254.0,-1828.0,818.0,155.5500032,1,0.0,False
25125,0 days 00:56:03.701000,-10305.420511047752,-1860.372611900507,818.0378650097011,151.0,1,0.0,False
25126,0 days 00:56:03.939000,-10336.0,-1907.0,818.0,149.01666773333332,1,0.0,False
25127,0 days 00:56:04.061000,-10357.99309069897,-1946.5695754099402,817.8620332390117,148.0,1,0.0,False
25128,0 days 00:56:04.199000,-10383.0,-2003.0,818.0,150.29999786666667,1,0.0,False
25129,0 days 00:56:04.380000,-10407.0,-2089.0,819.0,153.31666346666665,1,0.0,False
25130,0 days 00:56:04.421000,-10411.489619128393,-2107.151963806338,819.0937527020966,154.0,1,0.0,False
25131,0 days 00:56:04.580000,-10430.0,-2176.0,819.0,157.40713874285714,1,0.0,False
25132,0 days 00:56:04.701000,-10453.33186285061,-2240.3228800797847,819.0419779545972,160.0,1,0.0,False
25133,0 days 00:56:04.820000,-10478.0,-2299.0,819.0,161.4813258041695,1,0.0,False
25134,0 days 00:56:04.942000,-10498.02707714387,-2338.123467371232,818.6241882791088,163.0,1,0.0,False
25135,0 days 00:56:05.100000,-10527.0,-2377.0,818.0,173.8624912,1,0.6331658972717582,True
25136,0 days 00:56:05.102000,-10527.486066320183,-2377.5832563284266,817.9943310096874,174.0,1,0.6295903772042929,True
25137,0 days 00:56:05.342000,-10606.188836117277,-2461.81091735837,817.7784962972644,178.0,1,0.6229386574007111,True
25138,0 days 00:56:05.420000,-10637.0,-2489.0,818.0,180.437496,1,0.6060184775933659,True
25139,0 days 00:56:05.502000,-10671.08155866491,-2515.539534846885,818.416112133874,183.0,1,0.6173733093901881,True
25140,0 days 00:56:05.600000,-10713.0,-2545.0,819.0,183.98000128,1,0.6063025810069355,True
25141,0 days 00:56:05.702000,-10756.53195037494,-2573.7163472093894,819.4915110570726,185.0,1,0.6121641944257027,True
25142,0 days 00:56:05.820000,-10812.0,-2608.0,820.0,188.60555164444443,1,0.6127076695677633,True
25143,0 days 00:56:06.040000,-10935.0,-2680.0,821.0,195.32778168888888,1,0.6310639258890318,True
25144,0 days 00:56:06.062000,-10945.432537655632,-2686.029551629422,821.0854352024509,196.0,1,0.6198181897112945,True
25145,0 days 00:56:06.222000,-11005.927897957856,-2720.7902079499336,821.5974818516701,201.0,1,0.6229428071127479,True
25146,0 days 00:56:06.340000,-11062.0,-2753.0,822.0,203.9499968,1,0.605703589889377,True
25147,0 days 00:56:06.462000,-11146.057229895408,-2801.4346927883466,822.5199248169249,207.0,1,0.6095125821342703,True
25148,0 days 00:56:06.580000,-11234.0,-2853.0,823.0,210.24499648,1,0.6012021906723863,True
