,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-2838.0,-5557.0,1095.0,94.03333546666667,1,0.0,False
25096,0 days 00:55:59.302000,-2808.5214091824705,-5561.433382629071,1094.4378737011048,92.0,1,0.0,False
25097,0 days 00:55:59.400000,-2783.0,-5563.0,1094.0,92.81666773333333,1,0.0,False
25098,0 days 00:55:59.640000,-2720.0,-5554.0,1093.0,94.81666773333333,1,0.0,False
25099,0 days 00:55:59.662000,-2712.972968212686,-5552.390795543677,1092.8495096413624,95.0,1,0.0,False
25100,0 days 00:55:59.862000,-2643.983217767562,-5534.431316407566,1091.1269506992949,99.0,1,0.0,False
25101,0 days 00:55:59.880000,-2639.0,-5533.0,1091.0,99.30000213333334,1,0.0,False
25102,0 days 00:56:00.100000,-2596.0,-5519.0,1090.0,102.96666453333333,1,0.0,False
25103,0 days 00:56:00.102000,-2595.617639842215,-5518.872534062609,1089.9928468905255,103.0,1,0.0,False
25104,0 days 00:56:00.382000,-2524.0694575809016,-5494.201436254474,1088.6855331268393,108.0,1,0.0,False
25105,0 days 00:56:00.439000,-2499.0,-5484.0,1088.0,110.4937472,1,0.0,False
25106,0 days 00:56:00.619000,-2400.0,-5441.0,1085.0,118.3687472,1,0.0,False
25107,0 days 00:56:00.702000,-2363.05228882802,-5424.264978691379,1084.0783836504477,122.0,1,0.0,False
25108,0 days 00:56:01.039000,-2272.0,-5379.0,1083.0,136.97777493333334,1,0.0,False
25109,0 days 00:56:01.062000,-2266.086469284437,-5375.952627268891,1082.886799063909,138.0,1,0.0,False
25110,0 days 00:56:01.462000,-2151.320097892844,-5316.151642226501,1079.531406262361,151.0,1,0.0,False
25111,0 days 00:56:01.519000,-2132.0,-5306.0,1079.0,153.5816417196364,1,0.0,False
25112,0 days 00:56:02.301000,-1793.2438922056617,-5127.496811574356,1072.2957364679316,189.0,1,0.0,False
25113,0 days 00:56:02.339000,-1775.0,-5118.0,1072.0,190.2666624,1,0.0,False
25114,0 days 00:56:02.459000,-1717.0,-5088.0,1071.0,194.2666624,1,0.0,False
25115,0 days 00:56:02.541000,-1677.565688261778,-5068.025292830261,1070.000195458974,197.0,1,0.0,False
25116,0 days 00:56:02.619000,-1637.0,-5048.0,1069.0,200.41249439999999,1,0.0,False
25117,0 days 00:56:02.819000,-1513.0,-4989.0,1067.0,209.16249439999999,1,0.0,False
25118,0 days 00:56:02.861000,-1488.0575704544258,-4977.28691789822,1066.554948769265,211.0,1,0.0,False
