,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,2727.0,-427.0,788.0,147.01666773333332,1,0.0,False
25096,0 days 00:55:59.302000,2683.0996207777694,-407.02719820894407,787.5053052513119,146.0,1,0.0,False
25097,0 days 00:55:59.400000,2645.0,-392.0,787.0,144.9111096888889,1,0.0,False
25098,0 days 00:55:59.640000,2553.0,-369.0,786.0,142.2444430222222,1,0.0,False
25099,0 days 00:55:59.662000,2542.6744439365116,-367.57230372946344,785.9601105061184,142.0,1,0.0,False
25100,0 days 00:55:59.862000,2440.44658220206,-359.2677404345094,785.986574416387,143.0,1,0.0,False
25101,0 days 00:55:59.880000,2433.0,-359.0,786.0,143.15000106666668,1,0.0,False
25102,0 days 00:56:00.100000,2368.0,-361.0,786.0,144.98333226666668,1,0.0,False
25103,0 days 00:56:00.102000,2367.422629988936,-361.03446044332514,785.9950580278858,145.0,1,0.0,False
25104,0 days 00:56:00.382000,2262.1203518367947,-373.1551506185686,784.3636414927059,152.0,1,0.0,False
25105,0 days 00:56:00.439000,2227.0,-383.0,784.0,153.781248,1,0.0,False
25106,0 days 00:56:00.619000,2091.0,-431.0,783.0,159.406248,1,0.0,False
25107,0 days 00:56:00.702000,2040.7750744334942,-450.94799171191204,782.5777285728724,162.0,1,0.0,False
25108,0 days 00:56:01.039000,1921.0,-509.0,781.0,176.97777493333334,1,0.0,False
25109,0 days 00:56:01.062000,1913.4948602485788,-512.6676732827084,780.8950361953373,178.0,1,0.0,False
25110,0 days 00:56:01.462000,1771.6989771238677,-578.2439870306013,779.1876624363953,192.0,1,0.0,False
25111,0 days 00:56:01.519000,1748.0,-589.0,779.0,193.56257261977993,1,0.0,False
25112,0 days 00:56:02.301000,1338.904758376136,-774.5057361426875,778.0051195999192,215.0,1,0.0,False
25113,0 days 00:56:02.339000,1318.0,-784.0,778.0,216.1083296,1,0.0,False
25114,0 days 00:56:02.459000,1252.0,-814.0,778.0,219.6083296,1,0.0,False
25115,0 days 00:56:02.541000,1206.1298062455478,-834.8997018220194,778.0125582549225,222.0,1,0.0,False
25116,0 days 00:56:02.619000,1162.0,-855.0,778.0,223.7062472,1,0.0,False
25117,0 days 00:56:02.819000,1047.0,-907.0,778.0,228.0812472,1,0.0,False
25118,0 days 00:56:02.861000,1022.1722867827899,-918.0661580356365,778.1832643494449,229.0,1,0.0,False
25119,0 days 00:56:02.999000,941.0,-954.0,779.0,230.7249984,1,0.0,False
25120,0 days 00:56:03.021000,928.6958989034334,-959.4617142764387,779.0667356140735,231.0,1,0.0,False
25121,0 days 00:56:03.221000,814.8675727732665,-1009.6818187045096,778.9711332202372,237.0,1,0.0,False
25122,0 days 00:56:03.259000,786.0,-1022.0,779.0,237.56999808,1,0.0,False
25123,0 days 00:56:03.421000,628.779208289005,-1087.632441896362,779.5686096313658,240.0,1,0.0,False
25124,0 days 00:56:03.519000,541.0,-1124.0,780.0,241.39999817142856,1,0.0,False
25125,0 days 00:56:03.701000,441.0125336452361,-1165.5518812430419,780.6039208579532,244.0,1,0.0,False
25126,0 days 00:56:03.939000,352.0,-1203.0,781.0,247.96666453333333,1,0.0,False
25127,0 days 00:56:04.061000,279.87766304501645,-1233.436115491564,781.0263546564707,250.0,1,0.0,False
25128,0 days 00:56:04.199000,184.0,-1274.0,781.0,252.29999786666667,1,0.0,False
25129,0 days 00:56:04.380000,54.0,-1329.0,781.0,255.31666346666665,1,0.0,False
25130,0 days 00:56:04.421000,27.102189199907464,-1340.1900838884249,780.9807587256286,256.0,1,0.0,False
25131,0 days 00:56:04.580000,-77.0,-1382.0,781.0,257.70356937142856,1,0.0,False
25132,0 days 00:56:04.701000,-181.09694009922842,-1421.4540349717468,781.5015165615404,259.0,1,0.0,False
25133,0 days 00:56:04.820000,-279.0,-1457.0,782.0,260.4813258041695,1,0.0,False
25134,0 days 00:56:04.942000,-346.244948947461,-1479.2496441273452,782.0636503889576,262.0,1,0.0,False
25135,0 days 00:56:05.100000,-419.0,-1499.0,782.0,263.9749984,1,-0.31265241884254324,False
25136,0 days 00:56:05.102000,-420.1328370727209,-1499.2936421432194,782.0028206057736,264.0,1,-0.32620042848963243,False
25137,0 days 00:56:05.342000,-590.3516467968863,-1540.6352132984111,782.85147648066,267.0,1,-0.34717968751511574,False
25138,0 days 00:56:05.420000,-649.0,-1552.0,783.0,267.4874992,1,-0.36296973834169133,False
25139,0 days 00:56:05.502000,-708.9021335034251,-1561.3989555267196,782.9816157722634,268.0,1,-0.3740928663449757,False
25140,0 days 00:56:05.600000,-780.0,-1570.0,783.0,268.49000064,1,-0.38863426661610634,False
25141,0 days 00:56:05.702000,-855.9561346939882,-1576.9845938676417,783.438115444932,269.0,1,-0.38932804806489724,False
25142,0 days 00:56:05.820000,-952.0,-1583.0,784.0,270.3111096888889,1,-0.3961134423957662,False
25143,0 days 00:56:06.040000,-1156.0,-1590.0,784.0,272.75555697777776,1,-0.3857193644320042,False
25144,0 days 00:56:06.062000,-1173.625376963673,-1590.4765354328504,784.0234843392742,273.0,1,-0.3982741683077133,False
25145,0 days 00:56:06.222000,-1279.3718947188654,-1593.0404697680349,784.5120687396218,273.0,1,-0.3934197830369351,False
25146,0 days 00:56:06.340000,-1371.0,-1597.0,785.0,274.4749984,1,-0.3907537864731898,False
25147,0 days 00:56:06.462000,-1499.3530997088749,-1604.6396280907647,785.4913903260517,276.0,1,-0.3860912192631955,False
25148,0 days 00:56:06.580000,-1631.0,-1613.0,786.0,276.88499904,1,-0.3807772430516128,False
25149,0 days 00:56:06.862000,-1879.062615192673,-1627.4040137458755,787.4885862592001,279.0,1,-0.3764548671416061,False
25150,0 days 00:56:07.039000,-1987.0,-1633.0,788.0,279.88499968,1,-0.36953140941917134,False
25151,0 days 00:56:07.062000,-1998.3284943561694,-1633.5552578079212,788.0174056154028,280.0,1,-0.36828171925933667,False
25152,0 days 00:56:07.222000,-2064.238168259406,-1636.6000568349905,787.878673505866,282.0,1,-0.3447651252920226,False
25153,0 days 00:56:07.319000,-2128.0,-1640.0,788.0,282.4041664,1,-0.3413518608287205,False
25154,0 days 00:56:07.462000,-2281.1676063469044,-1648.8594567134876,788.7854438620496,283.0,1,-0.3337789450597488,False
25155,0 days 00:56:07.639000,-2490.0,-1661.0,790.0,283.88499968,1,-0.32672251420690035,False
25156,0 days 00:56:07.662000,-2511.0943509258177,-1662.1710298512858,790.103908681892,284.0,1,-0.32309183983676915,False
25157,0 days 00:56:07.822000,-2618.6457155116536,-1667.6811502963167,790.476482389695,286.0,1,-0.3120439193204735,False
25158,0 days 00:56:08.022000,-2700.871706314363,-1670.3268744724542,790.5976538754312,287.0,1,-0.30961451856105493,False
25159,0 days 00:56:08.119000,-2761.0,-1672.0,791.0,287.48499968,1,-0.29933948120985715,False
25160,0 days 00:56:08.222000,-2841.5822169205453,-1674.1772674899792,791.6928276950815,288.0,1,-0.2963251012004283,False
25161,0 days 00:56:08.299000,-2905.0,-1676.0,792.0,288.16075141067205,1,-0.2843320110950074,False
25162,0 days 00:56:08.339000,-2937.0,-1677.0,792.0,288.24425870640385,1,-0.2800998562788634,False
25163,0 days 00:56:08.539000,-3098.0,-1683.0,792.0,288.66179518506283,1,-0.2586890615788877,False
25164,0 days 00:56:08.701000,-3218.509233606885,-1688.0341422343506,792.2882487879183,289.0,1,-0.2503773185805134,False
25165,0 days 00:56:08.859000,-3355.0,-1692.0,793.0,289.0,1,-0.2366286476717456,False
25166,0 days 00:56:08.901000,-3399.2414131907117,-1692.752235954524,793.2844826012251,289.0,1,-0.2272451047648028,False
25167,0 days 00:56:09.101000,-3625.6534423131657,-1694.1348356221336,794.8882916428848,289.0,1,-0.209103247400998,False
25168,0 days 00:56:09.119000,-3642.0,-1694.0,795.0,289.0,1,-0.19665960521215572,False
25169,0 days 00:56:09.421000,-3811.45444823764,-1684.3506447628422,795.9128401217456,289.0,1,-0.17376914015227335,False
25170,0 days 00:56:09.459000,-3833.0,-1682.0,796.0,289.67856914285716,1,-0.16607807955921441,False
25171,0 days 00:56:09.701000,-4014.8355553481724,-1658.4374340507811,796.7297639901134,294.0,1,-0.13602825297795096,False
25172,0 days 00:56:09.759000,-4075.0,-1648.0,797.0,294.32222151111114,1,-0.12151377776451859,False
25173,0 days 00:56:09.939000,-4286.0,-1606.0,798.0,295.32222151111114,1,-0.08147151626528691,False
25174,0 days 00:56:10.061000,-4379.234606861196,-1586.3545889914606,798.3903987898302,296.0,1,-0.06486819463823983,False
25175,0 days 00:56:10.259000,-4480.0,-1563.0,799.0,296.7071424,1,-0.04855653168557971,False
25176,0 days 00:56:10.341000,-4535.310998270162,-1549.6435044267823,799.5684290654813,297.0,1,-0.035537489829525745,False
25177,0 days 00:56:10.499000,-4673.0,-1516.0,801.0,297.0,1,-0.00869139082008379,False
25178,0 days 00:56:10.501000,-4675.084177252089,-1515.4909541671452,801.0183319528295,297.0,1,0.004984134738579695,False
25179,0 days 00:56:10.661000,-4865.381643522584,-1469.0297242647787,802.4569614578378,297.0,1,0.0294782475295592,False
25180,0 days 00:56:10.739000,-4947.0,-1449.0,803.0,297.4874992,1,0.04766796127580558,False
25181,0 days 00:56:10.821000,-5012.129301449931,-1432.8665023782944,803.3958775555061,298.0,1,0.05949674536192054,False
25182,0 days 00:56:11.060000,-5140.0,-1401.0,804.0,298.0,1,0.08997065520457069,False
25183,0 days 00:56:11.141000,-5197.01768486188,-1387.3144105149784,804.2971874005514,298.0,1,0.10043960341090538,False
25184,0 days 00:56:11.342000,-5366.243722109854,-1348.0232368274108,805.5765175685603,299.0,1,0.12441853559313468,False
25185,0 days 00:56:11.380000,-5398.0,-1341.0,806.0,299.0,1,0.1347133361165499,False
25186,0 days 00:56:11.460000,-5463.0,-1327.0,807.0,299.0,1,0.14731379315241816,False
25187,0 days 00:56:11.502000,-5494.903029566011,-1320.258097233573,807.367418489878,299.0,1,0.16127363302729025,False
25188,0 days 00:56:11.680000,-5626.0,-1295.0,808.0,299.5562504,1,0.1822879516356339,False
25189,0 days 00:56:11.822000,-5760.519200803047,-1274.8624919204103,809.004178127195,300.0,1,0.20226771748003114,False
25190,0 days 00:56:12.020000,-5956.0,-1251.0,811.0,300.0,1,0.22074351412458662,False
25191,0 days 00:56:12.102000,-6020.516184358423,-1244.7464512717704,811.8287152773405,300.0,1,0.22595960418924058,False
25192,0 days 00:56:12.380000,-6206.0,-1235.0,814.0,301.5444437333333,1,0.24235657635853616,False
25193,0 days 00:56:12.462000,-6272.340913995153,-1233.0685263014598,814.1215221069316,302.0,1,0.24922666605812124,False
25194,0 days 00:56:12.580000,-6374.0,-1231.0,814.0,302.3687496,1,0.2698385196478572,False
25195,0 days 00:56:12.740000,-6509.0,-1230.0,814.0,302.8687496,1,0.2860468606637118,False
25196,0 days 00:56:12.782000,-6544.233385069934,-1229.877189112729,814.3074300276701,303.0,1,0.2980776819457241,False
25197,0 days 00:56:12.940000,-6677.0,-1230.0,816.0,303.0,1,0.30907491918449753,False
25198,0 days 00:56:12.942000,-6678.692615115442,-1230.0126983723624,816.0107041178243,303.0,1,0.3224382211937624,False
25199,0 days 00:56:13.120000,-6828.0,-1232.0,816.0,303.0,1,0.35037364117758923,False
25200,0 days 00:56:13.182000,-6876.528312656513,-1232.6902288215958,816.0698120661352,303.0,1,0.3611000461001714,False
25201,0 days 00:56:13.342000,-7004.03991754044,-1235.3581856673472,816.7216049073695,304.0,1,0.38878064768977094,False
25202,0 days 00:56:13.399000,-7065.0,-1238.0,817.0,304.15833315555557,1,0.397766172721919,False
25203,0 days 00:56:13.619000,-7352.0,-1255.0,818.0,304.76944426666665,1,0.42803511271883793,False
25204,0 days 00:56:13.702000,-7424.1632839369495,-1259.8610477181992,818.1612909791561,305.0,1,0.4351669873498637,False
