,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-11790.0,-3431.0,826.0,237.4749984,1,0.0,False
25096,0 days 00:55:59.302000,-11818.929745694955,-3505.1504317542112,826.6391333651328,239.0,1,0.0,False
25097,0 days 00:55:59.400000,-11843.0,-3569.0,827.0,240.90555804444443,1,0.0,False
25098,0 days 00:55:59.640000,-11898.0,-3723.0,827.0,245.57222471111112,1,0.0,False
25099,0 days 00:55:59.662000,-11904.027359832173,-3739.852259996003,827.0537176825048,246.0,1,0.0,False
25100,0 days 00:55:59.862000,-11963.577889449838,-3904.085501782755,827.9541366655036,248.0,1,0.0,False
25101,0 days 00:55:59.880000,-11968.0,-3916.0,828.0,248.30000213333332,1,0.0,False
25102,0 days 00:56:00.100000,-12008.0,-4020.0,828.0,251.96666453333333,1,0.0,False
25103,0 days 00:56:00.102000,-12008.355053306199,-4020.9240255909226,828.000881185464,252.0,1,0.0,False
25104,0 days 00:56:00.382000,-12071.8270951088,-4189.6212541877685,828.7285276701283,257.0,1,0.0,False
25105,0 days 00:56:00.439000,-12093.0,-4246.0,829.0,258.0687488,1,0.0,False
25106,0 days 00:56:00.619000,-12175.0,-4464.0,830.0,261.4437488,1,0.0,False
25107,0 days 00:56:00.702000,-12204.788721053712,-4543.371768456294,830.3577923840916,263.0,1,0.0,False
25108,0 days 00:56:01.039000,-12273.0,-4726.0,831.0,266.74444373333336,1,0.0,False
25109,0 days 00:56:01.062000,-12277.350320250878,-4737.567052071937,831.0136841003368,267.0,1,0.0,False
25110,0 days 00:56:01.462000,-12360.757529587723,-4957.859761189055,830.954738096121,271.0,1,0.0,False
25111,0 days 00:56:01.519000,-12374.0,-4993.0,831.0,271.475565579933,1,0.0,False
25112,0 days 00:56:02.301000,-12583.486926899905,-5552.328451971042,832.9790610179642,278.0,1,0.0,False
25113,0 days 00:56:02.339000,-12594.0,-5580.0,833.0,278.0,1,0.0,False
25114,0 days 00:56:02.459000,-12627.0,-5667.0,833.0,278.0,1,0.0,False
25115,0 days 00:56:02.541000,-12649.061682847847,-5726.960029209255,833.0090308493841,278.0,1,0.0,False
25116,0 days 00:56:02.619000,-12670.0,-5784.0,833.0,278.4874992,1,0.0,False
25117,0 days 00:56:02.819000,-12725.0,-5929.0,833.0,279.7374992,1,0.0,False
25118,0 days 00:56:02.861000,-12736.748811138668,-5959.805382636239,833.1622017769716,280.0,1,0.0,False
25119,0 days 00:56:02.999000,-12775.0,-6060.0,834.0,281.7249984,1,0.0,False
25120,0 days 00:56:03.021000,-12780.849213157597,-6075.2410325243,834.121922424248,282.0,1,0.0,False
25121,0 days 00:56:03.221000,-12835.37750483822,-6214.542796575976,834.9268758193756,280.0,1,0.0,False
25122,0 days 00:56:03.259000,-12849.0,-6248.0,835.0,279.81000064,1,0.0,False
25123,0 days 00:56:03.421000,-12922.300734786157,-6423.752795869495,835.0129574358156,279.0,1,0.0,False
25124,0 days 00:56:03.519000,-12963.0,-6520.0,835.0,279.3499995428571,1,0.0,False
25125,0 days 00:56:03.701000,-13009.202387661455,-6627.498724670553,835.2373749380893,280.0,1,0.0,False
25126,0 days 00:56:03.939000,-13051.0,-6728.0,836.0,278.01666773333335,1,0.0,False
25127,0 days 00:56:04.061000,-13085.601223461003,-6816.477260509158,836.5564378463756,277.0,1,0.0,False
25128,0 days 00:56:04.199000,-13123.0,-6921.0,837.0,273.9333361777778,1,0.0,False
25129,0 days 00:56:04.380000,-13149.0,-7028.0,837.0,269.9111153777778,1,0.0,False
25130,0 days 00:56:04.421000,-13153.287132395788,-7055.115856392098,837.122653309678,269.0,1,0.0,False
25131,0 days 00:56:04.580000,-13163.0,-7178.0,838.0,259.9142966857143,1,0.0,False
25132,0 days 00:56:04.701000,-13155.750540075163,-7289.074762995823,838.5598298844927,253.0,1,0.0,False
25133,0 days 00:56:04.820000,-13143.0,-7388.0,839.0,246.58092151526546,1,0.0,False
25134,0 days 00:56:04.942000,-13131.747186128292,-7453.515022652235,839.3767459009736,240.0,1,0.0,False
25135,0 days 00:56:05.100000,-13116.0,-7519.0,840.0,235.062504,1,-0.31960213061483966,False
