,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-8561.0,-6843.0,936.0,268.98333226666665,1,0.0,False
25096,0 days 00:55:59.302000,-8580.394225346135,-6756.242582989796,931.8099474093858,270.0,1,0.0,False
25097,0 days 00:55:59.400000,-8597.0,-6682.0,928.0,270.0,1,0.0,False
25098,0 days 00:55:59.640000,-8633.0,-6507.0,918.0,270.0,1,0.0,False
25099,0 days 00:55:59.662000,-8635.749736593947,-6488.232580279948,917.0377479231416,270.0,1,0.0,False
25100,0 days 00:55:59.862000,-8653.52042981379,-6307.832060006309,908.5979714440771,266.0,1,0.0,False
25101,0 days 00:55:59.880000,-8654.0,-6295.0,908.0,265.5499968,1,0.0,False
25102,0 days 00:56:00.100000,-8644.0,-6186.0,903.0,260.0500032,1,0.0,False
25103,0 days 00:56:00.102000,-8643.806576037161,-6185.020832127563,902.9631749469203,260.0,1,0.0,False
25104,0 days 00:56:00.382000,-8592.942716701418,-6008.862733260839,898.5760584750024,250.0,1,0.0,False
25105,0 days 00:56:00.439000,-8570.0,-5957.0,898.0,245.3687552,1,0.0,False
25106,0 days 00:56:00.619000,-8474.0,-5770.0,897.0,230.7437552,1,0.0,False
25107,0 days 00:56:00.702000,-8439.533878387134,-5706.712962180687,896.8832387166794,224.0,1,0.0,False
25108,0 days 00:56:01.039000,-8368.0,-5592.0,898.0,187.4916736,1,0.0,False
25109,0 days 00:56:01.062000,-8363.669926982247,-5585.50868217767,898.1158751315284,185.0,1,0.0,False
25110,0 days 00:56:01.462000,-8280.805691816871,-5470.0485341040785,900.6045445252346,163.0,1,0.0,False
25111,0 days 00:56:01.519000,-8267.0,-5455.0,901.0,160.69011004032532,1,0.0,False
25112,0 days 00:56:02.301000,-8024.464377588004,-5325.293650807324,910.8606107550452,129.0,1,0.0,False
25113,0 days 00:56:02.339000,-8011.0,-5325.0,912.0,127.7333376,1,0.0,False
25114,0 days 00:56:02.459000,-7968.0,-5328.0,916.0,123.7333376,1,0.0,False
25115,0 days 00:56:02.541000,-7939.064427194079,-5332.126797720141,918.6706610298048,121.0,1,0.0,False
25116,0 days 00:56:02.619000,-7912.0,-5337.0,921.0,121.0,1,0.0,False
25117,0 days 00:56:02.819000,-7844.0,-5352.0,926.0,121.0,1,0.0,False
25118,0 days 00:56:02.861000,-7829.634120334039,-5355.56387786046,927.1003490558379,121.0,1,0.0,False
25119,0 days 00:56:02.999000,-7783.0,-5368.0,931.0,121.8624992,1,0.0,False
25120,0 days 00:56:03.021000,-7775.9079488110465,-5370.023879722924,931.6553862262277,122.0,1,0.0,False
25121,0 days 00:56:03.221000,-7710.325358666474,-5389.07865899678,938.3655097619389,126.0,1,0.0,False
25122,0 days 00:56:03.259000,-7694.0,-5393.0,940.0,126.75999744,1,0.0,False
25123,0 days 00:56:03.421000,-7606.129287104923,-5410.872139867221,948.4542192310856,130.0,1,0.0,False
25124,0 days 00:56:03.519000,-7556.0,-5420.0,953.0,133.14999588571428,1,0.0,False
25125,0 days 00:56:03.701000,-7493.571346879197,-5429.917356107979,957.8472803977589,139.0,1,0.0,False
25126,0 days 00:56:03.939000,-7437.0,-5435.0,962.0,146.93332906666666,1,0.0,False
25127,0 days 00:56:04.061000,-7399.8042165426,-5437.3768405853425,965.831749417028,151.0,1,0.0,False
25128,0 days 00:56:04.199000,-7347.0,-5440.0,971.0,154.83332977777778,1,0.0,False
25129,0 days 00:56:04.380000,-7259.0,-5443.0,978.0,159.86110577777777,1,0.0,False
25130,0 days 00:56:04.421000,-7239.980774904932,-5443.265049646208,979.5829709521763,161.0,1,0.0,False
25131,0 days 00:56:04.580000,-7165.0,-5443.0,986.0,167.81427748571429,1,0.0,False
25132,0 days 00:56:04.701000,-7088.872458191357,-5442.513193985074,991.8545363807916,173.0,1,0.0,False
25133,0 days 00:56:04.820000,-7017.0,-5442.0,997.0,178.92530321667803,1,0.0,False
25134,0 days 00:56:04.942000,-6967.663166643646,-5441.526868766474,1000.1216620763373,185.0,1,0.0,False
25135,0 days 00:56:05.100000,-6914.0,-5441.0,1003.0,187.9624976,1,-0.6589858439211592,True
25136,0 days 00:56:05.102000,-6913.160111022956,-5440.9940059434,1003.0464567840908,188.0,1,-0.6213636960100039,True
25137,0 days 00:56:05.342000,-6785.962795586968,-5440.330306408128,1010.319439868066,198.0,1,-0.5524175480441487,True
25138,0 days 00:56:05.420000,-6741.0,-5440.0,1013.0,198.9749984,1,-0.4643478853162515,False
25139,0 days 00:56:05.502000,-6694.192708900846,-5439.54917735041,1015.8587575983863,200.0,1,-0.4460440256007831,False
25140,0 days 00:56:05.600000,-6639.0,-5439.0,1019.0,202.94000384,1,-0.357684881466386,False
25141,0 days 00:56:05.702000,-6582.591677845259,-5438.590861883673,1021.5041876876445,206.0,1,-0.34213348666408416,False
25142,0 days 00:56:05.820000,-6512.0,-5438.0,1024.0,208.62221937777778,1,-0.28910673894383476,False
25143,0 days 00:56:06.040000,-6358.0,-5436.0,1029.0,213.51111395555554,1,-0.26918960057736596,False
25144,0 days 00:56:06.062000,-6344.92896074249,-5435.87058509576,1029.420940393062,214.0,1,-0.2122277664827668,False
25145,0 days 00:56:06.222000,-6268.750397002416,-5435.493907042148,1031.8877886576774,219.0,1,-0.18731380560504302,False
25146,0 days 00:56:06.340000,-6198.0,-5434.0,1034.0,223.4249952,1,-0.11676554159505242,False
25147,0 days 00:56:06.462000,-6092.098256833715,-5430.34949428916,1036.9757085955762,228.0,1,-0.09079735869820664,False
25148,0 days 00:56:06.580000,-5981.0,-5426.0,1040.0,230.9499968,1,-0.05777629074042399,False
25149,0 days 00:56:06.862000,-5769.730592316686,-5417.070147139947,1045.4451971610486,238.0,1,-0.07010036425628076,False
25150,0 days 00:56:07.039000,-5677.0,-5413.0,1048.0,241.53999872,1,-0.04853694194412449,False
25151,0 days 00:56:07.062000,-5667.240796762775,-5412.5774478532485,1048.3001711612485,242.0,1,-0.048830077362789714,False
25152,0 days 00:56:07.222000,-5610.2493264074365,-5410.171494122632,1050.265396931834,243.0,1,-0.010598431638208963,False
25153,0 days 00:56:07.319000,-5555.0,-5408.0,1052.0,244.2124992,1,-0.016515035423090164,False
25154,0 days 00:56:07.462000,-5422.305799811674,-5402.931591665447,1055.7966286149554,246.0,1,-0.028961072631035773,False
25155,0 days 00:56:07.639000,-5241.0,-5396.0,1061.0,251.30999807999999,1,-0.0445935077937433,False
25156,0 days 00:56:07.662000,-5222.603459035027,-5395.280908486267,1061.5675542938056,252.0,1,-0.047477028348559165,False
25157,0 days 00:56:07.822000,-5128.122043579663,-5391.457263938161,1064.8101433259685,253.0,1,-0.05700466705698905,False
25158,0 days 00:56:08.022000,-5054.3943400868375,-5388.2187367549695,1067.6401050699037,254.0,1,-0.06341708730722968,False
25159,0 days 00:56:08.119000,-5001.0,-5386.0,1069.0,255.45499904,1,-0.065987028787259,False
25160,0 days 00:56:08.222000,-4929.737831770539,-5383.114589086722,1070.4721537390988,257.0,1,-0.06944484189303297,False
25161,0 days 00:56:08.299000,-4873.0,-5381.0,1072.0,257.16075141067205,1,-0.07393842304756532,False
25162,0 days 00:56:08.339000,-4844.0,-5380.0,1073.0,257.24425870640385,1,-0.07390077983550634,False
25163,0 days 00:56:08.539000,-4701.0,-5374.0,1076.0,257.66179518506283,1,-0.0730829908687822,False
25164,0 days 00:56:08.701000,-4592.563152987666,-5368.846727767381,1078.6098650902795,258.0,1,-0.07886919201366586,False
25165,0 days 00:56:08.859000,-4469.0,-5361.0,1081.0,260.36999808,1,-0.08000577266212212,False
25166,0 days 00:56:08.901000,-4429.122958849351,-5357.99786855947,1081.4733549638108,261.0,1,-0.08054567740048649,False
25167,0 days 00:56:09.101000,-4225.664294786391,-5341.218784888301,1082.9148514017772,260.0,1,-0.07768169606278003,False
25168,0 days 00:56:09.119000,-4211.0,-5340.0,1083.0,259.718752,1,-0.07117663296400305,False
25169,0 days 00:56:09.421000,-4059.9547841520516,-5327.6376947629615,1083.8373954687786,255.0,1,-0.0730013511846614,False
25170,0 days 00:56:09.459000,-4041.0,-5326.0,1084.0,253.91428937142857,1,-0.06541369308718994,False
25171,0 days 00:56:09.701000,-3884.4188258754357,-5312.0802024097475,1085.59953654913,247.0,1,-0.05185910899009186,False
25172,0 days 00:56:09.759000,-3836.0,-5308.0,1086.0,239.91112675555556,1,-0.05275321836506717,False
25173,0 days 00:56:09.939000,-3674.0,-5295.0,1087.0,217.91112675555556,1,-0.021875406387684277,False
25174,0 days 00:56:10.061000,-3606.3446155426323,-5289.780359435841,1087.1302458405219,203.0,1,-0.01571892978239806,False
25175,0 days 00:56:10.259000,-3542.0,-5285.0,1087.0,183.9071552,1,-0.014464157987488895,False
25176,0 days 00:56:10.341000,-3507.6776463870888,-5282.319292014687,1087.1959430524034,176.0,1,0.011823141690138716,False
25177,0 days 00:56:10.499000,-3427.0,-5277.0,1088.0,165.1375088,1,0.01521161588701356,False
25178,0 days 00:56:10.501000,-3425.855364175317,-5276.945848800774,1088.013597915955,165.0,1,0.05315966417499683,False
25179,0 days 00:56:10.661000,-3326.7916992276164,-5273.786571366197,1089.3475889164888,154.0,1,0.06005642190487754,False
25180,0 days 00:56:10.739000,-3288.0,-5273.0,1090.0,151.0750048,1,0.08031084346021557,False
25181,0 days 00:56:10.821000,-3260.7210233493447,-5272.666337501286,1090.6078280262882,148.0,1,0.08745007961660015,False
25182,0 days 00:56:11.060000,-3224.0,-5279.0,1092.0,134.5562608,1,0.12625449132059266,False
25183,0 days 00:56:11.141000,-3204.7710335842976,-5286.211874915117,1092.3888141731586,130.0,1,0.1332075267960392,False
25184,0 days 00:56:11.342000,-3143.734985208998,-5316.26246375394,1093.5872059728185,128.0,1,0.17578477877998425,False
25185,0 days 00:56:11.380000,-3133.0,-5324.0,1094.0,126.5750048,1,0.1926745729669181,False
25186,0 days 00:56:11.460000,-3112.0,-5342.0,1095.0,123.5750048,1,0.21821856491385053,False
25187,0 days 00:56:11.502000,-3102.0805750916616,-5351.415208951785,1095.3918019763632,122.0,1,0.24218129130767543,False
25188,0 days 00:56:11.680000,-3064.0,-5392.0,1096.0,118.6624976,1,0.2917590057442655,False
25189,0 days 00:56:11.822000,-3026.909743643617,-5431.486505383266,1096.0648703039558,116.0,1,0.33500344382091807,False
25190,0 days 00:56:12.020000,-2974.0,-5485.0,1096.0,109.6357184,1,0.394147898425562,False
25191,0 days 00:56:12.102000,-2956.53635647722,-5500.743407867644,1096.0570000008659,107.0,1,0.41265745020289923,False
25192,0 days 00:56:12.380000,-2905.0,-5534.0,1096.0,101.59444693333333,1,0.4604931587927305,False
25193,0 days 00:56:12.462000,-2885.5794637340946,-5542.37709069652,1095.5757770430396,100.0,1,0.47470842639414734,False
25194,0 days 00:56:12.580000,-2855.0,-5553.0,1095.0,98.5250016,1,0.5017721754068358,True
25195,0 days 00:56:12.740000,-2813.0,-5562.0,1095.0,96.5250016,1,0.5252235668672658,True
25196,0 days 00:56:12.782000,-2802.2374730336774,-5562.902546744628,1094.8873360592165,96.0,1,0.5337587455391385,True
25197,0 days 00:56:12.940000,-2762.0,-5561.0,1094.0,95.0125008,1,0.5442550705834761,True
25198,0 days 00:56:12.942000,-2761.4734047217717,-5560.933057787427,1093.9885315218003,95.0,1,0.5524698396632239,True
25199,0 days 00:56:13.120000,-2714.0,-5552.0,1093.0,94.2583328,1,0.5638954865840499,True
25200,0 days 00:56:13.182000,-2698.838047341477,-5548.602369168408,1092.6163083057124,94.0,1,0.5696779638553057,True
25201,0 days 00:56:13.342000,-2659.8775277256027,-5538.599012638362,1091.4757985559895,94.0,1,0.5796139890501701,True
25202,0 days 00:56:13.399000,-2641.0,-5533.0,1091.0,94.94999893333333,1,0.5822397503643663,True
25203,0 days 00:56:13.619000,-2551.0,-5504.0,1089.0,98.6166656,1,0.5881445905059295,True
25204,0 days 00:56:13.702000,-2528.3542519928924,-5496.182628325723,1088.4379450863037,100.0,1,0.5910951699356062,True
25205,0 days 00:56:13.999000,-2479.0,-5475.0,1087.0,112.37499733333334,1,0.6003225801585074,True
25206,0 days 00:56:14.062000,-2459.335051203685,-5466.3489792441,1086.5825696646607,115.0,1,0.6057009851689528,True
25207,0 days 00:56:14.279000,-2375.0,-5429.0,1085.0,123.1374976,1,0.6061716568973009,True
25208,0 days 00:56:14.382000,-2341.720827496896,-5413.499915435446,1084.4394450245397,127.0,1,0.6116492001103707,True
25209,0 days 00:56:14.542000,-2299.7678034706196,-5392.715897110442,1083.7634854102887,137.0,1,0.6122109640200766,True
25210,0 days 00:56:14.659000,-2269.0,-5377.0,1083.0,142.19999715555556,1,0.6196943961431377,True
25211,0 days 00:56:14.902000,-2183.4221863972657,-5332.446822410914,1080.2758634442448,153.0,1,0.6097485821218223,True
25212,0 days 00:56:14.919000,-2173.0,-5327.0,1080.0,153.9444408888889,1,0.630160859051488,True
25213,0 days 00:56:15.099000,-2043.0,-5259.0,1077.0,163.9444408888889,1,0.604944706353791,True
25214,0 days 00:56:15.262000,-2012.7673669478656,-5242.923063529433,1077.0746338450028,173.0,1,0.6024986299411202,True
25215,0 days 00:56:15.339000,-2000.0,-5236.0,1077.0,176.5878098149827,1,0.6022504669598002,True
25216,0 days 00:56:15.541000,-1912.002064986728,-5189.052381961139,1074.5260334843592,186.0,1,0.5866607302866785,True
25217,0 days 00:56:15.579000,-1893.0,-5179.0,1074.0,187.055552,1,0.5856702229725933,True
25218,0 days 00:56:15.879000,-1751.0,-5105.0,1071.0,195.38888533333332,1,0.5665655205961903,True
25219,0 days 00:56:15.901000,-1741.006182211473,-5099.8591278715985,1070.8749988024342,196.0,1,0.5646814092162705,True
25220,0 days 00:56:16.059000,-1664.0,-5061.0,1070.0,201.52999552,1,0.550306573323008,True
25221,0 days 00:56:16.101000,-1638.0457382896652,-5048.366945358889,1069.5479058567528,203.0,1,0.5483250734354483,True
25222,0 days 00:56:16.339000,-1472.0,-4970.0,1066.0,212.91666133333334,1,0.5290589570647362,True
25223,0 days 00:56:16.341000,-1470.896896367162,-4969.490461525065,1065.9791080402576,213.0,1,0.5259069384885462,True
25224,0 days 00:56:16.501000,-1405.6728289479465,-4940.114728366947,1065.0600763274376,216.0,1,0.5038113222655933,True
25225,0 days 00:56:16.659000,-1329.0,-4905.0,1064.0,221.9249952,1,0.49552289381945813,False
25226,0 days 00:56:16.741000,-1262.9351550023293,-4873.7505915377,1062.7822039599348,225.0,1,0.4816721653260438,False
25227,0 days 00:56:16.899000,-1124.0,-4807.0,1060.0,228.9499968,1,0.47282944130813875,False
25228,0 days 00:56:17.181000,-1017.3390934187046,-4751.228911047117,1057.6313633055154,236.0,1,0.44154230066245825,False
25229,0 days 00:56:17.259000,-986.0,-4733.0,1057.0,237.16999808,1,0.415847165838489,False
25230,0 days 00:56:17.381000,-919.6583148659176,-4694.0589114058985,1055.748443678509,239.0,1,0.3773026176594046,False
25231,0 days 00:56:17.439000,-885.0,-4673.0,1055.0,239.8285696,1,0.3571841839780726,False
25232,0 days 00:56:17.661000,-750.7334421208493,-4585.493196885615,1051.1573942013572,243.0,1,0.3269741748312696,False
25233,0 days 00:56:17.720000,-716.0,-4562.0,1050.0,244.47040687260449,1,0.30730754490797807,False
25234,0 days 00:56:17.920000,-602.0,-4483.0,1046.0,249.45483154239633,1,0.28996251640497506,False
25235,0 days 00:56:17.982000,-566.2395343182961,-4457.337130242302,1044.8711674384947,251.0,1,0.2688464537818395,False
25236,0 days 00:56:18.100000,-500.0,-4409.0,1043.0,253.9499968,1,0.2493671359306631,False
25237,0 days 00:56:18.142000,-478.4432571853592,-4393.197435202646,1042.4586465404104,255.0,1,0.23572276731667552,False
25238,0 days 00:56:18.260000,-420.0,-4350.0,1041.0,256.843748,1,0.22224752673396228,False
25239,0 days 00:56:18.462000,-304.81739495146985,-4262.515912440658,1037.085594952321,260.0,1,0.20572414992340246,False
25240,0 days 00:56:18.520000,-271.0,-4236.0,1036.0,260.906252,1,0.1969117052680862,False
25241,0 days 00:56:18.720000,-158.0,-4144.0,1033.0,264.031252,1,0.16823772059132233,False
25242,0 days 00:56:18.782000,-124.50034070552383,-4115.776037571898,1032.1878759887688,265.0,1,0.16261812612104914,False
25243,0 days 00:56:18.940000,-36.0,-4038.0,1030.0,265.0,1,0.13835639783869982,False
25244,0 days 00:56:18.942000,-34.751992313555625,-4036.860740611008,1029.9668630963547,265.0,1,0.1315227879760901,False
25245,0 days 00:56:19.102000,75.73348440284441,-3932.8362175542,1026.8542675569522,269.0,1,0.11227849486423329,False
25246,0 days 00:56:19.200000,140.0,-3870.0,1025.0,270.2250016,1,0.10229955295144878,False
25247,0 days 00:56:19.262000,175.51022594906263,-3834.3082522158934,1023.9862657592324,271.0,1,0.09385665531122173,False
25248,0 days 00:56:19.480000,279.0,-3725.0,1021.0,273.7250016,1,0.07447776817520664,False
