,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-5341.0,-5400.0,1058.0,246.96666453333333,1,0.0,False
25096,0 days 00:55:59.302000,-5251.500851876113,-5396.208456291024,1060.6307159033556,249.0,1,0.0,False
25097,0 days 00:55:59.400000,-5175.0,-5393.0,1063.0,250.90555804444443,1,0.0,False
25098,0 days 00:55:59.640000,-4998.0,-5386.0,1069.0,255.57222471111112,1,0.0,False
25099,0 days 00:55:59.662000,-4979.066863024967,-5385.229705026297,1069.5154624730942,256.0,1,0.0,False
25100,0 days 00:55:59.862000,-4796.215605363959,-5377.564840419673,1073.6902105774113,257.0,1,0.0,False
25101,0 days 00:55:59.880000,-4783.0,-5377.0,1074.0,257.2250016,1,0.0,False
25102,0 days 00:56:00.100000,-4668.0,-5372.0,1077.0,259.9749984,1,0.0,False
25103,0 days 00:56:00.102000,-4666.979844927524,-5371.956275980999,1077.0245352682052,260.0,1,0.0,False
25104,0 days 00:56:00.382000,-4482.286738948052,-5362.602675023704,1080.3332392042478,261.0,1,0.0,False
25105,0 days 00:56:00.439000,-4422.0,-5358.0,1081.0,260.4656256,1,0.0,False
25106,0 days 00:56:00.619000,-4192.0,-5338.0,1083.0,258.7781256,1,0.0,False
25107,0 days 00:56:00.702000,-4110.42071008837,-5330.899243976414,1083.6623797594314,258.0,1,0.0,False
25108,0 days 00:56:01.039000,-3938.0,-5317.0,1085.0,249.5750016,1,0.0,False
25109,0 days 00:56:01.062000,-3927.430776257485,-5316.156995106198,1085.0842148329893,249.0,1,0.0,False
25110,0 days 00:56:01.462000,-3732.0982038505695,-5300.28478128928,1086.7408950443423,210.0,1,0.0,False
25111,0 days 00:56:01.519000,-3704.0,-5298.0,1087.0,205.38022008065067,1,0.0,False
25112,0 days 00:56:02.301000,-3349.43924561405,-5273.265895852056,1090.0049015623758,142.0,1,0.0,False
25113,0 days 00:56:02.339000,-3336.0,-5273.0,1090.0,140.5750048,1,0.0,False
25114,0 days 00:56:02.459000,-3296.0,-5273.0,1090.0,136.0750048,1,0.0,False
25115,0 days 00:56:02.541000,-3269.0673266119647,-5273.9828908388145,1090.455007358832,133.0,1,0.0,False
25116,0 days 00:56:02.619000,-3245.0,-5276.0,1091.0,130.3187544,1,0.0,False
25117,0 days 00:56:02.819000,-3193.0,-5289.0,1092.0,123.4437544,1,0.0,False
25118,0 days 00:56:02.861000,-3181.5176423834246,-5294.243202824616,1092.3861292877916,122.0,1,0.0,False
25119,0 days 00:56:02.999000,-3143.0,-5317.0,1094.0,117.687504,1,0.0,False
25120,0 days 00:56:03.021000,-3137.3682957037317,-5321.039317802395,1094.2344127988654,117.0,1,0.0,False
25121,0 days 00:56:03.221000,-3090.3237977073695,-5364.207555121163,1095.8424029974674,113.0,1,0.0,False
25122,0 days 00:56:03.259000,-3080.0,-5375.0,1096.0,112.0500032,1,0.0,False
25123,0 days 00:56:03.421000,-3028.208600306136,-5431.442006669015,1096.098339000689,108.0,1,0.0,False
25124,0 days 00:56:03.519000,-3000.0,-5462.0,1096.0,105.5500032,1,0.0,False
25125,0 days 00:56:03.701000,-2966.9294526663075,-5494.897821846469,1095.916561567091,101.0,1,0.0,False
25126,0 days 00:56:03.939000,-2935.0,-5516.0,1096.0,100.33888924444445,1,0.0,False
25127,0 days 00:56:04.061000,-2909.0574114465658,-5530.801587648441,1096.126268497779,100.0,1,0.0,False
25128,0 days 00:56:04.199000,-2874.0,-5547.0,1096.0,96.93333617777778,1,0.0,False
25129,0 days 00:56:04.380000,-2825.0,-5560.0,1095.0,92.91111537777778,1,0.0,False
25130,0 days 00:56:04.421000,-2814.8914024646465,-5561.504786456651,1094.791882369755,92.0,1,0.0,False
25131,0 days 00:56:04.580000,-2776.0,-5562.0,1094.0,90.86428708571428,1,0.0,False
25132,0 days 00:56:04.701000,-2736.967827403997,-5556.357283143213,1092.9762185557236,90.0,1,0.0,False
25133,0 days 00:56:04.820000,-2700.0,-5549.0,1092.0,90.987550536113,1,0.0,False
25134,0 days 00:56:04.942000,-2674.1259440699437,-5542.940193284419,1091.4693176736482,92.0,1,0.0,False
25135,0 days 00:56:05.100000,-2647.0,-5535.0,1091.0,92.0,1,0.543671959061919,True
25136,0 days 00:56:05.102000,-2646.5987306241045,-5534.878172856531,1090.9912869334012,92.0,1,0.5497032488300979,True
25137,0 days 00:56:05.342000,-2588.388626433037,-5516.414705925874,1089.5050167129166,96.0,1,0.5563463438145966,True
25138,0 days 00:56:05.420000,-2567.0,-5509.0,1089.0,98.9249952,1,0.5608170875501768,True
25139,0 days 00:56:05.502000,-2543.774893973118,-5500.527864079229,1088.509088290779,102.0,1,0.5708444432985279,True
25140,0 days 00:56:05.600000,-2516.0,-5490.0,1088.0,104.94000384,1,0.5793919569380223,True
25141,0 days 00:56:05.702000,-2488.3923239053534,-5479.2643361470655,1087.5921408098475,108.0,1,0.5801497342594426,True
25142,0 days 00:56:05.820000,-2454.0,-5465.0,1087.0,110.9499968,1,0.5883833705019198,True
25143,0 days 00:56:06.040000,-2377.0,-5430.0,1085.0,116.4500032,1,0.5799954293411721,True
25144,0 days 00:56:06.062000,-2370.4221060189684,-5426.931032315141,1084.8298183690927,117.0,1,0.5993754468151162,True
25145,0 days 00:56:06.222000,-2331.8979960135575,-5408.578516302709,1083.915427550983,125.0,1,0.5973083275295427,True
25146,0 days 00:56:06.340000,-2295.0,-5390.0,1083.0,128.93332906666666,1,0.6069007812714604,True
25147,0 days 00:56:06.462000,-2238.8179096975086,-5361.048340146977,1081.504886851845,133.0,1,0.6001413569111889,True
25148,0 days 00:56:06.580000,-2179.0,-5330.0,1080.0,137.71999488,1,0.6034957257195599,True
25149,0 days 00:56:06.862000,-2060.5430484747358,-5268.337515891984,1077.9432818014218,149.0,1,0.5853184337222568,True
25150,0 days 00:56:07.039000,-2007.0,-5240.0,1077.0,156.07999744,1,0.5913668782127128,True
25151,0 days 00:56:07.062000,-2001.3486982850566,-5236.95870968677,1076.86626347156,157.0,1,0.5946214150450118,True
25152,0 days 00:56:07.222000,-1967.931731365989,-5218.6553705319775,1075.8462604034578,166.0,1,0.6027085711109356,True
25153,0 days 00:56:07.319000,-1933.0,-5200.0,1075.0,169.6374976,1,0.5954077448889865,True
25154,0 days 00:56:07.462000,-1846.358438583443,-5154.511410631333,1073.3236878642986,175.0,1,0.5755797685891473,True
25155,0 days 00:56:07.639000,-1724.0,-5091.0,1071.0,182.07999744,1,0.5528039772657775,True
25156,0 days 00:56:07.662000,-1711.0324939919733,-5084.342067306648,1070.722344280883,183.0,1,0.5487692941336367,True
25157,0 days 00:56:07.822000,-1639.8886470864365,-5048.388434473205,1068.9497472432704,190.0,1,0.5296831083211682,True
25158,0 days 00:56:08.022000,-1576.1109363089672,-5018.033911353928,1067.339198381354,197.0,1,0.5179011052216741,True
25159,0 days 00:56:08.119000,-1535.0,-4999.0,1067.0,200.39499776,1,0.5018695808642991,True
25160,0 days 00:56:08.222000,-1482.9497829522693,-4975.130957688281,1066.9433444696022,204.0,1,0.4970857765679833,False
25161,0 days 00:56:08.299000,-1442.0,-4956.0,1066.0,206.41127116008067,1,0.46802475054429443,False
25162,0 days 00:56:08.339000,-1421.0,-4946.0,1065.0,207.6638805960577,1,0.46064526613329887,False
25163,0 days 00:56:08.539000,-1318.0,-4900.0,1063.0,213.92692777594286,1,0.42381404027709946,False
25164,0 days 00:56:08.701000,-1233.5395631771544,-4861.384688459153,1061.7584973176006,219.0,1,0.40438924649260466,False
25165,0 days 00:56:08.859000,-1136.0,-4813.0,1060.0,222.9499968,1,0.3761630365742009,False
25166,0 days 00:56:08.901000,-1105.3406072186021,-4797.0031308301095,1059.4128631639035,224.0,1,0.3568173997783402,False
25167,0 days 00:56:09.101000,-951.173992102876,-4713.290551373561,1056.2556155556867,230.0,1,0.33022173539209254,False
25168,0 days 00:56:09.119000,-940.0,-4707.0,1056.0,230.3374976,1,0.31024552874985933,False
25169,0 days 00:56:09.421000,-821.8818767925019,-4633.8906922626775,1052.487894680492,236.0,1,0.2839673059616439,False
25170,0 days 00:56:09.459000,-807.0,-4624.0,1052.0,237.08571062857143,1,0.2745217388611889,False
25171,0 days 00:56:09.701000,-682.4183238585076,-4539.889647563086,1048.1760023995519,244.0,1,0.24684532493236774,False
25172,0 days 00:56:09.759000,-640.0,-4510.0,1047.0,244.96666453333333,1,0.2379292176233399,False
25173,0 days 00:56:09.939000,-489.0,-4401.0,1043.0,247.96666453333333,1,0.2097804541954493,False
25174,0 days 00:56:10.061000,-424.7763018454274,-4353.907146136977,1041.1631310365262,250.0,1,0.20044543484975394,False
25175,0 days 00:56:10.259000,-359.0,-4304.0,1039.0,254.2428544,1,0.1928280000810263,False
25176,0 days 00:56:10.341000,-321.00516788664004,-4274.891200988823,1037.817630667605,256.0,1,0.18217302448482395,False
25177,0 days 00:56:10.499000,-224.0,-4198.0,1035.0,258.9624976,1,0.16865551434946213,False
25178,0 days 00:56:10.501000,-222.51898357280842,-4196.782207470745,1034.9595013917815,259.0,1,0.15733548509549472,False
25179,0 days 00:56:10.661000,-86.77545042676459,-4082.1872525214085,1031.4153427973197,261.0,1,0.14193925883946312,False
25180,0 days 00:56:10.739000,-30.0,-4033.0,1030.0,261.9749984,1,0.13103484522612585,False
25181,0 days 00:56:10.821000,13.11055004511364,-3994.6711446878794,1028.9749688081722,263.0,1,0.12400954728652303,False
25182,0 days 00:56:11.060000,93.0,-3916.0,1027.0,267.4812464,1,0.10895119949211508,False
25183,0 days 00:56:11.141000,134.66529303524464,-3873.9554066792866,1025.677836548028,269.0,1,0.09854747053789611,False
25184,0 days 00:56:11.342000,261.653753210967,-3743.84457839963,1021.5729667080108,270.0,1,0.07722369328178767,False
25185,0 days 00:56:11.380000,283.0,-3721.0,1021.0,270.7124976,1,0.07499409308862617,False
25186,0 days 00:56:11.460000,324.0,-3676.0,1020.0,272.2124976,1,0.0695050394940935,False
25187,0 days 00:56:11.502000,343.93904209196245,-3653.9766786168993,1019.4176298733647,273.0,1,0.07272131439497333,False
25188,0 days 00:56:11.680000,427.0,-3562.0,1016.0,276.3375024,1,0.06421959985451994,False
25189,0 days 00:56:11.822000,513.6662083640869,-3465.6183880466237,1011.7302525910184,279.0,1,0.0465133590007789,False
25190,0 days 00:56:12.020000,640.0,-3325.0,1005.0,281.1214272,1,0.02925607106118448,False
25191,0 days 00:56:12.102000,681.3278288236928,-3279.10222475838,1002.6539301283336,282.0,1,0.026271111793217363,False
25192,0 days 00:56:12.380000,799.0,-3149.0,995.0,285.0888874666667,1,0.024053981523672253,False
25193,0 days 00:56:12.462000,841.3128879279228,-3102.348406359855,991.9311367580927,286.0,1,0.020846051240007702,False
