,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-7141.0,-5443.0,988.0,178.91666133333334,1,0.0,False
25096,0 days 00:55:59.302000,-7081.060208154056,-5442.479688589586,992.3776461973758,184.0,1,0.0,False
25097,0 days 00:55:59.400000,-7029.0,-5442.0,996.0,186.99444835555556,1,0.0,False
25098,0 days 00:55:59.640000,-6901.0,-5441.0,1004.0,194.32778168888888,1,0.0,False
25099,0 days 00:55:59.662000,-6886.68727178701,-5440.910567666067,1004.8103458563097,195.0,1,0.0,False
25100,0 days 00:55:59.862000,-6745.370068933835,-5440.07799422279,1012.4421710194323,198.0,1,0.0,False
25101,0 days 00:55:59.880000,-6735.0,-5440.0,1013.0,198.9000064,1,0.0,False
25102,0 days 00:56:00.100000,-6643.0,-5439.0,1018.0,209.8999936,1,0.0,False
25103,0 days 00:56:00.102000,-6642.179285653789,-5438.990537045315,1018.0439187198641,210.0,1,0.0,False
25104,0 days 00:56:00.382000,-6492.040637910216,-5437.468115773605,1025.2038841543474,218.0,1,0.0,False
25105,0 days 00:56:00.439000,-6441.0,-5437.0,1027.0,219.4249984,1,0.0,False
25106,0 days 00:56:00.619000,-6242.0,-5435.0,1033.0,223.9249984,1,0.0,False
25107,0 days 00:56:00.702000,-6169.027388830526,-5433.748170527052,1035.010874561968,226.0,1,0.0,False
25108,0 days 00:56:01.039000,-5998.0,-5427.0,1039.0,232.55277653333334,1,0.0,False
25109,0 days 00:56:01.062000,-5987.107007587835,-5426.502553468764,1039.2708603179362,233.0,1,0.0,False
25110,0 days 00:56:01.462000,-5778.777136037677,-5417.3790113806745,1045.0502352203612,242.0,1,0.0,False
25111,0 days 00:56:01.519000,-5745.0,-5416.0,1046.0,242.81525527988518,1,0.0,False
25112,0 days 00:56:02.301000,-5197.650217690316,-5394.276892703159,1062.0428399000693,254.0,1,0.0,False
25113,0 days 00:56:02.339000,-5171.0,-5393.0,1063.0,254.4749984,1,0.0,False
25114,0 days 00:56:02.459000,-5087.0,-5389.0,1066.0,255.9749984,1,0.0,False
25115,0 days 00:56:02.541000,-5026.696005493674,-5386.884076955813,1067.6008182947862,257.0,1,0.0,False
25116,0 days 00:56:02.619000,-4969.0,-5385.0,1069.0,257.2437496,1,0.0,False
25117,0 days 00:56:02.819000,-4827.0,-5379.0,1073.0,257.8687496,1,0.0,False
25118,0 days 00:56:02.861000,-4796.6255490035755,-5377.594777915446,1073.7545677659664,258.0,1,0.0,False
25119,0 days 00:56:02.999000,-4697.0,-5373.0,1076.0,258.8624992,1,0.0,False
25120,0 days 00:56:03.021000,-4681.855405515865,-5372.350090029118,1076.3513881364922,259.0,1,0.0,False
25121,0 days 00:56:03.221000,-4543.469884921871,-5366.151172563334,1079.4627699147761,261.0,1,0.0,False
25122,0 days 00:56:03.259000,-4510.0,-5364.0,1080.0,261.0,1,0.0,False
25123,0 days 00:56:03.421000,-4333.1853281446365,-5350.190087580525,1082.0349082961852,261.0,1,0.0,False
25124,0 days 00:56:03.519000,-4235.0,-5342.0,1083.0,261.0,1,0.0,False
25125,0 days 00:56:03.701000,-4120.598415638426,-5332.511858578589,1084.1684779722307,261.0,1,0.0,False
25126,0 days 00:56:03.939000,-4019.0,-5324.0,1085.0,253.06667093333334,1,0.0,False
25127,0 days 00:56:04.061000,-3941.3326886016152,-5317.336700154331,1085.4088274531698,249.0,1,0.0,False
25128,0 days 00:56:04.199000,-3843.0,-5309.0,1086.0,231.750016,1,0.0,False
25129,0 days 00:56:04.380000,-3721.0,-5299.0,1087.0,209.125024,1,0.0,False
25130,0 days 00:56:04.421000,-3697.3127287409025,-5297.011786023328,1087.0925285178412,204.0,1,0.0,False
25131,0 days 00:56:04.580000,-3613.0,-5290.0,1087.0,186.39644982857143,1,0.0,False
