,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,1261.0,-810.0,778.0,224.45833066666665,1,0.0,False
25096,0 days 00:55:59.302000,1193.3071055772552,-840.5824135402476,778.0111450933912,227.0,1,0.0,False
25097,0 days 00:55:59.400000,1135.0,-867.0,778.0,229.17778062222223,1,0.0,False
25098,0 days 00:55:59.640000,994.0,-931.0,778.0,234.51111395555554,1,0.0,False
25099,0 days 00:55:59.662000,978.3393490379248,-937.9572975964782,778.0615902561751,235.0,1,0.0,False
25100,0 days 00:55:59.862000,824.2347982072592,-1005.1991568561651,778.9554213910068,240.0,1,0.0,False
25101,0 days 00:55:59.880000,813.0,-1010.0,779.0,240.2250016,1,0.0,False
25102,0 days 00:56:00.100000,714.0,-1051.0,779.0,242.9749984,1,0.0,False
25103,0 days 00:56:00.102000,713.1067925978571,-1051.369331198322,779.0008505668944,243.0,1,0.0,False
25104,0 days 00:56:00.382000,548.9734842500017,-1120.2945909004175,779.719501713909,247.0,1,0.0,False
25105,0 days 00:56:00.439000,495.0,-1143.0,780.0,248.2468736,1,0.0,False
25106,0 days 00:56:00.619000,288.0,-1230.0,781.0,252.1843736,1,0.0,False
25107,0 days 00:56:00.702000,212.6919546783142,-1261.713748427824,781.2274319355273,254.0,1,0.0,False
25108,0 days 00:56:01.039000,39.0,-1335.0,781.0,259.6166656,1,0.0,False
25109,0 days 00:56:01.062000,27.991607250850862,-1339.5915575036993,781.0080451099901,260.0,1,0.0,False
25110,0 days 00:56:01.462000,-182.75510910726368,-1423.2232238770696,781.8597905314762,265.0,1,0.0,False
25111,0 days 00:56:01.519000,-217.0,-1435.0,782.0,265.54350351992343,1,0.0,False
25112,0 days 00:56:02.301000,-781.242356791734,-1568.69286902263,783.0270257016563,273.0,1,0.0,False
25113,0 days 00:56:02.339000,-810.0,-1572.0,783.0,273.3166656,1,0.0,False
25114,0 days 00:56:02.459000,-902.0,-1580.0,783.0,274.3166656,1,0.0,False
25115,0 days 00:56:02.541000,-969.928635439663,-1583.5203326194862,783.5082382826197,275.0,1,0.0,False
25116,0 days 00:56:02.619000,-1035.0,-1586.0,784.0,275.9749984,1,0.0,False
25117,0 days 00:56:02.819000,-1190.0,-1591.0,784.0,278.4749984,1,0.0,False
25118,0 days 00:56:02.861000,-1222.4166253830156,-1591.871370284538,784.1460086264307,279.0,1,0.0,False
25119,0 days 00:56:02.999000,-1328.0,-1595.0,785.0,279.0,1,0.0,False
25120,0 days 00:56:03.021000,-1344.137709050269,-1595.6960047625837,785.1167918118846,279.0,1,0.0,False
