,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-36.0,-1366.0,781.0,260.45833066666665,1,0.0,False
25096,0 days 00:55:59.302000,-116.68304056825879,-1397.6586244828275,781.5992099259461,263.0,1,0.0,False
25097,0 days 00:55:59.400000,-186.0,-1424.0,782.0,264.3611128888889,1,0.0,False
25098,0 days 00:55:59.640000,-352.0,-1480.0,782.0,267.6944462222222,1,0.0,False
25099,0 days 00:55:59.662000,-370.5241276744822,-1485.3446948991195,782.0528681510674,268.0,1,0.0,False
25100,0 days 00:55:59.862000,-553.6247728104206,-1532.869461754463,782.9539810845775,269.0,1,0.0,False
25101,0 days 00:55:59.880000,-567.0,-1536.0,783.0,269.1500010666667,1,0.0,False
25102,0 days 00:56:00.100000,-685.0,-1558.0,783.0,270.98333226666665,1,0.0,False
25103,0 days 00:56:00.102000,-686.0633862701874,-1558.152234607705,783.0008720003935,271.0,1,0.0,False
25104,0 days 00:56:00.382000,-882.7554650752044,-1578.3516573686863,783.727538898343,273.0,1,0.0,False
25105,0 days 00:56:00.439000,-949.0,-1582.0,784.0,273.5343744,1,0.0,False
25106,0 days 00:56:00.619000,-1204.0,-1592.0,785.0,275.2218744,1,0.0,False
25107,0 days 00:56:00.702000,-1293.144671260137,-1595.391564126341,785.3439380576044,276.0,1,0.0,False
25108,0 days 00:56:01.039000,-1476.0,-1604.0,786.0,277.8722218666667,1,0.0,False
25109,0 days 00:56:01.062000,-1487.949678720752,-1604.6517683749714,786.0376308059082,278.0,1,0.0,False
25110,0 days 00:56:01.462000,-1731.6022854530847,-1618.7267176489695,786.8244889399825,282.0,1,0.0,False
25111,0 days 00:56:01.519000,-1771.0,-1621.0,787.0,282.4076276399426,1,0.0,False
25112,0 days 00:56:02.301000,-2389.7293780641676,-1655.3805812751832,790.0049879424215,288.0,1,0.0,False
25113,0 days 00:56:02.339000,-2420.0,-1657.0,790.0,288.1583328,1,0.0,False
25114,0 days 00:56:02.459000,-2515.0,-1662.0,790.0,288.6583328,1,0.0,False
25115,0 days 00:56:02.541000,-2580.453987382298,-1665.2518932987214,790.5064307179282,289.0,1,0.0,False
25116,0 days 00:56:02.619000,-2643.0,-1668.0,791.0,289.4874992,1,0.0,False
25117,0 days 00:56:02.819000,-2804.0,-1673.0,791.0,290.7374992,1,0.0,False
25118,0 days 00:56:02.861000,-2838.311123139178,-1673.914516777511,791.1459431659362,291.0,1,0.0,False
25119,0 days 00:56:02.999000,-2950.0,-1677.0,792.0,291.8624992,1,0.0,False
25120,0 days 00:56:03.021000,-2967.016146522898,-1677.556633379661,792.1167917800647,292.0,1,0.0,False
25121,0 days 00:56:03.221000,-3123.211738620766,-1683.6127313773807,792.8637728898004,292.0,1,0.0,False
