,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-2044.0,-5259.0,1077.0,168.91666133333334,1,0.0,False
25096,0 days 00:55:59.302000,-1993.8317567917056,-5232.1975302329865,1076.5812903602452,174.0,1,0.0,False
25097,0 days 00:55:59.400000,-1950.0,-5209.0,1076.0,178.62778382222223,1,0.0,False
25098,0 days 00:55:59.640000,-1840.0,-5152.0,1073.0,189.96111715555554,1,0.0,False
25099,0 days 00:55:59.662000,-1827.6023509505749,-5145.552541944423,1072.6935322032537,191.0,1,0.0,False
25100,0 days 00:55:59.862000,-1704.9837852575129,-5081.635785126902,1070.1550359101184,194.0,1,0.0,False
25101,0 days 00:55:59.880000,-1696.0,-5077.0,1070.0,194.52500373333334,1,0.0,False
25102,0 days 00:56:00.100000,-1616.0,-5037.0,1069.0,200.94166293333333,1,0.0,False
25103,0 days 00:56:00.102000,-1615.2699220921193,-5036.647824060736,1068.9915598304149,201.0,1,0.0,False
25104,0 days 00:56:00.382000,-1478.9508579351755,-4972.958594687418,1066.9479563328605,213.0,1,0.0,False
25105,0 days 00:56:00.439000,-1433.0,-4952.0,1066.0,214.6031232,1,0.0,False
25106,0 days 00:56:00.619000,-1255.0,-4871.0,1062.0,219.6656232,1,0.0,False
25107,0 days 00:56:00.702000,-1189.814135511108,-4840.547429817948,1060.6173287416766,222.0,1,0.0,False
25108,0 days 00:56:01.039000,-1038.0,-4762.0,1058.0,231.36110933333333,1,0.0,False
25109,0 days 00:56:01.062000,-1028.4816904198403,-4756.694770011562,1057.8200655509163,232.0,1,0.0,False
25110,0 days 00:56:01.462000,-850.1604264359811,-4650.970229813546,1053.747775517585,240.0,1,0.0,False
25111,0 days 00:56:01.519000,-822.0,-4633.0,1053.0,241.0870070398469,1,0.0,False
25112,0 days 00:56:02.301000,-378.6857833872495,-4318.678671929825,1039.6337484938645,256.0,1,0.0,False
25113,0 days 00:56:02.339000,-357.0,-4302.0,1039.0,256.791664,1,0.0,False
25114,0 days 00:56:02.459000,-289.0,-4249.0,1037.0,259.291664,1,0.0,False
25115,0 days 00:56:02.541000,-242.32576665778683,-4212.4190367277215,1035.45889286942,261.0,1,0.0,False
25116,0 days 00:56:02.619000,-198.0,-4177.0,1034.0,262.218748,1,0.0,False
25117,0 days 00:56:02.819000,-86.0,-4082.0,1031.0,265.343748,1,0.0,False
25118,0 days 00:56:02.861000,-62.73202220119814,-4061.295423753077,1030.5026163067853,266.0,1,0.0,False
25119,0 days 00:56:02.999000,12.0,-3993.0,1029.0,266.8624992,1,0.0,False
25120,0 days 00:56:03.021000,23.38675080931097,-3982.4629561307684,1028.7320357202714,267.0,1,0.0,False
25121,0 days 00:56:03.221000,127.41581921503898,-3883.0345341320117,1025.7376465345433,270.0,1,0.0,False
25122,0 days 00:56:03.259000,152.0,-3858.0,1025.0,270.56999808,1,0.0,False
25123,0 days 00:56:03.421000,279.64416635397987,-3722.8621311108536,1021.2075687915474,273.0,1,0.0,False
25124,0 days 00:56:03.519000,350.0,-3647.0,1019.0,274.3999981714286,1,0.0,False
25125,0 days 00:56:03.701000,431.82096610053645,-3557.8319599802585,1015.9167025499553,277.0,1,0.0,False
25126,0 days 00:56:03.939000,506.0,-3475.0,1012.0,277.66111075555557,1,0.0,False
25127,0 days 00:56:04.061000,564.0848900910861,-3410.330337949946,1009.0145473050209,278.0,1,0.0,False
25128,0 days 00:56:04.199000,641.0,-3325.0,1005.0,279.9166648888889,1,0.0,False
25129,0 days 00:56:04.380000,746.0,-3209.0,999.0,282.4305528888889,1,0.0,False
25130,0 days 00:56:04.421000,767.7008119080643,-3184.892917340608,997.507587754148,283.0,1,0.0,False
25131,0 days 00:56:04.580000,851.0,-3092.0,991.0,283.0,1,0.0,False
25132,0 days 00:56:04.701000,932.8043396183845,-3001.2851223465045,984.7969183932976,283.0,1,0.0,False
25133,0 days 00:56:04.820000,1009.0,-2917.0,979.0,283.0,1,0.0,False
25134,0 days 00:56:04.942000,1060.582559470473,-2860.020224751402,974.7978169472515,283.0,1,0.0,False
25135,0 days 00:56:05.100000,1115.0,-2800.0,970.0,284.9749984,1,0.0493132739301278,False
25136,0 days 00:56:05.102000,1115.8439459126555,-2799.068767764172,969.9263772915156,285.0,1,0.055179774099071606,False
25137,0 days 00:56:05.342000,1242.5802157013968,-2659.6605664802605,958.9431595426646,287.0,1,0.05983446856765032,False
25138,0 days 00:56:05.420000,1287.0,-2612.0,955.0,287.4874992,1,0.04953766821529466,False
25139,0 days 00:56:05.502000,1333.0320722693693,-2563.5892163451153,950.825979185477,288.0,1,0.08001861292419488,False
25140,0 days 00:56:05.600000,1386.0,-2509.0,946.0,288.0,1,0.08553320519030115,False
25141,0 days 00:56:05.702000,1437.205618293247,-2457.3016808028456,941.4370565661231,288.0,1,0.09617281269061576,False
25142,0 days 00:56:05.820000,1512.0,-2391.0,935.0,288.0,1,0.12269985243911849,False
25143,0 days 00:56:06.040000,1728.0,-2231.0,917.0,288.0,1,0.16730491775781425,False
25144,0 days 00:56:06.062000,1745.6286301021732,-2219.041993674827,915.582626112203,288.0,1,0.20575164748081215,False
25145,0 days 00:56:06.222000,1835.6043830848625,-2166.0119924635615,908.7782417873519,287.0,1,0.23593919458330792,False
25146,0 days 00:56:06.340000,1912.0,-2132.0,903.0,287.0,1,0.2697377725573304,False
25147,0 days 00:56:06.462000,2029.210730912315,-2083.125044759122,893.7536520279266,287.0,1,0.3244802790134306,False
25148,0 days 00:56:06.580000,2152.0,-2033.0,884.0,283.46000384,1,0.41220106755775243,False
25149,0 days 00:56:06.862000,2376.890183643652,-1941.893641261612,866.4984347491924,275.0,1,0.5797101117604917,True
25150,0 days 00:56:07.039000,2471.0,-1904.0,859.0,260.84000512,1,0.6922098088498202,True
25151,0 days 00:56:07.062000,2480.6597998462394,-1900.1126831554127,858.1948121296671,259.0,1,0.7172241277671464,True
25152,0 days 00:56:07.222000,2534.485225611166,-1878.4531468101723,853.4964397491657,247.0,1,0.8027438415938696,True
25153,0 days 00:56:07.319000,2580.0,-1860.0,850.0,232.854176,1,0.8567909119586309,True
25154,0 days 00:56:07.462000,2683.2522389155797,-1817.9525407820051,842.8781142024885,212.0,1,0.9674574054270689,True
25155,0 days 00:56:07.639000,2818.0,-1763.0,834.0,203.1500032,1,1.1184983770434593,True
25156,0 days 00:56:07.662000,2830.9597153383697,-1757.7173386137351,833.1500877334905,202.0,1,1.1402913158132586,True
25157,0 days 00:56:07.822000,2891.660491227401,-1732.9971708697583,829.2007956786853,182.0,1,1.2335479021618405,True
25158,0 days 00:56:08.022000,2927.1313256277886,-1716.4560927058474,826.9720484135606,164.0,1,1.263787722306504,True
25159,0 days 00:56:08.119000,2958.0,-1700.0,825.0,158.18000384,1,1.3377724658672696,True
