,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-8012.0,-5325.0,912.0,121.54166933333333,1,0.0,False
25096,0 days 00:55:59.302000,-7971.527125529735,-5327.793548712462,915.1365553173376,119.0,1,0.0,False
25097,0 days 00:55:59.400000,-7937.0,-5332.0,918.0,118.18333226666667,1,0.0,False
25098,0 days 00:55:59.640000,-7857.0,-5349.0,925.0,116.18333226666667,1,0.0,False
25099,0 days 00:55:59.662000,-7848.410964367227,-5351.169198825976,925.7069481002976,116.0,1,0.0,False
25100,0 days 00:55:59.862000,-7765.085592389785,-5373.335925948819,932.445691924484,119.0,1,0.0,False
25101,0 days 00:55:59.880000,-7759.0,-5375.0,933.0,119.52500373333334,1,0.0,False
25102,0 days 00:56:00.100000,-7705.0,-5390.0,939.0,125.94166293333333,1,0.0,False
25103,0 days 00:56:00.102000,-7704.517381360204,-5390.129851371013,939.0546960391717,126.0,1,0.0,False
25104,0 days 00:56:00.382000,-7613.858543109392,-5410.8336598712285,948.1295169031504,139.0,1,0.0,False
25105,0 days 00:56:00.439000,-7581.0,-5416.0,951.0,141.4937472,1,0.0,False
25106,0 days 00:56:00.619000,-7450.0,-5433.0,962.0,149.3687472,1,0.0,False
25107,0 days 00:56:00.702000,-7402.256302170461,-5438.022992700302,966.0605146058288,153.0,1,0.0,False
25108,0 days 00:56:01.039000,-7291.0,-5442.0,976.0,165.16944213333332,1,0.0,False
25109,0 days 00:56:01.062000,-7283.473898049361,-5442.07636625174,976.6591966995505,166.0,1,0.0,False
25110,0 days 00:56:01.462000,-7130.362785146533,-5442.999464543455,989.1877884508958,177.0,1,0.0,False
25111,0 days 00:56:01.519000,-7105.0,-5443.0,991.0,178.9702002597225,1,0.0,False
25112,0 days 00:56:02.301000,-6683.033629090909,-5439.305903828419,1015.7110437613621,206.0,1,0.0,False
25113,0 days 00:56:02.339000,-6661.0,-5439.0,1017.0,206.9499968,1,0.0,False
25114,0 days 00:56:02.459000,-6591.0,-5438.0,1021.0,209.9499968,1,0.0,False
25115,0 days 00:56:02.541000,-6542.523731954046,-5437.372229674365,1023.2064442416784,212.0,1,0.0,False
25116,0 days 00:56:02.619000,-6496.0,-5437.0,1025.0,214.1937464,1,0.0,False
25117,0 days 00:56:02.819000,-6375.0,-5437.0,1029.0,219.8187464,1,0.0,False
25118,0 days 00:56:02.861000,-6349.043575549818,-5436.698354370045,1029.7538901402436,221.0,1,0.0,False
25119,0 days 00:56:02.999000,-6264.0,-5435.0,1032.0,225.312496,1,0.0,False
25120,0 days 00:56:03.021000,-6250.914398324019,-5434.733429058416,1032.3155179211308,226.0,1,0.0,False
25121,0 days 00:56:03.221000,-6128.874268614737,-5431.973344412601,1035.1506729574915,230.0,1,0.0,False
25122,0 days 00:56:03.259000,-6099.0,-5431.0,1036.0,230.9499968,1,0.0,False
25123,0 days 00:56:03.421000,-5940.515719056496,-5424.76688664094,1041.1273108440146,235.0,1,0.0,False
25124,0 days 00:56:03.519000,-5852.0,-5421.0,1044.0,237.4499968,1,0.0,False
25125,0 days 00:56:03.701000,-5747.370239350698,-5416.335537731946,1046.876708562127,242.0,1,0.0,False
