,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,1570.0,-670.0,778.0,207.91666133333334,1,0.0,False
25096,0 days 00:55:59.302000,1506.0307471171252,-698.4434184027549,777.9733390544536,213.0,1,0.0,False
25097,0 days 00:55:59.400000,1451.0,-723.0,778.0,215.17778062222223,1,0.0,False
25098,0 days 00:55:59.640000,1319.0,-783.0,778.0,220.51111395555554,1,0.0,False
25099,0 days 00:55:59.662000,1304.26095198108,-789.7291783670672,778.0005371610097,221.0,1,0.0,False
25100,0 days 00:55:59.862000,1158.618343556482,-856.1750325583549,778.0040884088162,227.0,1,0.0,False
25101,0 days 00:55:59.880000,1148.0,-861.0,778.0,227.52500373333334,1,0.0,False
25102,0 days 00:56:00.100000,1055.0,-903.0,778.0,233.94166293333333,1,0.0,False
25103,0 days 00:56:00.102000,1054.1717391486377,-903.3752194513371,778.0029464686017,234.0,1,0.0,False
25104,0 days 00:56:00.382000,901.8366426761894,-971.7565477882474,778.9032935189405,239.0,1,0.0,False
25105,0 days 00:56:00.439000,850.0,-994.0,779.0,240.2468736,1,0.0,False
25106,0 days 00:56:00.619000,648.0,-1079.0,779.0,244.1843736,1,0.0,False
25107,0 days 00:56:00.702000,574.0420176713872,-1109.9644225562008,779.0792994510359,246.0,1,0.0,False
25108,0 days 00:56:01.039000,402.0,-1182.0,780.0,251.6166656,1,0.0,False
25109,0 days 00:56:01.062000,391.13765874194775,-1186.59951797243,780.064026110553,252.0,1,0.0,False
25110,0 days 00:56:01.462000,185.12575107053146,-1274.2171797931974,780.947289393602,259.0,1,0.0,False
25111,0 days 00:56:01.519000,152.0,-1288.0,781.0,259.8831932198756,1,0.0,False
25112,0 days 00:56:02.301000,-387.5211734785244,-1490.0745795273558,781.6982707359728,272.0,1,0.0,False
25113,0 days 00:56:02.339000,-415.0,-1498.0,782.0,272.4749984,1,0.0,False
25114,0 days 00:56:02.459000,-502.0,-1521.0,783.0,273.9749984,1,0.0,False
25115,0 days 00:56:02.541000,-562.5514744722203,-1534.594457022637,783.1243940118028,275.0,1,0.0,False
25116,0 days 00:56:02.619000,-620.0,-1546.0,783.0,275.4874992,1,0.0,False
25117,0 days 00:56:02.819000,-771.0,-1569.0,783.0,276.7374992,1,0.0,False
25118,0 days 00:56:02.861000,-809.1012848063481,-1572.6818339402143,783.1904956790635,277.0,1,0.0,False
25119,0 days 00:56:02.999000,-943.0,-1582.0,784.0,278.7249984,1,0.0,False
25120,0 days 00:56:03.021000,-962.7058119245812,-1583.0996441203324,784.0583514656377,279.0,1,0.0,False
25121,0 days 00:56:03.221000,-1129.1430930476456,-1589.6308525396219,783.9066268057172,283.0,1,0.0,False
25122,0 days 00:56:03.259000,-1167.0,-1591.0,784.0,283.0,1,0.0,False
25123,0 days 00:56:03.421000,-1361.8267003563385,-1598.498736154686,785.2022807170825,283.0,1,0.0,False
25124,0 days 00:56:03.519000,-1469.0,-1603.0,786.0,284.7499977142857,1,0.0,False
25125,0 days 00:56:03.701000,-1594.3458140598946,-1609.3908942677542,786.8270986739892,288.0,1,0.0,False
25126,0 days 00:56:03.939000,-1710.0,-1617.0,787.0,290.6444430222222,1,0.0,False
25127,0 days 00:56:04.061000,-1800.791829773524,-1622.2760435049865,786.8946104230188,292.0,1,0.0,False
25128,0 days 00:56:04.199000,-1921.0,-1629.0,787.0,293.9166648888889,1,0.0,False
25129,0 days 00:56:04.380000,-2085.0,-1638.0,788.0,296.4305528888889,1,0.0,False
25130,0 days 00:56:04.421000,-2118.9841909045685,-1639.8261702576012,788.2280713551397,297.0,1,0.0,False
25131,0 days 00:56:04.580000,-2250.0,-1647.0,789.0,298.1357129142857,1,0.0,False
25132,0 days 00:56:04.701000,-2379.342391479316,-1654.8129957381623,789.5262513647093,299.0,1,0.0,False
25133,0 days 00:56:04.820000,-2500.0,-1662.0,790.0,300.97510107222604,1,0.0,False
25134,0 days 00:56:04.942000,-2581.681926606729,-1666.0965046623267,790.4420269747689,303.0,1,0.0,False
25135,0 days 00:56:05.100000,-2668.0,-1669.0,791.0,303.0,1,-0.32457952659413647,False
25136,0 days 00:56:05.102000,-2669.3406411085316,-1669.0417793719669,791.0074136403382,303.0,1,-0.31936628410998635,False
25137,0 days 00:56:05.342000,-2870.5000861644717,-1674.9444354327632,791.8834732479211,306.0,1,-0.30733762721398045,False
25138,0 days 00:56:05.420000,-2940.0,-1677.0,792.0,306.9749984,1,-0.2991758041285883,False
25139,0 days 00:56:05.502000,-3011.181842188644,-1679.1582045863304,791.9830989930724,308.0,1,-0.28860606501663255,False
25140,0 days 00:56:05.600000,-3094.0,-1682.0,792.0,308.98000128,1,-0.275515844360519,False
25141,0 days 00:56:05.702000,-3177.969518055349,-1685.6217360497135,792.3644700663056,310.0,1,-0.2713090394021794,False
25142,0 days 00:56:05.820000,-3282.0,-1690.0,793.0,310.3277774222222,1,-0.2588289449240572,False
25143,0 days 00:56:06.040000,-3506.0,-1696.0,794.0,310.93888924444445,1,-0.25365199080794454,False
25144,0 days 00:56:06.062000,-3524.7889021727487,-1696.2981538356019,794.074370263353,311.0,1,-0.23556305930500573,False
25145,0 days 00:56:06.222000,-3632.5704006958663,-1696.3130268277707,794.4710227421336,313.0,1,-0.2289183312057325,False
25146,0 days 00:56:06.340000,-3730.0,-1690.0,795.0,313.98333226666665,1,-0.20924663397337745,False
25147,0 days 00:56:06.462000,-3874.5492519903128,-1675.6805285283565,795.9777393858034,315.0,1,-0.19455173282374172,False
25148,0 days 00:56:06.580000,-4025.0,-1657.0,797.0,315.58999936,1,-0.16612662403265246,False
25149,0 days 00:56:06.862000,-4304.698730366505,-1604.1964922248028,798.456899598837,317.0,1,-0.13289504473297162,False
