,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-13084.0,-7654.0,841.0,218.1000064,1,0.0,False
25096,0 days 00:55:59.302000,-13067.64240717506,-7722.060063383908,841.5402060706125,212.0,1,0.0,False
25097,0 days 00:55:59.400000,-13054.0,-7779.0,842.0,206.8277710222222,1,0.0,False
25098,0 days 00:55:59.640000,-13029.0,-7906.0,843.0,194.16110435555555,1,0.0,False
25099,0 days 00:55:59.662000,-13027.836266238783,-7919.003298328549,843.0886738959703,193.0,1,0.0,False
25100,0 days 00:55:59.862000,-13027.232262968553,-8041.316673892618,843.9175976015283,187.0,1,0.0,False
25101,0 days 00:55:59.880000,-13028.0,-8050.0,844.0,186.62499733333334,1,0.0,False
25102,0 days 00:56:00.100000,-13048.0,-8123.0,845.0,182.04166933333335,1,0.0,False
25103,0 days 00:56:00.102000,-13048.271246995673,-8123.619442571914,845.0063082913376,182.0,1,0.0,False
25104,0 days 00:56:00.382000,-13113.587889459837,-8227.959938180005,845.5959897050609,177.0,1,0.0,False
25105,0 days 00:56:00.439000,-13143.0,-8258.0,846.0,176.109376,1,0.0,False
25106,0 days 00:56:00.619000,-13267.0,-8367.0,848.0,173.296876,1,0.0,False
25107,0 days 00:56:00.702000,-13312.217539614188,-8405.726348700591,848.7088155514651,172.0,1,0.0,False
25108,0 days 00:56:01.039000,-13413.0,-8492.0,850.0,181.36110933333333,1,0.0,False
25109,0 days 00:56:01.062000,-13419.534238340908,-8497.534331318215,850.0798606765396,182.0,1,0.0,False
25110,0 days 00:56:01.462000,-13547.694679344562,-8605.007488967698,851.7228130373044,194.0,1,0.0,False
25111,0 days 00:56:01.519000,-13568.0,-8622.0,852.0,195.3587587998086,1,0.0,False
25112,0 days 00:56:02.301000,-13888.327973591504,-8892.572636346082,856.7467914140565,214.0,1,0.0,False
25113,0 days 00:56:02.339000,-13905.0,-8907.0,857.0,215.2666624,1,0.0,False
25114,0 days 00:56:02.459000,-13960.0,-8955.0,858.0,219.2666624,1,0.0,False
25115,0 days 00:56:02.541000,-14005.549789414948,-8995.445091884354,859.4468853531118,222.0,1,0.0,False
25116,0 days 00:56:02.619000,-14049.0,-9035.0,861.0,222.9749984,1,0.0,False
25117,0 days 00:56:02.819000,-14138.0,-9122.0,864.0,225.4749984,1,0.0,False
25118,0 days 00:56:02.861000,-14156.490722432904,-9140.482144330348,864.6650365280973,226.0,1,0.0,False
25119,0 days 00:56:02.999000,-14218.0,-9202.0,867.0,226.0,1,0.0,False
25120,0 days 00:56:03.021000,-14227.426105515673,-9211.40656328167,867.3656580186279,226.0,1,0.0,False
25121,0 days 00:56:03.221000,-14314.136376858776,-9297.456138205935,870.9851720855393,228.0,1,0.0,False
25122,0 days 00:56:03.259000,-14335.0,-9318.0,872.0,228.18999936,1,0.0,False
25123,0 days 00:56:03.421000,-14444.602556920598,-9425.407069771467,877.8082066607694,229.0,1,0.0,False
25124,0 days 00:56:03.519000,-14505.0,-9484.0,881.0,225.15000502857143,1,0.0,False
