,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-8462.0,-1384.0,819.0,297.50833386666665,1,0.0,False
25096,0 days 00:55:59.302000,-8558.986038998537,-1397.5197239135512,818.9934729445665,297.0,1,0.0,False
25097,0 days 00:55:59.400000,-8642.0,-1409.0,819.0,296.72777742222223,1,0.0,False
25098,0 days 00:55:59.640000,-8837.0,-1436.0,819.0,296.06111075555555,1,0.0,False
25099,0 days 00:55:59.662000,-8858.211040821681,-1439.0907613220452,818.9998424155357,296.0,1,0.0,False
25100,0 days 00:55:59.862000,-9064.2559237817,-1470.5722826208712,818.9999036024196,296.0,1,0.0,False
25101,0 days 00:55:59.880000,-9079.0,-1473.0,819.0,295.39999573333336,1,0.0,False
25102,0 days 00:56:00.100000,-9204.0,-1497.0,819.0,288.06667093333334,1,0.0,False
25103,0 days 00:56:00.102000,-9205.09431831156,-1497.237766714305,818.9999485206254,288.0,1,0.0,False
25104,0 days 00:56:00.382000,-9398.378991508765,-1544.7407895139636,818.9919939614084,276.0,1,0.0,False
25105,0 days 00:56:00.439000,-9457.0,-1562.0,819.0,271.1906304,1,0.0,False
25106,0 days 00:56:00.619000,-9673.0,-1630.0,819.0,256.0031304,1,0.0,False
25107,0 days 00:56:00.702000,-9747.906479670362,-1653.8220468423508,818.8861483563275,249.0,1,0.0,False
25108,0 days 00:56:01.039000,-9896.0,-1700.0,818.0,219.98056106666667,1,0.0,False
25109,0 days 00:56:01.062000,-9904.735676627068,-1702.6323590160043,817.9657798159612,218.0,1,0.0,False
25110,0 days 00:56:01.462000,-10063.571210185708,-1751.0979456618265,817.979476393691,186.0,1,0.0,False
25111,0 days 00:56:01.519000,-10086.0,-1759.0,818.0,184.36948944022964,1,0.0,False
25112,0 days 00:56:02.301000,-10350.84394082942,-1929.2514784728846,817.9967201831918,162.0,1,0.0,False
25113,0 days 00:56:02.339000,-10359.0,-1944.0,818.0,161.8416672,1,0.0,False
25114,0 days 00:56:02.459000,-10381.0,-1995.0,818.0,161.3416672,1,0.0,False
25115,0 days 00:56:02.541000,-10392.517182926862,-2031.9330834572668,817.9375274282613,161.0,1,0.0,False
25116,0 days 00:56:02.619000,-10402.0,-2068.0,818.0,162.4624976,1,0.0,False
25117,0 days 00:56:02.819000,-10426.0,-2162.0,819.0,166.2124976,1,0.0,False
25118,0 days 00:56:02.861000,-10431.656635039633,-2181.246748107297,819.0773240116491,167.0,1,0.0,False
25119,0 days 00:56:02.999000,-10452.0,-2242.0,819.0,168.7249984,1,0.0,False
25120,0 days 00:56:03.021000,-10455.416835291462,-2251.173352535699,818.997246595044,169.0,1,0.0,False
25121,0 days 00:56:03.221000,-10494.91043162618,-2332.7997210784406,819.0644352680364,177.0,1,0.0,False
25122,0 days 00:56:03.259000,-10508.0,-2351.0,819.0,177.9499968,1,0.0,False
25123,0 days 00:56:03.421000,-10588.450100623637,-2441.771255769208,818.3272451672498,182.0,1,0.0,False
25124,0 days 00:56:03.519000,-10637.0,-2490.0,818.0,183.04999862857142,1,0.0,False
25125,0 days 00:56:03.701000,-10699.339070538832,-2542.0834628456423,818.1074377690207,185.0,1,0.0,False
25126,0 days 00:56:03.939000,-10768.0,-2581.0,819.0,190.9499968,1,0.0,False
25127,0 days 00:56:04.061000,-10820.385222849965,-2612.392398001467,819.4317133662659,194.0,1,0.0,False
25128,0 days 00:56:04.199000,-10890.0,-2654.0,820.0,196.68333084444444,1,0.0,False
25129,0 days 00:56:04.380000,-10987.0,-2710.0,821.0,200.20277404444445,1,0.0,False
25130,0 days 00:56:04.421000,-11007.118723027463,-2721.5020846699986,821.2195648000583,201.0,1,0.0,False
25131,0 days 00:56:04.580000,-11085.0,-2766.0,822.0,206.11070811428573,1,0.0,False
25132,0 days 00:56:04.701000,-11163.311724290988,-2811.178932187363,822.527705801645,210.0,1,0.0,False
25133,0 days 00:56:04.820000,-11237.0,-2854.0,823.0,212.46887634028252,1,0.0,False
25134,0 days 00:56:04.942000,-11287.382561069078,-2883.695066771681,823.4443393559669,215.0,1,0.0,False
25135,0 days 00:56:05.100000,-11341.0,-2917.0,824.0,219.937496,1,0.6562355157032562,True
25136,0 days 00:56:05.102000,-11341.827650775816,-2917.528462872118,824.0072479803491,220.0,1,0.6462228022481394,True
25137,0 days 00:56:05.342000,-11464.56105468059,-2999.213845823481,824.8568032438623,225.0,1,0.6551758705639517,True
25138,0 days 00:56:05.420000,-11505.0,-3030.0,825.0,226.9499968,1,0.6365400530542067,True
25139,0 days 00:56:05.502000,-11544.868854039534,-3063.4996334619495,825.041636378228,229.0,1,0.6373165002900147,True
25140,0 days 00:56:05.600000,-11589.0,-3105.0,825.0,230.47000192,1,0.6129144823629734,True
25141,0 days 00:56:05.702000,-11630.916413598627,-3149.8045411001885,824.9254637872834,232.0,1,0.6116002582788961,True
25142,0 days 00:56:05.820000,-11678.0,-3213.0,825.0,234.29444195555556,1,0.591903457115696,True
25143,0 days 00:56:06.040000,-11766.0,-3374.0,826.0,238.57222471111112,1,0.5726931845959979,True
25144,0 days 00:56:06.062000,-11772.708367101444,-3387.8732904184285,826.0937884695992,239.0,1,0.548295336431105,True
25145,0 days 00:56:06.222000,-11806.694975209268,-3467.688015207084,826.6131427844775,240.0,1,0.5289473363259212,True
25146,0 days 00:56:06.340000,-11833.0,-3540.0,827.0,241.4749984,1,0.48887278068542095,False
25147,0 days 00:56:06.462000,-11871.175470156193,-3647.2640607889903,827.5065319433135,243.0,1,0.4602125734844404,False
25148,0 days 00:56:06.580000,-11911.0,-3759.0,828.0,245.35999744,1,0.42666498203117553,False
25149,0 days 00:56:06.862000,-11987.909528392705,-3967.551737528978,828.8070040141051,251.0,1,0.40867735614265444,False
25150,0 days 00:56:07.039000,-12022.0,-4058.0,829.0,252.76999936,1,0.3892894395283355,False
25151,0 days 00:56:07.062000,-12025.585192094131,-4067.530400077064,829.0054879455344,253.0,1,0.3907016636866481,False
25152,0 days 00:56:07.222000,-12046.523443959037,-4123.3356612656,828.9415745010916,255.0,1,0.3690745024880323,False
25153,0 days 00:56:07.319000,-12067.0,-4178.0,829.0,257.020832,1,0.37111050912241056,False
25154,0 days 00:56:07.462000,-12116.393505626635,-4309.856318851612,829.3596124109699,260.0,1,0.37395428070071063,False
25155,0 days 00:56:07.639000,-12184.0,-4490.0,830.0,261.76999936,1,0.3772880978817294,False
25156,0 days 00:56:07.662000,-12190.863162385944,-4508.21932307053,830.0742338240163,262.0,1,0.38345258601319787,False
25157,0 days 00:56:07.822000,-12226.13798736495,-4601.29955955713,830.5310870325701,264.0,1,0.39917467273357493,False
25158,0 days 00:56:08.022000,-12253.481176255931,-4672.847507398282,830.9191224998395,266.0,1,0.3978003048850135,False
25159,0 days 00:56:08.119000,-12273.0,-4725.0,831.0,266.96999936,1,0.4079651010194206,False
25160,0 days 00:56:08.222000,-12298.927306127316,-4794.802866390286,831.0079707652402,268.0,1,0.40675759529558003,False
25161,0 days 00:56:08.299000,-12320.0,-4850.0,831.0,268.80375705336024,1,0.41021340217985847,False
25162,0 days 00:56:08.339000,-12331.0,-4878.0,831.0,269.2212935320192,1,0.4068996248923936,False
25163,0 days 00:56:08.539000,-12383.0,-5018.0,831.0,271.30897592531426,1,0.3771302596496887,False
25164,0 days 00:56:08.701000,-12422.33355713581,-5123.521757103279,831.3860837488274,273.0,1,0.36266904011539525,False
25165,0 days 00:56:08.859000,-12468.0,-5245.0,832.0,274.57999872,1,0.3330873001413299,False
