,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,1324.0,-2573.0,951.0,293.0,1,0.0,False
25096,0 days 00:55:59.302000,1391.577914400023,-2503.5883831668484,945.1091249772292,293.0,1,0.0,False
25097,0 days 00:55:59.400000,1450.0,-2446.0,940.0,294.63333546666667,1,0.0,False
25098,0 days 00:55:59.640000,1600.0,-2320.0,927.0,298.63333546666667,1,0.0,False
25099,0 days 00:55:59.662000,1618.9306354235548,-2306.69452333125,925.4677295204162,299.0,1,0.0,False
25100,0 days 00:55:59.862000,1815.9969747583789,-2181.1421684785632,910.0849638882065,301.0,1,0.0,False
25101,0 days 00:55:59.880000,1830.0,-2173.0,909.0,301.0,1,0.0,False
25102,0 days 00:56:00.100000,1945.0,-2118.0,900.0,301.0,1,0.0,False
25103,0 days 00:56:00.102000,1946.060418274218,-2117.555725025104,899.9152591867354,301.0,1,0.0,False
25104,0 days 00:56:00.382000,2148.5268250215904,-2034.2481736356497,883.7432611370522,299.0,1,0.0,False
25105,0 days 00:56:00.439000,2211.0,-2009.0,879.0,292.4093824,1,0.0,False
25106,0 days 00:56:00.619000,2440.0,-1917.0,862.0,271.5968824,1,0.0,False
25107,0 days 00:56:00.702000,2518.128577753308,-1885.4842042724451,856.0403995834798,262.0,1,0.0,False
25108,0 days 00:56:01.039000,2663.0,-1826.0,844.0,223.61945173333334,1,0.0,False
25109,0 days 00:56:01.062000,2671.315659151779,-1822.6008863158318,843.3589035800054,221.0,1,0.0,False
25110,0 days 00:56:01.462000,2822.611003758924,-1760.4199192610074,833.2815164186475,178.0,1,0.0,False
25111,0 days 00:56:01.519000,2844.0,-1751.0,832.0,174.60310300047843,1,0.0,False
25112,0 days 00:56:02.301000,3100.4749538359265,-1597.6616860668307,815.9683627967611,128.0,1,0.0,False
25113,0 days 00:56:02.339000,3109.0,-1588.0,815.0,126.8916704,1,0.0,False
25114,0 days 00:56:02.459000,3133.0,-1556.0,812.0,123.3916704,1,0.0,False
25115,0 days 00:56:02.541000,3147.259896442467,-1533.374837837215,810.7700110920375,121.0,1,0.0,False
25116,0 days 00:56:02.619000,3159.0,-1511.0,810.0,120.0250016,1,0.0,False
25117,0 days 00:56:02.819000,3180.0,-1449.0,808.0,117.5250016,1,0.0,False
25118,0 days 00:56:02.861000,3182.8821814637945,-1435.6078874996872,807.3693699392995,117.0,1,0.0,False
25119,0 days 00:56:02.999000,3189.0,-1392.0,805.0,113.5500032,1,0.0,False
