,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-2408.0,-5444.0,1086.0,116.96666453333333,1,0.0,False
25096,0 days 00:55:59.302000,-2371.085614468698,-5427.083235946348,1084.9486391060675,119.0,1,0.0,False
25097,0 days 00:55:59.400000,-2339.0,-5412.0,1084.0,122.26667093333333,1,0.0,False
25098,0 days 00:55:59.640000,-2259.0,-5372.0,1082.0,130.26667093333333,1,0.0,False
25099,0 days 00:55:59.662000,-2249.8877366051515,-5367.292134407397,1081.8232877144312,131.0,1,0.0,False
25100,0 days 00:55:59.862000,-2158.7847624580036,-5319.58395948415,1080.1649837681048,149.0,1,0.0,False
25101,0 days 00:55:59.880000,-2152.0,-5316.0,1080.0,149.75000533333332,1,0.0,False
25102,0 days 00:56:00.100000,-2090.0,-5283.0,1078.0,158.91666133333334,1,0.0,False
25103,0 days 00:56:00.102000,-2089.4318925920834,-5282.699205482273,1077.987436414497,159.0,1,0.0,False
25104,0 days 00:56:00.382000,-1983.4629252792924,-5227.127698859591,1076.8160093419688,173.0,1,0.0,False
25105,0 days 00:56:00.439000,-1947.0,-5208.0,1076.0,175.1374976,1,0.0,False
25106,0 days 00:56:00.619000,-1804.0,-5133.0,1072.0,181.8874976,1,0.0,False
25107,0 days 00:56:00.702000,-1750.5258771532501,-5105.217137033842,1070.6958556071993,185.0,1,0.0,False
25108,0 days 00:56:01.039000,-1618.0,-5039.0,1069.0,199.97777493333334,1,0.0,False
25109,0 days 00:56:01.062000,-1609.459143610977,-5034.882320328825,1068.8751321681252,201.0,1,0.0,False
25110,0 days 00:56:01.462000,-1446.6196715362885,-4958.384788933196,1065.5825247544435,210.0,1,0.0,False
25111,0 days 00:56:01.519000,-1420.0,-4946.0,1065.0,211.56257261977993,1,0.0,False
25112,0 days 00:56:02.301000,-980.7302276326992,-4730.563420920291,1056.2880768818652,233.0,1,0.0,False
25113,0 days 00:56:02.339000,-959.0,-4718.0,1056.0,234.2666624,1,0.0,False
25114,0 days 00:56:02.459000,-891.0,-4677.0,1055.0,238.2666624,1,0.0,False
25115,0 days 00:56:02.541000,-844.7957387445285,-4647.6067074553,1053.5565739557524,241.0,1,0.0,False
25116,0 days 00:56:02.619000,-801.0,-4619.0,1052.0,241.7312488,1,0.0,False
25117,0 days 00:56:02.819000,-689.0,-4544.0,1049.0,243.6062488,1,0.0,False
25118,0 days 00:56:02.861000,-665.2788198510387,-4527.588507529583,1048.3441155282576,244.0,1,0.0,False
25119,0 days 00:56:02.999000,-588.0,-4473.0,1046.0,250.8999936,1,0.0,False
25120,0 days 00:56:03.021000,-576.1114049871586,-4464.511927797673,1045.610546305536,252.0,1,0.0,False
25121,0 days 00:56:03.221000,-465.65570385259423,-4384.029960089733,1041.8187567702676,256.0,1,0.0,False
25122,0 days 00:56:03.259000,-439.0,-4364.0,1041.0,256.56999808,1,0.0,False
25123,0 days 00:56:03.421000,-299.00068789870704,-4256.874139055078,1037.1215037307782,259.0,1,0.0,False
25124,0 days 00:56:03.519000,-222.0,-4197.0,1035.0,260.3999981714286,1,0.0,False
25125,0 days 00:56:03.701000,-134.59129003733682,-4126.825185385711,1032.2592425907487,263.0,1,0.0,False
25126,0 days 00:56:03.939000,-60.0,-4060.0,1030.0,266.96666453333336,1,0.0,False
25127,0 days 00:56:04.061000,-1.2564949147017097,-4006.309966416687,1028.861548734932,269.0,1,0.0,False
25128,0 days 00:56:04.199000,87.0,-3922.0,1027.0,271.2999978666667,1,0.0,False
25129,0 days 00:56:04.380000,231.0,-3776.0,1023.0,274.3166634666667,1,0.0,False
25130,0 days 00:56:04.421000,257.1426631404583,-3748.7257750743297,1022.1490314225114,275.0,1,0.0,False
25131,0 days 00:56:04.580000,341.0,-3658.0,1019.0,276.1357129142857,1,0.0,False
25132,0 days 00:56:04.701000,421.1233496637997,-3568.7631402481193,1016.004518872108,277.0,1,0.0,False
25133,0 days 00:56:04.820000,496.0,-3485.0,1013.0,278.4813258041695,1,0.0,False
25134,0 days 00:56:04.942000,546.990206570515,-3428.509693224988,1010.3950356591197,280.0,1,0.0,False
25135,0 days 00:56:05.100000,601.0,-3369.0,1007.0,280.0,1,0.04637553246778242,False
25136,0 days 00:56:05.102000,601.8344212754089,-3368.073852689806,1006.9503231381724,280.0,1,0.04935967403177368,False
25137,0 days 00:56:05.342000,726.5964569882372,-3228.926009086132,999.7790651314085,286.0,1,0.03911492079036974,False
25138,0 days 00:56:05.420000,770.0,-3181.0,997.0,286.4874992,1,0.02820304514691507,False
25139,0 days 00:56:05.502000,814.7594806402166,-3132.062678138536,993.8625010236913,287.0,1,0.04228116815260822,False
25140,0 days 00:56:05.600000,867.0,-3075.0,990.0,287.49000064,1,0.039874774353499495,False
25141,0 days 00:56:05.702000,919.8121668909923,-3016.5483167142584,986.0896804236884,288.0,1,0.03936169554483516,False
25142,0 days 00:56:05.820000,985.0,-2944.0,981.0,288.65555484444445,1,0.043591847543509574,False
25143,0 days 00:56:06.040000,1125.0,-2789.0,969.0,289.8777784888889,1,0.031141397932649584,False
25144,0 days 00:56:06.062000,1136.7996229896712,-2775.9445687111674,968.0022489973561,290.0,1,0.04946032857746596,False
