,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-3939.0,-5317.0,1085.0,240.65834346666668,1,0.0,False
25096,0 days 00:55:59.302000,-3864.6430620225,-5311.0292684039305,1085.5271828237228,231.0,1,0.0,False
25097,0 days 00:55:59.400000,-3803.0,-5306.0,1086.0,219.8388743111111,1,0.0,False
25098,0 days 00:55:59.640000,-3669.0,-5295.0,1087.0,192.50554097777777,1,0.0,False
25099,0 days 00:55:59.662000,-3655.6493147790175,-5293.950992415829,1087.0288063003998,190.0,1,0.0,False
25100,0 days 00:55:59.862000,-3532.5184979108803,-5284.629268857619,1086.968859342426,180.0,1,0.0,False
25101,0 days 00:55:59.880000,-3524.0,-5284.0,1087.0,178.1999872,1,0.0,False
25102,0 days 00:56:00.100000,-3455.0,-5279.0,1088.0,156.2000128,1,0.0,False
25103,0 days 00:56:00.102000,-3454.407644938361,-5278.9556606522565,1088.0101693151853,156.0,1,0.0,False
25104,0 days 00:56:00.382000,-3352.199874096646,-5272.8227697358025,1089.4970700701072,137.0,1,0.0,False
25105,0 days 00:56:00.439000,-3324.0,-5273.0,1090.0,134.6843776,1,0.0,False
25106,0 days 00:56:00.619000,-3225.0,-5279.0,1092.0,127.3718776,1,0.0,False
25107,0 days 00:56:00.702000,-3191.070308083984,-5285.515377610521,1092.688730634903,124.0,1,0.0,False
25108,0 days 00:56:01.039000,-3125.0,-5332.0,1094.0,112.7666688,1,0.0,False
25109,0 days 00:56:01.062000,-3121.1920584768673,-5335.723645231197,1094.086053270893,112.0,1,0.0,False
25110,0 days 00:56:01.462000,-3051.6561179543123,-5407.327480636515,1095.7844723805986,104.0,1,0.0,False
25111,0 days 00:56:01.519000,-3041.0,-5418.0,1096.0,103.3206206000957,1,0.0,False
25112,0 days 00:56:02.301000,-2872.3558312692976,-5547.988101182691,1096.2722250527952,94.0,1,0.0,False
25113,0 days 00:56:02.339000,-2863.0,-5551.0,1096.0,93.8416672,1,0.0,False
