,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-3025.0,-5435.0,1096.0,110.5750048,1,0.0,False
25096,0 days 00:55:59.302000,-2998.9862790970806,-5461.725924800156,1095.9713309231536,106.0,1,0.0,False
25097,0 days 00:55:59.400000,-2977.0,-5483.0,1096.0,103.5499968,1,0.0,False
25098,0 days 00:55:59.640000,-2924.0,-5523.0,1096.0,97.5499968,1,0.0,False
25099,0 days 00:55:59.662000,-2917.8531930486656,-5526.290519340385,1095.937325495917,97.0,1,0.0,False
25100,0 days 00:55:59.862000,-2855.607770861635,-5552.449627498292,1095.0418102078752,100.0,1,0.0,False
25101,0 days 00:55:59.880000,-2851.0,-5554.0,1095.0,99.5499968,1,0.0,False
25102,0 days 00:56:00.100000,-2810.0,-5562.0,1095.0,94.0500032,1,0.0,False
25103,0 days 00:56:00.102000,-2809.6358561609977,-5562.024310119001,1094.997243738559,94.0,1,0.0,False
25104,0 days 00:56:00.382000,-2744.3590639318218,-5558.327668187639,1093.541063465589,92.0,1,0.0,False
25105,0 days 00:56:00.439000,-2723.0,-5554.0,1093.0,92.5343744,1,0.0,False
25106,0 days 00:56:00.619000,-2641.0,-5533.0,1091.0,94.2218744,1,0.0,False
25107,0 days 00:56:00.702000,-2611.1799179286086,-5524.482300722649,1090.3294509226635,95.0,1,0.0,False
25108,0 days 00:56:01.039000,-2542.0,-5500.0,1089.0,99.68055466666667,1,0.0,False
25109,0 days 00:56:01.062000,-2537.5279656376924,-5498.294758355376,1088.8932983772804,100.0,1,0.0,False
25110,0 days 00:56:01.462000,-2449.704911585026,-5463.403046531437,1086.3903692175036,111.0,1,0.0,False
25111,0 days 00:56:01.519000,-2435.0,-5457.0,1086.0,113.30988995967466,1,0.0,False
25112,0 days 00:56:02.301000,-2179.0001334044914,-5330.425223940611,1080.3219973915557,145.0,1,0.0,False
25113,0 days 00:56:02.339000,-2165.0,-5323.0,1080.0,147.2166592,1,0.0,False
25114,0 days 00:56:02.459000,-2120.0,-5299.0,1079.0,154.2166592,1,0.0,False
25115,0 days 00:56:02.541000,-2088.1125821251076,-5282.278224947032,1078.4962388326994,159.0,1,0.0,False
25116,0 days 00:56:02.619000,-2057.0,-5266.0,1078.0,162.41249439999999,1,0.0,False
25117,0 days 00:56:02.819000,-1974.0,-5222.0,1076.0,171.16249439999999,1,0.0,False
25118,0 days 00:56:02.861000,-1955.7367801645769,-5212.38620317657,1075.517798948361,173.0,1,0.0,False
25119,0 days 00:56:02.999000,-1896.0,-5181.0,1074.0,180.7624928,1,0.0,False
25120,0 days 00:56:03.021000,-1887.135694475975,-5176.292978133324,1073.80714169619,182.0,1,0.0,False
25121,0 days 00:56:03.221000,-1802.8637693806902,-5131.627792948444,1072.4085052540934,189.0,1,0.0,False
25122,0 days 00:56:03.259000,-1778.0,-5119.0,1072.0,189.75999744,1,0.0,False
25123,0 days 00:56:03.421000,-1630.4189938745565,-5045.805262199933,1069.4621246840798,193.0,1,0.0,False
25124,0 days 00:56:03.519000,-1547.0,-5005.0,1068.0,197.8999936,1,0.0,False
25125,0 days 00:56:03.701000,-1458.3522752888575,-4962.620354279462,1066.4204387414895,207.0,1,0.0,False
25126,0 days 00:56:03.939000,-1389.0,-4932.0,1065.0,212.9499968,1,0.0,False
25127,0 days 00:56:04.061000,-1328.2417961210497,-4904.908828199667,1063.688853864072,216.0,1,0.0,False
25128,0 days 00:56:04.199000,-1246.0,-4867.0,1062.0,220.21666275555555,1,0.0,False
25129,0 days 00:56:04.380000,-1134.0,-4812.0,1060.0,225.74721635555557,1,0.0,False
25130,0 days 00:56:04.421000,-1110.7050725081099,-4800.296962367165,1059.6082665227325,227.0,1,0.0,False
25131,0 days 00:56:04.580000,-1021.0,-4753.0,1058.0,230.9749952,1,0.0,False
25132,0 days 00:56:04.701000,-933.7003846004174,-4702.051904948183,1055.9962291833558,234.0,1,0.0,False
25133,0 days 00:56:04.820000,-853.0,-4653.0,1054.0,235.4813258041695,1,0.0,False
25134,0 days 00:56:04.942000,-799.207996000078,-4619.049359275642,1052.642200405844,237.0,1,0.0,False
25135,0 days 00:56:05.100000,-743.0,-4581.0,1051.0,243.91249439999999,1,0.350311623071055,False
25136,0 days 00:56:05.102000,-742.1184455054756,-4580.395332137415,1050.9718776804027,244.0,1,0.33213508679310283,False
25137,0 days 00:56:05.342000,-608.8323933713103,-4487.721943554045,1046.465911477073,248.0,1,0.3011323450219295,False
25138,0 days 00:56:05.420000,-563.0,-4455.0,1045.0,250.437496,1,0.2751769223560611,False
25139,0 days 00:56:05.502000,-516.3541712284599,-4421.082695319722,1043.607735917483,253.0,1,0.2583654130849997,False
25140,0 days 00:56:05.600000,-462.0,-4381.0,1042.0,254.96000256,1,0.2309235914114529,False
25141,0 days 00:56:05.702000,-406.1270514297086,-4339.538755872269,1040.19679580969,257.0,1,0.22235487330019946,False
25142,0 days 00:56:05.820000,-337.0,-4287.0,1038.0,257.98333226666665,1,0.2019595968694702,False
25143,0 days 00:56:06.040000,-191.0,-4171.0,1034.0,259.81666773333336,1,0.18735872255738217,False
25144,0 days 00:56:06.062000,-178.7451101145747,-4161.078829081072,1033.6685475113563,260.0,1,0.1698734926555608,False
25145,0 days 00:56:06.222000,-108.11363557723709,-4102.694507960853,1031.7169314381144,263.0,1,0.1602798423860057,False
25146,0 days 00:56:06.340000,-46.0,-4047.0,1030.0,265.45833066666665,1,0.1435648152758548,False
25147,0 days 00:56:06.462000,44.16886361223152,-3962.628789029191,1027.5392156373032,268.0,1,0.12808936405976193,False
25148,0 days 00:56:06.580000,137.0,-3873.0,1025.0,269.76999808,1,0.10773340764040464,False
25149,0 days 00:56:06.862000,306.3180506297542,-3696.1057443691993,1020.2309812600315,274.0,1,0.07826178945291995,False
25150,0 days 00:56:07.039000,378.0,-3617.0,1018.0,275.76999936,1,0.06247490834894858,False
25151,0 days 00:56:07.062000,385.4874599201608,-3608.733064378266,1017.7462334480081,276.0,1,0.06235043146452341,False
25152,0 days 00:56:07.222000,428.81451511090404,-3560.8409331183143,1016.0716797844173,279.0,1,0.05315904032256322,False
25153,0 days 00:56:07.319000,471.0,-3514.0,1014.0,279.8083328,1,0.049005978842857276,False
25154,0 days 00:56:07.462000,572.845538400058,-3400.705651365143,1008.6310278327097,281.0,1,0.035523370919288984,False
25155,0 days 00:56:07.639000,712.0,-3246.0,1001.0,282.76999936,1,0.02052975551570228,False
25156,0 days 00:56:07.662000,726.0674593979099,-3230.3998894177944,1000.2033457827547,283.0,1,0.019951507642930973,False
25157,0 days 00:56:07.822000,797.8838553809525,-3151.0864310854877,995.9287929946154,285.0,1,0.017212653855897903,False
25158,0 days 00:56:08.022000,853.268307362174,-3090.305595800069,991.6184490066206,288.0,1,0.00725056411124844,False
25159,0 days 00:56:08.119000,894.0,-3045.0,988.0,288.96999936,1,0.013704397318916798,False
25160,0 days 00:56:08.222000,948.666761088943,-2983.8963274253815,982.984510302493,290.0,1,0.009581128426569115,False
25161,0 days 00:56:08.299000,991.0,-2937.0,980.0,290.48225423201615,1,0.0134509557761718,False
