,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
25095,0 days 00:55:59.180000,-8579.0,-9713.0,1105.0,201.45833066666665,1,0.0,False
25096,0 days 00:55:59.302000,-8546.90608556117,-9651.191572010403,1102.940478475695,204.0,1,0.0,False
25097,0 days 00:55:59.400000,-8520.0,-9598.0,1101.0,206.72222577777777,1,0.0,False
25098,0 days 00:55:59.640000,-8457.0,-9471.0,1096.0,213.38889244444445,1,0.0,False
25099,0 days 00:55:59.662000,-8450.190321901706,-9456.759161208829,1095.5225482689104,214.0,1,0.0,False
25100,0 days 00:55:59.862000,-8384.591782932815,-9315.379142904454,1091.31020306192,220.0,1,0.0,False
25101,0 days 00:55:59.880000,-8380.0,-9305.0,1091.0,220.30000213333332,1,0.0,False
25102,0 days 00:56:00.100000,-8343.0,-9213.0,1088.0,223.96666453333333,1,0.0,False
25103,0 days 00:56:00.102000,-8342.687753420685,-9212.177047352945,1087.9710501502996,224.0,1,0.0,False
25104,0 days 00:56:00.382000,-8292.302892944617,-9059.88830949639,1082.190547177634,230.0,1,0.0,False
25105,0 days 00:56:00.439000,-8281.0,-9007.0,1080.0,231.6031232,1,0.0,False
25106,0 days 00:56:00.619000,-8247.0,-8799.0,1071.0,236.6656232,1,0.0,False
25107,0 days 00:56:00.702000,-8237.894785179937,-8722.218678069677,1067.319769873941,239.0,1,0.0,False
25108,0 days 00:56:01.039000,-8238.0,-8541.0,1056.0,242.74444373333333,1,0.0,False
25109,0 days 00:56:01.062000,-8238.56480109735,-8529.684001017737,1055.2215146290202,243.0,1,0.0,False
25110,0 days 00:56:01.462000,-8254.027877055798,-8318.132608114995,1039.7897115160347,253.0,1,0.0,False
25111,0 days 00:56:01.519000,-8258.0,-8284.0,1037.0,253.95113115986604,1,0.0,False
25112,0 days 00:56:02.301000,-8359.760599305448,-7725.738967734319,987.9793919259002,267.0,1,0.0,False
25113,0 days 00:56:02.339000,-8366.0,-7698.0,986.0,267.3166656,1,0.0,False
25114,0 days 00:56:02.459000,-8386.0,-7611.0,980.0,268.3166656,1,0.0,False
25115,0 days 00:56:02.541000,-8399.306642838865,-7551.646232154981,975.2954788280059,269.0,1,0.0,False
25116,0 days 00:56:02.619000,-8412.0,-7495.0,971.0,269.7312488,1,0.0,False
25117,0 days 00:56:02.819000,-8446.0,-7348.0,963.0,271.6062488,1,0.0,False
25118,0 days 00:56:02.861000,-8453.121674484168,-7316.737748069476,961.2018690693983,272.0,1,0.0,False
25119,0 days 00:56:02.999000,-8476.0,-7215.0,955.0,273.7249984,1,0.0,False
25120,0 days 00:56:03.021000,-8479.513304131004,-7199.4143525762565,954.1047140723152,274.0,1,0.0,False
25121,0 days 00:56:03.221000,-8512.141639161866,-7055.574211563522,946.7067033488862,275.0,1,0.0,False
25122,0 days 00:56:03.259000,-8520.0,-7021.0,945.0,275.18999936,1,0.0,False
25123,0 days 00:56:03.421000,-8561.22373468027,-6839.6040637134065,936.0596982234097,276.0,1,0.0,False
25124,0 days 00:56:03.519000,-8584.0,-6739.0,931.0,273.90000274285717,1,0.0,False
25125,0 days 00:56:03.701000,-8610.325197244736,-6621.169749667792,924.6457839621758,270.0,1,0.0,False
25126,0 days 00:56:03.939000,-8630.0,-6521.0,919.0,264.71111395555556,1,0.0,False
25127,0 days 00:56:04.061000,-8642.682217810203,-6448.757577369562,915.4674330251383,262.0,1,0.0,False
25128,0 days 00:56:04.199000,-8653.0,-6354.0,911.0,258.1666702222222,1,0.0,False
25129,0 days 00:56:04.380000,-8649.0,-6222.0,905.0,253.13889422222223,1,0.0,False
25130,0 days 00:56:04.421000,-8645.509572836543,-6194.460691295657,903.9706139534986,252.0,1,0.0,False
25131,0 days 00:56:04.580000,-8620.0,-6089.0,901.0,247.45714834285715,1,0.0,False
25132,0 days 00:56:04.701000,-8581.358968106864,-5987.942250634411,898.7708405120907,244.0,1,0.0,False
25133,0 days 00:56:04.820000,-8541.0,-5896.0,897.0,238.56847205137848,1,0.0,False
25134,0 days 00:56:04.942000,-8511.935878757711,-5837.142802955999,896.1344467405182,233.0,1,0.0,False
25135,0 days 00:56:05.100000,-8480.0,-5782.0,896.0,218.187512,1,-1.3872140534048534,True
25136,0 days 00:56:05.102000,-8479.52307339364,-5781.168472016793,896.0015000109192,218.0,1,-1.3981422942115767,True
