,Time,X,Y,Z,Speed,LapNumber,Delta_Angle,IsCorner
26118,0 days 00:57:48.050000,-4188.0,2098.0,2369.0,290.53333333333336,1,0.0,False
26119,0 days 00:57:48.162000,-4282.619001780694,2172.6228147383604,2366.1644509032276,291.0,1,0.0,False
26120,0 days 00:57:48.490000,-4455.0,2309.0,2361.0,291.0,1,0.0,False
26121,0 days 00:57:48.522000,-4467.851639139121,2319.12092000596,2360.6155423381488,291.0,1,0.0,False
26122,0 days 00:57:48.842000,-4593.204231223795,2417.1443829680884,2357.1172152435593,293.0,1,0.0,False
26123,0 days 00:57:48.950000,-4685.0,2489.0,2355.0,293.3375008,1,0.0,False
26124,0 days 00:57:49.110000,-4865.0,2630.0,2351.0,293.8375008,1,0.0,False
26125,0 days 00:57:49.162000,-4906.201521630965,2662.219471102479,2350.0457555994994,294.0,1,0.0,False
26126,0 days 00:57:49.402000,-4985.385468168607,2723.407025112467,2347.6994756387558,294.0,1,0.0,False
26127,0 days 00:57:49.450000,-5007.0,2740.0,2347.0,294.0,1,0.0,False
26128,0 days 00:57:49.650000,-5137.0,2840.0,2343.0,294.0,1,0.0,False
26129,0 days 00:57:49.802000,-5228.004450061696,2910.379389295721,2340.5837908020935,294.0,1,0.0,False
26130,0 days 00:57:49.890000,-5291.0,2960.0,2339.0,291.06666666666666,1,0.0,False
26131,0 days 00:57:50.042000,-5438.378664701469,3077.918123500144,2335.2604613722056,286.0,1,0.0,False
26132,0 days 00:57:50.190000,-5560.0,3176.0,2332.0,276.5444280888889,1,0.0,False
26133,0 days 00:57:50.402000,-5606.208669754054,3214.2413147388856,2330.205887446863,263.0,1,0.0,False
26134,0 days 00:57:50.430000,-5613.0,3220.0,2330.0,257.3999488,1,0.0,False
26135,0 days 00:57:50.682000,-5727.274424803977,3318.590744711012,2327.1229534916274,207.0,1,0.0,False
26136,0 days 00:57:50.689000,-5731.0,3322.0,2327.0,206.32916053333332,1,0.0,False
26137,0 days 00:57:50.922000,-5855.602788224554,3443.2930064738257,2321.6574775853774,184.0,1,0.0,False
26138,0 days 00:57:51.009000,-5890.0,3478.0,2320.0,175.05832675555556,1,0.0,False
26139,0 days 00:57:51.282000,-5934.407002222843,3525.548532133398,2317.815964035848,147.0,1,0.0,False
26140,0 days 00:57:51.409000,-5956.0,3556.0,2317.0,135.8874944,1,0.0,False
26141,0 days 00:57:51.442000,-5963.926790836736,3567.409730253536,2316.7194569205694,133.0,1,0.0,False
26142,0 days 00:57:51.609000,-6011.0,3638.0,2315.0,125.6937472,1,0.0,False
26143,0 days 00:57:51.762000,-6041.106729433398,3693.5171191848394,2313.388986449534,119.0,1,0.0,False
26144,0 days 00:57:52.049000,-6068.0,3767.0,2311.0,110.25485034645078,1,0.0,False
26145,0 days 00:57:52.123000,-6072.524787185769,3780.3452069226414,2310.7025111735225,108.0,1,0.0,False
26146,0 days 00:57:52.283000,-6079.34930577484,3806.1293626507495,2310.3252267576036,103.0,1,0.0,False
26147,0 days 00:57:52.349000,-6081.0,3822.0,2310.0,102.34000128,1,0.0,False
26148,0 days 00:57:52.483000,-6082.265596987373,3866.471172569794,2308.913641084702,101.0,1,0.0,False
26149,0 days 00:57:52.669000,-6080.0,3929.0,2307.0,98.20300809768811,1,0.0,False
26150,0 days 00:57:52.882000,-6071.501982764266,3961.8133487504338,2305.072819759602,95.0,1,0.0,False
26151,0 days 00:57:52.889000,-6071.0,3963.0,2305.0,94.9562496,1,0.0,False
26152,0 days 00:57:53.042000,-6055.727107097677,3996.0836256102652,2303.166561868587,94.0,1,0.0,False
26153,0 days 00:57:53.170000,-6038.0,4026.0,2302.0,94.0,1,0.0,False
26154,0 days 00:57:53.202000,-6033.031131228507,4032.787336097901,2301.8490096629694,94.0,1,0.0,False
26155,0 days 00:57:53.450000,-5988.0,4077.0,2302.0,91.34285714285714,1,0.0,False
26156,0 days 00:57:53.482000,-5981.539417862082,4081.8718898487214,2302.042579150221,91.0,1,0.0,False
26157,0 days 00:57:53.670000,-5941.0,4107.0,2302.0,91.0,1,0.0,False
26158,0 days 00:57:53.682000,-5938.278489435742,4108.4010065039965,2301.9595722538415,91.0,1,-2.6254117257820777,True
26159,0 days 00:57:53.842000,-5900.305618228212,4125.130621663732,2301.101063616986,96.0,1,-2.627651474646875,True
26160,0 days 00:57:53.890000,-5888.0,4130.0,2301.0,96.8,1,-2.6122022492278547,True
26161,0 days 00:57:53.950000,-5872.0,4136.0,2301.0,97.80000426666666,1,-2.6150595348297037,True
26162,0 days 00:57:54.110000,-5829.0,4147.0,2300.0,100.46667093333333,1,-2.5951723815882244,True
26163,0 days 00:57:54.202000,-5805.909888590339,4151.6969121072325,2299.401293589715,102.0,1,-2.5804565095905696,True
26164,0 days 00:57:54.362000,-5762.990791380602,4157.955663885826,2298.4965789581365,107.0,1,-2.5436442364833067,True
26165,0 days 00:57:54.430000,-5736.0,4160.0,2298.0,109.2666752,1,-2.5409764194995144,True
26166,0 days 00:57:54.602000,-5646.583761718279,4163.531573857076,2296.4231686935245,115.0,1,-2.4857216816858783,True
26167,0 days 00:57:54.650000,-5626.0,4164.0,2296.0,117.07272727272728,1,-2.4747896429748275,True
26168,0 days 00:57:54.950000,-5563.0,4162.0,2294.0,130.02728378181817,1,-2.3908312661437456,True
26169,0 days 00:57:55.042000,-5537.638671436889,4160.360692589005,2293.5573099938415,134.0,1,-2.3273749723342645,True
26170,0 days 00:57:55.270000,-5442.0,4152.0,2292.0,137.25714651428572,1,-2.2343620700195257,True
26171,0 days 00:57:55.322000,-5413.046875510369,4148.361797758891,2291.299966278512,138.0,1,-2.0888302553924087,True
26172,0 days 00:57:55.522000,-5297.466675046225,4131.544380196494,2288.0956353203173,153.0,1,-1.8664063838449219,True
26173,0 days 00:57:55.530000,-5294.0,4131.0,2288.0,153.36,1,-1.8077909168245763,True
26174,0 days 00:57:55.722000,-5240.884206690182,4121.548444181844,2286.636178200384,162.0,1,-1.7542135767453744,True
26175,0 days 00:57:55.810000,-5213.0,4116.0,2286.0,166.0857142857143,1,-1.5766198724105085,True
26176,0 days 00:57:55.990000,-5128.0,4099.0,2284.0,174.44286902857144,1,-1.4978779395791357,True
26177,0 days 00:57:56.002000,-5122.328160703553,4097.8002812885525,2283.8489490062498,175.0,1,-1.3162598622172508,True
26178,0 days 00:57:56.202000,-5031.354126715275,4076.3469682202053,2281.092249500235,184.0,1,-1.200130296554816,True
26179,0 days 00:57:56.270000,-4990.0,4065.0,2280.0,184.7555584,1,-1.1133164058110614,True
26180,0 days 00:57:56.510000,-4808.0,4011.0,2276.0,187.42222506666667,1,-0.9841909260806226,True
26181,0 days 00:57:56.562000,-4781.485153737394,4002.702744261015,2275.48086108472,188.0,1,-0.9598809260501819,True
26182,0 days 00:57:56.830000,-4701.0,3973.0,2274.0,207.14287542857141,1,-0.856604370604008,True
26183,0 days 00:57:56.842000,-4695.574700109097,3970.87097300806,2273.873120802185,208.0,1,-0.8064413785241271,True
26184,0 days 00:57:56.990000,-4615.0,3939.0,2272.0,211.7000064,1,-0.7136557897610819,True
26185,0 days 00:57:57.269000,-4462.0,3871.0,2270.0,218.6750016,1,-0.657593041218823,True
26186,0 days 00:57:57.282000,-4452.708870369181,3866.288060009461,2269.8533362218855,219.0,1,-0.6177598850700377,True
26187,0 days 00:57:57.442000,-4317.804930733359,3794.2732562841657,2267.380928120008,224.0,1,-0.5667062778798584,True
26188,0 days 00:57:57.549000,-4242.0,3752.0,2266.0,226.6750016,1,-0.5048468475774861,True
26189,0 days 00:57:57.642000,-4200.513507038702,3727.672455944019,2265.382371284584,229.0,1,-0.44318132877634714,False
26190,0 days 00:57:57.802000,-4160.723241787003,3700.5905812184906,2265.1384844181653,231.0,1,-0.40583179664637153,False
26191,0 days 00:57:57.849000,-4144.0,3689.0,2265.0,232.468752,1,-0.37941221855389834,False
26192,0 days 00:57:57.962000,-4090.8392020801925,3652.330362601128,2264.4677226150825,236.0,1,-0.3395322379994013,False
26193,0 days 00:57:58.149000,-3982.0,3576.0,2263.0,240.00714422857143,1,-0.25646208186952857,False
26194,0 days 00:57:58.242000,-3931.0000745325274,3538.5106309085077,2262.0186097842343,242.0,1,-0.23551114571604548,False
26195,0 days 00:57:58.349000,-3874.0,3495.0,2261.0,243.4376202917023,1,-0.17340643490020166,False
26196,0 days 00:57:58.569000,-3757.0,3401.0,2260.0,246.39347332908469,1,-0.11876047735240539,False
26197,0 days 00:57:58.763000,-3653.3769840550754,3316.409397797668,2258.3025115478144,249.0,1,-0.06187241241312335,False
26198,0 days 00:57:58.809000,-3629.0,3296.0,2258.0,249.0,1,-0.024118952885398323,False
26199,0 days 00:57:58.963000,-3548.1272270846994,3226.4034961193806,2257.514361680566,249.0,1,0.022935694820541877,False
26200,0 days 00:57:59.029000,-3513.0,3196.0,2257.0,251.19999573333334,1,0.10085046848161598,False
26201,0 days 00:57:59.109000,-3470.0,3159.0,2256.0,253.8666624,1,0.12643576318557087,False
26202,0 days 00:57:59.203000,-3421.610415187266,3117.6426504310703,2255.4022230621213,257.0,1,0.19929177218358313,False
26203,0 days 00:57:59.289000,-3372.0,3075.0,2255.0,258.43932955795515,1,0.24918713873073847,False
26204,0 days 00:57:59.442000,-3254.2634091936534,2972.2457235699103,2253.403798109388,261.0,1,0.3371758792430692,False
26205,0 days 00:57:59.630000,-3110.0,2845.0,2251.0,263.01428845714287,1,0.44858323781712045,False
26206,0 days 00:57:59.722000,-3064.5224367441547,2804.4514455023345,2250.1736420615016,264.0,1,0.5818376302271862,True
26207,0 days 00:57:59.922000,-3010.5352989560197,2755.6673055310757,2249.1637473624464,265.0,1,0.6366545419957828,True
26208,0 days 00:58:00.050000,-2955.0,2709.0,2249.0,264.68,1,0.7996091454299138,True
26209,0 days 00:58:00.090000,-2932.0,2690.0,2249.0,264.58,1,0.8640877246831967,True
26210,0 days 00:58:00.322000,-2804.0855871426684,2579.4958379338063,2247.0701603461207,264.0,1,1.0546981799854938,True
26211,0 days 00:58:00.330000,-2800.0,2576.0,2247.0,262.9,1,1.0832789306796495,True
26212,0 days 00:58:00.590000,-2666.0,2468.0,2245.0,227.1499648,1,1.2862078788692604,True
26213,0 days 00:58:00.642000,-2631.2560761764753,2442.1210237987084,2244.3444146574784,220.0,1,1.3818857539324136,True
26214,0 days 00:58:00.870000,-2474.0,2329.0,2241.0,206.69998506666667,1,1.6397936615943844,True
26215,0 days 00:58:01.002000,-2434.129579388732,2300.8180824600768,2240.1868092489117,199.0,1,1.6964775420096092,True
26216,0 days 00:58:01.202000,-2393.4413424316126,2279.7027080211637,2239.1027433068257,177.0,1,1.7518562494252923,True
26217,0 days 00:58:01.210000,-2390.0,2278.0,2239.0,176.5142857142857,1,1.858927338927581,True
26218,0 days 00:58:01.430000,-2262.0,2216.0,2235.0,163.1571273142857,1,1.9723949586444325,True
26219,0 days 00:58:01.482000,-2238.9602118838716,2205.6925361678605,2234.1990848740234,160.0,1,2.0234840291938285,True
26220,0 days 00:58:01.722000,-2181.103387257421,2187.33167316359,2231.709876998767,151.0,1,2.084731975403454,True
26221,0 days 00:58:01.790000,-2162.0,2183.0,2231.0,148.81427748571429,1,2.1121655891838955,True
26222,0 days 00:58:01.950000,-2102.0,2171.0,2229.0,143.67142034285715,1,2.159340618814994,True
26223,0 days 00:58:02.002000,-2078.771962315842,2168.457759596184,2228.1558218256623,142.0,1,2.176862207185857,True
26224,0 days 00:58:02.162000,-2001.0486863716678,2166.662530342696,2224.9983200614192,137.0,1,2.211472907701053,True
26225,0 days 00:58:02.210000,-1980.0,2168.0,2224.0,136.25,1,2.220670187646508,True
26226,0 days 00:58:02.450000,-1894.0,2187.0,2219.0,132.5,1,2.2292918810834843,True
26227,0 days 00:58:02.482000,-1883.2785726095562,2190.778697003483,2218.371119990174,132.0,1,2.2148551407300787,True
26228,0 days 00:58:02.650000,-1828.0,2215.0,2215.0,129.48,1,2.2245841543597176,True
26229,0 days 00:58:02.810000,-1780.0,2244.0,2211.0,127.08,1,2.1954299214889477,True
26230,0 days 00:58:02.882000,-1761.8318050603825,2257.0760566492913,2209.290114397645,126.0,1,2.1817241547283155,True
26231,0 days 00:58:03.050000,-1720.0,2299.0,2205.0,121.8,1,2.136010727714808,True
26232,0 days 00:58:03.082000,-1709.8692169088463,2311.975094588774,2203.945812460749,121.0,1,2.1174684460225746,True
26233,0 days 00:58:03.242000,-1656.07808850337,2388.8410433109134,2198.2341943411657,120.0,1,2.0729814162597062,True
26234,0 days 00:58:03.250000,-1654.0,2392.0,2198.0,120.0,1,2.066794189743405,True
26235,0 days 00:58:03.402000,-1629.7996471822719,2432.825181152857,2194.8783293644756,120.0,1,2.0275226438032607,True
26236,0 days 00:58:03.602000,-1623.914506233847,2459.1999979258726,2192.765661663838,118.0,1,1.9819201041063461,True
26237,0 days 00:58:03.650000,-1621.0,2470.0,2192.0,118.4,1,1.9531830476317555,True
26238,0 days 00:58:03.829000,-1606.0,2529.0,2188.0,119.8916672,1,1.9115002794285119,True
26239,0 days 00:58:03.842000,-1605.0988513364866,2534.641322182376,2187.6195003574944,120.0,1,1.8706232664631366,True
26240,0 days 00:58:04.082000,-1597.0172140787877,2657.817486553713,2179.2236712374547,126.0,1,1.7764155562003137,True
26241,0 days 00:58:04.089000,-1597.0,2661.0,2179.0,126.11666773333333,1,1.751820656305861,True
26242,0 days 00:58:04.322000,-1603.133233101695,2739.990828487368,2173.106502528188,130.0,1,1.6810149646856662,True
26243,0 days 00:58:04.482000,-1612.9133704076576,2777.916420441443,2169.930971388694,134.0,1,1.614425777120021,True
26244,0 days 00:58:04.569000,-1619.0,2801.0,2168.0,137.8062528,1,1.5461115865673332,True
26245,0 days 00:58:04.642000,-1624.5237441756697,2821.715515002495,2166.268191901207,141.0,1,1.4381664852752587,True
26246,0 days 00:58:04.949000,-1666.0,2941.0,2156.0,150.593752,1,1.2871121005070127,True
26247,0 days 00:58:04.962000,-1669.3016471427838,2948.386936853946,2155.33992025097,151.0,1,1.233056864290652,True
26248,0 days 00:58:05.169000,-1731.0,3076.0,2144.0,158.09345589425692,1,1.0528984838599909,True
26249,0 days 00:58:05.283000,-1753.9078456477562,3120.4809150707397,2140.611652334589,162.0,1,0.9822833826763565,True
26250,0 days 00:58:05.483000,-1778.7821617511943,3162.6569381045565,2138.4921864260346,169.0,1,0.7901684254688526,True
26251,0 days 00:58:05.549000,-1791.0,3183.0,2137.0,171.8874944,1,0.7551006083115774,True
26252,0 days 00:58:05.643000,-1813.028590963769,3219.844121656475,2133.9277464550514,176.0,1,0.5522959272593493,True
26253,0 days 00:58:05.769000,-1847.0,3277.0,2129.0,180.19999573333334,1,0.44228599699509363,False
26254,0 days 00:58:05.969000,-1899.0,3367.0,2122.0,186.8666624,1,0.16928482022470057,False
26255,0 days 00:58:06.003000,-1907.5335979149468,3382.8038175949514,2120.8715928156325,188.0,1,0.11093321790168056,False
26256,0 days 00:58:06.029000,-1914.0,3395.0,2120.0,188.84711403169396,1,0.059306005501781396,False
26257,0 days 00:58:06.370000,-1993.0,3564.0,2107.0,199.95739298200365,1,-0.09231538797762141,False
26258,0 days 00:58:06.402000,-1999.5618709983871,3581.157071065841,2105.690782369783,201.0,1,-0.21471449320266495,False
26259,0 days 00:58:06.570000,-2030.0,3671.0,2099.0,207.3,1,-0.2805837082076428,False
26260,0 days 00:58:06.642000,-2039.702828221723,3704.911732781306,2096.593984107597,210.0,1,-0.3392274379521892,False
26261,0 days 00:58:06.810000,-2057.0,3777.0,2092.0,213.15,1,-0.3809557910028042,False
26262,0 days 00:58:06.962000,-2072.3611154471027,3845.3098546452125,2088.62001259527,216.0,1,-0.4506997077771104,False
26263,0 days 00:58:07.150000,-2084.0,3967.0,2083.0,219.916672,1,-0.48926776108072173,False
26264,0 days 00:58:07.202000,-2084.017267053875,4015.4071629916148,2080.600083388526,221.0,1,-0.5438157515904853,True
26265,0 days 00:58:07.350000,-2077.0,4166.0,2073.0,223.312504,1,-0.564493279186861,True
26266,0 days 00:58:07.522000,-2057.676080866705,4289.211947196504,2066.969530993671,226.0,1,-0.6073010127952683,True
26267,0 days 00:58:07.762000,-2019.280559870587,4394.785873628181,2062.144834866562,230.0,1,-0.595882436001136,True
